latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
40.806381	111.710327	7000	2134	451.9	244	280.8	2112	10.7	192	0	1590462822
40.78907	111.71154	7700	2347	470.4	254	292.3	2624	13.3	167	0	1590462836
40.78339	111.713417	7975	2431	470.4	254	292.3	3072	15.6	164	0	1590462842
40.771755	111.717911	8475	2583	476	257	295.8	2752	14	163	0	1590462852
40.746799	111.727959	9425	2873	500	270	310.7	2944	15	163	0	1590462872
40.728973	111.735138	10250	3124	503.7	272	313	3328	16.9	162	0	1590462889
40.711304	111.742493	10975	3345	513	277	318.8	2880	14.6	162	0	1590462902
40.698486	111.747864	11500	3505	516.7	279	321.1	3136	15.9	162	0	1590462914
40.679398	111.75592	12275	3741	522.3	282	324.5	3008	15.3	162	0	1590462928
40.634937	111.774529	13650	4161	513	277	318.8	1408	7.2	162	0	1590462964
40.598812	111.789383	13800	4206	509.3	275	316.5	0	0	162	0	1590462994
40.560608	111.805725	13775	4199	529.7	286	329.1	-896	-4.6	158	0	1590463025
40.548935	111.816345	13800	4206	533.4	288	331.4	-576	-2.9	139	0	1590463036
40.540901	111.829643	13800	4206	546.3	295	339.5	-512	-2.6	123	0	1590463045
40.537689	111.838326	13800	4206	544.5	294	338.3	-320	-1.6	115	0	1590463051
40.534607	111.855896	13800	4206	535.2	289	332.6	64	0.3	96	0	1590463061
40.535221	111.872597	13825	4214	526	284	326.8	320	1.6	83	0	1590463071
40.537537	111.890625	13825	4214	526	284	326.8	0	0	79	0	1590463081
40.540054	111.907532	13800	4206	524.1	283	325.7	-64	-0.3	78	0	1590463092
40.549419	111.968788	15050	4587	540.8	292	336	2560	13	78	0	1590463126
40.557953	112.022888	16450	5014	550	297	341.8	2496	12.7	77	0	1590463158
40.568459	112.086327	17300	5273	570.4	308	354.4	1152	5.9	78	0	1590463192
40.578552	112.152466	18000	5486	574.1	310	356.7	1152	5.9	78	0	1590463229
40.596909	112.27478	19625	5982	590.8	319	367.1	832	4.2	78	0	1590463294
40.614349	112.388306	19725	6012	594.5	321	369.4	192	1	78	0	1590463354
40.62355	112.427002	20100	6126	588.9	318	365.9	2048	10.4	61	0	1590463374
40.632282	112.441322	20450	6233	579.7	313	360.2	2816	14.3	48	0	1590463384
40.644608	112.452759	20850	6355	570.4	308	354.4	2944	15	28	0	1590463395
40.656631	112.458237	21275	6485	557.5	301	346.4	3136	15.9	15	0	1590463405
40.671062	112.459297	21750	6629	540.8	292	336	3008	15.3	9	0	1590463414
40.684978	112.45549	22100	6736	529.7	286	329.1	2304	11.7	343	0	1590463425
40.695549	112.448753	22350	6812	527.8	285	328	1856	9.4	330	33	1590463434
40.701416	112.442932	22500	6858	527.8	285	328	1792	9.1	321	33	1590463440
40.709473	112.430542	22775	6942	529.7	286	329.1	1920	9.8	305	33	1590463450
40.715424	112.414124	23075	7033	535.2	289	332.6	2048	10.4	289	33	1590463460
40.718582	112.395874	23500	7163	535.2	289	332.6	2688	13.7	281	33	1590463470
40.719707	112.388641	23700	7224	533.4	288	331.4	2304	11.7	281	33	1590463476
40.737991	112.263489	25575	7795	563	304	349.8	704	3.6	275	33	1590463546
