latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
19.093334	72.867935	0	0	3.7	2	2.3	0	0	199	0	1590463038
19.093597	72.86805	0	0	3.7	2	2.3	0	0	191	0	1590463073
19.093906	72.868111	0	0	3.7	2	2.3	0	0	188	320	1590463106
19.094364	72.868172	0	0	16.7	9	10.4	0	0	180	320	1590463156
19.093586	72.868858	0	0	16.7	9	10.4	0	0	137	320	1590463284
19.093391	72.869064	0	0	18.5	10	11.5	0	0	135	320	1590463307
19.092411	72.870171	0	0	44.4	24	27.6	0	0	126	320	1590463611
19.090588	72.8787	0	0	51.9	28	32.2	0	0	90	320	1590463776
19.090599	72.879074	0	0	46.3	25	28.8	0	0	90	320	1590463782
19.090595	72.879372	0	0	42.6	23	26.5	0	0	90	320	1590463788
19.088373	72.843002	700	213	313	169	194.5	1984	10.1	269	320	1590463938
19.088379	72.83931	875	267	314.8	170	195.6	2368	12	270	320	1590463944
19.088326	72.832863	1150	351	316.7	171	196.8	2304	11.7	269	320	1590463951
19.088104	72.82209	1500	457	338.9	183	210.6	1152	5.9	268	320	1590463964
19.087999	72.81678	1600	488	355.6	192	220.9	1024	5.2	268	320	1590463970
19.087875	72.810028	1700	518	377.8	204	234.8	832	4.2	269	320	1590463976
19.087767	72.80365	1750	533	394.5	213	245.1	768	3.9	268	320	1590463982
19.087692	72.796684	1850	564	426	230	264.7	1152	5.9	269	320	1590463989
19.089066	72.770645	2450	747	474.1	256	294.6	1984	10.1	277	320	1590464010
19.09112	72.759254	2825	861	487.1	263	302.7	2816	14.3	281	320	1590464020
19.092609	72.750069	3175	968	488.9	264	303.8	3328	16.9	279	320	1590464027
19.093586	72.741577	3575	1090	488.9	264	303.8	3776	19.2	276	320	1590464033
19.094467	72.733757	3925	1196	487.1	263	302.7	3840	19.5	276	320	1590464039
19.095308	72.726494	4250	1295	485.2	262	301.5	3840	19.5	277	320	1590464045
19.097443	72.710655	4925	1501	487.1	263	302.7	2944	15	278	320	1590464058
19.100895	72.686646	5750	1753	494.5	267	307.3	2816	14.3	278	320	1590464076
19.102844	72.672501	6250	1905	496.3	268	308.4	3264	16.6	278	320	1590464088
19.105457	72.654839	6950	2118	492.6	266	306.1	3136	15.9	279	320	1590464100
19.108063	72.637627	7525	2294	498.2	269	309.6	2752	14	278	320	1590464114
19.110346	72.621773	8050	2454	503.7	272	313	2944	15	278	320	1590464126
19.112534	72.606544	8575	2614	503.7	272	313	2816	14.3	278	320	1590464138
19.115112	72.588875	9150	2789	509.3	275	316.5	2624	13.3	278	320	1590464150
19.117048	72.575333	9550	2911	514.9	278	319.9	2560	13	278	320	1590464162
