latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
42.790661	141.681732	0	0	3.7	2	2.3	0	0	358	0	1590463044
42.803421	141.685684	2075	632	294.5	159	183	3200	16.3	352	0	1590463626
42.808601	141.684738	2450	747	294.5	159	183	3520	17.9	351	0	1590463632
42.825638	141.694336	3700	1128	322.2	174	200.2	3328	16.9	56	3356	1590463657
42.827641	141.700348	3975	1212	331.5	179	206	2560	13	71	3356	1590463664
42.82843	141.707748	4200	1280	350	189	217.5	2112	10.7	86	3356	1590463670
42.820286	141.732529	4850	1478	422.3	228	262.4	1984	10.1	136	3356	1590463690
42.815491	141.737366	5075	1547	431.5	233	268.1	2560	13	147	3356	1590463696
42.808456	141.741425	5400	1646	440.8	238	273.9	2688	13.7	162	3356	1590463703
42.802322	141.743164	5650	1722	451.9	244	280.8	2752	14	171	3356	1590463709
42.795456	141.744049	5925	1806	463	250	287.7	2688	13.7	175	3356	1590463716
42.785233	141.744522	6300	1920	488.9	264	303.8	2624	13.3	179	3356	1590463724
42.776806	141.744644	6625	2019	501.9	271	311.9	3072	15.6	179	3356	1590463730
42.769455	141.744858	6975	2126	511.2	276	317.6	3776	19.2	178	3356	1590463737
42.749771	141.74498	8000	2438	524.1	283	325.7	4032	20.5	179	3356	1590463751
42.733932	141.74498	8825	2690	531.5	287	330.3	4224	21.5	180	3356	1590463764
42.717407	141.745102	9700	2957	535.2	289	332.6	4288	21.8	179	3356	1590463777
42.701065	141.745285	10525	3208	538.9	291	334.9	3840	19.5	179	3356	1590463788
42.684219	141.745483	11075	3376	566.7	306	352.1	2176	11.1	179	3356	1590463800
42.666687	141.745728	11575	3528	596.3	322	370.6	2688	13.7	179	3356	1590463812
42.648331	141.74617	12250	3734	620.4	335	385.5	3840	19.5	178	3356	1590463824
42.595623	141.747391	14450	4404	657.5	355	408.5	4032	20.5	179	3356	1590463857
42.538876	141.748474	16725	5098	683.4	369	424.6	3776	19.2	179	3356	1590463891
42.486969	141.749496	18700	5700	701.9	379	436.1	3584	18.2	179	3356	1590463922
42.374454	141.751678	22850	6965	714.9	386	444.2	3712	18.9	179	3356	1590463985
42.263168	141.75322	25925	7902	753.8	407	468.4	2688	13.7	179	3356	1590464046
42.145184	141.755692	28575	8710	792.7	428	492.5	2496	12.7	179	3356	1590464107
42.016205	141.758148	30775	9380	840.8	454	522.5	1920	9.8	179	3356	1590464169
41.892731	141.751923	34700	10577	738.9	399	459.2	4992	25.4	188	3356	1590464231
41.787415	141.722885	36975	11270	687.1	371	426.9	1984	10.1	192	3356	1590464291
41.68103	141.691422	38000	11582	709.3	383	440.7	0	0	192	3356	1590464355
41.575745	141.661896	38000	11582	700.1	378	435	0	0	191	3356	1590464415
41.471016	141.632294	38000	11582	683.4	369	424.6	0	0	192	3356	1590464478
41.368378	141.603333	37975	11575	672.3	363	417.7	0	0	192	3356	1590464540
41.265625	141.574249	38000	11582	657.5	355	408.5	192	1	191	3356	1590464602
41.167446	141.546661	38000	11582	653.8	353	406.2	0	0	192	3356	1590464665
41.069595	141.519318	37975	11575	653.8	353	406.2	0	0	191	3356	1590464726
40.970352	141.491577	38000	11582	659.3	356	409.7	192	1	191	3356	1590464787
40.870724	141.463837	38000	11582	674.1	364	418.9	0	0	191	3356	1590464848
40.768478	141.435608	38000	11582	685.2	370	425.8	64	0.3	191	3356	1590464909
40.663651	141.406555	38000	11582	698.2	377	433.8	0	0	191	3356	1590464971
40.557705	141.377441	38000	11582	701.9	379	436.1	0	0	191	3356	1590465034
40.451893	141.348343	38000	11582	711.2	384	441.9	0	0	191	3356	1590465095
40.345428	141.319199	38000	11582	720.4	389	447.7	64	0.3	191	3356	1590465155
40.23761	141.289795	38000	11582	727.8	393	452.3	0	0	191	3356	1590465216
40.128681	141.260086	38000	11582	733.4	396	455.7	0	0	191	3356	1590465277
40.017654	141.22998	38000	11582	735.2	397	456.9	64	0.3	191	3356	1590465339
39.90723	141.200256	38000	11582	735.2	397	456.9	0	0	191	3356	1590465400
39.797928	141.170731	38000	11582	731.5	395	454.6	64	0.3	191	3356	1590465462
39.690533	141.141968	38000	11582	726	392	451.1	64	0.3	191	3356	1590465522
39.581497	141.112701	38000	11582	726	392	451.1	64	0.3	191	3356	1590465584
39.471176	141.083267	38000	11582	727.8	393	452.3	0	0	191	3356	1590465646
39.36058	141.053818	38000	11582	731.5	395	454.6	64	0.3	191	3356	1590465707
39.2509	141.024811	38000	11582	733.4	396	455.7	0	0	191	3356	1590465768
39.139072	140.9953	38000	11582	735.2	397	456.9	0	0	191	3356	1590465830
39.02916	140.966354	38000	11582	737.1	398	458	0	0	191	3356	1590465892
38.918747	140.937393	38000	11582	737.1	398	458	-64	-0.3	191	3356	1590465953
38.809753	140.90892	38000	11582	727.8	393	452.3	64	0.3	191	3356	1590466014
38.699066	140.879959	38000	11582	722.3	390	448.8	0	0	191	3356	1590466076
38.591713	140.852051	38000	11582	722.3	390	448.8	0	0	191	3356	1590466137
38.484268	140.824097	38000	11582	720.4	389	447.7	64	0.3	191	3356	1590466197
38.376617	140.796402	38000	11582	720.4	389	447.7	0	0	191	3356	1590466258
38.267803	140.768356	38000	11582	724.1	391	450	64	0.3	191	3356	1590466319
38.159054	140.740356	37725	11499	727.8	393	452.3	-1088	-5.5	191	3356	1590466381
38.049751	140.712357	36300	11064	737.1	398	458	-1152	-5.9	191	3356	1590466442
37.938995	140.684204	35200	10729	716.7	387	445.4	-1472	-7.5	191	3356	1590466504
37.830956	140.656769	33525	10218	694.5	375	431.5	-1984	-10.1	191	3356	1590466567
37.729053	140.630737	31850	9708	655.6	354	407.4	-1088	-5.5	191	3356	1590466628
37.633156	140.602188	30225	9213	640.8	346	398.2	-1472	-7.5	193	3356	1590466689
37.539963	140.575562	28900	8809	624.1	337	387.8	-1216	-6.2	192	3356	1590466750
37.446121	140.548615	27825	8481	616.7	333	383.2	-1152	-5.9	193	3356	1590466812
37.354633	140.522598	26650	8123	611.2	330	379.8	-1984	-10.1	192	3356	1590466873
37.263622	140.49675	25025	7628	601.9	325	374	-1600	-8.1	192	3356	1590466934
37.174896	140.471375	23775	7247	594.5	321	369.4	-1024	-5.2	192	3356	1590466995
37.085358	140.44606	22875	6972	583.4	315	362.5	-832	-4.2	192	3356	1590467056
36.999115	140.421631	21975	6698	576	311	357.9	-896	-4.6	192	3356	1590467118
36.914154	140.397385	20375	6210	581.5	314	361.3	-2112	-10.7	193	3356	1590467178
36.821686	140.371796	18825	5738	598.2	323	371.7	-1216	-6.2	192	3356	1590467242
36.729355	140.346909	17525	5342	585.2	316	363.6	-1280	-6.5	189	3356	1590467305
36.681976	140.337128	16700	5090	574.1	310	356.7	-1728	-8.8	189	3356	1590467339
36.640549	140.328888	16175	4930	564.9	305	351	-1152	-5.9	189	3356	1590467367
36.593037	140.319366	15625	4763	577.8	312	359	-1088	-5.5	189	3356	1590467402
36.546021	140.309967	15075	4595	570.4	308	354.4	-1024	-5.2	189	3356	1590467435
36.499561	140.300674	14525	4427	563	304	349.8	-1024	-5.2	188	3356	1590467468
36.453918	140.291687	13975	4260	561.2	303	348.7	-1024	-5.2	189	3356	1590467500
36.408234	140.282425	13425	4092	561.2	303	348.7	-1024	-5.2	189	3356	1590467533
36.362186	140.27327	12875	3924	550	297	341.8	-1088	-5.5	189	3356	1590467567
36.316845	140.264023	12325	3757	557.5	301	346.4	-1024	-5.2	189	3356	1590467600
36.272552	140.255356	11800	3597	550	297	341.8	-960	-4.9	188	3356	1590467632
36.255581	140.251984	11600	3536	540.8	292	336	-960	-4.9	189	3356	1590467644
36.239182	140.249054	11400	3475	544.5	294	338.3	-960	-4.9	187	3356	1590467657
36.223434	140.246658	11200	3414	546.3	295	339.5	-960	-4.9	187	3356	1590467669
36.206726	140.244202	11125	3391	538.9	291	334.9	64	0.3	186	3356	1590467681
36.190659	140.241913	11150	3399	537.1	290	333.7	0	0	186	3356	1590467693
36.174908	140.239548	11150	3399	537.1	290	333.7	0	0	187	3356	1590467705
36.158894	140.237091	11150	3399	537.1	290	333.7	64	0.3	187	3356	1590467717
36.142639	140.234528	11150	3399	537.1	290	333.7	0	0	187	3356	1590467729
36.126617	140.232071	11150	3399	537.1	290	333.7	0	0	187	3356	1590467741
36.110897	140.229614	11175	3406	535.2	289	332.6	64	0.3	187	3356	1590467753
36.094666	140.227081	11150	3399	535.2	289	332.6	-128	-0.7	187	3356	1590467765
36.078735	140.224518	11150	3399	535.2	289	332.6	0	0	187	3356	1590467777
36.062996	140.222076	11150	3399	537.1	290	333.7	64	0.3	187	3356	1590467788
36.046738	140.219543	11150	3399	533.4	288	331.4	-64	-0.3	187	3356	1590467801
36.030872	140.217041	11150	3399	531.5	287	330.3	0	0	187	3356	1590467813
36.014812	140.214539	11150	3399	529.7	286	329.1	-64	-0.3	187	3356	1590467826
35.998985	140.212082	11150	3399	531.5	287	330.3	64	0.3	187	3356	1590467837
35.983624	140.209686	11175	3406	533.4	288	331.4	128	0.7	187	3356	1590467850
35.966858	140.207001	11175	3406	537.1	290	333.7	0	0	187	3356	1590467862
35.95134	140.204544	11100	3383	538.9	291	334.9	-768	-3.9	187	3356	1590467873
35.93507	140.202087	10925	3330	535.2	289	332.6	-1280	-6.5	187	3356	1590467886
35.919193	140.19957	10675	3254	529.7	286	329.1	-1408	-7.2	187	3356	1590467897
35.903461	140.197113	10375	3162	526	284	326.8	-1536	-7.8	186	3356	1590467909
35.887573	140.194763	10150	3094	522.3	282	324.5	-1088	-5.5	187	3356	1590467921
35.871666	140.192261	9950	3033	527.8	285	328	-1024	-5.2	187	3356	1590467933
35.855839	140.189636	9750	2972	535.2	289	332.6	-1088	-5.5	187	3356	1590467946
35.839825	140.187241	9550	2911	537.1	290	333.7	-1024	-5.2	186	3356	1590467957
35.824127	140.18486	9350	2850	535.2	289	332.6	-1088	-5.5	187	3356	1590467969
35.80798	140.182327	9150	2789	531.5	287	330.3	-1088	-5.5	187	3356	1590467981
35.792152	140.179886	8950	2728	529.7	286	329.1	-1024	-5.2	187	3356	1590467994
35.776421	140.177475	8750	2667	526	284	326.8	-960	-4.9	187	3356	1590468005
35.761002	140.175079	8600	2621	526	284	326.8	-768	-3.9	187	3356	1590468018
35.744625	140.172455	8425	2568	520.4	281	323.4	-896	-4.6	187	3356	1590468030
35.729679	140.170181	8275	2522	518.6	280	322.2	-832	-4.2	187	3356	1590468042
35.714272	140.167847	8100	2469	514.9	278	319.9	-832	-4.2	186	3356	1590468053
35.698956	140.165497	7950	2423	513	277	318.8	-832	-4.2	187	3356	1590468065
35.683365	140.162994	7800	2377	514.9	278	319.9	-768	-3.9	187	3356	1590468078
35.667812	140.160599	7650	2332	513	277	318.8	-768	-3.9	187	3356	1590468090
35.652542	140.158203	7475	2278	511.2	276	317.6	-832	-4.2	187	3356	1590468103
35.637321	140.155914	7300	2225	507.4	274	315.3	-832	-4.2	186	3356	1590468114
35.622437	140.153671	7150	2179	507.4	274	315.3	-960	-4.9	187	3356	1590468125
35.60733	140.151276	7000	2134	507.4	274	315.3	-832	-4.2	187	3356	1590468137
35.592087	140.148865	6850	2088	511.2	276	317.6	-960	-4.9	187	3356	1590468149
35.577129	140.146576	6675	2035	507.4	274	315.3	-832	-4.2	186	3356	1590468162
35.561489	140.144348	6525	1989	505.6	273	314.2	-704	-3.6	186	3356	1590468174
35.546406	140.142075	6350	1935	505.6	273	314.2	-704	-3.6	186	3356	1590468186
35.531525	140.139893	6200	1890	509.3	275	316.5	-768	-3.9	187	3356	1590468198
35.516327	140.137421	6050	1844	509.3	275	316.5	-832	-4.2	187	3356	1590468211
35.500969	140.134933	5900	1798	505.6	273	314.2	-896	-4.6	187	3356	1590468222
35.485703	140.132507	5725	1745	501.9	271	311.9	-896	-4.6	187	3356	1590468234
35.470989	140.130203	5575	1699	501.9	271	311.9	-896	-4.6	187	3356	1590468246
35.456047	140.12793	5425	1654	501.9	271	311.9	-832	-4.2	186	3356	1590468258
35.440842	140.125702	5250	1600	498.2	269	309.6	-832	-4.2	187	3356	1590468270
35.426392	140.12355	5100	1554	487.1	263	302.7	-832	-4.2	186	3356	1590468282
35.411449	140.121384	4925	1501	479.7	259	298.1	-832	-4.2	187	3356	1590468295
