latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
33.63755	-84.434586	0	0	55.6	30	34.5	0	0	180	0	1590463200
33.637115	-84.434586	0	0	55.6	30	34.5	0	0	180	1253	1590463208
33.636806	-84.434753	0	0	53.7	29	33.4	0	0	215	1253	1590463215
33.636635	-84.435326	0	0	57.4	31	35.7	0	0	266	1253	1590463223
33.636635	-84.435738	0	0	59.3	32	36.8	0	0	271	1253	1590463229
33.636635	-84.436279	0	0	59.3	32	36.8	0	0	271	1253	1590463236
33.636635	-84.436729	0	0	59.3	32	36.8	0	0	271	1253	1590463242
33.636635	-84.437202	0	0	59.3	32	36.8	0	0	271	1253	1590463248
33.636646	-84.437881	0	0	59.3	32	36.8	0	0	274	1253	1590463256
33.636635	-84.438385	0	0	57.4	31	35.7	0	0	271	1253	1590463263
33.636635	-84.438805	0	0	57.4	31	35.7	0	0	271	1253	1590463269
33.636635	-84.43927	0	0	55.6	30	34.5	0	0	271	1253	1590463275
33.636635	-84.439682	0	0	53.7	29	33.4	0	0	271	1253	1590463282
33.636658	-84.440102	0	0	50	27	31.1	0	0	274	1253	1590463289
33.636948	-84.44046	0	0	50	27	31.1	0	0	330	1253	1590463296
33.637447	-84.440491	0	0	50	27	31.1	0	0	358	1253	1590463306
33.637779	-84.440498	0	0	48.2	26	29.9	0	0	358	1253	1590463312
33.638206	-84.440491	0	0	46.3	25	28.8	0	0	359	1253	1590463321
33.638474	-84.440491	0	0	37	20	23	0	0	2	1253	1590463329
33.638798	-84.440491	0	0	25.9	14	16.1	0	0	354	1253	1590463340
33.638973	-84.440216	0	0	25.9	14	16.1	0	0	87	1253	1590463353
33.638958	-84.439949	0	0	22.2	12	13.8	0	0	83	1253	1590463364
33.638958	-84.439659	0	0	16.7	9	10.4	0	0	79	1253	1590463380
33.638809	-84.440659	0	0	0	0	0	0	0	265	0	1590465846
33.638889	-84.43959	0	0	0	0	0	0	0	84	0	1590465852
33.639114	-84.439613	0	0	0	0	0	0	0	355	0	1590466614
33.638912	-84.439575	0	0	0	0	0	0	0	180	0	1590466649
33.638683	-84.43959	0	0	0	0	0	0	0	180	0	1590470818
33.638973	-84.439613	0	0	0	0	0	0	0	242	0	1590470828
33.638763	-84.439384	0	0	0	0	0	0	0	142	0	1590471275
33.638969	-84.439575	0	0	0	0	0	0	0	299	0	1590471397
33.638752	-84.439247	0	0	0	0	0	0	0	126	0	1590471658
