latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
38.203392	141.176788	13700	4176	792.7	428	492.5	3264	16.6	287	3352	1590463464
38.219311	141.15329	14600	4450	564.9	305	351	2624	13.3	314	3352	1590463485
38.226864	141.143997	14946	4556	538.9	291	334.9	2240	11.4	315	3352	1590463492
38.260731	141.099335	16150	4923	559.3	302	347.5	2560	13	313	3352	1590463529
38.285404	141.068054	17297	5272	594.5	321	369.4	2752	14	310	3352	1590463561
38.329327	141.021439	18554	5655	592.6	320	368.2	2944	15	319	3352	1590463593
38.339676	141.012436	18904	5762	600	324	372.9	2304	11.7	324	3352	1590463604
38.414509	140.953278	21350	6507	601.9	325	374	1600	8.1	331	3352	1590463673
38.520821	140.878281	23000	7010	611.2	330	379.8	0	0	334	3352	1590463745
38.604553	140.862946	23000	7010	655.6	354	407.4	0	0	352	3352	1590463796
38.616634	140.862396	23000	7010	651.9	352	405.1	0	0	356	3352	1590463809
38.666229	140.868286	22999	7010	698.2	377	433.8	0	0	30	3352	1590463829
38.698631	140.871735	22999	7010	692.6	374	430.4	0	0	11	3352	1590463852
38.71925	140.874741	23000	7010	688.9	372	428.1	0	0	5	3352	1590463873
38.834362	140.886536	23000	7010	690.8	373	429.2	0	0	6	3352	1590463937
38.886482	140.889801	23000	7010	672.3	363	417.7	0	0	3	3352	1590463960
38.893406	140.89032	23000	7010	672.3	363	417.7	0	0	3	3352	1590463997
39.089134	140.908218	23000	7010	655.6	354	407.4	0	0	6	3352	1590464088
39.189476	140.921616	23000	7010	663	358	412	0	0	6	3352	1590464161
39.313751	140.938309	23000	7010	663	358	412	0	0	6	3352	1590464230
39.332912	140.941025	23000	7010	663	358	412	0	0	6	3352	1590464237
39.475704	140.959259	23000	7010	657.5	355	408.5	0	0	4	3352	1590464336
39.553413	140.969406	23000	7010	657.5	355	408.5	0	0	4	3352	1590464368
39.679947	140.985291	23000	7010	666.7	360	414.3	0	0	4	3352	1590464465
39.726219	140.991714	23000	7010	666.7	360	414.3	0	0	4	3352	1590464594
40.069332	141.02446	23000	7010	666.7	360	414.3	0	0	266	3352	1590464766
40.216961	141.046875	23000	7010	666.7	360	414.3	0	0	266	3352	1590464818
40.301731	141.042404	23000	7010	666.7	360	414.3	0	0	266	3352	1590464850
40.38501	141.05069	23000	7010	666.7	360	414.3	0	0	266	3352	1590464974
40.555412	141.076935	23000	7010	666.7	360	414.3	0	0	266	3352	1590465030
40.644814	141.084091	23000	7010	666.7	360	414.3	0	0	266	3352	1590465476
