latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-35.162201	147.471329	625	191	168.5	91	104.7	832	4.2	61	0	1590463382
-35.160507	147.475082	750	229	177.8	96	110.5	832	4.2	60	0	1590463390
-35.15881	147.478806	875	267	179.6	97	111.6	1216	6.2	61	0	1590463398
-35.157532	147.481583	1000	305	179.6	97	111.6	1024	5.2	61	0	1590463405
-35.155792	147.485291	1125	343	181.5	98	112.8	1152	5.9	60	0	1590463412
-35.154282	147.488312	1250	381	181.5	98	112.8	1216	6.2	58	0	1590463418
-35.152805	147.491119	1375	419	183.3	99	113.9	1088	5.5	56	0	1590463424
-35.150524	147.494827	1500	457	183.3	99	113.9	1216	6.2	47	3710	1590463432
-35.148384	147.496826	1625	495	179.6	97	111.6	1344	6.8	31	3710	1590463438
-35.145683	147.497986	1750	533	181.5	98	112.8	832	4.2	12	3710	1590463444
-35.142838	147.498123	1825	556	190.8	103	118.5	768	3.9	356	3710	1590463451
-35.140045	147.497391	1900	579	192.6	104	119.7	768	3.9	342	3710	1590463458
-35.13665	147.495697	2000	610	194.5	105	120.8	576	2.9	337	3710	1590463464
-35.134506	147.494476	2025	617	201.9	109	125.4	384	2	335	3710	1590463470
-35.131577	147.492737	2075	632	203.7	110	126.6	704	3.6	332	3710	1590463476
-35.128506	147.490082	2150	655	205.6	111	127.7	512	2.6	317	3710	1590463482
-35.126862	147.487595	2200	671	211.1	114	131.2	320	1.6	302	3710	1590463489
-35.125572	147.484009	2250	686	211.1	114	131.2	704	3.6	288	3710	1590463495
-35.124802	147.479858	2350	716	203.7	110	126.6	960	4.9	279	3710	1590463501
-35.124527	147.476608	2425	739	200	108	124.3	768	3.9	273	3710	1590463507
-35.124222	147.472229	2500	762	203.7	110	126.6	448	2.3	277	3710	1590463513
-35.123749	147.468643	2550	777	198.2	107	123.1	1152	5.9	278	3710	1590463519
-35.123478	147.465027	2675	815	192.6	104	119.7	1024	5.2	273	3710	1590463525
-35.123337	147.461304	2775	846	187.1	101	116.2	960	4.9	272	3710	1590463532
-35.123199	147.457977	2875	876	183.3	99	113.9	768	3.9	272	3710	1590463538
-35.123062	147.454285	2925	892	188.9	102	117.4	512	2.6	271	3710	1590463544
-35.123383	147.450943	2975	907	188.9	102	117.4	832	4.2	257	3710	1590463550
-35.124435	147.447571	3050	930	187.1	101	116.2	640	3.3	244	3710	1590463557
-35.126266	147.443649	3125	953	192.6	104	119.7	512	2.6	238	3710	1590463565
-35.128189	147.440002	3200	975	198.2	107	123.1	512	2.6	237	3710	1590463572
-35.131439	147.433167	3325	1013	211.1	114	131.2	448	2.3	238	3710	1590463584
-35.13327	147.429916	3375	1029	214.8	116	133.5	512	2.6	233	3710	1590463591
-35.137161	147.424301	3450	1052	222.2	120	138.1	448	2.3	227	3710	1590463601
-35.139629	147.421249	3500	1067	225.9	122	140.4	512	2.6	224	3710	1590463607
-35.142105	147.418472	3550	1082	225.9	122	140.4	576	2.9	220	3710	1590463613
-35.144943	147.416061	3600	1097	224.1	121	139.2	576	2.9	210	3710	1590463620
-35.148468	147.414383	3675	1120	218.5	118	135.8	512	2.6	194	3710	1590463626
-35.15126	147.414047	3725	1135	214.8	116	133.5	512	2.6	181	3710	1590463632
-35.154922	147.414886	3775	1151	207.4	112	128.9	576	2.9	160	3710	1590463638
-35.157135	147.416321	3825	1166	200	108	124.3	640	3.3	147	3710	1590463644
-35.159786	147.419296	3900	1189	194.5	105	120.8	512	2.6	130	3710	1590463650
-35.161469	147.422455	3950	1204	194.5	105	120.8	448	2.3	116	3710	1590463658
-35.162338	147.425934	4000	1219	188.9	102	117.4	576	2.9	101	3710	1590463664
-35.162674	147.429657	4075	1242	190.8	103	118.5	320	1.6	94	3710	1590463670
-35.162861	147.433319	4100	1250	194.5	105	120.8	384	2	94	3710	1590463676
-35.163162	147.436752	4150	1265	194.5	105	120.8	576	2.9	95	3710	1590463682
-35.163605	147.44133	4250	1295	188.9	102	117.4	768	3.9	97	3710	1590463690
-35.164444	147.448196	4350	1326	187.1	101	116.2	640	3.3	99	3710	1590463702
-35.164856	147.451324	4425	1349	187.1	101	116.2	448	2.3	99	3710	1590463708
-35.165222	147.455185	4450	1356	187.1	101	116.2	576	2.9	90	3710	1590463714
-35.164764	147.458603	4525	1379	183.3	99	113.9	704	3.6	73	3710	1590463720
-35.163483	147.461853	4600	1402	185.2	100	115.1	448	2.3	58	3710	1590463726
-35.161743	147.464386	4625	1410	190.8	103	118.5	256	1.3	47	3710	1590463732
-35.159462	147.466965	4650	1417	201.9	109	125.4	192	1	42	3710	1590463738
-35.15712	147.469543	4675	1425	207.4	112	128.9	192	1	41	3710	1590463744
-35.154713	147.472168	4700	1433	214.8	116	133.5	256	1.3	42	3710	1590463750
-35.151947	147.475479	4750	1448	216.7	117	134.6	320	1.6	47	3710	1590463758
-35.149796	147.478165	4775	1455	222.2	120	138.1	-128	-0.7	47	3710	1590463764
-35.147266	147.481262	4750	1448	229.6	124	142.7	-192	-1	45	3710	1590463770
-35.142014	147.487473	4750	1448	240.8	130	149.6	64	0.3	42	3710	1590463782
-35.139221	147.490555	4750	1448	244.5	132	151.9	0	0	41	3710	1590463788
-35.136326	147.493515	4750	1448	248.2	134	154.2	-192	-1	39	3710	1590463794
-35.130524	147.49913	4750	1448	248.2	134	154.2	64	0.3	37	3710	1590463807
-35.124847	147.504349	4750	1448	253.7	137	157.7	-64	-0.3	36	3710	1590463817
-35.121872	147.506927	4750	1448	253.7	137	157.7	64	0.3	35	3710	1590463823
-35.118439	147.509842	4750	1448	253.7	137	157.7	0	0	34	3710	1590463830
-35.112076	147.515106	4750	1448	255.6	138	158.8	0	0	34	3710	1590463841
-35.109009	147.517639	4750	1448	251.9	136	156.5	64	0.3	33	3710	1590463848
-35.105576	147.520386	4750	1448	248.2	134	154.2	-64	-0.3	33	3710	1590463854
