latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
36.507042	103.618156	0	0	16.7	9	10.4	0	0	50	0	1590463842
36.506504	103.618858	0	0	50	27	31.1	0	0	101	0	1590464105
36.506275	103.619217	0	0	42.6	23	26.5	0	0	146	0	1590464114
36.506001	103.61927	0	0	46.3	25	28.8	0	0	174	0	1590464120
36.505669	103.619286	0	0	51.9	28	32.2	0	0	177	0	1590464126
36.505322	103.619308	0	0	57.4	31	35.7	0	0	177	0	1590464132
36.50489	103.619339	0	0	27.8	15	17.3	0	0	177	0	1590464138
36.504433	103.61937	0	0	31.5	17	19.6	0	0	177	0	1590464144
36.503666	103.619415	0	0	35.2	19	21.9	0	0	177	0	1590464153
36.502575	103.619484	0	0	40.7	22	25.3	0	0	177	0	1590464164
36.501808	103.619537	0	0	42.6	23	26.5	0	0	177	0	1590464171
36.501122	103.619568	0	0	46.3	25	28.8	0	0	177	0	1590464177
36.499638	103.619675	0	0	46.3	25	28.8	0	0	177	0	1590464189
36.498333	103.619743	0	0	40.7	22	25.3	0	0	177	0	1590464201
36.497761	103.619781	0	0	37	20	23	0	0	177	0	1590464208
36.496758	103.61985	0	0	29.6	16	18.4	0	0	177	0	1590464219
36.496342	103.619873	0	0	27.8	15	17.3	0	0	177	0	1590464225
36.495975	103.619888	0	0	51.9	28	32.2	0	0	177	0	1590464231
36.495743	103.619904	0	0	38.9	21	24.2	0	0	177	0	1590464238
36.495499	103.62011	0	0	35.2	19	21.9	0	0	120	0	1590464246
36.495487	103.620377	0	0	29.6	16	18.4	0	0	101	0	1590464252
36.495499	103.620636	0	0	22.2	12	13.8	0	0	101	0	1590464273
36.49551	103.620903	0	0	29.6	16	18.4	0	0	101	0	1590464283
36.495529	103.621284	0	0	37	20	23	0	0	87	0	1590464291
36.495544	103.621559	0	0	37	20	23	0	0	84	0	1590464297
36.495605	103.621788	0	0	35.2	19	21.9	0	0	70	0	1590464303
36.495827	103.621971	0	0	33.3	18	20.7	0	0	61	0	1590464313
36.496033	103.621964	0	0	3.7	2	2.3	0	0	61	0	1590464324
36.496258	103.621948	0	0	44.4	24	27.6	0	0	354	0	1590464351
36.497047	103.62191	0	0	68.5	37	42.6	0	0	357	0	1590464357
36.498962	103.621788	0	0	125.9	68	78.3	0	0	357	0	1590464364
36.502819	103.621544	0	0	194.5	105	120.8	0	0	357	0	1590464373
36.508141	103.621201	0	0	250	135	155.4	0	0	357	0	1590464383
36.517181	103.62059	6025	1836	322.2	174	200.2	512	2.6	356	0	1590464395
36.527119	103.619659	6575	2004	324.1	175	201.4	3328	16.9	355	0	1590464406
36.536728	103.61853	7100	2164	326	176	202.5	2496	12.7	354	0	1590464418
36.545792	103.617668	7650	2332	322.2	174	200.2	3072	15.6	356	0	1590464429
36.555283	103.616852	8150	2484	322.2	174	200.2	2624	13.3	356	0	1590464441
36.565979	103.616119	8725	2659	318.5	172	197.9	2240	11.4	357	7043	1590464454
36.575546	103.615555	9175	2797	320.4	173	199.1	2176	11.1	357	7043	1590464466
36.585358	103.614868	9425	2873	338.9	183	210.6	768	3.9	356	7043	1590464478
36.596157	103.614044	9575	2918	372.3	201	231.3	832	4.2	356	7043	1590464490
36.608093	103.613144	9775	2979	401.9	217	249.7	1152	5.9	357	7043	1590464502
36.62059	103.612457	10075	3071	422.3	228	262.4	1536	7.8	357	7043	1590464514
36.63382	103.611771	10450	3185	438.9	237	272.7	1920	9.8	357	7043	1590464526
36.647457	103.611008	10775	3284	464.9	251	288.8	1536	7.8	357	7043	1590464539
36.661842	103.610306	11050	3368	487.1	263	302.7	1600	8.1	357	7043	1590464550
36.677078	103.609657	11500	3505	503.7	272	313	2496	12.7	358	7043	1590464562
36.710209	103.618721	12700	3871	518.6	280	322.2	2560	13	29	7043	1590464589
36.716122	103.624161	12975	3955	524.1	283	325.7	2752	14	37	7043	1590464595
36.722122	103.631226	13225	4031	531.5	287	330.3	2112	10.7	44	7043	1590464601
36.7267	103.638725	13450	4100	540.8	292	336	2368	12	54	7043	1590464607
36.730972	103.648643	13775	4199	548.2	296	340.6	2752	14	63	7043	1590464613
36.733887	103.658005	14000	4267	557.5	301	346.4	2432	12.4	69	7043	1590464619
