latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-12.238037	134.136536	23400	7132	372.3	201	231.3	832	4.2	259	0	1590463908
-12.248266	134.081818	23900	7285	387.1	209	240.5	192	1	258	4450	1590463966
-12.273032	133.950134	24000	7315	451.9	244	280.8	0	0	258	4450	1590464090
-12.276896	133.929703	24000	7315	453.7	245	281.9	-64	-0.3	258	4450	1590464106
-12.298031	133.817093	24000	7315	450	243	279.6	64	0.3	259	4450	1590464206
-12.306828	133.770157	24000	7315	450	243	279.6	0	0	259	4450	1590464248
-12.325589	133.669785	24000	7315	448.2	242	278.5	0	0	259	4450	1590464338
-12.336456	133.611603	24000	7315	446.3	241	277.3	0	0	259	4450	1590464388
-12.355362	133.510025	24000	7315	446.3	241	277.3	0	0	259	4450	1590464480
-12.363602	133.465652	24000	7315	446.3	241	277.3	0	0	259	4450	1590464519
-12.381685	133.36824	24000	7315	448.2	242	278.5	0	0	259	4450	1590464605
-12.394409	133.299347	24000	7315	450	243	279.6	0	0	259	4450	1590464666
-12.407056	133.230957	24000	7315	448.2	242	278.5	0	0	259	4450	1590464726
-12.419905	133.161621	24000	7315	446.3	241	277.3	0	0	259	4450	1590464788
-12.430069	133.106522	24000	7315	446.3	241	277.3	0	0	259	4450	1590464837
-12.44838	133.006973	24000	7315	448.2	242	278.5	0	0	259	4450	1590464925
-12.460968	132.938599	24000	7315	446.3	241	277.3	0	0	259	4450	1590464987
-12.473511	132.869934	24000	7315	444.5	240	276.2	0	0	259	4450	1590465047
-12.481307	132.827789	24000	7315	442.6	239	275	0	0	258	4450	1590465085
-12.499322	132.729538	24000	7315	442.6	239	275	0	0	258	4450	1590465174
-12.512054	132.659668	24000	7315	440.8	238	273.9	0	0	259	4450	1590465237
-12.524926	132.589127	24000	7315	440.8	238	273.9	0	0	260	4450	1590465301
-12.537094	132.521973	24000	7315	440.8	238	273.9	0	0	260	4450	1590465362
-12.549408	132.454727	24000	7315	438.9	237	272.7	0	0	259	4450	1590465422
-12.56163	132.387527	24000	7315	438.9	237	272.7	0	0	260	4450	1590465483
-12.574402	132.316879	24000	7315	438.9	237	272.7	0	0	260	4450	1590465547
-12.579254	132.236221	24000	7315	437.1	236	271.6	64	0.3	285	4450	1590465620
-12.577515	132.229782	24000	7315	437.1	236	271.6	0	0	284	4450	1590465627
-12.560818	132.160324	24000	7315	437.1	236	271.6	0	0	283	4450	1590465690
-12.543732	132.09108	24000	7315	435.2	235	270.4	0	0	283	4450	1590465754
-12.527664	132.025269	24000	7315	435.2	235	270.4	0	0	283	4450	1590465814
-12.511505	131.959396	24000	7315	435.2	235	270.4	0	0	283	4450	1590465875
-12.494434	131.890442	23000	7010	481.5	260	299.2	-1664	-8.5	283	4450	1590465936
-12.475388	131.811874	21400	6523	505.6	273	314.2	-1664	-8.5	283	4450	1590466000
-12.460404	131.743225	19900	6066	492.6	266	306.1	-1792	-9.1	274	4450	1590466054
-12.4598	131.735657	19600	5974	492.6	266	306.1	-1664	-8.5	274	4450	1590466061
-12.45305	131.659576	18100	5517	488.9	264	303.8	-1536	-7.8	274	4450	1590466122
-12.446346	131.584991	16600	5060	476	257	295.8	-1792	-9.1	274	4450	1590466182
-12.442749	131.544617	15600	4755	470.4	254	292.3	-1408	-7.2	274	4450	1590466216
-12.439224	131.505112	14900	4542	463	250	287.7	-1664	-8.5	275	4450	1590466248
-12.435872	131.468903	14100	4298	463	250	287.7	-1408	-7.2	275	4450	1590466279
-12.432312	131.429581	13400	4084	461.1	249	286.5	-1600	-8.1	275	4450	1590466312
-12.428796	131.390701	12500	3810	464.9	251	288.8	-1536	-7.8	275	4450	1590466346
-12.425491	131.354904	11600	3536	464.9	251	288.8	-1792	-9.1	275	4450	1590466375
-12.424164	131.340179	11400	3475	464.9	251	288.8	-1728	-8.8	275	4450	1590466388
-12.422791	131.325272	11100	3383	463	250	287.7	-1600	-8.1	275	4450	1590466400
-12.421509	131.311295	10900	3322	463	250	287.7	-1792	-9.1	275	4450	1590466413
-12.420135	131.29657	10400	3170	463	250	287.7	-1664	-8.5	275	4450	1590466425
-12.418854	131.28241	10100	3078	461.1	249	286.5	-1408	-7.2	275	4450	1590466437
-12.417577	131.2686	9900	3018	459.3	248	285.4	-1600	-8.1	275	4450	1590466449
-12.416273	131.254089	9400	2865	455.6	246	283.1	-1664	-8.5	275	4450	1590466461
-12.414963	131.239929	9200	2804	455.6	246	283.1	-1536	-7.8	275	4450	1590466474
-12.413681	131.225952	8900	2713	455.6	246	283.1	-1792	-9.1	275	4450	1590466486
-12.412399	131.211517	8500	2591	457.4	247	284.2	-1728	-8.8	275	4450	1590466498
-12.411153	131.197815	8100	2469	455.6	246	283.1	-1600	-8.1	275	4450	1590466509
-12.409849	131.183365	7900	2408	455.6	246	283.1	-1728	-8.8	275	4450	1590466522
-12.408545	131.169388	7600	2316	457.4	247	284.2	-1600	-8.1	275	4450	1590466534
