latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
53.25	-60.533333	4200	1280	314.8	170	195.6	0	0	231	0	1590464246
53.216667	-60.616665	5800	1768	314.8	170	195.6	0	0	237	0	1590464307
53.183334	-60.672188	7600	2316	333.4	180	207.1	1536	7.8	222	0	1590464367
53.166454	-60.682621	8400	2560	333.4	180	207.1	1664	8.5	180	0	1590464397
53.14941	-60.73098	9100	2774	333.4	180	207.1	1664	8.5	252	0	1590464428
53.132847	-60.749962	10000	3048	333.4	180	207.1	1536	7.8	149	0	1590464458
53.115963	-60.795746	10500	3200	351.9	190	218.6	1600	8.1	252	0	1590464489
53.099525	-60.817234	11500	3505	351.9	190	218.6	1408	7.2	149	0	1590464518
53.082714	-60.868599	12000	3658	351.9	190	218.6	1536	7.8	255	0	1590464551
53.06078	-60.919361	13000	3962	351.9	190	218.6	1408	7.2	252	0	1590464580
53.021614	-61.012562	14300	4359	370.4	200	230.2	1536	7.8	248	0	1590464642
52.984516	-61.104862	15200	4633	370.4	200	230.2	1408	7.2	271	0	1590464701
52.948772	-61.179024	16500	5029	388.9	210	241.7	1280	6.5	248	0	1590464764
52.906998	-61.254547	17600	5364	388.9	210	241.7	1216	6.2	252	0	1590464824
52.868294	-61.333149	18700	5700	407.4	220	253.2	1152	5.9	248	0	1590464886
52.843613	-61.362949	19400	5913	407.4	220	253.2	1152	5.9	197	0	1590464912
52.825912	-61.409	19900	6066	407.4	220	253.2	1152	5.9	271	0	1590464945
52.804028	-61.437901	20400	6218	407.4	220	253.2	1152	5.9	180	0	1590464974
52.583241	-61.937469	25000	7620	444.5	240	276.2	0	0	237	0	1590465313
52.491135	-62.104492	26300	8016	463	250	287.7	0	0	223	0	1590465432
52.44112	-62.18861	26900	8199	463	250	287.7	0	0	226	0	1590465494
52.420113	-62.222782	27400	8352	463	250	287.7	0	0	231	0	1590465522
52.371353	-62.299969	27800	8473	463	250	287.7	0	0	220	0	1590465584
52.321526	-62.383366	28000	8534	463	250	287.7	0	0	231	0	1590465644
52.278545	-62.47456	28000	8534	481.5	260	299.2	0	0	242	0	1590465704
52.25272	-62.538445	28000	8534	518.6	280	322.2	0	0	237	0	1590465736
52.203884	-62.645943	28100	8565	537.1	290	333.7	0	0	231	0	1590465797
52.153778	-62.761612	28100	8565	537.1	290	333.7	0	0	236	0	1590465858
52.103527	-62.87244	28000	8534	555.6	300	345.2	0	0	231	0	1590465919
52.045048	-62.987576	28100	8565	555.6	300	345.2	0	0	228	0	1590465981
51.989388	-63.09639	28100	8565	555.6	300	345.2	0	0	231	0	1590466041
51.935535	-63.201614	28100	8565	555.6	300	345.2	0	0	231	0	1590466101
51.874954	-63.31287	28100	8565	555.6	300	345.2	0	0	228	0	1590466162
51.818111	-63.411678	28000	8534	555.6	300	345.2	0	0	226	0	1590466224
51.788357	-63.450958	28000	8534	555.6	300	345.2	0	0	212	0	1590466252
51.679283	-63.633396	28000	8534	555.6	300	345.2	0	0	229	0	1590466375
51.629112	-63.722073	28000	8534	555.6	300	345.2	0	0	232	0	1590466435
51.578842	-63.832104	28000	8534	555.6	300	345.2	0	0	239	0	1590466496
51.558067	-63.894455	28000	8534	574.1	310	356.7	0	0	249	0	1590466528
51.51178	-64.003464	28000	8534	574.1	310	356.7	0	0	232	0	1590466588
51.485649	-64.059692	28000	8534	574.1	310	356.7	0	0	224	0	1590466618
51.456944	-64.119751	28000	8534	574.1	310	356.7	0	0	232	0	1590466650
51.401199	-64.241791	28000	8534	574.1	310	356.7	0	0	236	0	1590466710
51.347961	-64.363167	28000	8534	574.1	310	356.7	0	0	236	0	1590466772
51.312241	-64.440742	28000	8534	574.1	310	356.7	0	0	232	0	1590466802
51.253094	-64.565369	28000	8534	574.1	310	356.7	0	0	232	0	1590466862
51.198139	-64.65403	28000	8534	574.1	310	356.7	0	0	232	0	1590466923
51.153831	-64.728851	28000	8534	574.1	310	356.7	0	0	213	0	1590466982
51.048729	-64.911995	28000	8534	574.1	310	356.7	0	0	230	0	1590467104
51.01128	-64.99485	28000	8534	574.1	310	356.7	0	0	240	0	1590467134
50.981899	-65.070541	28000	8534	574.1	310	356.7	0	0	249	0	1590467166
50.869267	-65.304802	28000	8534	574.1	310	356.7	0	0	230	0	1590467289
50.845081	-65.349503	28000	8534	574.1	310	356.7	0	0	213	0	1590467318
50.787136	-65.455734	28000	8534	574.1	310	356.7	0	0	228	0	1590467376
50.730812	-65.560928	28000	8534	574.1	310	356.7	0	0	232	0	1590467438
50.700882	-65.623833	28000	8534	574.1	310	356.7	0	0	238	0	1590467471
50.648006	-65.731781	28000	8534	574.1	310	356.7	0	0	232	0	1590467531
50.619095	-65.778732	28000	8534	574.1	310	356.7	0	0	213	0	1590467560
50.564568	-65.870316	28000	8534	574.1	310	356.7	0	0	227	0	1590467622
50.513523	-65.968018	28000	8534	574.1	310	356.7	0	0	237	0	1590467682
50.478107	-66.038506	28000	8534	574.1	310	356.7	0	0	232	0	1590467715
50.451115	-66.086525	28000	8534	574.1	310	356.7	0	0	213	0	1590467742
50.396404	-66.189354	28000	8534	574.1	310	356.7	0	0	232	0	1590467803
50.336777	-66.297462	28000	8534	574.1	310	356.7	0	0	229	0	1590467865
50.305054	-66.36335	28000	8534	574.1	310	356.7	0	0	238	0	1590467898
50.250027	-66.474503	28000	8534	574.1	310	356.7	0	0	233	0	1590467956
50.19635	-66.583992	28000	8534	574.1	310	356.7	0	0	233	0	1590468017
50.145004	-66.673103	28000	8534	629.7	340	391.3	0	0	221	0	1590468078
50.117615	-66.727638	28000	8534	611.2	330	379.8	0	0	239	0	1590468109
50.065094	-66.846283	28000	8534	592.6	320	368.2	0	0	240	0	1590468169
49.942833	-67.075844	28600	8717	592.6	320	368.2	0	0	227	0	1590468290
49.91531	-67.117523	28800	8778	592.6	320	368.2	0	0	213	0	1590468321
49.862045	-67.206604	29100	8870	574.1	310	356.7	0	0	228	0	1590468382
49.834408	-67.259941	29200	8900	574.1	310	356.7	0	0	239	0	1590468412
49.80991	-67.307632	29300	8931	574.1	310	356.7	0	0	233	0	1590468443
49.768894	-67.377342	28600	8717	574.1	310	356.7	0	0	233	0	1590468475
49.706367	-67.488457	28200	8595	574.1	310	356.7	0	0	233	0	1590468536
49.651863	-67.591621	28100	8565	574.1	310	356.7	0	0	233	0	1590468597
49.598343	-67.688438	28100	8565	574.1	310	356.7	0	0	228	0	1590468656
49.575806	-67.723602	28100	8565	574.1	310	356.7	0	0	213	0	1590468686
49.445953	-67.96888	28100	8565	592.6	320	368.2	0	0	243	0	1590468808
49.384533	-68.090393	28100	8565	592.6	320	368.2	0	0	233	0	1590468868
