latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
50.113426	14.277673	0	0	0	0	0	0	0	340	0	1590464148
50.113632	14.277511	0	0	18.5	10	11.5	0	0	151	1000	1590464231
50.113846	14.277346	0	0	18.5	10	11.5	0	0	157	1000	1590464251
50.114067	14.277185	0	0	18.5	10	11.5	0	0	191	1000	1590464270
50.114147	14.276937	0	0	33.3	18	20.7	0	0	244	1000	1590464482
50.114056	14.276659	0	0	42.6	23	26.5	0	0	241	1000	1590464488
50.113937	14.27627	0	0	48.2	26	29.9	0	0	244	1000	1590464494
50.113792	14.27583	0	0	53.7	29	33.4	0	0	244	1000	1590464500
50.113552	14.275007	0	0	63	34	39.1	0	0	244	1000	1590464508
50.11338	14.274432	0	0	27.8	15	17.3	0	0	244	1000	1590464514
50.113186	14.273788	0	0	29.6	16	18.4	0	0	244	1000	1590464520
50.112991	14.273102	0	0	31.5	17	19.6	0	0	244	1000	1590464527
50.112556	14.271656	0	0	33.3	18	20.7	0	0	244	1000	1590464539
50.112122	14.270238	0	0	33.3	18	20.7	0	0	244	1000	1590464551
50.111755	14.268982	0	0	27.8	15	17.3	0	0	244	1000	1590464562
50.111561	14.268349	0	0	29.6	16	18.4	0	0	244	1000	1590464568
50.111378	14.267733	0	0	29.6	16	18.4	0	0	244	1000	1590464574
50.111179	14.267065	0	0	27.8	15	17.3	0	0	244	1000	1590464580
50.111	14.266452	0	0	27.8	15	17.3	0	0	244	1000	1590464586
50.110821	14.265877	0	0	61.1	33	38	0	0	244	1000	1590464592
50.110634	14.265368	0	0	55.6	30	34.5	0	0	236	1000	1590464599
50.110348	14.264988	0	0	61.1	33	38	0	0	216	1000	1590464605
50.109844	14.264446	0	0	63	34	39.1	0	0	213	1000	1590464614
50.109505	14.264095	0	0	63	34	39.1	0	0	213	1000	1590464620
50.109016	14.263576	0	0	61.1	33	38	0	0	213	1000	1590464629
50.108574	14.263109	0	0	50	27	31.1	0	0	213	1000	1590464638
50.108368	14.262766	0	0	44.4	24	27.6	0	0	236	1000	1590464644
50.108364	14.262406	0	0	46.3	25	28.8	0	0	272	1000	1590464650
50.108631	14.261794	0	0	51.9	28	32.2	0	0	306	1000	1590464659
50.108837	14.261193	0	0	46.3	25	28.8	0	0	284	1000	1590464667
50.10862	14.260644	0	0	48.2	26	29.9	0	0	225	1000	1590464676
50.108368	14.260363	0	0	50	27	31.1	0	0	216	1000	1590464683
50.107967	14.259929	0	0	59.3	32	36.8	0	0	213	1000	1590464691
50.10759	14.259531	0	0	29.6	16	18.4	0	0	213	1000	1590464697
50.107212	14.259122	0	0	27.8	15	17.3	0	0	213	1000	1590464704
50.106846	14.258736	0	0	63	34	39.1	0	0	213	1000	1590464710
50.106503	14.258361	0	0	57.4	31	35.7	0	0	213	1000	1590464717
50.106186	14.258045	0	0	51.9	28	32.2	0	0	213	1000	1590464723
50.105896	14.258008	0	0	46.3	25	28.8	0	0	174	1000	1590464729
50.10564	14.258398	0	0	50	27	31.1	0	0	129	1000	1590464737
50.105427	14.258881	0	0	27.8	15	17.3	0	0	123	1000	1590464743
50.105118	14.259549	0	0	37	20	23	0	0	126	1000	1590464750
50.104546	14.260736	0	0	46.3	25	28.8	0	0	126	1000	1590464757
50.104088	14.261682	0	0	48.2	26	29.9	0	0	126	1000	1590464764
50.103642	14.262603	0	0	50	27	31.1	0	0	126	1000	1590464770
50.102718	14.264523	0	0	50	27	31.1	0	0	126	1000	1590464782
50.102242	14.265506	0	0	48.2	26	29.9	0	0	126	1000	1590464789
50.10117	14.267716	0	0	46.3	25	28.8	0	0	126	1000	1590464802
50.100735	14.26862	0	0	48.2	26	29.9	0	0	126	1000	1590464810
50.100174	14.269794	0	0	50	27	31.1	0	0	126	1000	1590464817
50.099052	14.272131	0	0	55.6	30	34.5	0	0	126	1000	1590464831
50.09853	14.273151	0	0	55.6	30	34.5	0	0	132	1000	1590464837
50.097923	14.274098	0	0	57.4	31	35.7	0	0	137	1000	1590464843
50.097301	14.275053	0	0	57.4	31	35.7	0	0	135	1000	1590464849
50.09634	14.276517	0	0	57.4	31	35.7	0	0	135	1000	1590464858
50.095131	14.278385	0	0	55.6	30	34.5	0	0	135	1000	1590464870
50.094002	14.280092	0	0	46.3	25	28.8	0	0	135	1000	1590464880
50.093491	14.280871	0	0	40.7	22	25.3	0	0	135	1000	1590464887
50.092709	14.28206	0	0	27.8	15	17.3	0	0	135	1000	1590464900
50.092243	14.282715	0	0	42.6	23	26.5	0	0	143	1000	1590464911
50.092026	14.282877	0	0	40.7	22	25.3	0	0	160	1000	1590464918
50.091778	14.282876	0	0	35.2	19	21.9	0	0	182	1000	1590464924
50.091557	14.282727	0	0	31.5	17	19.6	0	0	205	1000	1590464932
50.091335	14.282486	0	0	35.2	19	21.9	0	0	213	1000	1590464941
50.091099	14.282208	0	0	53.7	29	33.4	0	0	219	1000	1590464947
50.090858	14.281707	0	0	63	34	39.1	0	0	239	1000	1590464953
50.090778	14.281132	0	0	51.9	28	32.2	0	0	267	1000	1590464960
50.090881	14.280816	0	0	38.9	21	24.2	0	0	298	1000	1590464966
50.091019	14.280546	0	0	48.2	26	29.9	0	0	306	1000	1590465001
50.091557	14.279425	0	0	85.2	46	52.9	0	0	306	1000	1590465007
50.092731	14.276993	0	0	148.2	80	92.1	0	0	306	1000	1590465013
50.095886	14.270498	750	229	242.6	131	150.8	64	0.3	306	1000	1590465023
50.099148	14.263966	850	259	288.9	156	179.5	1984	10.1	307	1000	1590465032
50.10231	14.257507	1200	366	285.2	154	177.2	3584	18.2	307	1000	1590465038
50.104641	14.25246	1575	480	277.8	150	172.6	3968	20.2	305	1000	1590465044
50.107105	14.247041	1975	602	272.2	147	169.2	3648	18.5	305	1000	1590465050
50.109528	14.241622	2350	716	272.2	147	169.2	3392	17.2	305	1000	1590465057
50.111809	14.236649	2650	808	270.4	146	168	3008	15.3	305	1000	1590465063
50.116371	14.226701	3050	930	266.7	144	165.7	1664	8.5	305	1000	1590465074
50.118698	14.221653	3225	983	268.5	145	166.9	1600	8.1	305	1000	1590465080
50.121304	14.21616	3400	1036	270.4	146	168	1536	7.8	306	1000	1590465087
50.123585	14.211261	3525	1074	274.1	148	170.3	1536	7.8	306	1000	1590465093
50.128567	14.200794	3875	1181	277.8	150	172.6	1792	9.1	306	1000	1590465104
50.131027	14.195637	4075	1242	281.5	152	174.9	2240	11.4	306	1000	1590465110
50.133591	14.190361	4300	1311	288.9	156	179.5	2432	12.4	306	1000	1590465116
50.136703	14.183928	4600	1402	294.5	159	183	2496	12.7	307	1000	1590465124
50.139412	14.178376	4825	1471	303.7	164	188.7	2048	10.4	307	1000	1590465130
