latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-37.006084	174.793732	0	0	0	0	0	0	0	270	0	1590464206
-37.006062	174.794144	0	0	18.5	10	11.5	0	0	205	5620	1590464338
-37.005833	174.794113	0	0	16.7	9	10.4	0	0	160	5620	1590464355
-37.006165	174.79425	0	0	57.4	31	35.7	0	0	160	5620	1590464470
-37.007835	174.791367	0	0	29.6	16	18.4	0	0	250	5620	1590464520
-37.0084	174.789307	0	0	31.5	17	19.6	0	0	250	5620	1590464544
-37.008701	174.788193	0	0	33.3	18	20.7	0	0	250	5620	1590464555
-37.009254	174.786224	0	0	38.9	21	24.2	0	0	250	5620	1590464572
-37.009941	174.7836	0	0	35.2	19	21.9	0	0	258	5620	1590464596
-37.010193	174.782349	0	0	35.2	19	21.9	0	0	250	5620	1590464606
-37.010376	174.781662	0	0	37	20	23	0	0	250	5620	1590464612
-37.010555	174.781036	0	0	37	20	23	0	0	250	5620	1590464619
-37.010777	174.780243	0	0	37	20	23	0	0	250	5620	1590464625
-37.01096	174.779572	0	0	35.2	19	21.9	0	0	250	5620	1590464631
-37.011124	174.778976	0	0	31.5	17	19.6	0	0	250	5620	1590464638
-37.011269	174.778473	0	0	27.8	15	17.3	0	0	250	5620	1590464644
-37.011475	174.77771	0	0	53.7	29	33.4	0	0	250	5620	1590464654
-37.011715	174.777374	0	0	42.6	23	26.5	0	0	208	5620	1590464660
-37.011967	174.777359	0	0	37	20	23	0	0	168	5620	1590464667
-37.012173	174.777451	0	0	37	20	23	0	0	160	5620	1590464673
-37.012436	174.777557	0	0	25.9	14	16.1	0	0	160	5620	1590464683
-37.012638	174.777664	0	0	20.4	11	12.7	0	0	160	5620	1590464694
-37.012928	174.777786	0	0	25.9	14	16.1	0	0	160	5620	1590464716
-37.013138	174.777863	0	0	18.5	10	11.5	0	0	160	5620	1590464728
-37.013374	174.777969	0	0	0	0	0	0	0	163	5620	1590464784
-37.013767	174.778137	0	0	53.7	29	33.4	0	0	157	5620	1590464791
-37.01405	174.77829	0	0	46.3	25	28.8	0	0	146	5620	1590464797
-37.014187	174.778503	0	0	29.6	16	18.4	0	0	112	5620	1590464803
-37.01395	174.779388	0	0	70.4	38	43.7	0	0	67	5620	1590464858
-37.013008	174.782791	0	0	159.3	86	99	0	0	67	5620	1590464868
-37.011566	174.788162	0	0	224.1	121	139.2	320	1.6	71	5620	1590464877
-37.009277	174.796631	175	53	242.6	131	150.8	1664	8.5	71	5620	1590464888
-37.008087	174.800888	325	99	253.7	137	157.7	1536	7.8	71	5620	1590464894
-37.006805	174.805801	475	145	261.1	141	162.3	1600	8.1	71	5620	1590464901
-37.005569	174.81311	750	229	270.4	146	168	1600	8.1	85	5620	1590464909
-37.010983	174.829254	1325	404	288.9	156	179.5	1600	8.1	127	5620	1590464930
-37.014267	174.834091	1500	457	296.3	160	184.1	1408	7.2	131	5620	1590464936
-37.01889	174.839874	1675	511	307.4	166	191	1152	5.9	135	5620	1590464945
-37.022598	174.844147	1825	556	314.8	170	195.6	1280	6.5	138	5620	1590464952
-37.028229	174.84993	2000	610	327.8	177	203.7	1280	6.5	141	5620	1590464960
-37.032257	174.853897	2125	648	333.4	180	207.1	1152	5.9	141	5620	1590464966
-37.036011	174.857529	2225	678	335.2	181	208.3	1472	7.5	142	5620	1590464972
-37.040916	174.862106	2450	747	335.2	181	208.3	1920	9.8	143	5620	1590464980
-37.045433	174.866043	2650	808	331.5	179	206	1856	9.4	145	5620	1590464987
-37.053497	174.872772	3000	914	327.8	177	203.7	2048	10.4	146	5620	1590464998
-37.057304	174.87529	3200	975	324.1	175	201.4	2048	10.4	154	5620	1590465004
-37.062798	174.877747	3425	1044	320.4	173	199.1	1856	9.4	164	5620	1590465010
-37.067314	174.878754	3575	1090	322.2	174	200.2	1600	8.1	172	5620	1590465016
-37.072575	174.87912	3750	1143	324.1	175	201.4	1664	8.5	179	5620	1590465022
-37.088379	174.877396	4275	1303	329.7	178	204.8	1536	7.8	179	5620	1590465042
-37.094559	174.878265	4475	1364	326	176	202.5	1728	8.8	170	5620	1590465050
-37.100643	174.880249	4675	1425	327.8	177	203.7	1472	7.5	163	5620	1590465057
-37.10516	174.882156	4825	1471	327.8	177	203.7	1600	8.1	160	5620	1590465063
-37.109528	174.884338	5000	1524	329.7	178	204.8	1664	8.5	157	5620	1590465069
-37.119034	174.889389	5325	1623	329.7	178	204.8	1728	8.8	156	5620	1590465082
-37.127243	174.893982	5650	1722	329.7	178	204.8	1920	9.8	155	5620	1590465092
-37.13607	174.89888	5950	1814	327.8	177	203.7	1408	7.2	157	5620	1590465104
-37.14537	174.903748	6250	1905	327.8	177	203.7	1152	5.9	157	5620	1590465116
-37.154434	174.908249	6525	1989	327.8	177	203.7	1024	5.2	158	5620	1590465128
-37.164047	174.91304	6750	2057	335.2	181	208.3	1280	6.5	158	5620	1590465140
-37.172424	174.917068	7000	2134	337.1	182	209.4	1664	8.5	159	5620	1590465151
-37.181271	174.921326	7350	2240	333.4	180	207.1	1664	8.5	158	5620	1590465163
-37.190094	174.925659	7575	2309	337.1	182	209.4	1216	6.2	158	5620	1590465174
