latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
37.357361	-121.924034	0	0	122.2	66	76	0	0	317	4234	1590464256
37.358917	-121.925743	0	0	185.2	100	115.1	0	0	317	4234	1590464262
37.36264	-121.929855	150	46	259.3	140	161.1	1088	5.5	318	4234	1590464269
37.365433	-121.932961	400	122	274.1	148	170.3	2624	13.3	318	4234	1590464276
37.36874	-121.936661	675	206	290.8	157	180.7	2880	14.6	318	4234	1590464282
37.371624	-121.93988	950	290	300	162	186.4	3200	16.3	318	4234	1590464288
37.375488	-121.944153	1375	419	309.3	167	192.2	3712	18.9	319	4234	1590464294
37.37915	-121.948006	1700	518	326	176	202.5	3264	16.6	319	4234	1590464300
37.383316	-121.952332	2075	632	340.8	184	211.7	3456	17.6	321	4234	1590464307
37.391006	-121.959869	2775	846	359.3	194	223.3	4096	20.8	322	4234	1590464318
37.395355	-121.964081	3225	983	366.7	198	227.9	4288	21.8	322	4234	1590464324
37.39975	-121.968346	3650	1113	376	203	233.6	4096	20.8	322	4234	1590464330
37.405106	-121.973137	4025	1227	390.8	211	242.8	3520	17.9	327	4234	1590464336
37.410645	-121.9767	4350	1326	407.4	220	253.2	2816	14.3	337	4234	1590464342
37.416874	-121.978874	4575	1394	411.1	222	255.5	1984	10.1	349	4234	1590464349
37.423737	-121.979218	4750	1448	411.1	222	255.5	1216	6.2	3	4234	1590464355
37.42923	-121.977928	4800	1463	411.1	222	255.5	448	2.3	15	4234	1590464361
37.435074	-121.974815	4800	1463	414.8	224	257.8	-64	-0.3	28	4234	1590464367
37.440662	-121.969498	4800	1463	413	223	256.6	256	1.3	43	4234	1590464374
37.444702	-121.963142	4850	1478	413	223	256.6	576	2.9	57	4234	1590464380
37.447456	-121.954933	5000	1524	411.1	222	255.5	1536	7.8	74	4234	1590464387
37.448273	-121.946609	5300	1615	414.8	224	257.8	3072	15.6	89	4234	1590464393
37.440151	-121.923943	6750	2057	403.7	218	250.9	4736	24.1	133	4234	1590464413
37.436237	-121.919228	7200	2195	400	216	248.6	4928	25	136	4234	1590464419
37.424229	-121.90519	8450	2576	401.9	217	249.7	4160	21.1	137	4234	1590464435
37.416409	-121.896233	9100	2774	409.3	221	254.3	3840	19.5	137	4234	1590464445
37.406982	-121.885483	9925	3025	416.7	225	258.9	3840	19.5	137	4234	1590464458
37.396717	-121.873489	10775	3284	422.3	228	262.4	3904	19.8	140	4234	1590464470
37.39085	-121.869125	11150	3399	431.5	233	268.1	3392	17.2	156	4234	1590464477
37.384285	-121.867096	11475	3498	438.9	237	272.7	2944	15	173	4234	1590464484
37.376221	-121.867775	11800	3597	451.9	244	280.8	2688	13.7	192	4234	1590464491
37.368553	-121.871994	12100	3688	466.7	252	290	2304	11.7	212	4234	1590464498
37.362873	-121.878265	12375	3772	476	257	295.8	2560	13	228	4234	1590464504
37.3591	-121.885246	12625	3848	481.5	260	299.2	2816	14.3	240	4234	1590464510
37.356541	-121.893791	12925	3940	488.9	264	303.8	3072	15.6	253	4234	1590464516
37.355576	-121.90313	13250	4039	494.5	267	307.3	3136	15.9	268	4234	1590464522
37.365292	-121.933556	14225	4336	524.1	283	325.7	2304	11.7	312	4234	1590464543
37.37265	-121.940994	14475	4412	537.1	290	333.7	2112	10.7	326	4234	1590464550
37.378559	-121.944839	14625	4458	550	297	341.8	1728	8.8	336	4234	1590464556
37.389362	-121.948723	14800	4511	570.4	308	354.4	1216	6.2	349	4234	1590464562
37.398018	-121.949974	14950	4557	587.1	317	364.8	1408	7.2	354	4234	1590464568
