latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-34.256207	146.054565	0	0	38.9	21	24.2	0	0	244	0	1590464264
-34.256699	146.053238	0	0	29.6	16	18.4	0	0	244	0	1590464278
-34.257107	146.052368	0	0	40.7	22	25.3	0	0	227	0	1590464292
-34.257088	146.051956	0	0	24.1	13	15	0	0	36	0	1590464314
-34.256996	146.052338	0	0	31.5	17	19.6	0	0	70	0	1590464442
-34.256046	146.054886	0	0	137	74	85.2	0	0	67	0	1590464452
-34.252159	146.065231	375	114	227.8	123	141.5	1344	6.8	65	0	1590464472
-34.250576	146.069183	500	152	237.1	128	147.3	1088	5.5	64	0	1590464478
-34.24855	146.07428	675	206	250	135	155.4	1792	9.1	64	0	1590464485
-34.246994	146.078201	900	274	248.2	134	154.2	2560	13	61	0	1590464492
-34.244061	146.081482	1175	358	248.2	134	154.2	2496	12.7	33	0	1590464498
-34.240383	146.082794	1325	404	263	142	163.4	1344	6.8	10	0	1590464504
-34.236145	146.08223	1500	457	283.4	153	176.1	1792	9.1	343	0	1590464510
-34.232712	146.079987	1675	511	287.1	155	178.4	2304	11.7	328	0	1590464516
-34.229828	146.076019	1925	587	294.5	159	183	2304	11.7	307	0	1590464522
-34.22823	146.070496	2150	655	300	162	186.4	2048	10.4	283	0	1590464528
-34.228325	146.064667	2350	716	307.4	166	191	1728	8.8	260	0	1590464534
-34.230057	146.059418	2525	770	307.4	166	191	1536	7.8	241	0	1590464540
-34.233032	146.055099	2625	800	316.7	171	196.8	832	4.2	224	0	1590464546
-34.237473	146.051849	2700	823	327.8	177	203.7	256	1.3	206	0	1590464553
-34.244663	146.050186	2700	823	342.6	185	212.9	256	1.3	180	0	1590464562
-34.250019	146.05162	2750	838	342.6	185	212.9	192	1	160	0	1590464568
-34.254318	146.054428	2750	838	348.2	188	216.3	-64	-0.3	147	0	1590464574
-34.258396	146.058594	2775	846	353.7	191	219.8	-64	-0.3	136	0	1590464580
-34.262074	146.0634	2750	838	364.8	197	226.7	-448	-2.3	131	0	1590464586
-34.265614	146.068604	2750	838	374.1	202	232.5	0	0	128	0	1590464592
-34.269104	146.073883	2750	838	381.5	206	237.1	-64	-0.3	128	0	1590464598
-34.272968	146.079651	2725	831	390.8	211	242.8	-320	-1.6	129	0	1590464604
-34.276932	146.085144	2700	823	400	216	248.6	-64	-0.3	131	0	1590464610
-34.281208	146.090866	2725	831	405.6	219	252	192	1	132	0	1590464616
-34.285351	146.096024	2725	831	413	223	256.6	0	0	134	0	1590464622
-34.289703	146.101242	2725	831	414.8	224	257.8	64	0.3	135	0	1590464628
-34.294418	146.106674	2725	831	418.6	226	260.1	0	0	136	0	1590464634
-34.299129	146.111923	2725	831	420.4	227	261.2	64	0.3	137	0	1590464640
-34.304951	146.118225	2725	831	422.3	228	262.4	128	0.7	138	0	1590464648
-34.309982	146.123596	2725	831	427.8	231	265.8	-192	-1	138	0	1590464654
-34.315201	146.128983	2725	831	429.7	232	267	0	0	139	0	1590464660
-34.320099	146.134079	2725	831	429.7	232	267	64	0.3	139	0	1590464666
-34.324905	146.138962	2725	831	433.4	234	269.3	-128	-0.7	139	0	1590464672
-34.329948	146.144135	2725	831	433.4	234	269.3	64	0.3	139	0	1590464678
-34.335068	146.149277	2725	831	435.2	235	270.4	-128	-0.7	140	0	1590464684
-34.340469	146.154709	2725	831	437.1	236	271.6	192	1	140	0	1590464690
-34.345451	146.159653	2750	838	438.9	237	272.7	64	0.3	140	0	1590464697
-34.355785	146.170013	2725	831	440.8	238	273.9	-384	-2	140	0	1590464708
-34.361343	146.175507	2725	831	440.8	238	273.9	0	0	140	0	1590464716
-34.366211	146.180359	2725	831	440.8	238	273.9	0	0	140	0	1590464722
-34.371845	146.185913	2750	838	440.8	238	273.9	0	0	140	0	1590464728
-34.376541	146.190582	2750	838	440.8	238	273.9	0	0	140	0	1590464734
-34.382088	146.196045	2750	838	440.8	238	273.9	0	0	140	0	1590464740
-34.387207	146.201141	2750	838	440.8	238	273.9	-64	-0.3	140	0	1590464746
-34.397308	146.211151	2725	831	442.6	239	275	-64	-0.3	140	0	1590464758
-34.402679	146.216476	2750	838	440.8	238	273.9	128	0.7	140	0	1590464764
-34.407623	146.22142	2750	838	440.8	238	273.9	128	0.7	140	0	1590464770
-34.412811	146.226593	2750	838	440.8	238	273.9	0	0	140	0	1590464776
-34.41806	146.23172	2750	838	440.8	238	273.9	-64	-0.3	140	0	1590464782
-34.423424	146.237061	2750	838	440.8	238	273.9	-64	-0.3	140	0	1590464788
-34.428497	146.242157	2750	838	438.9	237	272.7	-64	-0.3	140	0	1590464794
-34.433758	146.247421	2750	838	437.1	236	271.6	0	0	140	0	1590464800
-34.438705	146.252411	2750	838	437.1	236	271.6	64	0.3	140	0	1590464806
-34.443924	146.257629	2750	838	435.2	235	270.4	128	0.7	140	0	1590464813
-34.454407	146.268158	2750	838	438.9	237	272.7	128	0.7	140	0	1590464824
-34.459827	146.273514	2750	838	438.9	237	272.7	0	0	140	0	1590464832
-34.470245	146.284027	2725	831	442.6	239	275	0	0	140	0	1590464843
-34.47551	146.289352	2750	838	440.8	238	273.9	64	0.3	140	0	1590464850
-34.480637	146.294449	2750	838	442.6	239	275	128	0.7	140	0	1590464856
-34.48558	146.299438	2750	838	442.6	239	275	128	0.7	140	0	1590464862
-34.490891	146.304764	2750	838	444.5	240	276.2	-128	-0.7	140	0	1590464868
-34.496281	146.310196	2725	831	446.3	241	277.3	-64	-0.3	140	0	1590464874
-34.501541	146.315399	2750	838	446.3	241	277.3	128	0.7	140	0	1590464880
-34.506615	146.320618	2750	838	448.2	242	278.5	128	0.7	140	0	1590464886
-34.512341	146.326324	2750	838	446.3	241	277.3	0	0	140	0	1590464892
-34.517258	146.331284	2750	838	448.2	242	278.5	0	0	140	0	1590464898
-34.522797	146.336823	2750	838	448.2	242	278.5	0	0	140	0	1590464904
