latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-37.725632	144.903336	0	0	0	0	0	0	0	351	0	1590464557
-37.725586	144.903	0	0	35.2	19	21.9	0	0	213	100	1590464697
-37.726044	144.902908	0	0	40.7	22	25.3	0	0	180	100	1590464709
-37.726295	144.902908	0	0	37	20	23	0	0	177	100	1590464716
-37.726616	144.902969	0	0	37	20	23	0	0	171	100	1590464724
-37.726887	144.902969	0	0	24.1	13	15	0	0	236	100	1590464734
-37.717228	144.916779	1250	381	175.9	95	109.3	256	1.3	95	100	1590464854
-37.717529	144.920303	1300	396	185.2	100	115.1	0	0	95	100	1590464860
-37.717972	144.927521	1250	381	192.6	104	119.7	-192	-1	94	100	1590464872
-37.718487	144.934631	1200	366	196.3	106	122	-256	-1.3	94	100	1590464883
-37.718719	144.937775	1175	358	196.3	106	122	-320	-1.6	94	100	1590464889
-37.719086	144.944443	1125	343	200	108	124.3	-256	-1.3	93	100	1590464900
-37.719322	144.948303	1125	343	200	108	124.3	-256	-1.3	93	100	1590464906
-37.719498	144.952209	1100	335	203.7	110	126.6	64	0.3	93	100	1590464912
-37.719772	144.95607	1100	335	203.7	110	126.6	64	0.3	93	100	1590464918
-37.720627	144.963043	1100	335	205.6	111	127.7	-128	-0.7	95	100	1590464929
-37.72221	144.967041	1100	335	207.4	112	128.9	0	0	124	100	1590464936
-37.728058	144.970795	1125	343	216.7	117	134.6	320	1.6	168	100	1590464948
-37.731426	144.971344	1075	328	220.4	119	136.9	-384	-2	172	100	1590464954
-37.736755	144.972076	1050	320	231.5	125	143.8	-128	-0.7	172	100	1590464964
-37.741928	144.973007	1050	320	231.5	125	143.8	64	0.3	171	100	1590464972
-37.745316	144.973709	1050	320	229.6	124	142.7	-64	-0.3	170	100	1590464978
-37.748795	144.974411	1025	312	231.5	125	143.8	-192	-1	171	100	1590464984
-37.75219	144.975052	1025	312	233.4	126	145	-128	-0.7	170	100	1590464990
-37.755615	144.975754	1025	312	233.4	126	145	128	0.7	170	100	1590464996
-37.759232	144.976349	1025	312	235.2	127	146.1	0	0	174	100	1590465003
-37.766464	144.9767	1025	312	237.1	128	147.3	-192	-1	178	100	1590465014
-37.770111	144.976837	1000	305	238.9	129	148.5	-256	-1.3	177	100	1590465020
-37.773602	144.97702	950	290	242.6	131	150.8	-384	-2	177	100	1590465026
-37.777187	144.977264	950	290	244.5	132	151.9	0	0	176	100	1590465032
-37.781021	144.97757	925	282	246.3	133	153.1	-128	-0.7	176	100	1590465038
-37.784637	144.977921	950	290	244.5	132	151.9	320	1.6	176	100	1590465044
-37.788483	144.978271	950	290	242.6	131	150.8	-64	-0.3	175	100	1590465050
-37.792236	144.978683	950	290	244.5	132	151.9	192	1	175	100	1590465057
-37.795578	144.978973	950	290	244.5	132	151.9	0	0	175	100	1590465063
-37.802032	144.979736	975	297	242.6	131	150.8	128	0.7	174	100	1590465073
-37.806793	144.980209	975	297	246.3	133	153.1	0	0	176	100	1590465080
-37.810287	144.980423	1000	305	244.5	132	151.9	-128	-0.7	176	100	1590465087
-37.817364	144.980774	900	274	229.6	124	142.7	-768	-3.9	177	100	1590465098
-37.832073	144.979767	600	183	187.1	101	116.2	-768	-3.9	188	100	1590465128
-37.838425	144.981781	500	152	155.6	84	96.7	-320	-1.6	153	100	1590465144
-37.840393	144.985458	450	137	131.5	71	81.7	-448	-2.3	102	100	1590465155
-37.839149	144.989624	300	91	107.4	58	66.7	-1024	-5.2	43	100	1590465168
-37.836727	144.991592	75	23	81.5	44	50.6	-960	-4.9	34	100	1590465179
-37.835983	144.992416	0	0	64.8	35	40.3	-832	-4.2	41	100	1590465186
-37.835331	144.993256	0	0	55.6	30	34.5	-704	-3.6	46	100	1590465192
-37.834866	144.993851	0	0	38.9	21	24.2	-640	-3.3	46	100	1590465198
