latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
34.423649	108.689201	4301	1311	298.2	161	185.3	0	0	256	0	1590464658
34.421471	108.680077	4649	1417	301.9	163	187.6	0	0	255	0	1590464668
34.411179	108.635498	5449	1661	316.7	171	196.8	0	0	256	0	1590464708
34.40839	108.623138	5801	1768	338.9	183	210.6	0	0	256	0	1590464718
34.406021	108.612297	6099	1859	340.8	184	211.7	0	0	257	0	1590464726
34.405128	108.595901	6601	2012	363	196	225.6	0	0	275	0	1590464738
34.408577	108.582169	7149	2179	385.2	208	239.4	0	0	293	0	1590464748
34.41486	108.571152	7674	2339	396.3	214	246.3	0	0	312	0	1590464758
34.422119	108.561859	8199	2499	401.9	217	249.7	0	0	315	0	1590464768
34.430077	108.552254	8750	2667	411.1	222	255.5	0	0	316	0	1590464778
34.45459	108.522606	10374	3162	431.5	233	268.1	0	0	316	0	1590464808
34.465759	108.50927	11125	3391	440.8	238	273.9	0	0	316	0	1590464822
34.479351	108.493073	11601	3536	448.2	242	278.5	0	0	316	0	1590464838
34.507637	108.459381	12927	3940	474.1	256	294.6	0	0	316	0	1590464869
34.535988	108.425453	14524	4427	503.7	272	313	0	0	316	0	1590464898
34.556889	108.40033	15476	4717	520.4	281	323.4	0	0	316	0	1590464918
34.56702	108.388199	15899	4846	529.7	286	329.1	0	0	316	0	1590464928
34.577499	108.375587	16401	4999	542.6	293	337.2	0	0	316	0	1590464938
34.597408	108.353157	17224	5250	553.7	299	344.1	0	0	322	0	1590464956
34.638958	108.324341	18652	5685	563	304	349.8	0	0	339	0	1590464988
34.674088	108.311516	19177	5845	590.8	319	367.1	0	0	345	0	1590465010
34.697887	108.303558	19551	5959	613	331	380.9	0	0	345	0	1590465024
34.773327	108.318275	20351	6203	626	338	389	0	0	346	0	1590465050
34.825638	108.260307	22175	6759	696.4	376	432.7	0	0	345	0	1590465094
34.96669	108.211906	23599	7193	770.4	416	478.7	0	0	345	0	1590465168
35.022369	108.192902	23599	7193	770.4	416	478.7	0	0	345	0	1590465198
35.065479	108.178139	23599	7193	779.7	421	484.5	0	0	345	0	1590465220
35.084328	108.171677	23599	7193	781.5	422	485.6	0	0	345	0	1590465230
