latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
8.56192	99.948494	775	236	188.9	102	117.4	1024	5.2	37	0	1590464747
8.563797	99.950729	875	267	187.1	101	116.2	1088	5.5	51	0	1590464753
8.565079	99.953239	975	297	183.3	99	113.9	1088	5.5	65	0	1590464760
8.565984	99.955795	1100	335	183.3	99	113.9	1088	5.5	71	0	1590464766
8.566818	99.958549	1200	366	185.2	100	115.1	1088	5.5	73	0	1590464772
8.567688	99.961342	1300	396	187.1	101	116.2	1024	5.2	73	0	1590464778
8.568544	99.964081	1400	427	185.2	100	115.1	1088	5.5	72	0	1590464784
8.569519	99.966881	1500	457	187.1	101	116.2	1088	5.5	68	766	1590464790
8.570779	99.96981	1625	495	188.9	102	117.4	1088	5.5	65	766	1590464797
8.572174	99.972557	1725	526	192.6	104	119.7	1024	5.2	62	766	1590464804
8.57455	99.976631	1850	564	205.6	111	127.7	768	3.9	57	766	1590464813
8.577296	99.98056	1975	602	211.1	114	131.2	1088	5.5	53	766	1590464822
8.579391	99.983261	2100	640	211.1	114	131.2	1216	6.2	51	766	1590464828
8.581467	99.985779	2200	671	211.1	114	131.2	1216	6.2	49	766	1590464834
8.584652	99.989464	2375	724	213	115	132.3	1216	6.2	48	766	1590464843
8.586886	99.99192	2500	762	214.8	116	133.5	1216	6.2	47	766	1590464850
8.589446	99.994484	2600	792	216.7	117	134.6	1024	5.2	44	766	1590464856
8.591675	99.996719	2700	823	218.5	118	135.8	1024	5.2	44	766	1590464862
8.594241	99.999214	2800	853	218.5	118	135.8	1088	5.5	43	766	1590464868
8.596573	100.001472	2900	884	218.5	118	135.8	960	4.9	43	766	1590464874
8.599036	100.003807	3000	914	218.5	118	135.8	1024	5.2	43	766	1590464880
8.601517	100.006218	3100	945	216.7	117	134.6	1024	5.2	43	766	1590464886
8.604034	100.008636	3200	975	216.7	117	134.6	1088	5.5	44	766	1590464893
8.606415	100.011009	3300	1006	214.8	116	133.5	1088	5.5	45	766	1590464899
8.608932	100.013618	3400	1036	216.7	117	134.6	1024	5.2	46	766	1590464905
