latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
44.940811	78.188255	33000	10058	746.4	403	463.8	64	0.3	26	3515	1590464958
45.04248	78.261955	33000	10058	751.9	406	467.2	0	0	27	3515	1590465020
45.15097	78.33989	33000	10058	755.6	408	469.5	0	0	26	3515	1590465084
45.257858	78.413475	33000	10058	757.5	409	470.7	0	0	26	3515	1590465148
45.364883	78.490059	33000	10058	761.2	411	473	0	0	26	3515	1590465210
45.470032	78.566109	33000	10058	761.2	411	473	0	0	27	3515	1590465272
45.578274	78.6446	33000	10058	759.3	410	471.8	-64	-0.3	27	3515	1590465336
45.68092	78.718277	33000	10058	761.2	411	473	64	0.3	25	3515	1590465396
45.787712	78.791748	33000	10058	766.7	414	476.4	0	0	26	3515	1590465458
45.895065	78.871315	33000	10058	764.9	413	475.3	0	0	27	3515	1590465522
46.000443	78.949898	33000	10058	768.6	415	477.6	0	0	27	3515	1590465584
46.108734	79.030769	33000	10058	770.4	416	478.7	64	0.3	27	3515	1590465646
46.215294	79.110695	33000	10058	774.1	418	481	0	0	27	3515	1590465710
46.320873	79.191032	33000	10058	774.1	418	481	0	0	27	3515	1590465770
46.425102	79.270065	33000	10058	776	419	482.2	0	0	27	3515	1590465832
46.531521	79.350334	33000	10058	779.7	421	484.5	0	0	27	3515	1590465893
46.640533	79.432961	33000	10058	785.2	424	487.9	0	0	27	3515	1590465956
46.748291	79.515289	33000	10058	790.8	427	491.4	0	0	27	3515	1590466018
46.856003	79.598694	33000	10058	796.4	430	494.8	0	0	27	3515	1590466080
46.897018	79.630348	33000	10058	798.2	431	496	0	0	27	3515	1590466102
46.963665	79.682426	33000	10058	801.9	433	498.3	0	0	28	3515	1590466140
47.047974	79.748703	33000	10058	805.6	435	500.6	0	0	28	3515	1590466188
47.236835	79.898773	33000	10058	811.2	438	504	-64	-0.3	28	3515	1590466294
47.317474	79.963303	33000	10058	813	439	505.2	0	0	28	0	1590466338
47.472298	80.08963	33000	10058	820.4	443	509.8	0	0	29	0	1590466426
47.615616	80.210289	33000	10058	829.7	448	515.5	0	0	29	0	1590466506
47.732616	80.313507	33000	10058	831.5	449	516.7	64	0.3	28	0	1590466570
47.848434	80.404266	33000	10058	833.4	450	517.9	64	0.3	28	0	1590466633
47.962189	80.499298	33000	10058	835.3	451	519	0	0	29	0	1590466696
48.073334	80.594193	33000	10058	837.1	452	520.2	0	0	30	0	1590466757
48.183613	80.689522	33000	10058	837.1	452	520.2	0	0	30	0	1590466818
48.296127	80.785431	33000	10058	837.1	452	520.2	0	0	29	0	1590466880
48.406677	80.880501	33000	10058	839	453	521.3	0	0	30	0	1590466942
48.519024	80.979141	33000	10058	839	453	521.3	-64	-0.3	30	0	1590467003
48.632767	81.078751	32150	9799	848.2	458	527.1	-960	-4.9	29	0	1590467064
48.742996	81.175446	31200	9510	851.9	460	529.4	-896	-4.6	30	0	1590467126
48.85783	81.278809	28900	8809	855.6	462	531.7	-3520	-17.9	30	0	1590467188
48.968399	81.378693	25850	7879	835.3	451	519	-2816	-14.3	30	0	1590467248
49.079094	81.477715	22950	6995	803.8	434	499.4	-2688	-13.7	30	0	1590467312
49.184555	81.572922	20225	6165	770.4	416	478.7	-2560	-13	31	0	1590467374
49.285275	81.666435	17600	5364	735.2	397	456.9	-2496	-12.7	31	0	1590467436
49.334656	81.712013	16325	4976	720.4	389	447.7	-2432	-12.4	30	0	1590467468
49.382034	81.755676	15225	4641	700.1	378	435	-1920	-9.8	31	0	1590467499
49.429119	81.799301	14050	4282	701.9	379	436.1	-2304	-11.7	30	0	1590467530
49.477207	81.843246	12800	3901	696.4	376	432.7	-2432	-12.4	30	0	1590467562
49.523483	81.886452	11950	3642	653.8	353	406.2	0	0	31	0	1590467594
49.538376	81.900627	11950	3642	624.1	337	387.8	0	0	31	0	1590467604
49.552528	81.914139	11925	3635	598.2	323	371.7	-320	-1.6	31	0	1590467616
49.565872	81.926567	11800	3597	581.5	314	361.3	-1600	-8.1	31	0	1590467626
49.58009	81.939972	11475	3498	577.8	312	359	-1792	-9.1	30	0	1590467638
49.59573	81.954369	11125	3391	572.3	309	355.6	-1600	-8.1	30	0	1590467650
49.608208	81.965652	10850	3307	568.6	307	353.3	-1664	-8.5	30	0	1590467660
49.622452	81.977448	10550	3216	563	304	349.8	-1600	-8.1	27	0	1590467672
49.637955	81.989853	10200	3109	561.2	303	348.7	-1664	-8.5	27	0	1590467684
49.652988	82.002029	9875	3010	555.6	300	345.2	-1536	-7.8	28	0	1590467696
49.668446	82.014725	9550	2911	550	297	341.8	-1536	-7.8	28	0	1590467708
49.683807	82.027489	9225	2812	546.3	295	339.5	-1536	-7.8	28	0	1590467722
49.699173	82.03997	8975	2736	537.1	290	333.7	-768	-3.9	27	0	1590467734
49.712585	82.050957	8850	2697	518.6	280	322.2	-512	-2.6	27	0	1590467746
49.727371	82.062958	8725	2659	498.2	269	309.6	-512	-2.6	27	0	1590467758
49.738678	82.072136	8625	2629	485.2	262	301.5	-960	-4.9	27	0	1590467769
49.750843	82.081825	8400	2560	476	257	295.8	-1344	-6.8	27	0	1590467780
49.764343	82.09259	8175	2492	461.1	249	286.5	-1280	-6.5	27	0	1590467793
49.776947	82.102638	7875	2400	453.7	245	281.9	-1600	-8.1	27	0	1590467807
49.789536	82.112686	7525	2294	448.2	242	278.5	-1600	-8.1	27	0	1590467818
49.802422	82.122803	7200	2195	446.3	241	277.3	-1664	-8.5	27	0	1590467832
49.814339	82.132454	6850	2088	442.6	239	275	-1600	-8.1	27	0	1590467844
49.826767	82.1427	6500	1981	440.8	238	273.9	-1664	-8.5	28	0	1590467856
49.837784	82.151787	6200	1890	437.1	236	271.6	-1728	-8.8	27	0	1590467868
49.848404	82.16053	5875	1791	437.1	236	271.6	-1792	-9.1	27	0	1590467878
49.860611	82.170311	5500	1676	438.9	237	272.7	-1792	-9.1	27	0	1590467891
49.872623	82.179962	5150	1570	438.9	237	272.7	-1792	-9.1	26	0	1590467904
49.883698	82.188431	4850	1478	438.9	237	272.7	-1024	-5.2	26	0	1590467915
49.890034	82.193398	4750	1448	429.7	232	267	-640	-3.3	26	0	1590467921
49.89624	82.198265	4675	1425	422.3	228	262.4	-576	-2.9	26	0	1590467928
49.901688	82.202454	4625	1410	413	223	256.6	-576	-2.9	26	0	1590467934
49.908188	82.207443	4550	1387	401.9	217	249.7	-576	-2.9	26	0	1590467940
49.91396	82.212029	4500	1372	392.6	212	244	-768	-3.9	26	0	1590467946
