latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
43.958076	87.45507	5325	1623	407.4	220	253.2	0	0	37	0	1590465102
43.975521	87.472954	6276	1913	413	223	256.6	0	0	37	0	1590465122
43.997589	87.495689	6749	2057	422.3	228	262.4	0	0	37	0	1590465146
44.014629	87.513168	7451	2271	442.6	239	275	0	0	36	0	1590465162
44.044788	87.539452	8750	2667	455.6	246	283.1	0	0	25	0	1590465190
44.111069	87.573242	11125	3391	500	270	310.7	0	0	20	0	1590465242
44.152039	87.593925	12549	3825	513	277	318.8	0	0	20	0	1590465274
44.192226	87.613869	13901	4237	524.1	283	325.7	0	0	20	0	1590465304
44.232468	87.633949	14800	4511	533.4	288	331.4	0	0	20	0	1590465334
44.297195	87.666275	14800	4511	579.7	313	360.2	0	0	20	0	1590465378
44.322048	87.679916	14800	4511	588.9	318	365.9	0	0	26	0	1590465394
44.352627	87.708572	14800	4511	594.5	321	369.4	0	0	41	0	1590465418
