latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
27.74625	120.674042	9449	2880	420.4	227	261.2	0	0	276	0	1590465144
27.749788	120.639549	10427	3178	427.8	231	265.8	0	0	280	0	1590465170
27.759289	120.602211	11801	3597	440.8	238	273.9	0	0	290	0	1590465198
27.773159	120.560425	13350	4069	450	243	279.6	0	0	290	0	1590465230
27.785589	120.52224	14573	4442	457.4	247	284.2	0	0	290	0	1590465260
27.815241	120.432236	17675	5387	494.5	267	307.3	2560	13	290	0	1590465330
27.830658	120.385643	18725	5707	516.7	279	321.1	1152	5.9	290	140	1590465365
27.860413	120.295372	19400	5913	622.3	336	386.7	704	3.6	290	140	1590465424
27.89859	120.178871	19700	6005	696.4	376	432.7	0	0	290	140	1590465490
27.938232	120.058022	19700	6005	696.4	376	432.7	0	0	290	140	1590465556
27.976913	119.938698	19700	6005	692.6	374	430.4	-64	-0.3	290	140	1590465621
28.015835	119.819695	20450	6233	701.9	379	436.1	1856	9.4	290	140	1590465686
28.050703	119.715378	21700	6614	707.5	382	439.6	128	0.7	290	140	1590465740
28.094925	119.584915	21700	6614	638.9	345	397	64	0.3	291	140	1590465816
28.12999	119.483398	21700	6614	638.9	345	397	-64	-0.3	291	140	1590465876
28.167709	119.375381	21700	6614	637.1	344	395.9	64	0.3	290	140	1590465940
28.177826	119.330116	21700	6614	633.4	342	393.6	0	0	279	140	1590465968
28.179838	119.312759	21700	6614	633.4	342	393.6	64	0.3	276	140	1590465976
28.180443	119.303497	21700	6614	631.5	341	392.4	64	0.3	274	140	1590465982
28.180769	119.294235	21700	6614	631.5	341	392.4	64	0.3	272	140	1590465988
28.180677	119.276413	21700	6614	629.7	340	391.3	0	0	268	140	1590465997
28.180536	119.267845	21700	6614	631.5	341	392.4	0	0	268	140	1590466003
28.17897	119.160248	21700	6614	633.4	342	393.6	0	0	268	140	1590466062
28.177046	119.044243	21700	6614	627.8	339	390.1	0	0	268	140	1590466127
28.174988	118.928642	21700	6614	624.1	337	387.8	0	0	268	140	1590466192
28.173889	118.870697	21700	6614	626	338	389	0	0	268	140	1590466225
28.173508	118.848427	21699	6614	631.5	341	392.4	0	0	269	140	1590466238
28.191509	118.75856	21699	6614	600	324	372.9	0	0	269	140	1590466300
28.1682	118.573555	21700	6614	629.7	340	391.3	0	0	268	140	1590466392
28.175138	118.525192	21699	6614	616.7	333	383.2	0	0	278	140	1590466420
28.19585	118.484207	21699	6614	622.3	336	386.7	0	0	305	140	1590466446
28.229227	118.431297	21699	6614	626	338	389	0	0	306	140	1590466482
28.247427	118.402458	21699	6614	627.8	339	390.1	0	0	305	140	1590466500
28.285858	118.34156	21699	6614	637.1	344	395.9	0	0	306	140	1590466542
28.30385	118.31279	21699	6614	635.2	343	394.7	0	0	305	140	1590466562
28.348978	118.241203	21699	6614	640.8	346	398.2	0	0	306	140	1590466610
28.40712	118.148354	21699	6614	638.9	345	397	0	0	305	140	1590466672
28.413477	118.13826	21699	6614	637.1	344	395.9	0	0	305	140	1590466680
28.45697	118.069221	21699	6614	644.5	348	400.5	0	0	305	140	1590466726
28.48357	118.034943	21699	6614	644.5	348	400.5	0	0	311	140	1590466750
28.5632	117.9636	22149	6751	653.8	353	406.2	0	0	323	0	1590466812
28.698069	117.849022	23625	7201	664.9	359	413.1	0	0	323	0	1590466912
28.810667	117.751411	23625	7201	766.7	414	476.4	128	0.7	319	0	1590466988
28.854809	117.695847	23599	7193	729.7	394	453.4	0	0	309	0	1590467022
28.927794	117.605576	23600	7193	768.6	415	477.6	-64	-0.3	319	0	1590467079
28.936871	117.597389	23600	7193	770.4	416	478.7	-64	-0.3	321	0	1590467085
28.947346	117.588341	23600	7193	772.3	417	479.9	0	0	322	0	1590467093
29.004456	117.534592	23600	7193	757.5	409	470.7	640	3.3	310	0	1590467131
29.012192	117.521912	23600	7193	753.8	407	468.4	192	1	304	0	1590467138
29.019424	117.505119	23600	7193	746.4	403	463.8	640	3.3	293	0	1590467146
29.022812	117.493919	23600	7193	744.5	402	462.6	640	3.3	287	0	1590467152
29.02532	117.481171	23600	7193	740.8	400	460.3	512	2.6	281	0	1590467159
29.026566	117.468201	23600	7193	738.9	399	459.2	192	1	275	0	1590467165
29.02667	117.456017	23600	7193	738.9	399	459.2	128	0.7	269	0	1590467171
29.024963	117.439781	23600	7193	738.9	399	459.2	128	0.7	261	0	1590467178
29.021597	117.424728	23600	7193	738.9	399	459.2	64	0.3	254	0	1590467186
29.015778	117.407333	23600	7193	738.9	399	459.2	0	0	248	140	1590467194
29.011635	117.395592	23600	7193	738.9	399	459.2	-64	-0.3	248	140	1590467200
29.00749	117.38385	23600	7193	738.9	399	459.2	0	0	248	140	1590467207
28.96401	117.261284	23600	7193	738.9	399	459.2	0	0	247	140	1590467269
28.920345	117.138329	23600	7193	733.4	396	455.7	0	0	248	140	1590467332
28.876602	117.015961	23600	7193	729.7	394	453.4	0	0	247	140	1590467396
28.832794	116.894165	23600	7193	740.8	400	460.3	0	0	247	140	1590467460
28.788322	116.770393	23600	7193	731.5	395	454.6	0	0	247	140	1590467523
28.733322	116.61776	23600	7193	726	392	451.1	0	0	248	140	1590467602
28.691391	116.49939	23600	7193	724.1	391	450	0	0	247	140	1590467664
28.649139	116.381187	23600	7193	724.1	391	450	0	0	247	140	1590467726
28.60524	116.259224	23600	7193	726	392	451.1	0	0	247	140	1590467790
28.561569	116.137901	23600	7193	726	392	451.1	0	0	247	140	1590467853
28.518402	116.018105	23600	7193	727.8	393	452.3	0	0	247	140	1590467916
28.477844	115.895195	23600	7193	727.8	393	452.3	-128	-0.7	256	140	1590467981
28.474747	115.877754	23600	7193	726	392	451.1	-192	-1	259	140	1590467988
28.473038	115.865143	23600	7193	727.8	393	452.3	0	0	261	140	1590467994
28.471441	115.85331	23600	7193	727.8	393	452.3	0	0	261	140	1590468000
28.455048	115.729507	23600	7193	727.8	393	452.3	0	0	261	140	1590468061
28.438019	115.601311	23600	7193	727.8	393	452.3	0	0	261	140	1590468124
28.438797	115.463615	23600	7193	707.5	382	439.6	-960	-4.9	292	140	1590468192
28.444336	115.452362	23600	7193	709.3	383	440.7	-64	-0.3	299	140	1590468200
28.502213	115.338783	23600	7193	733.4	396	455.7	0	0	300	140	1590468263
28.56031	115.224716	24325	7414	729.7	394	453.4	2560	13	299	140	1590468326
28.588211	115.168411	25450	7757	720.4	389	447.7	2304	11.7	298	140	1590468358
28.596178	115.144958	25623	7810	726	392	451.1	0	0	284	140	1590468370
28.598188	115.1194	25623	7810	716.7	387	445.4	0	0	270	140	1590468384
28.596859	115.091301	25623	7810	716.7	387	445.4	0	0	267	140	1590468398
28.591728	115.002838	26801	8169	729.7	394	453.4	0	0	265	140	1590468439
28.588808	114.961617	27425	8359	729.7	394	453.4	0	0	265	140	1590468460
28.587427	114.941658	27749	8458	727.8	393	452.3	0	0	266	140	1590468470
28.586428	114.925705	28025	8542	726	392	451.1	0	0	266	140	1590468478
28.581438	114.872147	28950	8824	711.2	384	441.9	0	0	256	140	1590468506
28.563669	114.833122	29751	9068	709.3	383	440.7	0	0	239	140	1590468528
28.554539	114.816879	29902	9114	709.3	383	440.7	0	0	237	140	1590468538
28.467997	114.663658	30100	9174	748.2	404	464.9	64	0.3	240	140	1590468626
28.411331	114.551964	30100	9174	751.9	406	467.2	0	0	240	140	1590468686
28.352051	114.434914	30100	9174	755.6	408	469.5	0	0	240	140	1590468750
28.297668	114.322357	30100	9174	753.8	407	468.4	-128	-0.7	246	140	1590468810
28.292402	114.304993	30100	9174	753.8	407	468.4	-128	-0.7	252	140	1590468819
28.28826	114.286842	30100	9174	751.9	406	467.2	-256	-1.3	256	140	1590468828
28.28508	114.266212	30100	9174	753.8	407	468.4	-64	-0.3	261	140	1590468838
28.283464	114.25399	30100	9174	753.8	407	468.4	64	0.3	261	140	1590468844
28.265808	114.120697	30100	9174	746.4	403	463.8	0	0	261	140	1590468906
28.248318	113.989075	30100	9174	746.4	403	463.8	0	0	261	140	1590468970
28.238663	113.91613	30100	9174	744.5	402	462.6	0	0	261	140	1590469005
28.223509	113.80484	30098	9174	735.2	397	456.9	0	0	261	140	1590469058
28.21715	113.757622	30098	9174	740.8	400	460.3	0	0	261	140	1590469080
28.210051	113.704536	30098	9174	738.9	399	459.2	0	0	261	140	1590469106
28.207258	113.683777	30098	9174	738.9	399	459.2	0	0	261	140	1590469116
28.180847	113.488716	30100	9174	742.7	401	461.5	0	0	261	140	1590469210
28.176453	113.455444	30100	9174	744.5	402	462.6	0	0	261	140	1590469226
28.172928	113.428879	30098	9174	738.9	399	459.2	0	0	261	140	1590469240
28.161543	113.344437	30100	9174	744.5	402	462.6	0	0	260	140	1590469279
28.1521	113.283516	30098	9174	746.4	403	463.8	0	0	260	140	1590469308
28.136078	113.180992	30098	9174	737.1	398	458	0	0	260	140	1590469358
28.129608	113.138557	30098	9174	737.1	398	458	0	0	260	140	1590469378
28.117088	113.055351	30098	9174	738.9	399	459.2	0	0	260	140	1590469418
28.104349	112.933327	30098	9174	738.9	399	459.2	0	0	271	140	1590469478
28.108339	112.868774	30098	9174	744.5	402	462.6	0	0	274	140	1590469508
28.116899	112.741386	30098	9174	746.4	403	463.8	0	0	274	140	1590469567
28.121178	112.677452	30098	9174	744.5	402	462.6	0	0	274	140	1590469598
28.12402	112.635178	30098	9174	744.5	402	462.6	0	0	274	140	1590469618
28.127098	112.589508	30098	9174	748.2	404	464.9	0	0	274	140	1590469638
28.1299	112.547699	30098	9174	748.2	404	464.9	0	0	274	140	1590469658
28.142027	112.361557	30098	9174	744.5	402	462.6	0	0	274	140	1590469748
28.143059	112.346077	30098	9174	735.2	397	456.9	0	0	274	140	1590469757
28.146177	112.297447	30098	9174	744.5	402	462.6	0	0	274	140	1590469780
28.152508	112.250648	30098	9174	750.1	405	466.1	0	0	285	140	1590469800
28.165829	112.213326	30098	9174	748.2	404	464.9	0	0	298	140	1590469820
28.174809	112.19648	30098	9174	744.5	402	462.6	0	0	303	140	1590469830
28.184139	112.180237	30098	9174	750.1	405	466.1	0	0	303	140	1590469838
28.21472	112.126953	30098	9174	750.1	405	466.1	0	0	303	140	1590469868
28.246027	112.07238	30098	9174	748.2	404	464.9	0	0	303	140	1590469899
28.26865	112.032974	30098	9174	748.2	404	464.9	0	0	303	140	1590469920
28.289608	111.99659	30098	9174	750.1	405	466.1	0	0	303	140	1590469940
28.321928	111.940178	30098	9174	757.5	409	470.7	0	0	303	140	1590469971
28.339746	111.909111	30098	9174	755.6	408	469.5	0	0	303	140	1590469988
28.35672	111.879486	30098	9174	757.5	409	470.7	0	0	303	140	1590470004
28.397638	111.807808	30098	9174	755.6	408	469.5	0	0	303	140	1590470046
28.408497	111.788742	30098	9174	750.1	405	466.1	0	0	303	140	1590470058
28.448908	111.717857	30098	9174	753.8	407	468.4	0	0	303	140	1590470096
28.873089	110.970642	27598	8412	755.6	408	469.5	0	0	303	0	1590470508
28.936159	110.859596	27598	8412	757.5	409	470.7	0	0	303	0	1590470570
29.07037	110.622017	27598	8412	763	412	474.1	0	0	303	0	1590470700
29.12517	110.524628	27598	8412	770.4	416	478.7	0	0	303	0	1590470752
29.186628	110.554199	27598	8412	770.4	416	478.7	0	0	303	0	1590470764
29.176477	110.414749	27598	8412	770.4	416	478.7	0	0	289	0	1590470809
29.184528	110.379578	27598	8412	770.4	416	478.7	0	0	285	0	1590470826
29.227219	110.181076	27598	8412	764.9	413	475.3	0	0	284	0	1590470920
29.24217	110.111267	27598	8412	764.9	413	475.3	0	0	284	0	1590470954
29.253328	110.058228	27598	8412	757.5	409	470.7	0	0	284	0	1590470980
29.304697	109.816269	27598	8412	753.8	407	468.4	0	0	283	0	1590471096
29.32622	109.713753	27598	8412	751.9	406	467.2	0	0	283	0	1590471144
29.35899	109.55941	27598	8412	750.1	405	466.1	0	0	284	0	1590471218
29.38587	109.456459	27598	8412	750.1	405	466.1	0	0	294	0	1590471268
29.39749	109.435974	27598	8412	751.9	406	467.2	0	0	303	0	1590471280
29.48595	109.341858	27598	8412	777.8	420	483.3	0	0	318	0	1590471340
29.5474	109.27874	27598	8412	781.5	422	485.6	0	0	318	0	1590471382
29.698563	109.12355	27600	8412	798.2	431	496	0	0	318	140	1590471483
29.76091	109.05954	27600	8412	794.5	429	493.7	0	0	318	140	1590471525
29.773909	109.046173	27598	8412	792.7	428	492.5	0	0	318	140	1590471533
29.91188	108.903702	27600	8412	789	426	490.2	0	0	317	140	1590471628
30.004669	108.807411	27600	8412	790.8	427	491.4	0	0	317	140	1590471690
30.094894	108.711174	27600	8412	770.4	416	478.7	384	2	311	140	1590471753
30.102306	108.698288	27600	8412	757.5	409	470.7	384	2	301	140	1590471760
30.109726	108.679718	27600	8412	748.2	404	464.9	256	1.3	290	140	1590471769
30.112885	108.667282	27600	8412	742.7	401	461.5	192	1	285	140	1590471775
30.114782	108.65506	27600	8412	740.8	400	460.3	128	0.7	279	140	1590471781
30.115585	108.641861	27600	8412	737.1	398	458	128	0.7	272	140	1590471787
30.114487	108.623283	27600	8412	735.2	397	456.9	64	0.3	262	140	1590471797
30.110733	108.604324	27600	8412	733.4	396	455.7	0	0	254	140	1590471805
30.107574	108.592209	27600	8412	733.4	396	455.7	64	0.3	253	140	1590471811
30.102911	108.573982	27600	8412	733.4	396	455.7	0	0	253	140	1590471820
30.084457	108.494568	27600	8412	731.5	395	454.6	-128	-0.7	263	140	1590471859
30.089598	108.444344	27600	8412	740.8	400	460.3	0	0	280	140	1590471883
30.091553	108.432152	27600	8412	742.7	401	461.5	64	0.3	280	140	1590471889
30.110733	108.292076	27600	8412	740.8	400	460.3	64	0.3	278	140	1590471955
30.127769	108.158035	27600	8412	742.7	401	461.5	64	0.3	278	140	1590472019
30.14411	108.026146	27600	8412	738.9	399	459.2	0	0	277	140	1590472082
30.160496	107.892059	27600	8412	737.1	398	458	0	0	278	140	1590472145
30.176743	107.757919	27600	8412	738.9	399	459.2	64	0.3	277	140	1590472208
30.192385	107.629486	27600	8412	738.9	399	459.2	0	0	277	140	1590472269
30.208073	107.498856	27600	8412	735.2	397	456.9	-64	-0.3	277	140	1590472332
30.223801	107.366425	27600	8412	735.2	397	456.9	0	0	277	140	1590472394
30.238705	107.239967	27600	8412	735.2	397	456.9	0	0	277	140	1590472454
30.254253	107.105988	27600	8412	738.9	399	459.2	0	0	277	140	1590472517
30.269615	106.973221	27600	8412	740.8	400	460.3	0	0	277	140	1590472581
30.278786	106.916916	27600	8412	751.9	406	467.2	0	0	288	140	1590472608
30.285769	106.898567	27600	8412	763	412	474.1	64	0.3	296	140	1590472617
30.294706	106.882088	27600	8412	772.3	417	479.9	0	0	303	140	1590472625
30.302216	106.871284	27600	8412	783.4	423	486.8	0	0	310	140	1590472632
30.31041	106.861588	27600	8412	789	426	490.2	-64	-0.3	315	140	1590472638
30.319107	106.852325	27600	8412	787.1	425	489.1	0	0	317	140	1590472644
30.328354	106.842415	27600	8412	787.1	425	489.1	64	0.3	317	140	1590472650
30.337006	106.833153	27600	8412	787.1	425	489.1	0	0	317	140	1590472656
30.432312	106.730995	27600	8412	787.1	425	489.1	-64	-0.3	317	140	1590472722
30.517645	106.638962	27600	8412	783.4	423	486.8	0	0	316	140	1590472781
30.609446	106.53981	27600	8412	783.4	423	486.8	0	0	316	140	1590472845
30.686258	106.450157	27600	8412	763	412	474.1	-64	-0.3	306	140	1590472901
30.695009	106.434669	27600	8412	753.8	407	468.4	-64	-0.3	301	140	1590472910
30.701523	106.421326	27600	8412	751.9	406	467.2	-64	-0.3	299	140	1590472917
30.707199	106.408997	27600	8412	751.9	406	467.2	0	0	298	140	1590472923
30.764233	106.286354	27600	8412	751.9	406	467.2	-64	-0.3	298	140	1590472988
30.800034	106.204407	27600	8412	737.1	398	458	-128	-0.7	288	140	1590473029
30.802689	106.192825	27600	8412	735.2	397	456.9	-128	-0.7	284	140	1590473035
30.804703	106.179413	27600	8412	729.7	394	453.4	-192	-1	277	140	1590473041
30.805477	106.16803	27600	8412	726	392	451.1	-128	-0.7	273	140	1590473047
30.805115	106.150764	27600	8412	724.1	391	450	-128	-0.7	266	140	1590473054
30.804199	106.141609	27600	8412	722.3	390	448.8	-64	-0.3	262	140	1590473060
30.802734	106.129166	27600	8412	722.3	390	448.8	64	0.3	262	140	1590473066
30.800636	106.111282	27600	8412	722.3	390	448.8	-64	-0.3	262	140	1590473074
30.784378	105.973633	27600	8412	724.1	391	450	0	0	262	140	1590473140
30.76918	105.845192	26825	8176	724.1	391	450	-1024	-5.2	261	140	1590473201
30.752655	105.710823	25600	7803	733.4	396	455.7	-2048	-10.4	261	140	1590473266
30.736542	105.578293	23500	7163	744.5	402	462.6	-2176	-11.1	261	140	1590473329
30.72727	105.503738	22325	6805	750.1	405	466.1	-2112	-10.7	261	140	1590473364
30.703156	105.30703	19175	5845	735.2	397	456.9	-2112	-10.7	262	140	1590473457
30.688492	105.180191	17150	5227	716.7	387	445.4	-2112	-10.7	262	140	1590473517
30.680695	105.112717	16050	4892	707.5	382	439.6	-2112	-10.7	262	140	1590473550
30.67164	105.037369	14800	4511	698.2	377	433.8	-2112	-10.7	262	140	1590473588
30.663208	104.967743	13850	4221	683.4	369	424.6	-1088	-5.5	261	140	1590473623
30.655998	104.903946	13225	4031	650.1	351	403.9	-1088	-5.5	263	140	1590473656
