latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-42.84449	172.922653	1700	518	218.5	118	135.8	128	0.7	209	0	1590465258
-42.849655	172.918732	1700	518	220.4	119	136.9	-64	-0.3	208	0	1590465268
-42.854641	172.914932	1675	511	220.4	119	136.9	-320	-1.6	208	0	1590465279
-42.859528	172.911331	1625	495	222.2	120	138.1	-128	-0.7	208	0	1590465289
-42.864368	172.907608	1625	495	227.8	123	141.5	-64	-0.3	209	1677	1590465299
-42.868839	172.904144	1625	495	227.8	123	141.5	-64	-0.3	209	1677	1590465307
-42.872051	172.901779	1600	488	229.6	124	142.7	-128	-0.7	208	1677	1590465315
-42.878429	172.897018	1625	495	227.8	123	141.5	64	0.3	208	1677	1590465327
-42.884811	172.892166	1625	495	225.9	122	140.4	64	0.3	209	1677	1590465340
-42.890762	172.887573	1625	495	229.6	124	142.7	-64	-0.3	209	1677	1590465352
-42.893745	172.885239	1625	495	229.6	124	142.7	0	0	209	1677	1590465358
-42.897095	172.88269	1625	495	231.5	125	143.8	0	0	209	1677	1590465364
-42.903259	172.87767	1625	495	231.5	125	143.8	64	0.3	210	1677	1590465377
-42.909245	172.873077	1625	495	229.6	124	142.7	-128	-0.7	207	1677	1590465388
-42.912415	172.870773	1625	495	227.8	123	141.5	192	1	208	1677	1590465394
-42.915436	172.86853	1625	495	229.6	124	142.7	0	0	208	1677	1590465400
-42.91864	172.866165	1625	495	233.4	126	145	-128	-0.7	208	1677	1590465406
-42.922001	172.863724	1625	495	235.2	127	146.1	64	0.3	208	1677	1590465413
-42.925259	172.861237	1625	495	233.4	126	145	128	0.7	208	1677	1590465420
-42.928379	172.858948	1625	495	235.2	127	146.1	64	0.3	209	1677	1590465426
-42.931683	172.856461	1625	495	237.1	128	147.3	-128	-0.7	208	1677	1590465432
-42.938107	172.851501	1650	503	242.6	131	150.8	-64	-0.3	210	1677	1590465444
-42.941368	172.848953	1625	495	240.8	130	149.6	-64	-0.3	210	1677	1590465451
-42.947514	172.844101	1600	488	231.5	125	143.8	0	0	209	1677	1590465462
-42.950821	172.841507	1600	488	225.9	122	140.4	0	0	209	1677	1590465469
-42.955147	172.838226	1600	488	220.4	119	136.9	64	0.3	208	1677	1590465478
-42.958008	172.83609	1625	495	216.7	117	134.6	128	0.7	208	1677	1590465485
-42.963821	172.83168	1625	495	220.4	119	136.9	-64	-0.3	209	1677	1590465496
-42.966843	172.829376	1625	495	222.2	120	138.1	0	0	209	1677	1590465502
-42.969624	172.82724	1625	495	224.1	121	139.2	0	0	209	1677	1590465508
-42.972656	172.824966	1625	495	225.9	122	140.4	-64	-0.3	208	1677	1590465515
-42.97591	172.822586	1625	495	227.8	123	141.5	-64	-0.3	208	1677	1590465521
-42.981903	172.81839	1625	495	225.9	122	140.4	-64	-0.3	206	1677	1590465532
-42.985031	172.816254	1650	503	225.9	122	140.4	128	0.7	206	1677	1590465539
-42.990967	172.812134	1650	503	224.1	121	139.2	-256	-1.3	206	1677	1590465550
-42.994125	172.809952	1625	495	227.8	123	141.5	-192	-1	206	1677	1590465556
-42.997044	172.807938	1600	488	229.6	124	142.7	-256	-1.3	206	1677	1590465563
-43.000301	172.805649	1575	480	227.8	123	141.5	-64	-0.3	206	1677	1590465569
-43.003464	172.803574	1575	480	227.8	123	141.5	-128	-0.7	206	1677	1590465575
-43.007263	172.800949	1575	480	227.8	123	141.5	-64	-0.3	206	1677	1590465582
-43.011154	172.79834	1575	480	225.9	122	140.4	64	0.3	206	1677	1590465590
-43.014084	172.796356	1575	480	224.1	121	139.2	0	0	206	1677	1590465596
-43.017105	172.794312	1550	472	224.1	121	139.2	-64	-0.3	206	1677	1590465602
-43.020271	172.792191	1575	480	224.1	121	139.2	0	0	205	1677	1590465608
-43.024475	172.789398	1575	480	224.1	121	139.2	64	0.3	205	1677	1590465616
-43.027348	172.787476	1575	480	222.2	120	138.1	0	0	206	1677	1590465622
-43.030563	172.785309	1575	480	222.2	120	138.1	0	0	206	1677	1590465628
-43.033539	172.783295	1575	480	224.1	121	139.2	64	0.3	206	1677	1590465634
-43.036743	172.781158	1575	480	224.1	121	139.2	0	0	206	1677	1590465640
-43.039856	172.779037	1575	480	224.1	121	139.2	0	0	206	1677	1590465647
-43.046219	172.774704	1550	472	225.9	122	140.4	-128	-0.7	206	1677	1590465660
-43.052299	172.770538	1525	465	229.6	124	142.7	-192	-1	206	1677	1590465672
-43.058491	172.766281	1500	457	231.5	125	143.8	-192	-1	206	1677	1590465684
-43.061798	172.763992	1475	450	231.5	125	143.8	-192	-1	206	1677	1590465690
-43.064896	172.761856	1450	442	233.4	126	145	-192	-1	206	1677	1590465696
-43.071213	172.757645	1425	434	233.4	126	145	-256	-1.3	205	1677	1590465708
-43.074413	172.755493	1400	427	231.5	125	143.8	-192	-1	205	1677	1590465714
-43.077713	172.753372	1375	419	231.5	125	143.8	-192	-1	204	1677	1590465720
-43.080978	172.751373	1350	411	233.4	126	145	-192	-1	203	1677	1590465726
-43.084095	172.749619	1325	404	233.4	126	145	-256	-1.3	202	1677	1590465732
-43.090752	172.74588	1300	396	235.2	127	146.1	-256	-1.3	202	1677	1590465744
-43.094013	172.744049	1275	389	235.2	127	146.1	-128	-0.7	202	1677	1590465750
-43.097351	172.742126	1250	381	235.2	127	146.1	-320	-1.6	202	1677	1590465756
-43.10051	172.740341	1250	381	235.2	127	146.1	-64	-0.3	202	1677	1590465762
-43.103836	172.738434	1225	373	235.2	127	146.1	-192	-1	203	1677	1590465768
-43.107239	172.736374	1200	366	235.2	127	146.1	-192	-1	204	1677	1590465774
-43.110397	172.734375	1175	358	233.4	126	145	-192	-1	204	1677	1590465780
-43.113609	172.732407	1175	358	235.2	127	146.1	-192	-1	204	1677	1590465786
-43.116806	172.730499	1150	351	235.2	127	146.1	-192	-1	203	1677	1590465793
-43.120331	172.728516	1125	343	235.2	127	146.1	-256	-1.3	202	1677	1590465799
-43.12674	172.724899	1075	328	237.1	128	147.3	-192	-1	202	1677	1590465810
-43.130276	172.722931	1050	320	238.9	129	148.5	-192	-1	202	1677	1590465817
-43.13372	172.720901	1050	320	238.9	129	148.5	-192	-1	203	1677	1590465823
-43.136795	172.71907	1025	312	240.8	130	149.6	-192	-1	202	1677	1590465829
-43.140377	172.717117	1025	312	240.8	130	149.6	0	0	202	1677	1590465835
-43.143677	172.715302	1000	305	238.9	129	148.5	0	0	201	1677	1590465841
-43.147079	172.713516	1000	305	238.9	129	148.5	-64	-0.3	200	1677	1590465847
-43.150497	172.711792	1000	305	237.1	128	147.3	0	0	200	1677	1590465853
-43.15374	172.710114	1000	305	237.1	128	147.3	64	0.3	200	1677	1590465860
-43.157227	172.708267	1000	305	235.2	127	146.1	-192	-1	201	1677	1590465866
-43.163841	172.704819	975	297	238.9	129	148.5	-192	-1	200	1677	1590465877
-43.167423	172.70285	950	290	238.9	129	148.5	-128	-0.7	201	1677	1590465883
-43.170635	172.701157	950	290	240.8	130	149.6	-192	-1	201	1677	1590465890
-43.173988	172.699265	925	282	238.9	129	148.5	-128	-0.7	202	1677	1590465896
-43.177525	172.697235	925	282	238.9	129	148.5	0	0	202	1677	1590465903
-43.184052	172.693512	900	274	237.1	128	147.3	-64	-0.3	202	1677	1590465914
-43.187439	172.691544	900	274	235.2	127	146.1	0	0	203	1677	1590465920
-43.190643	172.68956	900	274	233.4	126	145	0	0	204	1677	1590465926
-43.197006	172.685593	900	274	231.5	125	143.8	0	0	204	1677	1590465938
-43.200336	172.683502	900	274	231.5	125	143.8	0	0	204	1677	1590465944
-43.203323	172.68158	900	274	231.5	125	143.8	0	0	204	1677	1590465950
-43.206345	172.679657	925	282	229.6	124	142.7	0	0	205	1677	1590465956
-43.209732	172.677551	925	282	231.5	125	143.8	0	0	204	1677	1590465962
-43.212845	172.675446	925	282	229.6	124	142.7	0	0	206	1677	1590465968
-43.215912	172.673462	925	282	233.4	126	145	-64	-0.3	205	1677	1590465974
-43.21933	172.671265	925	282	233.4	126	145	64	0.3	205	1677	1590465981
-43.222504	172.669174	925	282	231.5	125	143.8	0	0	204	1677	1590465987
-43.225662	172.667221	925	282	233.4	126	145	0	0	205	1677	1590465993
-43.228828	172.665115	925	282	233.4	126	145	0	0	205	1677	1590465999
-43.232086	172.663025	925	282	235.2	127	146.1	-64	-0.3	205	1677	1590466005
-43.23851	172.658981	925	282	233.4	126	145	0	0	204	1677	1590466016
-43.241676	172.656952	925	282	233.4	126	145	0	0	204	1677	1590466022
-43.244934	172.654938	900	274	233.4	126	145	0	0	204	1677	1590466029
-43.248276	172.652893	925	282	233.4	126	145	0	0	204	1677	1590466035
-43.251499	172.650864	900	274	233.4	126	145	64	0.3	204	1677	1590466041
-43.254711	172.648911	900	274	233.4	126	145	-64	-0.3	204	1677	1590466047
-43.257877	172.646942	900	274	231.5	125	143.8	0	0	204	1677	1590466053
-43.261135	172.644913	925	282	229.6	124	142.7	0	0	204	1677	1590466059
-43.264252	172.64299	900	274	229.6	124	142.7	0	0	204	1677	1590466065
-43.267456	172.641083	900	274	229.6	124	142.7	-64	-0.3	203	1677	1590466071
-43.270676	172.63916	900	274	229.6	124	142.7	0	0	203	1677	1590466078
-43.273796	172.637192	925	282	227.8	123	141.5	128	0.7	204	1677	1590466084
-43.280128	172.632889	925	282	227.8	123	141.5	64	0.3	207	1677	1590466096
-43.283203	172.630661	925	282	227.8	123	141.5	0	0	206	1677	1590466102
-43.286274	172.628433	900	274	227.8	123	141.5	0	0	209	1677	1590466108
-43.289253	172.626083	925	282	227.8	123	141.5	64	0.3	210	1677	1590466114
-43.294979	172.621048	900	274	225.9	122	140.4	0	0	213	1677	1590466126
-43.297817	172.6185	925	282	227.8	123	141.5	64	0.3	214	1677	1590466132
-43.30069	172.615784	900	274	227.8	123	141.5	0	0	214	1677	1590466138
-43.306229	172.610672	900	274	225.9	122	140.4	0	0	214	1677	1590466150
-43.312088	172.60524	900	274	227.8	123	141.5	-128	-0.7	214	1677	1590466162
-43.314995	172.602539	900	274	229.6	124	142.7	-128	-0.7	214	1677	1590466169
-43.317719	172.600006	875	267	229.6	124	142.7	-64	-0.3	213	1677	1590466175
-43.320602	172.597458	875	267	231.5	125	143.8	-64	-0.3	212	1677	1590466181
-43.326447	172.592331	850	259	233.4	126	145	-128	-0.7	212	1677	1590466192
-43.329437	172.589783	850	259	233.4	126	145	-64	-0.3	211	1677	1590466199
-43.335434	172.58461	850	259	229.6	124	142.7	192	1	213	1677	1590466210
-43.339554	172.580902	850	259	227.8	123	141.5	-128	-0.7	215	1677	1590466218
-43.3423	172.578094	850	259	229.6	124	142.7	-64	-0.3	218	1677	1590466224
-43.344929	172.575073	825	251	231.5	125	143.8	-256	-1.3	220	1677	1590466230
-43.347565	172.572021	800	244	235.2	127	146.1	-128	-0.7	220	1677	1590466237
-43.352966	172.565506	800	244	233.4	126	145	64	0.3	221	1677	1590466248
-43.358383	172.558914	800	244	233.4	126	145	0	0	221	1677	1590466261
-43.363644	172.552704	800	244	233.4	126	145	0	0	220	1677	1590466273
-43.366482	172.549377	800	244	235.2	127	146.1	-192	-1	220	1677	1590466279
-43.369171	172.546219	775	236	237.1	128	147.3	-64	-0.3	220	1677	1590466286
-43.374664	172.539963	750	229	238.9	129	148.5	-192	-1	216	1677	1590466298
-43.379425	172.535965	725	221	238.9	129	148.5	-192	-1	207	1677	1590466307
-43.382996	172.533707	700	213	240.8	130	149.6	-256	-1.3	204	1677	1590466313
-43.386265	172.531723	700	213	240.8	130	149.6	-192	-1	203	1677	1590466319
-43.389618	172.529755	675	206	242.6	131	150.8	-192	-1	202	1677	1590466325
-43.396179	172.526108	650	198	240.8	130	149.6	-64	-0.3	202	1677	1590466336
-43.399673	172.524124	650	198	238.9	129	148.5	0	0	201	1677	1590466343
-43.402794	172.52243	625	191	238.9	129	148.5	-64	-0.3	201	1677	1590466349
-43.409821	172.51857	625	191	237.1	128	147.3	-192	-1	201	1677	1590466361
-43.413219	172.516739	600	183	237.1	128	147.3	-256	-1.3	201	1677	1590466368
-43.419926	172.513138	550	168	240.8	130	149.6	-192	-1	201	1677	1590466380
-43.424114	172.510925	525	160	238.9	129	148.5	-128	-0.7	201	1677	1590466387
-43.428349	172.509155	525	160	238.9	129	148.5	0	0	191	1677	1590466394
-43.432068	172.50943	500	152	237.1	128	147.3	-128	-0.7	167	1677	1590466400
-43.435181	172.511536	475	145	238.9	129	148.5	-320	-1.6	145	1677	1590466406
-43.437939	172.514709	450	137	237.1	128	147.3	-64	-0.3	138	1677	1590466412
-43.440536	172.517929	450	137	235.2	127	146.1	-64	-0.3	137	1677	1590466418
-43.443199	172.521255	425	130	235.2	127	146.1	-256	-1.3	137	1677	1590466424
-43.445992	172.524719	400	122	233.4	126	145	-256	-1.3	138	1677	1590466430
-43.449921	172.529495	350	107	227.8	123	141.5	-320	-1.6	138	1677	1590466440
-43.452511	172.532562	325	99	224.1	121	139.2	-256	-1.3	139	1677	1590466446
-43.454865	172.535294	300	91	218.5	118	135.8	-256	-1.3	139	1677	1590466452
-43.45763	172.538315	250	76	203.7	110	126.6	-64	-0.3	142	1677	1590466458
-43.4599	172.540543	250	76	190.8	103	118.5	0	0	147	1677	1590466464
-43.463745	172.542908	225	69	179.6	97	111.6	-320	-1.6	162	1677	1590466473
-43.466335	172.543686	175	53	175.9	95	109.3	-256	-1.3	170	1677	1590466480
-43.470245	172.543945	175	53	164.8	89	102.4	128	0.7	182	1677	1590466488
-43.47258	172.543472	150	46	150	81	93.2	-128	-0.7	190	1677	1590466495
-43.475693	172.542114	75	23	144.5	78	89.8	-512	-2.6	205	1677	1590466503
-43.477417	172.540421	25	8	137	74	85.2	-448	-2.3	219	1677	1590466509
-43.478905	172.538651	0	0	125.9	68	78.3	-512	-2.6	220	1677	1590466516
-43.480408	172.536896	0	0	122.2	66	76	-448	-2.3	219	1677	1590466522
