latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
39.171894	117.316772	2725	831	359.3	194	223.3	1600	8.1	333	0	1590465262
39.182373	117.310104	3275	998	374.1	202	232.5	3712	18.9	333	0	1590465273
39.18721	117.307129	3600	1097	374.1	202	232.5	3648	18.5	334	0	1590465280
39.192535	117.303833	3950	1204	377.8	204	234.8	3456	17.6	334	0	1590465286
39.197571	117.300728	4250	1295	383.4	207	238.2	2880	14.6	334	0	1590465292
39.203175	117.297241	4500	1372	398.2	215	247.4	2112	10.7	334	4124	1590465298
39.214256	117.291382	4925	1501	420.4	227	261.2	2496	12.7	343	4124	1590465310
39.240692	117.30365	6375	1943	440.8	238	273.9	3136	15.9	46	4124	1590465336
39.24408	117.310402	6650	2027	448.2	242	278.5	3136	15.9	61	4124	1590465342
39.246655	117.31958	7000	2134	457.4	247	284.2	3328	16.9	75	4124	1590465349
39.247353	117.329102	7350	2240	468.6	253	291.1	3200	16.3	89	4124	1590465356
39.238541	117.358047	8400	2560	498.2	269	309.6	3136	15.9	129	4124	1590465376
39.233551	117.364433	8700	2652	501.9	271	311.9	3456	17.6	137	4124	1590465382
39.227509	117.3713	9075	2766	503.7	272	313	3264	16.6	139	4124	1590465388
39.221329	117.378105	9400	2865	509.3	275	316.5	3200	16.3	139	4124	1590465394
39.215744	117.384155	9700	2957	514.9	278	319.9	3008	15.3	139	4124	1590465400
39.205444	117.395363	10075	3071	533.4	288	331.4	1600	8.1	140	4124	1590465411
39.190384	117.410469	10500	3200	561.2	303	348.7	2688	13.7	143	4124	1590465424
39.178642	117.421509	11050	3368	566.7	306	352.1	3136	15.9	144	4124	1590465434
39.162769	117.436218	11675	3559	579.7	313	360.2	3008	15.3	144	4124	1590465448
39.148289	117.449463	12300	3749	585.2	316	363.6	2752	14	144	4124	1590465460
39.112061	117.486656	12775	3894	650.1	351	403.9	-64	-0.3	130	4124	1590465490
39.107327	117.495422	12775	3894	651.9	352	405.1	192	1	124	4124	1590465496
39.102299	117.508606	12800	3901	651.9	352	405.1	128	0.7	112	4124	1590465503
