latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
39.155228	117.328064	2075	632	266.7	144	165.7	1856	9.4	335	0	1590465581
39.166122	117.321625	2525	770	298.2	161	185.3	1344	6.8	335	0	1590465597
39.175644	117.315773	2800	853	329.7	178	204.8	1152	5.9	334	0	1590465610
39.179764	117.313148	2925	892	337.1	182	209.4	1344	6.8	333	0	1590465617
39.189907	117.306763	3175	968	372.3	201	231.3	768	3.9	334	3073	1590465628
39.19503	117.303589	3275	998	394.5	213	245.1	1216	6.2	334	3073	1590465635
39.206482	117.296448	3675	1120	422.3	228	262.4	2304	11.7	333	3073	1590465646
39.212532	117.292664	3925	1196	433.4	234	269.3	2688	13.7	334	3073	1590465652
39.224358	117.285278	4525	1379	442.6	239	275	3456	17.6	333	3073	1590465664
39.235016	117.276306	5200	1585	448.2	242	278.5	3456	17.6	319	3073	1590465676
39.240005	117.268723	5575	1699	455.6	246	283.1	3136	15.9	306	3073	1590465682
39.243073	117.261597	5825	1775	464.9	251	288.8	2432	12.4	297	3073	1590465688
39.245544	117.251823	6075	1852	483.4	261	300.4	1984	10.1	286	3073	1590465694
39.246368	117.243469	6250	1905	498.2	269	309.6	2176	11.1	275	3073	1590465701
39.245956	117.232788	6525	1989	509.3	275	316.5	2816	14.3	266	3073	1590465707
39.244888	117.22229	6850	2088	509.3	275	316.5	2816	14.3	265	3073	1590465713
39.242981	117.207642	7275	2217	522.3	282	324.5	3136	15.9	260	3073	1590465722
39.241104	117.193314	7750	2362	526	284	326.8	3264	16.6	260	3073	1590465731
39.237625	117.167542	8600	2621	529.7	286	329.1	3264	16.6	260	3073	1590465746
39.235577	117.147278	9250	2819	527.8	285	328	2880	14.6	266	3073	1590465758
39.243484	117.113724	10325	3147	518.6	280	322.2	3520	17.9	301	3073	1590465779
39.248333	117.106018	10650	3246	516.7	279	321.1	3200	16.3	309	3073	1590465786
39.25502	117.098618	11000	3353	514.9	278	319.9	2752	14	320	3073	1590465792
39.264114	117.092041	11300	3444	522.3	282	324.5	1856	9.4	332	3073	1590465799
39.269512	117.088806	11425	3482	529.7	286	329.1	1536	7.8	335	3073	1590465805
39.279057	117.083374	11600	3536	546.3	295	339.5	1536	7.8	336	3073	1590465812
39.286926	117.078972	11750	3581	559.3	302	347.5	1408	7.2	336	3073	1590465818
39.302719	117.07019	12000	3658	585.2	316	363.6	1152	5.9	336	3073	1590465830
39.346436	117.045532	12650	3856	642.6	347	399.3	1152	5.9	336	3073	1590465861
39.398209	117.01783	12800	3901	683.4	369	424.6	64	0.3	340	3073	1590465894
39.45023	116.9953	12800	3901	685.2	370	425.8	-64	-0.3	343	3073	1590465926
39.50235	116.978661	12800	3901	690.8	373	429.2	0	0	346	3073	1590465958
39.556507	116.961487	13100	3993	687.1	371	426.9	1600	8.1	346	3073	1590465989
39.608414	116.945045	14200	4328	703.8	380	437.3	1408	7.2	346	3073	1590466020
39.663624	116.92749	15075	4595	709.3	383	440.7	2304	11.7	346	3073	1590466052
39.721024	116.90918	16400	4999	716.7	387	445.4	2368	12	346	3073	1590466085
39.778423	116.890869	17550	5349	727.8	393	452.3	1152	5.9	346	3073	1590466119
39.83289	116.873474	17700	5395	727.8	393	452.3	64	0.3	346	3073	1590466149
39.888054	116.855835	17700	5395	727.8	393	452.3	0	0	346	3073	1590466180
39.941635	116.838661	17700	5395	731.5	395	454.6	0	0	346	3073	1590466211
40.006714	116.817749	17700	5395	729.7	394	453.4	0	0	346	3073	1590466247
40.063202	116.799561	17700	5395	729.7	394	453.4	0	0	346	3073	1590466280
40.118301	116.781799	17700	5395	735.2	397	456.9	0	0	346	3073	1590466310
40.177559	116.762634	17700	5395	733.4	396	455.7	0	0	346	3073	1590466344
40.237701	116.743225	17700	5395	737.1	398	458	0	0	346	3073	1590466377
40.296455	116.724182	17700	5395	735.2	397	456.9	0	0	346	3073	1590466410
40.354843	116.7052	17700	5395	733.4	396	455.7	0	0	346	3073	1590466443
40.414352	116.685974	17700	5395	729.7	394	453.4	64	0.3	346	3073	1590466476
40.474422	116.666443	17725	5403	733.4	396	455.7	256	1.3	346	3073	1590466510
40.530853	116.647949	18600	5669	742.7	401	461.5	1984	10.1	345	3073	1590466541
40.640942	116.611946	19700	6005	748.2	404	464.9	64	0.3	345	3073	1590466602
40.684525	116.597656	19700	6005	751.9	406	467.2	0	0	345	3073	1590466626
40.847305	116.560669	21925	6683	774.1	418	481	1600	8.1	355	3073	1590466714
40.885757	116.557068	22550	6873	776	419	482.2	1600	8.1	356	3073	1590466734
40.930389	116.552856	22949	6995	744.5	402	462.6	0	0	357	3073	1590466758
41.010941	116.545341	24101	7346	759.3	410	471.8	0	0	357	3073	1590466798
41.079041	116.538971	24925	7597	776	419	482.2	0	0	357	3073	1590466830
41.117077	116.535347	25374	7734	776	419	482.2	0	0	357	3073	1590466850
41.23457	116.517822	26775	8161	789	426	490.2	0	0	346	3073	1590466908
41.253109	116.509827	26975	8222	789	426	490.2	0	0	341	3073	1590466918
41.283039	116.491219	27224	8298	785.2	424	487.9	0	0	332	3073	1590466936
41.335869	116.449768	27575	8405	787.1	425	489.1	0	0	330	3073	1590466968
41.401569	116.398018	27598	8412	781.5	422	485.6	0	0	330	3073	1590467008
41.59354	116.245766	27598	8412	787.1	425	489.1	0	0	330	3073	1590467120
41.602158	116.238907	27598	8412	781.5	422	485.6	0	0	330	3073	1590467126
41.640652	116.208206	27598	8412	787.1	425	489.1	0	0	330	3073	1590467148
41.705219	116.156471	27575	8405	781.5	422	485.6	0	0	330	3073	1590467188
41.734459	116.133026	27575	8405	785.2	424	487.9	0	0	330	3073	1590467204
41.742828	116.126259	27575	8405	777.8	420	483.3	0	0	330	3073	1590467210
41.80545	116.07605	27625	8420	779.7	421	484.5	0	0	330	3073	1590467248
41.842121	116.046585	27625	8420	783.4	423	486.8	0	0	330	3073	1590467268
41.926201	115.978775	27598	8412	785.2	424	487.9	0	0	330	3073	1590467318
41.97052	115.941658	27598	8412	789	426	490.2	0	0	327	3073	1590467344
42.005127	115.909691	27598	8412	787.1	425	489.1	0	0	326	3073	1590467366
42.057037	115.861687	27625	8420	781.5	422	485.6	0	0	326	3073	1590467398
42.072327	115.847511	27625	8420	779.7	421	484.5	0	0	326	3073	1590467408
45.805729	120.948616	32126	9792	722.3	390	448.8	0	0	61	0	1590470558
45.834679	121.024292	32100	9784	738.9	399	459.2	0	0	61	0	1590470588
45.930077	121.174774	32100	9784	751.9	406	467.2	0	0	26	0	1590470662
46.10371	121.156677	32126	9792	763	412	474.1	0	0	344	0	1590470752
46.191738	121.120422	32051	9769	779.7	421	484.5	0	0	344	0	1590470797
46.24855	121.096672	32051	9769	781.5	422	485.6	0	0	344	0	1590470828
46.30584	121.072769	32051	9769	785.2	424	487.9	0	0	344	0	1590470858
46.404846	121.047836	32100	9784	787.1	425	489.1	0	0	1	0	1590470908
46.4636	121.049347	32100	9784	787.1	425	489.1	0	0	1	0	1590470938
46.545578	121.042007	32126	9792	794.5	429	493.7	0	0	352	0	1590470979
46.602928	121.025391	32126	9792	790.8	427	491.4	0	0	346	0	1590471009
46.7715	120.955757	32100	9784	785.2	424	487.9	0	0	344	0	1590471100
46.850128	120.923012	32073	9776	783.4	423	486.8	0	0	344	0	1590471142
46.957077	120.878242	32100	9784	781.5	422	485.6	0	0	344	0	1590471198
47.069901	120.830673	32100	9784	776	419	482.2	0	0	344	0	1590471260
47.182888	120.782867	32100	9784	779.7	421	484.5	0	0	344	0	1590471319
47.238827	120.759178	32100	9784	779.7	421	484.5	0	0	344	0	1590471349
47.34119	120.715576	32100	9784	777.8	420	483.3	0	0	344	0	1590471404
47.406658	120.687698	32100	9784	783.4	423	486.8	0	0	344	3073	1590471438
47.553818	120.624603	32126	9792	779.7	421	484.5	0	0	344	3073	1590471518
47.74984	120.540092	32100	9784	770.4	416	478.7	-64	-0.3	343	3073	1590471624
47.865738	120.489944	32100	9784	766.7	414	476.4	0	0	343	3073	1590471686
47.978832	120.440506	31025	9456	750.1	405	466.1	-2432	-12.4	343	3073	1590471748
48.086926	120.393181	28250	8611	746.4	403	463.8	-3072	-15.6	343	3073	1590471808
48.198944	120.343819	24250	7391	751.9	406	467.2	-3008	-15.3	343	3073	1590471870
48.309174	120.295082	20900	6370	733.4	396	455.7	-2816	-14.3	343	3073	1590471932
48.417446	120.246948	17875	5448	709.3	383	440.7	-2624	-13.3	343	3073	1590471996
48.472237	120.222595	16400	4999	694.5	375	431.5	-2432	-12.4	343	3073	1590472028
48.525169	120.198883	15025	4580	679.7	367	422.3	-3008	-15.3	343	3073	1590472060
48.555473	120.180672	14500	4420	661.2	357	410.8	-896	-4.6	332	3073	1590472080
48.564789	120.17247	14425	4397	648.2	350	402.8	-896	-4.6	329	3073	1590472086
48.574036	120.164299	14300	4359	627.8	339	390.1	-1216	-6.2	329	3073	1590472092
48.582916	120.156555	14175	4321	607.5	328	377.5	-1152	-5.9	329	3073	1590472100
