latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
36.701458	127.473663	1850	564	294.5	159	183	3456	17.6	230	0	1590465790
36.696899	127.466698	2425	739	285.2	154	177.2	3008	15.3	230	0	1590465800
36.692459	127.459427	2750	838	294.5	159	183	1280	6.5	234	0	1590465809
36.690353	127.451187	3100	945	292.6	158	181.8	2496	12.7	257	0	1590465820
36.690239	127.441292	3500	1067	298.2	161	185.3	1600	8.1	270	0	1590465830
36.690353	127.436714	3625	1105	305.6	165	189.9	1472	7.5	271	0	1590465836
36.690674	127.426987	3875	1181	324.1	175	201.4	1536	7.8	272	7235	1590465844
36.691032	127.417274	4100	1250	344.5	186	214	1536	7.8	272	7235	1590465853
36.691223	127.411133	4300	1311	353.7	191	219.8	2624	13.3	272	7235	1590465860
36.691635	127.397858	4925	1501	346.3	187	215.2	3264	16.6	272	7235	1590465871
36.691822	127.391968	5225	1593	344.5	186	214	2944	15	272	7235	1590465877
36.692413	127.378235	5675	1730	353.7	191	219.8	1600	8.1	273	7235	1590465891
36.693146	127.364616	5950	1814	379.7	205	235.9	1408	7.2	273	7235	1590465902
36.694012	127.34919	6200	1890	414.8	224	257.8	1472	7.5	273	7235	1590465914
36.694885	127.333893	6625	2019	437.1	236	271.6	3136	15.9	274	7235	1590465926
36.695847	127.317413	7350	2240	433.4	234	269.3	3648	18.5	274	7235	1590465937
36.696804	127.301331	8050	2454	429.7	232	267	3520	17.9	274	7235	1590465950
36.697781	127.285316	8725	2659	429.7	232	267	3200	16.3	274	7235	1590465962
36.698776	127.268715	9325	2842	437.1	236	271.6	2688	13.7	273	7235	1590465974
36.698387	127.252182	9900	3018	442.6	239	275	2944	15	266	7235	1590465987
36.697594	127.242599	10250	3124	442.6	239	275	3200	16.3	264	7235	1590465993
36.696899	127.234665	10550	3216	440.8	238	273.9	2944	15	263	7235	1590466000
36.694794	127.210754	11400	3475	446.3	241	277.3	2816	14.3	264	7235	1590466017
36.693546	127.194801	11800	3597	453.7	245	281.9	1664	8.5	264	7235	1590466027
36.692146	127.176857	12050	3673	479.7	259	298.1	768	3.9	264	7235	1590466040
36.68811	127.124695	12100	3688	587.1	317	364.8	0	0	264	7235	1590466072
36.683537	127.090721	12100	3688	644.5	348	400.5	0	0	254	7235	1590466090
36.679321	127.077484	12100	3688	657.5	355	408.5	64	0.3	246	7235	1590466096
36.67511	127.067635	12100	3688	661.2	357	410.8	64	0.3	242	7235	1590466102
36.669388	127.056198	12125	3696	666.7	360	414.3	64	0.3	238	7235	1590466109
36.663147	127.043854	12125	3696	670.4	362	416.6	0	0	237	7235	1590466115
36.632469	126.982727	12200	3719	672.3	363	417.7	768	3.9	238	7235	1590466150
36.604118	126.926453	13275	4046	674.1	364	418.9	2688	13.7	237	7235	1590466181
36.575115	126.871346	13975	4260	674.1	364	418.9	256	1.3	232	7235	1590466212
36.569485	126.863686	14000	4267	681.5	368	423.5	64	0.3	227	7235	1590466218
36.55994	126.853523	14025	4275	688.9	372	428.1	448	2.3	219	7235	1590466225
36.550369	126.845917	14100	4298	700.1	378	435	832	4.2	211	7235	1590466231
36.539505	126.839844	14225	4336	711.2	384	441.9	1408	7.2	201	7235	1590466238
36.5289	126.836128	14400	4389	722.3	390	448.8	1920	9.8	195	7235	1590466245
36.517273	126.834183	14650	4465	733.4	396	455.7	2496	12.7	186	7235	1590466251
36.505783	126.834068	14925	4549	742.7	401	461.5	2944	15	179	7235	1590466257
36.495346	126.834473	15175	4625	742.7	401	461.5	2752	14	178	7235	1590466263
36.482712	126.83493	15475	4717	744.5	402	462.6	2432	12.4	178	7235	1590466269
36.41642	126.837044	16875	5144	757.5	409	470.7	2944	15	178	7235	1590466304
36.357761	126.834877	18175	5540	750.1	405	466.1	1216	6.2	184	7235	1590466335
36.238907	126.821709	19925	6073	770.4	416	478.7	832	4.2	184	7235	1590466398
36.118252	126.808525	20000	6096	781.5	422	485.6	0	0	185	7235	1590466460
36.002243	126.795959	20000	6096	766.7	414	476.4	0	0	185	7235	1590466520
35.885632	126.783455	20000	6096	763	412	474.1	0	0	184	7235	1590466581
35.76939	126.770775	20000	6096	763	412	474.1	-64	-0.3	185	7235	1590466642
35.653381	126.758209	20000	6096	766.7	414	476.4	0	0	184	7235	1590466703
35.53688	126.745605	20000	6096	763	412	474.1	0	0	185	7235	1590466764
35.422531	126.733475	19425	5921	740.8	400	460.3	-960	-4.9	185	7235	1590466826
35.309406	126.72139	18425	5616	722.3	390	448.8	-960	-4.9	184	7235	1590466887
35.199451	126.709785	16275	4961	707.5	382	439.6	-1536	-7.8	184	7235	1590466949
35.143074	126.70372	15975	4869	701.9	379	436.1	0	0	185	7235	1590466980
35.088005	126.697769	16000	4877	700.1	378	435	0	0	185	7235	1590467012
35.03326	126.692047	16000	4877	698.2	377	433.8	0	0	184	7235	1590467043
34.975021	126.685875	16000	4877	701.9	379	436.1	0	0	185	7235	1590467077
34.919437	126.679977	16000	4877	729.7	394	453.4	-64	-0.3	185	7235	1590467109
34.864746	126.67421	16000	4877	750.1	405	466.1	0	0	185	7235	1590467138
34.803898	126.667847	16000	4877	750.1	405	466.1	0	0	184	7235	1590467171
34.745087	126.661598	16000	4877	748.2	404	464.9	-64	-0.3	185	7235	1590467202
34.685257	126.655212	16000	4877	750.1	405	466.1	0	0	184	7235	1590467233
34.622856	126.648788	16000	4877	750.1	405	466.1	0	0	184	7235	1590467267
34.561497	126.64238	16000	4877	750.1	405	466.1	0	0	185	7235	1590467299
34.504761	126.636436	16000	4877	748.2	404	464.9	0	0	184	7235	1590467330
34.445892	126.630264	16000	4877	750.1	405	466.1	0	0	184	7235	1590467362
34.389267	126.624329	16000	4877	748.2	404	464.9	0	0	185	7235	1590467393
34.328552	126.624817	15350	4679	751.9	406	467.2	-2752	-14	176	7235	1590467424
34.26659	126.629395	13900	4237	742.7	401	461.5	-2368	-12	176	7235	1590467458
34.206665	126.633629	12725	3879	714.9	386	444.2	-2176	-11.1	176	7235	1590467491
34.152328	126.637444	12075	3680	690.8	373	429.2	-192	-1	176	7235	1590467521
34.100739	126.641144	12050	3673	661.2	357	410.8	0	0	176	7235	1590467552
34.049927	126.644844	11600	3536	613	331	380.9	-2304	-11.7	176	7235	1590467584
34.033642	126.645874	11200	3414	614.9	332	382.1	-2496	-12.7	177	7235	1590467594
34.015488	126.647018	10600	3231	622.3	336	386.7	-3200	-16.3	177	7235	1590467606
33.99305	126.648499	9875	3010	635.2	343	394.7	-2880	-14.6	176	7235	1590467621
33.975918	126.649643	9425	2873	638.9	345	397	-2496	-12.7	176	7235	1590467632
33.954254	126.651123	8725	2659	642.6	347	399.3	-3776	-19.2	176	7235	1590467645
33.936256	126.652283	8050	2454	655.6	354	407.4	-3264	-16.6	176	7235	1590467656
33.919601	126.653419	7550	2301	659.3	356	409.7	-2880	-14.6	176	7235	1590467667
33.899292	126.654907	6975	2126	659.3	356	409.7	-2944	-15	176	7235	1590467679
33.879959	126.656387	6450	1966	659.3	356	409.7	-2304	-11.7	176	7235	1590467690
33.860275	126.657845	6000	1829	653.8	353	406.2	-2304	-11.7	176	7235	1590467702
33.840317	126.659363	5525	1684	646.3	349	401.6	-2304	-11.7	176	7235	1590467714
33.821136	126.660706	5050	1539	642.6	347	399.3	-2496	-12.7	176	7235	1590467727
33.80127	126.662163	4525	1379	640.8	346	398.2	-2880	-14.6	176	7235	1590467739
33.791477	126.662865	4200	1280	640.8	346	398.2	-3392	-17.2	176	7235	1590467746
33.771599	126.664238	3600	1097	646.3	349	401.6	-2368	-12	176	7235	1590467758
33.752888	126.665436	3300	1006	626	338	389	-1152	-5.9	176	7235	1590467769
33.743435	126.666069	3200	975	605.6	327	376.3	-832	-4.2	176	7235	1590467775
33.734344	126.666702	3150	960	583.4	315	362.5	-448	-2.3	176	7235	1590467781
33.726105	126.667259	3100	945	570.4	308	354.4	-256	-1.3	176	7235	1590467787
33.717785	126.667847	3100	945	542.6	293	337.2	-128	-0.7	176	7235	1590467793
33.709358	126.668411	3075	937	522.3	282	324.5	-64	-0.3	176	7235	1590467800
33.694336	126.669502	3075	937	485.2	262	301.5	0	0	176	7235	1590467812
33.688225	126.66996	3050	930	472.3	255	293.4	-128	-0.7	176	7235	1590467818
33.673553	126.671021	3050	930	446.3	241	277.3	0	0	176	7235	1590467830
33.667099	126.671463	3075	937	442.6	239	275	64	0.3	176	7235	1590467836
33.653595	126.672417	3025	922	440.8	238	273.9	-448	-2.3	176	7235	1590467848
33.640278	126.67334	2950	899	433.4	234	269.3	-64	-0.3	176	7235	1590467860
33.633854	126.673851	2950	899	427.8	231	265.8	0	0	176	7235	1590467866
33.627426	126.674309	2950	899	426	230	264.7	0	0	176	7235	1590467872
33.604614	126.66407	2950	899	400	216	248.6	0	0	220	7235	1590467897
33.598526	126.656441	2950	899	383.4	207	238.2	0	0	228	7235	1590467906
33.591797	126.646019	2925	892	363	196	225.6	-512	-2.6	233	7235	1590467917
33.588593	126.640579	2850	869	357.4	193	222.1	-832	-4.2	235	7235	1590467924
33.584087	126.632477	2725	831	351.9	190	218.6	-448	-2.3	236	7235	1590467932
33.58176	126.628021	2675	815	344.5	186	214	-1024	-5.2	237	7235	1590467938
33.578934	126.622475	2550	777	342.6	185	212.9	-1280	-6.5	238	7235	1590467944
33.575943	126.616577	2400	732	340.8	184	211.7	-1152	-5.9	238	7235	1590467950
33.573303	126.611382	2300	701	337.1	182	209.4	-960	-4.9	238	7235	1590467957
33.568119	126.601295	2125	648	320.4	173	199.1	-640	-3.3	238	7235	1590467969
33.565659	126.596527	2025	617	309.3	167	192.2	-768	-3.9	238	7235	1590467975
33.561081	126.587555	1850	564	290.8	157	180.7	-832	-4.2	238	7235	1590467987
33.558975	126.583405	1775	541	281.5	152	174.9	-960	-4.9	238	7235	1590467993
33.554482	126.574692	1600	488	270.4	146	168	-896	-4.6	238	7235	1590468005
33.549454	126.564857	1425	434	251.9	136	156.5	-640	-3.3	238	7235	1590468020
33.547264	126.560608	1350	411	251.9	136	156.5	-704	-3.6	238	7235	1590468027
33.545288	126.556725	1275	389	251.9	136	156.5	-704	-3.6	238	7235	1590468033
33.543365	126.553024	1225	373	251.9	136	156.5	-704	-3.6	238	7235	1590468039
33.541306	126.549049	1150	351	251.9	136	156.5	-704	-3.6	238	7235	1590468046
33.539246	126.545029	1050	320	250	135	155.4	-704	-3.6	238	7235	1590468052
33.535393	126.53756	925	282	248.2	134	154.2	-768	-3.9	238	7235	1590468063
33.53334	126.533493	850	259	248.2	134	154.2	-704	-3.6	238	7235	1590468069
33.531281	126.529594	775	236	248.2	134	154.2	-640	-3.3	238	7235	1590468076
33.527298	126.521797	650	198	250	135	155.4	-704	-3.6	238	7235	1590468088
33.523499	126.514381	500	152	248.2	134	154.2	-576	-2.9	238	7235	1590468100
33.51952	126.506615	350	107	246.3	133	153.1	-768	-3.9	238	7235	1590468112
33.517456	126.502625	275	84	244.5	132	151.9	-640	-3.3	238	7235	1590468118
33.51561	126.498993	225	69	244.5	132	151.9	-704	-3.6	238	7235	1590468124
33.513607	126.495125	150	46	244.5	132	151.9	-384	-2	238	7235	1590468130
33.511688	126.491417	125	38	238.9	129	148.5	-192	-1	238	7235	1590468137
33.508568	126.485374	0	0	166.7	90	103.6	0	0	239	7235	1590468148
33.507462	126.483238	0	0	133.3	72	82.9	0	0	239	7235	1590468155
33.50602	126.480652	0	0	64.8	35	40.3	0	0	227	7235	1590468166
33.505356	126.479919	0	0	59.3	32	36.8	0	0	219	7235	1590468172
33.504627	126.479401	0	0	48.2	26	29.9	0	0	208	7235	1590468178
33.504169	126.479156	0	0	27.8	15	17.3	0	0	199	7235	1590468185
33.503796	126.479401	0	0	48.2	26	29.9	0	0	137	7235	1590468193
33.503796	126.479721	0	0	42.6	23	26.5	0	0	95	7235	1590468200
33.504009	126.480209	0	0	55.6	30	34.5	0	0	61	7235	1590468209
33.504238	126.480667	0	0	29.6	16	18.4	0	0	59	7235	1590468215
33.504543	126.481239	0	0	37	20	23	0	0	59	7235	1590468221
33.504856	126.481857	0	0	40.7	22	25.3	0	0	59	7235	1590468227
