latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
10.814426	106.654869	0	0	0	0	0	0	0	160	0	1590466080
10.814271	106.654922	0	0	20.4	11	12.7	0	0	160	0	1590468681
10.814003	106.655396	0	0	37	20	23	0	0	87	0	1590468705
10.814117	106.655685	0	0	42.6	23	26.5	0	0	70	0	1590468714
10.814232	106.655983	0	0	48.2	26	29.9	0	0	70	0	1590468720
10.814387	106.656403	0	0	55.6	30	34.5	0	0	70	0	1590468727
10.814644	106.65712	0	0	61.1	33	38	0	0	70	5742	1590468739
10.815167	106.65789	0	0	38.9	21	24.2	0	0	30	5742	1590468762
10.8154	106.657913	0	0	44.4	24	27.6	0	0	11	5742	1590468770
10.815994	106.657974	0	0	51.9	28	32.2	0	0	5	5742	1590468780
10.816303	106.658005	0	0	38.9	21	24.2	0	0	8	5742	1590468788
10.816589	106.658279	0	0	46.3	25	28.8	0	0	50	5742	1590468797
10.816681	106.658562	0	0	48.2	26	29.9	0	0	67	5742	1590468803
10.816795	106.658875	0	0	53.7	29	33.4	0	0	70	5742	1590468809
10.816924	106.659225	0	0	59.3	32	36.8	0	0	70	5742	1590468815
10.817076	106.659622	0	0	63	34	39.1	0	0	70	5742	1590468821
10.817239	106.660057	0	0	29.6	16	18.4	0	0	70	5742	1590468828
10.817472	106.660667	0	0	31.5	17	19.6	0	0	70	5742	1590468835
10.817786	106.661514	0	0	35.2	19	21.9	0	0	70	5742	1590468845
10.818123	106.662415	0	0	27.8	15	17.3	0	0	70	5742	1590468857
10.818368	106.663071	0	0	57.4	31	35.7	0	0	70	5742	1590468868
10.818615	106.663704	0	0	27.8	15	17.3	0	0	67	5742	1590468878
10.819096	106.66497	0	0	33.3	18	20.7	0	0	67	5742	1590468894
10.819299	106.665489	0	0	51.9	28	32.2	0	0	70	5742	1590468903
10.819567	106.666222	0	0	63	34	39.1	0	0	70	5742	1590468915
10.819706	106.666588	0	0	27.8	15	17.3	0	0	70	5742	1590468921
10.820068	106.667564	0	0	31.5	17	19.6	0	0	67	5742	1590468933
10.820218	106.667946	0	0	57.4	31	35.7	0	0	67	5742	1590468939
10.82032	106.668198	0	0	38.9	21	24.2	0	0	70	5742	1590468945
10.820404	106.668427	0	0	42.6	23	26.5	0	0	70	5742	1590468952
10.820637	106.668846	0	0	51.9	28	32.2	0	0	56	5742	1590468960
10.820892	106.66909	0	0	57.4	31	35.7	0	0	42	5742	1590468967
10.821407	106.669518	0	0	27.8	15	17.3	0	0	39	5742	1590468975
10.821754	106.6698	0	0	31.5	17	19.6	0	0	39	5742	1590468981
10.822048	106.670052	0	0	53.7	29	33.4	0	0	39	5742	1590468987
10.822334	106.670158	0	0	33.3	18	20.7	0	0	16	5742	1590468996
10.822563	106.670105	0	0	38.9	21	24.2	0	0	351	5742	1590469002
10.822803	106.669998	0	0	44.4	24	27.6	0	0	340	5742	1590469008
10.823078	106.669861	0	0	48.2	26	29.9	0	0	329	5742	1590469014
10.823267	106.669647	0	0	46.3	25	28.8	0	0	315	5742	1590469020
10.823456	106.669434	0	0	42.6	23	26.5	0	0	312	5742	1590469027
10.823558	106.669006	0	0	48.2	26	29.9	0	0	272	5742	1590469036
10.823302	106.668388	0	0	31.5	17	19.6	0	0	250	5742	1590469046
10.822825	106.667152	0	0	96.3	52	59.8	0	0	247	5742	1590469054
10.822048	106.665077	0	0	159.3	86	99	0	0	247	5742	1590469060
10.820938	106.66214	150	46	213	115	132.3	64	0.3	248	5742	1590469066
10.819019	106.657059	125	38	261.1	141	162.3	192	1	248	5742	1590469074
10.81753	106.653107	275	84	298.2	161	185.3	2688	13.7	248	5742	1590469080
10.815667	106.648048	600	183	294.5	159	183	3072	15.6	249	5742	1590469087
10.813934	106.643532	900	274	292.6	158	181.8	2816	14.3	248	5742	1590469093
10.812378	106.639694	1125	343	298.2	161	185.3	2432	12.4	247	5742	1590469100
10.808918	106.631226	1600	488	313	169	194.5	1856	9.4	247	5742	1590469111
10.806931	106.626389	1850	564	327.8	177	203.7	2624	13.3	247	5742	1590469118
10.804733	106.621178	2100	640	340.8	184	211.7	1984	10.1	247	5742	1590469124
10.802307	106.615257	2350	716	357.4	193	222.1	1792	9.1	247	5742	1590469131
10.80011	106.60981	2550	777	377.8	204	234.8	2240	11.4	247	5742	1590469137
10.797867	106.604134	2825	861	390.8	211	242.8	3136	15.9	247	5742	1590469143
10.795624	106.598404	3125	953	407.4	220	253.2	2944	15	248	5742	1590469150
10.793198	106.592102	3425	1044	424.1	229	263.5	2560	13	249	5742	1590469156
10.789719	106.582726	3825	1166	446.3	241	277.3	2816	14.3	249	5742	1590469164
10.787338	106.576241	4125	1257	463	250	287.7	3200	16.3	249	5742	1590469170
10.78471	106.569115	4450	1356	476	257	295.8	3392	17.2	249	5742	1590469176
10.782243	106.56208	4875	1486	481.5	260	299.2	4736	24.1	250	5742	1590469182
10.779869	106.555435	5350	1631	477.8	258	296.9	4928	25	250	5742	1590469188
10.774795	106.541359	6200	1890	483.4	261	300.4	3520	17.9	249	5742	1590469201
10.769442	106.526955	6875	2096	500	270	310.7	2880	14.6	249	5742	1590469213
10.763808	106.512115	7525	2294	516.7	279	321.1	3392	17.2	249	5742	1590469226
10.75827	106.497437	8225	2507	526	284	326.8	3840	19.5	248	5742	1590469238
10.752357	106.481804	9075	2766	527.8	285	328	3584	18.2	249	5742	1590469250
10.746643	106.46685	9800	2987	535.2	289	332.6	3840	19.5	248	5742	1590469262
10.740719	106.451401	10525	3208	540.8	292	336	2944	15	248	5742	1590469274
10.734527	106.435112	10975	3345	568.6	307	353.3	1664	8.5	248	5742	1590469286
10.728012	106.417931	11300	3444	605.6	327	376.3	1472	7.5	248	5742	1590469299
10.721446	106.400658	11825	3604	622.3	336	386.7	3840	19.5	248	5742	1590469310
10.7146	106.382507	12775	3894	609.3	329	378.6	4928	25	249	5742	1590469322
10.697425	106.33725	14575	4442	626	338	389	2240	11.4	248	5742	1590469354
10.67899	106.288391	16175	4930	648.2	350	402.8	3584	18.2	249	5742	1590469386
10.662883	106.239098	17850	5441	657.5	355	408.5	2752	14	252	5742	1590469417
10.647009	106.188835	19350	5898	670.4	362	416.6	2752	14	252	5742	1590469448
10.61405	106.088463	20000	6096	690.8	373	429.2	0	0	251	5742	1590469510
10.579508	105.984673	20000	6096	694.5	375	431.5	0	0	251	5742	1590469572
10.542732	105.88401	20000	6096	696.4	376	432.7	0	0	249	5742	1590469633
10.506142	105.782875	20000	6096	694.5	375	431.5	0	0	250	5742	1590469693
10.469467	105.681351	20000	6096	694.5	375	431.5	64	0.3	249	5742	1590469755
10.43248	105.579453	20000	6096	698.2	377	433.8	0	0	249	5742	1590469816
10.395674	105.478081	20000	6096	700.1	378	435	0	0	249	5742	1590469877
10.356243	105.373238	20000	6096	694.5	375	431.5	-64	-0.3	249	5742	1590469940
10.321516	105.280464	19325	5890	611.2	330	379.8	-832	-4.2	249	5742	1590470001
10.289535	105.194656	18375	5601	564.9	305	351	-960	-4.9	249	5742	1590470064
10.259583	105.115234	17375	5296	563	304	349.8	-832	-4.2	249	5742	1590470124
10.243469	105.072868	16675	5083	561.2	303	348.7	-1408	-7.2	248	5742	1590470155
10.227585	105.030045	15950	4862	553.7	299	344.1	-1280	-6.5	249	5742	1590470187
10.212112	104.988472	15200	4633	555.6	300	345.2	-1600	-8.1	249	5742	1590470218
10.197826	104.950211	14450	4404	550	297	341.8	-1600	-8.1	249	5742	1590470248
10.182129	104.908447	13650	4161	544.5	294	338.3	-1536	-7.8	249	5742	1590470280
10.166357	104.866539	12825	3909	537.1	290	333.7	-1536	-7.8	249	5742	1590470314
10.151879	104.828178	12125	3696	527.8	285	328	-1024	-5.2	249	5742	1590470343
10.137634	104.790627	11625	3543	509.3	275	316.5	-1024	-5.2	249	5742	1590470375
10.132874	104.778053	11450	3490	503.7	272	313	-1280	-6.5	249	5742	1590470384
10.12716	104.762924	11125	3391	503.7	272	313	-1536	-7.8	249	5742	1590470398
10.121573	104.747963	10825	3299	503.7	272	313	-1472	-7.5	249	5742	1590470410
10.116119	104.733368	10525	3208	503.7	272	313	-1536	-7.8	249	5742	1590470422
10.110626	104.718605	10275	3132	500	270	310.7	-1024	-5.2	249	5742	1590470434
10.10542	104.704727	10050	3063	494.5	267	307.3	-1152	-5.9	249	5742	1590470446
10.100235	104.690865	9825	2995	490.8	265	305	-1216	-6.2	249	5742	1590470458
10.094852	104.676506	9575	2918	485.2	262	301.5	-1216	-6.2	249	5742	1590470470
10.089752	104.662979	9350	2850	483.4	261	300.4	-1152	-5.9	249	5742	1590470482
10.084442	104.64901	9100	2774	476	257	295.8	-1216	-6.2	249	5742	1590470495
10.079677	104.636444	8875	2705	474.1	256	294.6	-1280	-6.5	248	5742	1590470506
10.074142	104.621918	8625	2629	468.6	253	291.1	-1024	-5.2	249	5742	1590470518
10.069107	104.608604	8425	2568	463	250	287.7	-1024	-5.2	249	5742	1590470531
10.064209	104.595055	8200	2499	457.4	247	284.2	-1024	-5.2	251	5742	1590470543
10.063065	104.588585	8125	2477	451.9	244	280.8	-576	-2.9	259	5742	1590470549
10.067917	104.561119	8100	2469	448.2	242	278.5	-64	-0.3	283	5742	1590470574
10.070068	104.551109	8100	2469	450	243	279.6	0	0	281	5742	1590470582
10.072508	104.538132	8100	2469	451.9	244	280.8	0	0	280	5742	1590470594
10.074928	104.524307	8100	2469	450	243	279.6	0	0	279	5742	1590470607
10.077255	104.510376	8100	2469	448.2	242	278.5	0	0	279	5742	1590470619
10.079537	104.496887	8100	2469	450	243	279.6	0	0	279	5742	1590470631
10.082005	104.483055	8100	2469	448.2	242	278.5	0	0	280	5742	1590470643
10.084442	104.469551	8100	2469	450	243	279.6	0	0	280	5742	1590470655
10.087006	104.455963	8100	2469	450	243	279.6	0	0	280	5742	1590470667
10.089546	104.442711	8100	2469	451.9	244	280.8	0	0	281	5742	1590470679
10.092178	104.429237	8100	2469	451.9	244	280.8	0	0	281	5742	1590470691
10.094899	104.415245	8075	2461	451.9	244	280.8	0	0	281	5742	1590470704
10.097534	104.401398	8100	2469	451.9	244	280.8	0	0	280	5742	1590470716
10.100006	104.388039	8100	2469	450	243	279.6	0	0	280	5742	1590470728
10.102524	104.374214	8100	2469	450	243	279.6	0	0	280	5742	1590470740
10.104996	104.360947	8100	2469	451.9	244	280.8	0	0	280	5742	1590470752
10.10788	104.347076	8000	2438	455.6	246	283.1	-1024	-5.2	283	5742	1590470764
10.111332	104.333466	7800	2377	451.9	244	280.8	-1024	-5.2	284	5742	1590470777
10.114792	104.320442	7600	2316	446.3	241	277.3	-960	-4.9	284	5742	1590470788
10.118222	104.307419	7400	2256	440.8	238	273.9	-960	-4.9	284	5742	1590470800
10.121613	104.294235	7200	2195	440.8	238	273.9	-960	-4.9	284	5742	1590470812
10.125	104.281158	7000	2134	438.9	237	272.7	-960	-4.9	284	5742	1590470825
10.128387	104.268074	6800	2073	437.1	236	271.6	-960	-4.9	284	5742	1590470836
10.13256	104.25547	6575	2004	433.4	234	269.3	-1216	-6.2	292	5742	1590470848
10.136307	104.249596	6450	1966	437.1	236	271.6	-1152	-5.9	303	5742	1590470855
10.141159	104.244751	6350	1935	438.9	237	272.7	-1024	-5.2	317	5742	1590470861
10.146744	104.241264	6250	1905	442.6	239	275	-704	-3.6	330	5742	1590470867
10.15323	104.239037	6200	1890	446.3	241	277.3	-384	-2	344	5742	1590470873
10.15984	104.238327	6150	1875	451.9	244	280.8	-384	-2	356	5742	1590470879
10.182083	104.24736	5975	1821	463	250	287.7	-512	-2.6	39	5742	1590470901
10.188126	104.255829	5900	1798	459.3	248	285.4	-448	-2.3	58	5742	1590470910
10.190414	104.262352	5875	1791	455.6	246	283.1	-448	-2.3	71	5742	1590470916
10.191284	104.269196	5825	1775	451.9	244	280.8	-448	-2.3	84	5742	1590470922
10.185909	104.292786	5550	1692	446.3	241	277.3	-1472	-7.5	106	5742	1590470944
10.183767	104.299088	5375	1638	444.5	240	276.2	-1792	-9.1	108	5742	1590470950
10.178558	104.308014	5100	1554	440.8	238	273.9	-1856	-9.4	126	5742	1590470958
10.173899	104.312439	4925	1501	438.9	237	272.7	-1728	-8.8	137	5742	1590470964
10.168259	104.315788	4775	1455	438.9	237	272.7	-1728	-8.8	151	5742	1590470970
10.158279	104.31826	4500	1372	438.9	237	272.7	-1600	-8.1	170	5742	1590470979
10.131257	104.26622	4075	1242	418.6	226	260.1	-512	-2.6	291	5742	1590471048
10.133743	104.2603	4000	1219	420.4	227	261.2	-1024	-5.2	293	5742	1590471054
10.13649	104.254059	3900	1189	420.4	227	261.2	-1088	-5.5	294	5742	1590471060
10.139263	104.247986	3775	1151	416.7	225	258.9	-1024	-5.2	294	5742	1590471067
10.143768	104.236237	3575	1090	413	223	256.6	-1024	-5.2	288	5742	1590471078
10.145187	104.230324	3475	1059	407.4	220	253.2	-1024	-5.2	283	5742	1590471084
10.146286	104.224037	3400	1036	405.6	219	252	-640	-3.3	279	5742	1590471090
10.14711	104.217987	3325	1013	398.2	215	247.4	-576	-2.9	277	5742	1590471096
10.147829	104.212044	3275	998	392.6	212	244	-640	-3.3	277	5742	1590471102
10.148849	104.203041	3175	968	385.2	208	239.4	-640	-3.3	276	5742	1590471112
10.149551	104.196846	3100	945	377.8	204	234.8	-640	-3.3	276	5742	1590471119
10.150681	104.18586	2975	907	364.8	197	226.7	-640	-3.3	275	5742	1590471130
10.15123	104.180367	2925	892	359.3	194	223.3	-576	-2.9	275	5742	1590471136
10.151833	104.174728	2850	869	355.6	192	220.9	-576	-2.9	275	5742	1590471143
10.152924	104.164078	2800	853	346.3	187	215.2	-192	-1	276	5742	1590471154
10.153473	104.158867	2800	853	333.4	180	207.1	128	0.7	275	5742	1590471160
10.153928	104.154129	2775	846	318.5	172	197.9	-512	-2.6	275	5742	1590471167
10.154905	104.144279	2625	800	307.4	166	191	-832	-4.2	275	5742	1590471179
10.155371	104.139496	2525	770	303.7	164	188.7	-832	-4.2	275	5742	1590471186
10.156219	104.130417	2375	724	296.3	160	184.1	-832	-4.2	275	5742	1590471197
10.156628	104.125908	2275	693	292.6	158	181.8	-768	-3.9	275	5742	1590471203
10.157093	104.121552	2200	671	288.9	156	179.5	-832	-4.2	275	5742	1590471210
10.158005	104.112732	2050	625	281.5	152	174.9	-768	-3.9	275	5742	1590471222
10.158443	104.108292	1975	602	277.8	150	172.6	-832	-4.2	275	5742	1590471228
10.158829	104.104164	1900	579	272.2	147	169.2	-768	-3.9	275	5742	1590471234
10.159281	104.099907	1825	556	266.7	144	165.7	-768	-3.9	275	5742	1590471240
10.159698	104.095596	1750	533	264.8	143	164.6	-576	-2.9	275	5742	1590471246
10.160072	104.091621	1700	518	261.1	141	162.3	-704	-3.6	275	5742	1590471252
10.160477	104.087456	1600	488	251.9	136	156.5	-832	-4.2	275	5742	1590471258
10.160864	104.083809	1525	465	244.5	132	151.9	-704	-3.6	275	5742	1590471264
10.161301	104.079865	1450	442	237.1	128	147.3	-576	-2.9	275	5742	1590471272
10.161655	104.076378	1400	427	231.5	125	143.8	-640	-3.3	275	5742	1590471278
10.161935	104.072922	1325	404	231.5	125	143.8	-512	-2.6	275	5742	1590471284
10.16226	104.069321	1275	389	231.5	125	143.8	-576	-2.9	275	5742	1590471290
10.162994	104.062035	1150	351	235.2	127	146.1	-704	-3.6	275	5742	1590471302
10.163361	104.058357	1075	328	235.2	127	146.1	-704	-3.6	275	5742	1590471308
10.16375	104.054779	1000	305	235.2	127	146.1	-704	-3.6	276	5742	1590471314
10.164123	104.051041	925	282	237.1	128	147.3	-704	-3.6	275	5742	1590471320
10.164495	104.047348	875	267	240.8	130	149.6	-576	-2.9	275	5742	1590471326
10.164871	104.043182	800	244	244.5	132	151.9	-640	-3.3	275	5742	1590471333
10.165612	104.035698	675	206	242.6	131	150.8	-640	-3.3	275	5742	1590471345
10.165938	104.032097	600	183	242.6	131	150.8	-640	-3.3	275	5742	1590471351
10.166336	104.028328	525	160	242.6	131	150.8	-640	-3.3	276	5742	1590471357
10.166748	104.02475	450	137	240.8	130	149.6	-704	-3.6	276	5742	1590471363
10.167114	104.020927	400	122	244.5	132	151.9	-512	-2.6	275	5742	1590471369
10.167428	104.017136	325	99	244.5	132	151.9	-576	-2.9	275	5742	1590471376
10.168213	104.009712	200	61	237.1	128	147.3	-640	-3.3	275	5742	1590471388
10.168533	104.006126	125	38	235.2	127	146.1	-640	-3.3	275	5742	1590471394
10.168871	104.002594	100	30	233.4	126	145	-64	-0.3	275	5742	1590471400
10.169243	103.999092	75	23	218.5	118	135.8	-64	-0.3	276	5742	1590471406
10.169534	103.996284	0	0	185.2	100	115.1	0	0	275	5742	1590471412
10.169767	103.993881	0	0	144.5	78	89.8	0	0	275	5742	1590471418
10.169975	103.991882	0	0	125.9	68	78.3	0	0	275	5742	1590471424
10.170135	103.990112	0	0	103.7	56	64.4	0	0	275	5742	1590471430
10.170261	103.988792	0	0	83.3	45	51.8	0	0	275	5742	1590471436
