latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
39.685551	106.882446	13524	4122	487.1	263	302.7	0	0	149	0	1590465969
39.639721	106.918289	15075	4595	503.7	272	313	0	0	149	0	1590466010
39.616699	106.936279	15951	4862	509.3	275	316.5	0	0	149	0	1590466030
39.570648	106.972153	17874	5448	518.6	280	322.2	0	0	149	0	1590466070
39.52309	107.009521	19449	5928	531.5	287	330.3	0	0	149	0	1590466108
39.479088	107.043701	20751	6325	542.6	293	337.2	0	0	149	0	1590466146
39.45406	107.063019	21424	6530	548.2	296	340.6	0	0	149	0	1590466166
39.4254	107.085655	22201	6767	559.3	302	347.5	0	0	149	0	1590466188
39.400089	107.105408	22825	6957	564.9	305	351	0	0	149	0	1590466207
39.375549	107.124458	23524	7170	566.7	306	352.1	0	0	149	0	1590466228
39.363369	107.133957	23848	7269	576	311	357.9	0	0	149	0	1590466236
39.360477	107.206978	24974	7612	598.2	323	371.7	0	0	149	0	1590466269
39.23772	107.231255	26801	8169	659.3	356	409.7	0	0	149	0	1590466328
39.196289	107.262917	27575	8405	663	358	412	0	0	152	0	1590466356
39.145218	107.278496	27598	8412	663	358	412	0	0	181	0	1590466388
39.111649	107.271759	27598	8412	659.3	356	409.7	0	0	196	0	1590466409
39.097458	107.264648	27598	8412	657.5	355	408.5	0	0	206	0	1590466420
39.084976	107.25592	27598	8412	659.3	356	409.7	0	0	213	0	1590466428
39.068977	107.240417	27598	8412	659.3	356	409.7	0	0	223	0	1590466440
39.025589	107.167992	27598	8412	670.4	362	416.6	0	0	236	0	1590466480
38.968227	107.064751	27598	8412	670.4	362	416.6	0	0	236	0	1590466539
38.928471	106.993103	27598	8412	672.3	363	417.7	0	0	236	0	1590466578
38.85004	106.851357	28225	8603	674.1	364	418.9	0	0	235	0	1590466658
38.812458	106.783752	29101	8870	672.3	363	417.7	0	0	235	0	1590466698
38.801788	106.764656	29101	8870	674.1	364	418.9	0	0	235	0	1590466708
38.759899	106.689369	29101	8870	681.5	368	423.5	0	0	236	0	1590466750
38.740398	106.654381	29101	8870	679.7	367	422.3	0	0	235	0	1590466770
38.649719	106.493225	29100	8870	696.4	376	432.7	0	0	234	1166	1590466858
38.604374	106.416565	29100	8870	713	385	443.1	128	0.7	223	1166	1590466902
38.595016	106.406799	29100	8870	724.1	391	450	-64	-0.3	216	1166	1590466908
38.584854	106.398468	29100	8870	738.9	399	459.2	64	0.3	209	1166	1590466914
38.576157	106.393036	29100	8870	750.1	405	466.1	64	0.3	204	1166	1590466920
38.563339	106.387184	29100	8870	763	412	474.1	0	0	196	1166	1590466926
