latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
3.679116	98.680763	250	76	3.7	2	2.3	640	3.3	225	0	1590466700
3.679321	98.680878	1375	419	27.8	15	17.3	-320	-1.6	7	6210	1590466846
3.680099	98.681015	1350	411	66.7	36	41.4	-192	-1	7	6210	1590466852
3.681473	98.681015	1300	396	100	54	62.1	-576	-2.9	356	6210	1590466858
3.683353	98.680481	1225	373	127.8	69	79.4	-576	-2.9	332	6210	1590466866
3.685075	98.679108	1175	358	146.3	79	90.9	-576	-2.9	313	6210	1590466872
3.686193	98.677017	1150	351	157.4	85	97.8	-320	-1.6	286	6210	1590466878
3.686188	98.6745	1100	335	163	88	101.3	-448	-2.3	259	6210	1590466884
3.684814	98.672073	1075	328	170.4	92	105.9	-256	-1.3	227	6210	1590466890
3.682388	98.670723	1025	312	170.4	92	105.9	-448	-2.3	198	6210	1590466898
3.679768	98.670441	950	290	172.2	93	107	-768	-3.9	183	6210	1590466904
3.677216	98.670403	875	267	164.8	89	102.4	-512	-2.6	181	6210	1590466910
3.674561	98.670448	825	251	151.9	82	94.4	-640	-3.3	174	6210	1590466916
3.672363	98.670959	750	229	135.2	73	84	-768	-3.9	160	6210	1590466922
3.670644	98.672142	675	206	124.1	67	77.1	-576	-2.9	136	6210	1590466930
3.669891	98.673615	625	191	100	54	62.1	-384	-2	101	6210	1590466936
3.670029	98.675056	600	183	87	47	54.1	-384	-2	72	6210	1590466942
3.670691	98.676071	575	175	74.1	40	46	-192	-1	48	6210	1590466948
3.671528	98.676781	550	168	68.5	37	42.6	-192	-1	34	6210	1590466954
3.672506	98.677353	525	160	68.5	37	42.6	-128	-0.7	30	6210	1590466960
3.673437	98.677872	500	152	63	34	39.1	-256	-1.3	29	6210	1590466966
3.674275	98.678345	475	145	63	34	39.1	-192	-1	28	6210	1590466972
3.67511	98.678734	450	137	53.7	29	33.4	-256	-1.3	25	6210	1590466980
3.675858	98.679153	400	122	57.4	31	35.7	-576	-2.9	26	6210	1590466986
3.676696	98.679527	350	107	55.6	30	34.5	-640	-3.3	24	6210	1590466992
3.67749	98.679901	275	84	55.6	30	34.5	-576	-2.9	24	6210	1590466998
3.678278	98.680336	175	53	55.6	30	34.5	-832	-4.2	27	6210	1590467004
