latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
36.264977	120.379456	0	0	0	0	0	0	0	320	0	1590467186
36.264576	120.379532	0	0	11.1	6	6.9	0	0	168	0	1590467310
36.264191	120.379646	0	0	14.8	8	9.2	0	0	165	0	1590467321
36.263741	120.379784	0	0	16.7	9	10.4	0	0	165	0	1590467332
36.263248	120.379944	0	0	18.5	10	11.5	0	0	165	0	1590467343
36.262749	120.379852	0	0	18.5	10	11.5	0	0	225	0	1590467354
36.26255	120.379181	0	0	18.5	10	11.5	0	0	255	0	1590467366
36.26231	120.378593	0	0	18.5	10	11.5	0	0	216	0	1590467377
36.261795	120.378586	0	0	18.5	10	11.5	0	0	168	0	1590467387
36.261211	120.378754	0	0	22.2	12	13.8	0	0	165	0	1590467398
36.260609	120.378952	0	0	22.2	12	13.8	0	0	165	0	1590467410
36.259956	120.37915	0	0	24.1	13	15	0	0	165	0	1590467420
36.259315	120.379356	0	0	24.1	13	15	0	0	165	0	1590467432
36.258579	120.379601	0	0	25.9	14	16.1	0	0	165	0	1590467444
36.257835	120.379837	0	0	27.8	15	17.3	0	0	165	0	1590467454
36.257118	120.380074	0	0	27.8	15	17.3	0	0	165	0	1590467466
36.256138	120.380379	0	0	29.6	16	18.4	0	0	165	0	1590467479
36.255417	120.3806	0	0	27.8	15	17.3	0	0	165	0	1590467490
36.251678	120.380959	0	0	16.7	9	10.4	0	0	176	0	1590467585
36.251575	120.380501	0	0	3.7	2	2.3	0	0	255	0	1590467640
36.251461	120.379898	0	0	18.5	10	11.5	0	0	255	0	1590467650
36.251518	120.379272	0	0	18.5	10	11.5	0	0	298	0	1590467662
36.251835	120.379028	0	0	13	7	8.1	0	0	328	0	1590467672
36.252377	120.378845	0	0	14.8	8	9.2	0	0	345	0	1590467694
36.255718	120.377777	0	0	105.6	57	65.6	0	0	345	0	1590467708
36.260593	120.376228	0	0	183.3	99	113.9	0	0	345	0	1590467718
36.272617	120.372406	351	107	225.9	122	140.4	0	0	345	0	1590467736
