latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
34.399448	108.720589	3652	1113	316.7	171	196.8	0	0	231	0	1590467328
34.387848	108.704559	3999	1219	324.1	175	201.4	0	0	230	0	1590467348
34.381107	108.695236	4150	1265	340.8	184	211.7	0	0	230	0	1590467358
34.375427	108.687523	4400	1341	348.2	188	216.3	0	0	229	0	1590467367
34.367096	108.67601	4951	1509	363	196	225.6	0	0	231	0	1590467378
34.360207	108.666626	5276	1608	374.1	202	232.5	0	0	228	0	1590467388
34.338749	108.651009	6299	1920	400	216	248.6	0	0	208	0	1590467408
34.317951	108.638809	7402	2256	411.1	222	255.5	0	0	207	0	1590467428
34.306957	108.632416	7976	2431	427.8	231	265.8	0	0	207	0	1590467438
34.239357	108.593506	11475	3498	501.9	271	311.9	3264	16.6	205	0	1590467500
34.22567	108.585602	12125	3696	505.6	273	314.2	3328	16.9	205	0	1590467512
34.192383	108.569023	13600	4145	524.1	283	325.7	3584	18.2	195	4015	1590467540
34.184006	108.566505	13975	4260	526	284	326.8	3264	16.6	193	4015	1590467547
34.176186	108.564209	14300	4359	526	284	326.8	3264	16.6	194	4015	1590467553
34.13089	108.550529	16375	4991	514.9	278	319.9	3328	16.9	193	4015	1590467588
34.101654	108.542061	17525	5342	520.4	281	323.4	2752	14	193	4015	1590467612
34.01791	108.517166	19175	5845	622.3	336	386.7	704	3.6	194	4015	1590467674
34.003922	108.51297	19250	5867	644.5	348	400.5	576	2.9	193	4015	1590467682
33.995907	108.510559	19301	5883	538.9	291	334.9	0	0	195	4015	1590467688
33.89291	108.480286	21575	6576	544.5	294	338.3	0	0	195	4015	1590467748
33.875179	108.475105	21726	6622	544.5	294	338.3	0	0	195	4015	1590467758
33.84087	108.465103	22349	6812	576	311	357.9	0	0	195	4015	1590467779
33.774807	108.445648	23576	7186	601.9	325	374	0	0	195	4015	1590467816
33.73185	108.432938	23599	7193	629.7	340	391.3	0	0	195	4015	1590467840
33.68227	108.418236	23599	7193	666.7	360	414.3	0	0	195	4015	1590467868
33.632599	108.403587	23599	7193	681.5	368	423.5	0	0	195	4015	1590467896
33.589771	108.391052	23599	7193	692.6	374	430.4	0	0	195	4015	1590467920
33.571701	108.385841	23599	7193	688.9	372	428.1	0	0	195	4015	1590467930
33.55719	108.381638	23599	7193	701.9	379	436.1	0	0	195	4015	1590467938
33.502079	108.365677	23599	7193	701.9	379	436.1	0	0	195	4015	1590467970
33.39455	108.334038	23599	7193	716.7	387	445.4	0	0	195	4015	1590468030
33.28331	108.294708	23599	7193	744.5	402	462.6	0	0	203	4015	1590468096
33.16637	108.238976	25850	7879	753.8	407	468.4	0	0	203	4015	1590468166
33.13335	108.223396	26877	8192	742.7	401	461.5	0	0	203	4015	1590468186
33.061401	108.216843	28901	8809	707.5	382	439.6	0	0	176	4015	1590468229
33.026348	108.219086	29524	8999	707.5	382	439.6	0	0	177	0	1590468248
32.99057	108.220161	29774	9075	707.5	382	439.6	0	0	182	0	1590468268
32.973557	108.217346	29849	9098	707.5	382	439.6	0	0	191	0	1590468278
32.907902	108.18885	30125	9182	705.6	381	438.4	0	0	207	0	1590468318
32.824677	108.141281	30098	9174	729.7	394	453.4	0	0	207	0	1590468368
32.775799	108.113312	30098	9174	729.7	394	453.4	0	0	207	0	1590468398
32.754021	108.100868	30098	9174	742.7	401	461.5	0	0	207	0	1590468408
32.715958	108.079147	30098	9174	746.4	403	463.8	0	0	207	0	1590468430
32.7019	108.071136	30098	9174	740.8	400	460.3	0	0	207	0	1590468440
32.682877	108.060226	30098	9174	746.4	403	463.8	0	0	207	0	1590468450
32.647499	108.03994	30098	9174	748.2	404	464.9	0	0	207	0	1590468470
32.582199	108.002296	30098	9174	748.2	404	464.9	0	0	207	0	1590468508
32.531639	107.973175	30098	9174	748.2	404	464.9	0	0	207	0	1590468538
32.514076	107.963127	30098	9174	750.1	405	466.1	0	0	207	0	1590468548
32.428246	107.913811	30098	9174	753.8	407	468.4	0	0	207	0	1590468598
32.412319	107.904686	30098	9174	751.9	406	467.2	0	0	207	0	1590468608
32.394329	107.89447	30098	9174	753.8	407	468.4	0	0	207	0	1590468618
32.227646	107.799751	30098	9174	755.6	408	469.5	0	0	207	4015	1590468718
32.159088	107.760002	30098	9174	755.6	408	469.5	0	0	210	4015	1590468758
32.020863	107.656204	30100	9174	753.8	407	468.4	0	0	207	4015	1590468845
31.999916	107.644775	30100	9174	755.6	408	469.5	128	0.7	203	4015	1590468857
31.972822	107.631882	30375	9258	759.3	410	471.8	1664	8.5	202	4015	1590468872
31.862183	107.579498	32025	9761	755.6	408	469.5	1152	5.9	201	4015	1590468936
31.754585	107.52858	32425	9883	761.2	411	473	1856	9.4	201	4015	1590468997
31.648819	107.479416	34050	10378	753.8	407	468.4	1152	5.9	201	4015	1590469056
31.538361	107.427605	34100	10394	753.8	407	468.4	0	0	201	4015	1590469120
31.427628	107.375793	34100	10394	748.2	404	464.9	0	0	201	4015	1590469183
31.320282	107.325653	34100	10394	742.7	401	461.5	0	0	201	4015	1590469245
31.214672	107.276382	34100	10394	737.1	398	458	0	0	201	4015	1590469307
31.111746	107.228432	34100	10394	735.2	397	456.9	0	0	201	4015	1590469366
31.003696	107.178169	34100	10394	738.9	399	459.2	0	0	201	4015	1590469430
30.894791	107.127579	34100	10394	740.8	400	460.3	0	0	201	4015	1590469494
30.785414	107.076874	34100	10394	744.5	402	462.6	64	0.3	201	4015	1590469557
30.676016	107.02639	34100	10394	750.1	405	466.1	0	0	201	4015	1590469619
30.564926	106.97522	34100	10394	751.9	406	467.2	-64	-0.3	201	4015	1590469683
30.455246	106.924545	34100	10394	748.2	404	464.9	0	0	201	4015	1590469746
30.350464	106.876022	34100	10394	750.1	405	466.1	0	0	201	4015	1590469807
30.240847	106.825729	34100	10394	750.1	405	466.1	64	0.3	201	4015	1590469868
30.129726	106.776726	34100	10394	753.8	407	468.4	0	0	200	4015	1590469933
30.018311	106.729057	34100	10394	751.9	406	467.2	-64	-0.3	200	4015	1590469995
29.907028	106.681259	34100	10394	753.8	407	468.4	0	0	200	4015	1590470058
