latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
31.224838	121.760399	4050	1234	401.9	217	249.7	896	4.6	340	0	1590467335
31.237015	121.75544	4300	1311	401.9	217	249.7	896	4.6	340	0	1590467347
31.286316	121.735573	6425	1958	468.6	253	291.1	3008	15.3	340	6361	1590467393
31.300003	121.729996	7025	2141	470.4	254	292.3	3008	15.3	340	6361	1590467406
31.330261	121.712463	8375	2553	487.1	263	302.7	2944	15	315	6361	1590467433
31.336716	121.701752	8750	2667	490.8	265	305	2112	10.7	299	6361	1590467442
31.339338	121.694511	8875	2705	496.3	268	308.4	1664	8.5	292	6361	1590467448
31.341385	121.683868	8975	2736	509.3	275	316.5	448	2.3	277	6361	1590467455
31.341526	121.675232	9000	2743	511.2	276	317.6	64	0.3	268	6361	1590467462
31.339691	121.662491	8975	2736	514.9	278	319.9	-64	-0.3	257	6361	1590467469
31.337906	121.653069	8975	2736	518.6	280	322.2	-64	-0.3	257	6361	1590467476
31.3358	121.6409	8975	2736	518.6	280	322.2	-64	-0.3	258	6361	1590467484
31.332729	121.621895	8950	2728	516.7	279	321.1	0	0	259	6361	1590467497
31.329895	121.604378	8950	2728	516.7	279	321.1	0	0	259	6361	1590467509
31.327095	121.586899	9000	2743	514.9	278	319.9	768	3.9	259	6361	1590467521
31.324163	121.568443	9300	2835	518.6	280	322.2	1600	8.1	259	6361	1590467533
31.321369	121.55114	9800	2987	518.6	280	322.2	3200	16.3	259	6361	1590467544
31.318497	121.533562	10450	3185	520.4	281	323.4	3520	17.9	259	6361	1590467556
31.315783	121.517029	11000	3353	526	284	326.8	2688	13.7	259	6361	1590467568
31.311455	121.490334	11425	3482	568.6	307	353.3	1728	8.8	259	6361	1590467584
31.308475	121.47226	11725	3574	592.6	320	368.2	1792	9.1	259	6361	1590467595
31.304993	121.451111	12075	3680	607.5	328	377.5	1792	9.1	259	6361	1590467607
31.294052	121.385681	12825	3909	638.9	345	397	128	0.7	258	6361	1590467644
31.290831	121.357178	12825	3909	640.8	346	398.2	-64	-0.3	268	6361	1590467660
31.300461	121.315346	12800	3901	642.6	347	399.3	0	0	297	6361	1590467682
31.305542	121.306198	12800	3901	644.5	348	400.5	0	0	304	6361	1590467688
31.312775	121.296066	12800	3901	646.3	349	401.6	0	0	309	6361	1590467696
31.32258	121.283401	12800	3901	646.3	349	401.6	0	0	311	6361	1590467704
31.329254	121.274681	12800	3901	646.3	349	401.6	0	0	311	6361	1590467710
31.335251	121.266769	12800	3901	646.3	349	401.6	0	0	311	6361	1590467717
31.36908	121.222122	12800	3901	644.5	348	400.5	0	0	311	6361	1590467747
31.405701	121.174355	12800	3901	646.3	349	401.6	64	0.3	311	6361	1590467781
31.443058	121.128609	13000	3962	650.1	351	403.9	1472	7.5	319	6361	1590467816
31.451065	121.121361	13175	4016	651.9	352	405.1	1984	10.1	323	6361	1590467822
31.459396	121.114601	13425	4092	655.6	354	407.4	2688	13.7	326	6361	1590467828
31.467823	121.108612	13725	4183	655.6	354	407.4	3392	17.2	329	6361	1590467834
31.476528	121.103119	14025	4275	661.2	357	410.8	2944	15	331	6361	1590467840
31.484665	121.098526	14250	4343	668.6	361	415.4	2816	14.3	334	6361	1590467846
31.499359	121.09066	14750	4496	672.3	363	417.7	3392	17.2	335	6361	1590467854
31.550629	121.063034	16450	5014	683.4	369	424.6	3200	16.3	335	6361	1590467887
31.60194	121.035721	18075	5509	694.5	375	431.5	2944	15	335	6361	1590467920
31.705193	120.980789	20550	6264	729.7	394	453.4	1728	8.8	335	6361	1590467984
31.81311	120.923111	22500	6858	779.7	421	484.5	2048	10.4	335	6361	1590468046
31.926641	120.862442	25050	7635	785.2	424	487.9	2752	14	335	6361	1590468110
32.037369	120.803085	27825	8481	764.9	413	475.3	2368	12	335	6361	1590468172
32.135101	120.7472	29700	9053	740.8	400	460.3	1984	10.1	322	6361	1590468230
32.144073	120.737717	29900	9114	727.8	393	452.3	2048	10.4	317	6361	1590468236
32.159912	120.713158	30100	9174	700.1	378	435	192	1	301	6361	1590468252
32.171219	120.674484	30125	9182	679.7	367	422.3	64	0.3	280	6361	1590468271
32.172226	120.664108	30100	9174	677.8	366	421.2	-128	-0.7	275	6361	1590468277
32.173233	120.65136	30100	9174	679.7	367	422.3	-64	-0.3	275	6361	1590468283
32.174377	120.638618	30100	9174	679.7	367	422.3	64	0.3	275	6361	1590468289
32.175835	120.622261	30100	9174	679.7	367	422.3	0	0	275	6361	1590468297
32.186729	120.496201	30100	9174	676	365	420	64	0.3	275	6361	1590468361
32.196739	120.371422	30100	9174	670.4	362	416.6	0	0	275	6361	1590468424
32.206795	120.248161	30100	9174	668.6	361	415.4	0	0	275	6361	1590468488
32.217033	120.12294	30100	9174	672.3	363	417.7	64	0.3	275	6361	1590468550
32.226856	120.00013	30100	9174	677.8	366	421.2	0	0	275	6361	1590468612
32.236496	119.879898	30100	9174	683.4	369	424.6	0	0	275	6361	1590468674
32.246017	119.789322	30100	9174	696.4	376	432.7	-64	-0.3	286	6361	1590468718
32.249947	119.777321	30100	9174	705.6	381	438.4	0	0	292	6361	1590468724
