latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
31.191256	121.774826	2600	792	277.8	150	172.6	2304	11.7	342	0	1590467591
31.199543	121.77169	3000	914	277.8	150	172.6	1984	10.1	341	0	1590467604
31.203686	121.77021	3175	968	285.2	154	177.2	1600	8.1	342	0	1590467610
31.208155	121.768509	3325	1013	285.2	154	177.2	1600	8.1	342	5003	1590467616
31.223688	121.76255	3599	1097	281.5	152	174.9	0	0	342	5003	1590467634
31.280451	121.738785	5275	1608	468.6	253	291.1	3456	17.6	340	5003	1590467692
31.297722	121.731644	6050	1844	477.8	258	296.9	2688	13.7	340	5003	1590467707
31.314619	121.72654	6650	2027	501.9	271	311.9	2624	13.3	351	5003	1590467721
31.34024	121.735413	7725	2355	516.7	279	321.1	2624	13.3	33	5003	1590467743
31.350632	121.748169	8250	2515	526	284	326.8	2816	14.3	54	5003	1590467755
31.354111	121.75647	8525	2598	526	284	326.8	3136	15.9	66	5003	1590467761
31.35647	121.766144	8900	2713	526	284	326.8	3264	16.6	71	5003	1590467768
31.358706	121.778061	9325	2842	526	284	326.8	3136	15.9	78	5003	1590467775
31.360107	121.78727	9625	2934	529.7	286	329.1	2816	14.3	79	5003	1590467781
31.36171	121.798584	9925	3025	537.1	290	333.7	2432	12.4	80	5003	1590467788
31.362988	121.80822	10200	3109	544.5	294	338.3	2560	13	81	5003	1590467794
31.366386	121.832611	10850	3307	557.5	301	346.4	2432	12.4	80	5003	1590467810
31.369225	121.851944	11325	3452	568.6	307	353.3	2624	13.3	80	5003	1590467822
31.372375	121.871605	11825	3604	576	311	357.9	2496	12.7	78	5003	1590467834
31.376221	121.893417	12350	3764	585.2	316	363.6	2368	12	78	5003	1590467846
31.380911	121.93248	13300	4054	600	324	372.9	2688	13.7	91	5003	1590467870
31.378235	121.948029	13700	4176	600	324	372.9	2624	13.3	105	5003	1590467878
31.374811	121.957527	13900	4237	601.9	325	374	1856	9.4	115	5003	1590467884
31.366991	121.970657	14150	4313	609.3	329	378.6	1536	7.8	127	5003	1590467894
31.357727	121.979858	14400	4389	611.2	330	379.8	2048	10.4	142	5003	1590467901
31.348297	121.985619	14675	4473	613	331	380.9	2432	12.4	150	5003	1590467908
31.339571	121.989494	14950	4557	605.6	327	376.3	2816	14.3	159	5003	1590467914
31.325979	121.994881	15275	4656	609.3	329	378.6	1600	8.1	161	5003	1590467924
31.31282	121.999672	15475	4717	624.1	337	387.8	1536	7.8	162	5003	1590467932
31.25494	122.020424	16500	5029	666.7	360	414.3	1600	8.1	162	5003	1590467970
31.19838	122.041519	17600	5364	692.6	374	430.4	960	4.9	162	5003	1590468004
31.143265	122.064621	17700	5395	742.7	401	461.5	-64	-0.3	153	5003	1590468037
31.129108	122.076889	17700	5395	757.5	409	470.7	0	0	139	5003	1590468046
31.117937	122.090462	17725	5403	766.7	414	476.4	-64	-0.3	132	5003	1590468055
31.101974	122.111908	17700	5395	772.3	417	479.9	0	0	130	5003	1590468067
31.052399	122.179276	17700	5395	790.8	427	491.4	0	0	130	5003	1590468106
31.010101	122.234749	17675	5387	790.8	427	491.4	-128	-0.7	135	5003	1590468139
31.000305	122.244064	17700	5395	777.8	420	483.3	128	0.7	141	5003	1590468146
30.988861	122.252037	17700	5395	761.2	411	473	64	0.3	150	5003	1590468153
30.973251	122.259483	17725	5403	744.5	402	462.6	64	0.3	159	5003	1590468161
30.95755	122.265442	17700	5395	737.1	398	458	-64	-0.3	162	5003	1590468170
30.942993	122.270828	17700	5395	733.4	396	455.7	0	0	162	5003	1590468178
30.879959	122.294151	17700	5395	720.4	389	447.7	-64	-0.3	162	5003	1590468214
30.844437	122.307236	17700	5395	700.1	378	435	0	0	162	5003	1590468236
30.750961	122.341431	19450	5928	685.2	370	425.8	1536	7.8	162	5003	1590468292
30.644407	122.380333	20100	6126	698.2	377	433.8	2048	10.4	162	5003	1590468357
30.581562	122.399452	21075	6424	711.2	384	441.9	1920	9.8	174	5003	1590468394
30.536407	122.398033	21825	6652	718.6	388	446.5	2112	10.7	182	5003	1590468419
30.416115	122.391098	23875	7277	753.8	407	468.4	1728	8.8	182	5003	1590468484
