latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
30.574532	103.952126	0	0	0	0	0	0	0	109	0	1590467608
30.57518	103.952095	0	0	35.2	19	21.9	0	0	295	0	1590467801
30.575697	103.950615	0	0	33.3	18	20.7	0	0	292	0	1590467905
30.575836	103.950233	0	0	37	20	23	0	0	292	0	1590467916
30.576069	103.949562	0	0	38.9	21	24.2	0	0	292	0	1590467933
30.576141	103.949066	0	0	31.5	17	19.6	0	0	267	0	1590467948
30.575218	103.948341	0	0	40.7	22	25.3	0	0	233	0	1590467980
30.574711	103.947357	0	0	48.2	26	29.9	0	0	202	0	1590468004
30.566208	103.943398	0	0	48.2	26	29.9	0	0	202	0	1590468269
30.563633	103.9422	0	0	24.1	13	15	0	0	202	7440	1590468410
30.56321	103.941986	0	0	29.6	16	18.4	0	0	210	7440	1590468428
30.563244	103.940994	0	0	22.2	12	13.8	0	0	292	7440	1590468528
30.563789	103.940086	0	0	29.6	16	18.4	0	0	306	7440	1590468563
30.564907	103.940659	0	0	66.7	36	41.4	0	0	22	7440	1590468618
30.595247	103.954781	2325	709	305.6	165	189.9	2304	11.7	22	7440	1590468670
30.601639	103.957703	2700	823	305.6	165	189.9	2304	11.7	21	7440	1590468679
30.609421	103.961304	3125	953	305.6	165	189.9	2304	11.7	21	7440	1590468690
30.616196	103.964432	3475	1059	303.7	164	188.7	1856	9.4	21	7440	1590468699
30.623657	103.96788	3775	1151	307.4	166	191	1664	8.5	21	7440	1590468710
30.631165	103.971321	4100	1250	313	169	194.5	1984	10.1	21	7440	1590468720
30.641602	103.976227	4600	1402	311.1	168	193.3	2048	10.4	21	7440	1590468735
30.647108	103.978783	4775	1455	313	169	194.5	1024	5.2	21	7440	1590468742
30.657028	103.983391	4925	1501	346.3	187	215.2	704	3.6	21	7440	1590468754
30.666286	103.987793	5075	1547	370.4	200	230.2	832	4.2	22	7440	1590468766
30.679321	103.995018	5250	1600	396.3	214	246.3	640	3.3	28	7440	1590468780
30.68367	103.999115	5275	1608	418.6	226	260.1	0	0	41	7440	1590468786
30.689941	104.009773	5400	1646	457.4	247	284.2	1344	6.8	59	7440	1590468795
30.693148	104.016411	5525	1684	474.1	256	294.6	1344	6.8	61	7440	1590468801
30.69928	104.029053	5750	1753	500	270	310.7	1408	7.2	60	7440	1590468811
30.712513	104.055191	6475	1974	524.1	283	325.7	3200	16.3	59	7440	1590468831
30.72258	104.074722	7300	2225	522.3	282	324.5	3072	15.6	59	7440	1590468846
30.73288	104.094704	8025	2446	524.1	283	325.7	2624	13.3	59	7440	1590468861
30.73938	104.107254	8450	2576	531.5	287	330.3	2816	14.3	59	7440	1590468870
30.749451	104.127289	9150	2789	538.9	291	334.9	3008	15.3	60	7440	1590468886
30.761353	104.146301	9850	3002	550	297	341.8	2432	12.4	47	7440	1590468901
30.772427	104.157089	10400	3170	546.3	295	339.5	2560	13	38	7440	1590468911
30.783785	104.167473	10675	3254	553.7	299	344.1	1344	6.8	38	7440	1590468921
30.812786	104.19384	11225	3421	603.8	326	375.2	2048	10.4	38	7440	1590468946
30.826767	104.206558	11725	3574	609.3	329	378.6	2944	15	38	7440	1590468958
30.848166	104.228226	12500	3810	609.3	329	378.6	2048	10.4	46	7440	1590468976
30.857025	104.243935	12875	3924	618.6	334	384.4	2432	12.4	62	7440	1590468987
30.86204	104.261299	13300	4054	624.1	337	387.8	2240	11.4	75	7440	1590468998
30.864227	104.272781	13500	4115	627.8	339	390.1	1664	8.5	77	7440	1590469004
30.86673	104.286697	13675	4168	637.1	344	395.9	1088	5.5	78	7440	1590469011
30.868652	104.297737	13750	4191	651.9	352	405.1	576	2.9	78	7440	1590469017
30.881638	104.373192	13975	4260	696.4	376	432.7	1344	6.8	78	7440	1590469056
30.892639	104.436951	14700	4481	707.5	382	439.6	1408	7.2	78	7440	1590469088
30.904913	104.507996	15675	4778	716.7	387	445.4	2112	10.7	78	7440	1590469122
30.917496	104.581284	16675	5083	737.1	398	458	1792	9.1	78	7440	1590469158
30.930405	104.657166	17675	5387	755.6	408	469.5	1984	10.1	78	7440	1590469194
30.943176	104.732773	18550	5654	755.6	408	469.5	960	4.9	78	7440	1590469229
30.965153	104.863457	19475	5936	768.6	415	477.6	1920	9.8	79	7440	1590469289
30.977234	104.906616	19900	6066	779.7	421	484.5	1088	5.5	65	7440	1590469310
30.987854	104.927078	20125	6134	785.2	424	487.9	1280	6.5	57	7440	1590469319
30.998762	104.946022	20350	6203	789	426	490.2	1408	7.2	56	7440	1590469329
31.075653	105.079651	22075	6728	800.1	432	497.1	1024	5.2	56	7440	1590469398
31.143913	105.198158	23625	7201	807.5	436	501.7	960	4.9	56	7440	1590469460
31.216814	105.325157	25075	7643	818.6	442	508.6	1280	6.5	56	7440	1590469524
31.292973	105.45826	26125	7963	846.4	457	525.9	896	4.6	56	7440	1590469590
31.365555	105.585449	27000	8230	876	473	544.3	1024	5.2	56	7440	1590469651
31.445572	105.726158	28250	8611	883.4	477	548.9	1152	5.9	56	7440	1590469717
31.520987	105.859367	29425	8969	889	480	552.4	1216	6.2	56	7440	1590469778
31.596771	105.993454	30650	9342	889	480	552.4	1216	6.2	56	7440	1590469840
31.673164	106.128975	31075	9472	927.9	501	576.5	-64	-0.3	56	7440	1590469901
31.752724	106.270699	31050	9464	957.5	517	595	64	0.3	56	7440	1590469962
31.834795	106.41761	31050	9464	957.5	517	595	0	0	56	7440	1590470024
31.916866	106.564972	31050	9464	964.9	521	599.6	0	0	56	7440	1590470087
31.99736	106.70993	31100	9479	959.3	518	596.1	0	0	57	7440	1590470149
32.079891	106.859253	31075	9472	957.5	517	595	-64	-0.3	57	7440	1590470211
32.161545	107.007904	31050	9464	953.8	515	592.7	0	0	57	7440	1590470274
32.237778	107.146034	31050	9464	950.1	513	590.3	0	0	55	7440	1590470334
32.336582	107.285248	31050	9464	940.8	508	584.6	-64	-0.3	49	7440	1590470398
32.357071	107.318901	31050	9464	948.2	512	589.2	0	0	57	7440	1590470414
32.373871	107.354225	31050	9464	951.9	514	591.5	64	0.3	61	7440	1590470427
32.426559	107.471725	31050	9464	950.1	513	590.3	0	0	62	7440	1590470475
32.46442	107.555489	31050	9464	951.9	514	591.5	0	0	62	7440	1590470508
32.486389	107.603996	31050	9464	950.1	513	590.3	0	0	62	7440	1590470528
32.51017	107.656586	31050	9464	953.8	515	592.7	0	0	62	7440	1590470548
32.521351	107.681206	31050	9464	953.8	515	592.7	0	0	62	7440	1590470558
32.532658	107.7062	31050	9464	950.1	513	590.3	0	0	62	7440	1590470570
32.541138	107.724953	31050	9464	946.4	511	588	0	0	62	7440	1590470578
