latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
52.317417	4.769479	0	0	44.4	24	27.6	0	0	87	0	1590467696
52.31757	4.773464	0	0	46.3	25	28.8	0	0	87	0	1590467714
52.317616	4.774494	0	0	42.6	23	26.5	0	0	84	0	1590467721
52.317684	4.776012	0	0	27.8	15	17.3	0	0	84	0	1590467731
52.317352	4.776726	0	0	27.8	15	17.3	0	0	196	0	1590467741
52.316826	4.775581	0	0	37	20	23	0	0	219	0	1590467752
52.316093	4.775162	0	0	63	34	39.1	0	0	191	0	1590467762
52.315392	4.773991	0	0	57.4	31	35.7	0	0	241	0	1590467777
52.315269	4.773235	0	0	27.8	15	17.3	0	0	264	0	1590467787
52.315136	4.772873	0	0	33.3	18	20.7	0	0	180	0	1590467797
52.315044	4.773167	0	0	25.9	14	16.1	0	0	50	0	1590467806
52.315636	4.774666	0	0	3.7	2	2.3	0	0	50	0	1590467836
52.317444	4.776764	0	0	27.8	15	17.3	0	0	351	0	1590468670
52.317707	4.775085	0	0	59.3	32	36.8	0	0	261	0	1590468682
52.317604	4.772814	0	0	63	34	39.1	0	0	264	0	1590468690
52.317421	4.769077	0	0	64.8	35	40.3	0	0	264	0	1590468704
52.317123	4.759502	0	0	70.4	38	43.7	0	0	264	0	1590468735
52.31694	4.756737	0	0	70.4	38	43.7	0	0	264	0	1590468744
52.316803	4.753706	0	0	61.1	33	38	0	0	270	0	1590468758
52.315395	4.751797	0	0	57.4	31	35.7	0	0	180	0	1590474197
52.314976	4.753843	0	0	29.6	16	18.4	0	0	104	0	1590474214
52.314556	4.754432	0	0	63	34	39.1	0	0	171	0	1590474223
52.311111	4.755334	0	0	42.6	23	26.5	0	0	19	0	1590474293
52.313587	4.754601	0	0	63	34	39.1	0	0	357	0	1590474328
52.314137	4.754848	0	0	35.2	19	21.9	0	0	42	0	1590474336
52.315922	4.774837	0	0	27.8	15	17.3	0	0	19	0	1590474460
52.316242	4.774933	0	0	31.5	17	19.6	0	0	14	0	1590474467
52.317429	4.768577	0	0	37	20	23	0	0	264	0	1590474557
52.317184	4.762946	0	0	61.1	33	38	0	0	264	0	1590474586
52.317104	4.760533	0	0	59.3	32	36.8	0	0	264	0	1590474596
52.316975	4.756756	0	0	53.7	29	33.4	0	0	264	0	1590474611
52.318359	4.749586	0	0	33.3	18	20.7	0	0	351	0	1590474702
52.319164	4.750096	0	0	29.6	16	18.4	0	0	11	0	1590474717
52.319492	4.749737	0	0	29.6	16	18.4	0	0	278	0	1590474724
52.319046	4.746819	0	0	22.2	12	13.8	0	0	264	0	1590475436
52.318977	4.747251	0	0	42.6	23	26.5	0	0	109	0	1590475472
52.317593	4.776554	0	0	53.7	29	33.4	0	0	132	0	1590489787
52.31673	4.77558	0	0	37	20	23	0	0	213	0	1590489801
52.316036	4.775105	0	0	51.9	28	32.2	0	0	210	0	1590489812
52.315907	4.774717	0	0	46.3	25	28.8	0	0	267	0	1590489818
52.315807	4.774094	0	0	35.2	19	21.9	0	0	227	0	1590489828
52.315369	4.773795	0	0	37	20	23	0	0	216	0	1590489842
52.315224	4.773216	0	0	25.9	14	16.1	0	0	222	0	1590489854
52.315186	4.772952	0	0	0	0	0	0	0	317	0	1590489961
52.315029	4.773312	0	0	42.6	23	26.5	0	0	118	0	1590490544
52.315266	4.774266	0	0	33.3	18	20.7	0	0	36	0	1590490558
52.316605	4.775306	0	0	31.5	17	19.6	0	0	42	0	1590490575
52.317162	4.776542	0	0	61.1	33	38	0	0	50	0	1590490588
52.317616	4.776745	0	0	29.6	16	18.4	0	0	323	0	1590490595
52.317661	4.775325	0	0	35.2	19	21.9	0	0	261	0	1590490605
52.317627	4.774619	0	0	37	20	23	0	0	267	0	1590490611
52.317455	4.769573	0	0	50	27	31.1	0	0	267	0	1590490642
52.317535	4.776639	0	0	51.9	28	32.2	0	0	160	0	1590512611
52.316608	4.775429	0	0	50	27	31.1	0	0	210	0	1590512623
52.315823	4.774894	0	0	33.3	18	20.7	0	0	219	0	1590512634
52.315407	4.773865	0	0	50	27	31.1	0	0	241	0	1590512644
52.315189	4.773102	0	0	29.6	16	18.4	0	0	210	0	1590512664
52.317627	4.776535	0	0	35.2	19	21.9	0	0	309	0	1590514316
52.317684	4.775639	0	0	42.6	23	26.5	0	0	264	0	1590514322
52.317627	4.773932	0	0	59.3	32	36.8	0	0	264	0	1590514330
52.317535	4.770989	0	0	53.7	29	33.4	0	0	264	0	1590514343
