latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
37.629524	-120.960312	500	152	244.5	132	151.9	1728	8.8	301	0	1590467810
37.631573	-120.964485	700	213	250	135	155.4	2112	10.7	301	0	1590467816
37.633575	-120.968475	925	282	240.8	130	149.6	2176	11.1	302	0	1590467822
37.63591	-120.971916	1100	335	238.9	129	148.5	1856	9.4	317	0	1590467828
37.639023	-120.974083	1300	396	240.8	130	149.6	1728	8.8	339	0	1590467834
37.652054	-120.96682	1950	594	268.5	145	166.9	832	4.2	49	1200	1590467858
37.654312	-120.962456	2025	617	290.8	157	180.7	704	3.6	61	1200	1590467864
37.655731	-120.957085	2075	632	311.1	168	193.3	128	0.7	76	1200	1590467870
37.656384	-120.951111	2075	632	324.1	175	201.4	256	1.3	84	1200	1590467876
37.651543	-120.928726	2125	648	340.8	184	211.7	-256	-1.3	120	1200	1590467898
37.648636	-120.922829	2125	648	340.8	184	211.7	-128	-0.7	122	1200	1590467905
37.644379	-120.914536	2100	640	337.1	182	209.4	-128	-0.7	123	1200	1590467914
37.641254	-120.908539	2075	632	337.1	182	209.4	-128	-0.7	123	1200	1590467920
37.638836	-120.903824	2075	632	333.4	180	207.1	-128	-0.7	122	1200	1590467926
37.63348	-120.893433	2075	632	322.2	174	200.2	0	0	122	1200	1590467938
37.630737	-120.888062	2075	632	314.8	170	195.6	-64	-0.3	122	1200	1590467944
37.628265	-120.883461	2025	617	309.3	167	192.2	-640	-3.3	125	1200	1590467950
37.624832	-120.87883	1925	587	311.1	168	193.3	-1280	-6.5	138	1200	1590467957
37.620758	-120.875908	1800	549	313	169	194.5	-1280	-6.5	157	1200	1590467963
37.603363	-120.882393	1325	404	281.5	152	174.9	-1408	-7.2	229	1200	1590467988
37.601395	-120.887009	1225	373	266.7	144	165.7	-512	-2.6	248	1200	1590467994
37.600296	-120.891747	1150	351	255.6	138	158.8	-1152	-5.9	256	1200	1590468000
37.599701	-120.896416	1050	320	250	135	155.4	-832	-4.2	262	1200	1590468006
37.599518	-120.900856	1000	305	222.2	120	138.1	-640	-3.3	270	1200	1590468012
37.600101	-120.904716	925	282	200	108	124.3	-832	-4.2	287	1200	1590468018
37.601532	-120.90799	850	259	190.8	103	118.5	-704	-3.6	303	1200	1590468024
37.603081	-120.910873	800	244	183.3	99	113.9	-512	-2.6	303	1200	1590468030
37.604572	-120.913795	775	236	172.2	93	107	0	0	303	1200	1590468037
37.60741	-120.919052	650	198	166.7	90	103.6	-640	-3.3	304	1200	1590468048
37.608856	-120.921677	575	175	168.5	91	104.7	-768	-3.9	304	1200	1590468054
37.610298	-120.924301	525	160	170.4	92	105.9	-640	-3.3	304	1200	1590468060
37.612152	-120.927742	450	137	168.5	91	104.7	-448	-2.3	305	1200	1590468068
37.613602	-120.930336	400	122	168.5	91	104.7	-512	-2.6	305	1200	1590468074
37.61499	-120.932823	350	107	166.7	90	103.6	-256	-1.3	304	1200	1590468080
37.616398	-120.935471	325	99	163	88	101.3	64	0.3	303	1200	1590468086
37.617828	-120.938141	300	91	161.1	87	100.1	-512	-2.6	303	1200	1590468092
37.619236	-120.940727	250	76	163	88	101.3	-384	-2	305	1200	1590468098
