latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
24.872429	55.171825	0	0	42.6	23	26.5	0	0	30	0	1590468064
24.873344	55.172398	0	0	44.4	24	27.6	0	0	22	0	1590468084
24.873814	55.172016	0	0	50	27	31.1	0	0	298	0	1590468097
24.879459	55.169868	0	0	35.2	19	21.9	0	0	30	0	1590468213
24.880251	55.170387	0	0	37	20	23	0	0	30	0	1590468223
24.880898	55.170811	0	0	38.9	21	24.2	0	0	30	0	1590468231
24.881859	55.171459	0	0	38.9	21	24.2	0	0	30	0	1590468243
24.882498	55.171864	0	0	35.2	19	21.9	0	0	28	0	1590468250
24.88369	55.172539	0	0	37	20	23	0	0	30	0	1590468264
24.884521	55.173092	0	0	37	20	23	0	0	30	0	1590468274
24.885841	55.173977	0	0	38.9	21	24.2	0	0	30	0	1590468290
24.886436	55.17437	0	0	29.6	16	18.4	0	0	25	0	1590468298
24.887234	55.17395	0	0	33.3	18	20.7	0	0	303	0	1590468310
24.887775	55.17297	0	0	42.6	23	26.5	0	0	300	0	1590468320
24.888409	55.171825	0	0	51.9	28	32.2	0	0	300	0	1590468330
24.889132	55.170517	0	0	59.3	32	36.8	0	0	298	0	1590468339
24.889946	55.169052	0	0	63	34	39.1	0	0	298	0	1590468350
24.890659	55.167744	0	0	64.8	35	40.3	0	0	298	0	1590468359
24.891575	55.166092	0	0	63	34	39.1	0	0	300	0	1590468369
24.892424	55.16457	0	0	63	34	39.1	0	0	300	0	1590468379
24.893349	55.162899	0	0	64.8	35	40.3	0	0	298	0	1590468390
24.894184	55.161388	0	0	63	34	39.1	0	0	300	0	1590468400
24.894642	55.160561	0	0	61.1	33	38	0	0	300	0	1590468406
24.895798	55.158463	0	0	59.3	32	36.8	0	0	300	0	1590468421
24.896587	55.157051	0	0	61.1	33	38	0	0	300	0	1590468431
24.897354	55.155651	0	0	61.1	33	38	0	0	300	0	1590468440
24.897972	55.154533	0	0	57.4	31	35.7	0	0	298	0	1590468448
24.898911	55.152855	0	0	55.6	30	34.5	0	0	300	0	1590468461
24.900284	55.150349	0	0	55.6	30	34.5	0	0	300	0	1590468479
24.900805	55.149437	0	0	53.7	29	33.4	0	0	300	0	1590468488
24.901737	55.147717	0	0	55.6	30	34.5	0	0	298	0	1590468500
24.902607	55.146145	0	0	59.3	32	36.8	0	0	300	0	1590468511
24.903364	55.144772	0	0	55.6	30	34.5	0	0	298	0	1590468521
24.903866	55.143864	0	0	48.2	26	29.9	0	0	300	0	1590468528
24.904295	55.143322	0	0	31.5	17	19.6	0	0	329	0	1590468535
24.904715	55.14336	0	0	31.5	17	19.6	0	0	19	0	1590468541
24.905365	55.143978	0	0	31.5	17	19.6	0	0	50	0	1590468551
24.905594	55.144806	0	0	31.5	17	19.6	0	0	101	0	1590468562
24.905193	55.14558	0	0	44.4	24	27.6	0	0	118	0	1590468570
24.903563	55.148529	0	0	163	88	101.3	0	0	120	0	1590468581
24.898453	55.157776	200	61	290.8	157	180.7	-64	-0.3	120	0	1590468598
24.890783	55.17215	875	267	337.1	182	209.4	2944	15	120	566	1590468617
24.887009	55.178986	1350	411	344.5	186	214	3328	16.9	120	566	1590468626
24.881882	55.188396	1800	549	364.8	197	226.7	1728	8.8	121	566	1590468636
24.878036	55.195057	2000	610	381.5	206	237.1	1280	6.5	122	566	1590468644
24.874815	55.200806	2125	648	400	216	248.6	1216	6.2	121	566	1590468650
24.869928	55.20977	2300	701	416.7	225	258.9	1216	6.2	120	566	1590468660
24.864946	55.218685	2525	770	433.4	234	269.3	1600	8.1	121	566	1590468668
24.851944	55.242615	3425	1044	450	243	279.6	2624	13.3	120	566	1590468692
24.845907	55.253456	3875	1181	453.7	245	281.9	2624	13.3	121	566	1590468701
24.839762	55.264599	4325	1318	457.4	247	284.2	2432	12.4	121	566	1590468711
24.835785	55.271709	4575	1394	459.3	248	285.4	2496	12.7	121	566	1590468718
24.832314	55.278175	4825	1471	463	250	287.7	2496	12.7	120	566	1590468724
24.829195	55.285431	5100	1554	464.9	251	288.8	2624	13.3	110	566	1590468731
24.827425	55.293983	5350	1631	470.4	254	292.3	2240	11.4	102	566	1590468737
24.827473	55.30191	5525	1684	485.2	262	301.5	1408	7.2	84	566	1590468743
24.829008	55.309891	5650	1722	498.2	269	309.6	1408	7.2	73	566	1590468749
24.831894	55.317562	5800	1768	505.6	273	314.2	1536	7.8	63	566	1590468755
24.836737	55.324764	5975	1821	514.9	278	319.9	1984	10.1	46	566	1590468762
24.846373	55.332329	6300	1920	514.9	278	319.9	2240	11.4	26	566	1590468771
24.856661	55.335854	6675	2035	511.2	276	317.6	2752	14	10	566	1590468780
24.868345	55.336063	7125	2172	507.4	274	315.3	2688	13.7	352	566	1590468789
24.879005	55.332485	7500	2286	505.6	273	314.2	2432	12.4	335	566	1590468797
24.885849	55.327717	7775	2370	505.6	273	314.2	2496	12.7	321	566	1590468804
24.893717	55.318233	8150	2484	507.4	274	315.3	2432	12.4	304	566	1590468813
24.898977	55.307301	8475	2583	511.2	276	317.6	2304	11.7	295	566	1590468822
24.903912	55.295486	8825	2690	516.7	279	321.1	2240	11.4	294	566	1590468830
24.906921	55.288494	9025	2751	520.4	281	323.4	2240	11.4	295	566	1590468836
24.916077	55.267639	9650	2941	527.8	285	328	2368	12	295	566	1590468852
24.92308	55.25172	10075	3071	535.2	289	332.6	2176	11.1	295	566	1590468864
24.929993	55.236309	10500	3200	540.8	292	336	2240	11.4	296	566	1590468875
24.937454	55.219677	10975	3345	544.5	294	338.3	2368	12	296	566	1590468888
24.94455	55.203857	11350	3459	555.6	300	345.2	1664	8.5	296	566	1590468900
24.952139	55.187019	11700	3566	566.7	306	352.1	1600	8.1	296	566	1590468912
24.959976	55.169678	12000	3658	581.5	314	361.3	1600	8.1	296	566	1590468924
24.982224	55.120441	12875	3924	618.6	334	384.4	1472	7.5	296	566	1590468958
25.005707	55.068615	13700	4176	650.1	351	403.9	1472	7.5	296	566	1590468990
25.030289	55.014294	14550	4435	676	365	420	1472	7.5	296	566	1590469023
25.055904	54.957603	15425	4702	698.2	377	433.8	1472	7.5	296	566	1590469057
25.081741	54.900288	16275	4961	716.7	387	445.4	1600	8.1	296	566	1590469090
25.108566	54.840698	17100	5212	726	392	451.1	1472	7.5	296	566	1590469123
25.135162	54.781597	17900	5456	731.5	395	454.6	1472	7.5	296	566	1590469156
25.160927	54.724712	18700	5700	735.2	397	456.9	1536	7.8	296	566	1590469188
25.214321	54.605625	20350	6203	740.8	400	460.3	1600	8.1	296	566	1590469254
25.263748	54.495342	21850	6660	744.5	402	462.6	1472	7.5	296	566	1590469313
25.316299	54.377899	23075	7033	763	412	474.1	960	4.9	296	566	1590469376
25.369852	54.257744	24125	7353	776	419	482.2	896	4.6	296	566	1590469439
25.424423	54.135132	25225	7689	776	419	482.2	1024	5.2	296	566	1590469503
25.475967	54.019012	26225	7993	774.1	418	481	1024	5.2	296	566	1590469564
25.529846	53.897045	27275	8313	768.6	415	477.6	1024	5.2	295	566	1590469628
25.581161	53.781635	28300	8626	761.2	411	473	1024	5.2	295	566	1590469688
25.631197	53.667747	29300	8931	751.9	406	467.2	960	4.9	295	566	1590469749
25.682281	53.551178	30325	9243	744.5	402	462.6	1024	5.2	295	566	1590469811
25.731331	53.438797	31325	9548	740.8	400	460.3	896	4.6	295	566	1590469872
25.780071	53.327274	32175	9807	742.7	401	461.5	832	4.2	295	566	1590469932
25.831511	53.209164	33025	10066	744.5	402	462.6	768	3.9	295	566	1590469995
25.879925	53.092171	33850	10317	742.7	401	461.5	768	3.9	294	566	1590470058
25.927826	52.973846	34700	10577	742.7	401	461.5	704	3.6	294	566	1590470121
25.975962	52.855171	35525	10828	738.9	399	459.2	768	3.9	294	566	1590470184
26.02153	52.742149	36325	11072	737.1	398	458	832	4.2	293	566	1590470245
26.072092	52.630585	37125	11316	735.2	397	456.9	832	4.2	296	566	1590470306
26.123161	52.517185	37950	11567	729.7	394	453.4	832	4.2	296	566	1590470369
26.17337	52.406029	38775	11819	720.4	389	447.7	832	4.2	296	566	1590470431
26.223063	52.295345	39525	12047	714.9	386	444.2	576	2.9	296	566	1590470493
26.270554	52.185474	40000	12192	718.6	388	446.5	64	0.3	295	566	1590470554
26.318069	52.075455	40000	12192	742.7	401	461.5	0	0	295	566	1590470614
26.367559	51.960209	40000	12192	759.3	410	471.8	-64	-0.3	294	566	1590470675
26.411505	51.834923	40000	12192	774.1	418	481	64	0.3	290	566	1590470738
26.453682	51.709373	40000	12192	787.1	425	489.1	0	0	290	566	1590470800
26.495811	51.583347	40000	12192	800.1	432	497.1	0	0	290	566	1590470860
26.540733	51.448078	40000	12192	807.5	436	501.7	0	0	290	566	1590470925
26.582632	51.321682	40000	12192	814.9	440	506.3	0	0	290	566	1590470985
26.627151	51.187168	40000	12192	816.7	441	507.5	0	0	290	566	1590471047
26.672569	51.049557	40000	12192	814.9	440	506.3	0	0	290	566	1590471112
26.715631	50.916615	40000	12192	811.2	438	504	-128	-0.7	289	566	1590471174
26.758896	50.78083	40000	12192	807.5	436	501.7	0	0	289	566	1590471238
26.807943	50.650566	40000	12192	822.3	444	510.9	-64	-0.3	299	566	1590471302
26.884523	50.536213	40000	12192	840.8	454	522.5	-64	-0.3	309	566	1590471362
26.972925	50.425926	40000	12192	850.1	459	528.2	0	0	312	566	1590471425
27.060677	50.320606	40000	12192	851.9	460	529.4	64	0.3	313	566	1590471485
27.154587	50.209747	40000	12192	861.2	465	535.1	64	0.3	317	566	1590471549
27.2575	50.119789	40000	12192	870.4	470	540.9	-64	-0.3	323	566	1590471609
27.368433	50.027988	40000	12192	872.3	471	542	-128	-0.7	323	566	1590471672
27.473785	49.935349	40000	12192	870.4	470	540.9	64	0.3	321	566	1590471734
27.577515	49.843781	40000	12192	874.1	472	543.2	0	0	321	566	1590471794
27.685272	49.748528	40000	12192	870.4	470	540.9	0	0	321	566	1590471857
27.788132	49.657478	40000	12192	872.3	471	542	-64	-0.3	321	566	1590471917
27.894381	49.563446	40000	12192	874.1	472	543.2	0	0	321	566	1590471978
27.997375	49.470856	40000	12192	872.3	471	542	0	0	321	566	1590472039
28.105774	49.371914	40000	12192	874.1	472	543.2	0	0	321	566	1590472103
28.208561	49.278046	39975	12184	876	473	544.3	0	0	321	566	1590472164
28.317123	49.178608	40000	12192	876	473	544.3	0	0	321	566	1590472228
28.421677	49.086174	40025	12200	887.1	479	551.2	320	1.6	328	566	1590472288
28.5401	49.002563	40000	12192	887.1	479	551.2	64	0.3	327	566	1590472350
28.654718	48.920128	40000	12192	887.1	479	551.2	0	0	327	566	1590472411
28.773193	48.834389	38950	11872	896.4	484	557	-1600	-8.1	327	566	1590472474
28.890335	48.749561	36750	11201	855.6	462	531.7	-2496	-12.7	327	566	1590472537
28.999466	48.670174	33875	10325	822.3	444	510.9	-2944	-15	327	566	1590472599
29.107269	48.591682	30650	9342	792.7	428	492.5	-3072	-15.6	327	566	1590472663
29.198168	48.525536	27875	8496	755.6	408	469.5	-2624	-13.3	327	566	1590472718
