latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
46.786366	23.69297	0	0	3.7	2	2.3	0	0	357	0	1590468117
46.786709	23.69277	0	0	44.4	24	27.6	0	0	340	1000	1590468363
46.78706	23.692617	0	0	57.4	31	35.7	0	0	340	1000	1590468370
46.787453	23.692419	0	0	27.8	15	17.3	0	0	340	1000	1590468376
46.787922	23.692202	0	0	31.5	17	19.6	0	0	340	1000	1590468383
46.788815	23.691849	0	0	27.8	15	17.3	0	0	8	1000	1590468394
46.789188	23.692154	0	0	63	34	39.1	0	0	56	1000	1590468400
46.789364	23.692738	0	0	29.6	16	18.4	0	0	73	1000	1590468407
46.789516	23.693441	0	0	33.3	18	20.7	0	0	73	1000	1590468413
46.789677	23.694214	0	0	35.2	19	21.9	0	0	75	1000	1590468419
46.789795	23.695038	0	0	37	20	23	0	0	81	1000	1590468426
46.789959	23.696119	0	0	53.7	29	33.4	0	0	70	1000	1590468435
46.790085	23.696354	0	0	22.2	12	13.8	0	0	26	1000	1590468441
46.790142	23.696154	0	0	25.9	14	16.1	0	0	250	1000	1590468451
46.790005	23.695587	0	0	33.3	18	20.7	0	0	253	1000	1590468459
46.789711	23.694283	0	0	81.5	44	50.6	0	0	253	1000	1590468466
46.789124	23.691565	0	0	144.5	78	89.8	0	0	250	1000	1590468472
46.787201	23.683107	775	236	240.8	130	149.6	64	0.3	251	1000	1590468484
46.785976	23.677666	825	251	270.4	146	168	1152	5.9	252	1000	1590468490
46.784767	23.671623	1075	328	270.4	146	168	2688	13.7	254	1000	1590468497
46.782532	23.659527	1600	488	275.9	149	171.5	2368	12	255	1000	1590468509
46.780243	23.647133	2100	640	287.1	155	178.4	2560	13	254	1000	1590468521
46.779144	23.641306	2325	709	292.6	158	181.8	2304	11.7	253	1000	1590468527
46.777725	23.634405	2575	785	298.2	161	185.3	2240	11.4	253	1000	1590468534
46.776386	23.627884	2800	853	300	162	186.4	2368	12	253	1000	1590468540
46.775116	23.621878	3050	930	300	162	186.4	2688	13.7	252	1000	1590468546
46.77327	23.613327	3425	1044	296.3	160	184.1	2560	13	252	1000	1590468554
46.770538	23.600977	3825	1166	303.7	164	188.7	1984	10.1	252	1000	1590468566
46.769032	23.594376	4050	1234	309.3	167	192.2	2112	10.7	249	1000	1590468572
46.766922	23.588049	4250	1295	313	169	194.5	2368	12	239	1000	1590468578
46.764038	23.582956	4475	1364	316.7	171	196.8	1984	10.1	225	1000	1590468584
46.759907	23.57872	4700	1433	316.7	171	196.8	2112	10.7	209	1000	1590468591
46.75539	23.57618	4900	1494	320.4	173	199.1	1984	10.1	195	1000	1590468597
46.748318	23.575699	5200	1585	320.4	173	199.1	1984	10.1	174	1000	1590468606
46.743473	23.577278	5350	1631	327.8	177	203.7	1408	7.2	163	1000	1590468612
46.738449	23.580076	5500	1676	338.9	183	210.6	1408	7.2	158	1000	1590468618
46.733551	23.582956	5625	1715	355.6	192	220.9	1088	5.5	157	1000	1590468624
46.728344	23.586136	5725	1745	376	203	233.6	1024	5.2	156	1000	1590468630
46.722851	23.589638	5850	1783	392.6	212	244	1024	5.2	156	1000	1590468636
46.708607	23.599045	6100	1859	437.1	236	271.6	1088	5.5	155	1000	1590468652
46.695805	23.607628	6400	1951	472.3	255	293.4	1600	8.1	154	1000	1590468664
46.682072	23.617035	6750	2057	503.7	272	313	2048	10.4	154	1000	1590468676
46.668182	23.626434	7350	2240	509.3	275	316.5	3136	15.9	155	1000	1590468688
46.654232	23.635849	8000	2438	514.9	278	319.9	3328	16.9	154	1000	1590468700
46.640221	23.645325	8675	2644	518.6	280	322.2	3264	16.6	155	1000	1590468712
46.626163	23.6548	9325	2842	524.1	283	325.7	3520	17.9	154	1000	1590468724
46.61187	23.664413	10000	3048	529.7	286	329.1	3456	17.6	155	1000	1590468736
46.597366	23.674665	10625	3239	540.8	292	336	2368	12	150	1000	1590468748
46.584454	23.686935	10950	3338	563	304	349.8	1472	7.5	144	1000	1590468759
46.576172	23.696102	11125	3391	585.2	316	363.6	1472	7.5	141	1000	1590468766
