latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
25.149239	103.012527	9774	2979	224.1	121	139.2	0	0	53	0	1590473916
25.162859	103.074852	10676	3254	455.6	246	283.1	0	0	77	0	1590473966
25.200399	103.245422	12575	3833	516.7	279	321.1	0	0	77	0	1590474076
25.21525	103.313248	12651	3856	540.8	292	336	0	0	76	0	1590474116
25.221348	103.338959	12900	3932	550	297	341.8	0	0	71	0	1590474132
25.238478	103.373779	13301	4054	576	311	357.9	0	0	53	0	1590474154
25.290339	103.424774	14026	4275	596.3	322	370.6	0	0	55	0	1590474198
25.298901	103.443039	14301	4359	618.6	334	384.4	0	0	68	0	1590474208
25.310619	103.477325	15174	4625	620.4	335	385.5	0	0	69	0	1590474230
25.315809	103.492607	15623	4762	614.9	332	382.1	0	0	70	0	1590474240
25.321619	103.509773	16050	4892	624.1	337	387.8	0	0	70	0	1590474250
25.328058	103.528786	16526	5037	646.3	349	401.6	0	0	70	0	1590474260
25.35272	103.60144	17549	5349	661.2	357	410.8	0	0	69	0	1590474300
25.358919	103.619576	17825	5433	668.6	361	415.4	0	0	69	0	1590474310
25.366096	103.640747	18199	5547	698.2	377	433.8	0	0	69	0	1590474320
25.37237	103.65937	18524	5646	701.9	379	436.1	0	0	70	0	1590474330
25.378277	103.676941	18875	5753	731.5	395	454.6	0	0	70	0	1590474338
25.39262	103.719803	19649	5989	729.7	394	453.4	0	0	70	0	1590474360
25.404739	103.756256	20351	6203	738.9	399	459.2	0	0	70	0	1590474378
25.441589	103.909958	22949	6995	790.8	427	491.4	0	0	93	0	1590474448
25.434488	103.950699	23474	7155	800.1	432	497.1	0	0	106	0	1590474466
25.42712	103.976898	23724	7231	805.6	435	500.6	0	0	106	0	1590474478
25.423901	103.999176	24101	7346	807.5	436	501.7	0	0	95	0	1590474488
25.424377	104.022873	24426	7445	801.9	433	498.3	0	0	85	0	1590474500
25.427401	104.041237	24675	7521	809.3	437	502.9	0	0	77	0	1590474508
25.445309	104.089447	25299	7711	818.6	442	508.6	0	0	65	0	1590474530
25.477808	104.167023	26325	8024	844.5	456	524.8	0	0	65	0	1590474566
25.503269	104.228172	27073	8252	855.6	462	531.7	0	0	65	0	1590474594
25.515558	104.257759	27425	8359	853.8	461	530.5	0	0	65	0	1590474608
25.58057	104.414566	29124	8877	870.4	470	540.9	0	0	66	0	1590474678
25.602077	104.466797	29826	9091	883.4	477	548.9	0	0	66	0	1590474700
25.611639	104.490135	30151	9190	892.7	482	554.7	0	0	66	0	1590474710
25.6306	104.536224	30751	9373	896.4	484	557	0	0	66	0	1590474730
25.64827	104.579208	31201	9510	889	480	552.4	0	0	66	0	1590474751
25.666578	104.623985	31601	9632	898.2	485	558.1	0	0	66	0	1590474769
25.686728	104.673172	32073	9776	913	493	567.3	0	0	66	0	1590474790
25.702278	104.711273	32474	9898	918.6	496	570.8	0	0	66	0	1590474806
25.770451	104.878487	34049	10378	922.3	498	573.1	0	0	66	0	1590474877
25.791779	104.930878	34524	10523	918.6	496	570.8	0	0	66	0	1590474900
25.81082	104.977722	34902	10638	918.6	496	570.8	0	0	66	0	1590474920
25.830688	105.026596	35125	10706	920.4	497	571.9	0	0	66	0	1590474940
25.868177	105.119255	35098	10698	920.4	497	571.9	0	0	66	0	1590474980
25.885439	105.161957	35098	10698	920.4	497	571.9	0	0	66	0	1590474998
25.904978	105.210518	35098	10698	922.3	498	573.1	0	0	66	0	1590475018
25.924007	105.257736	35098	10698	914.9	494	568.5	0	0	66	0	1590475040
25.934139	105.283066	35098	10698	918.6	496	570.8	0	0	66	0	1590475050
25.953199	105.330421	35098	10698	920.4	497	571.9	0	0	66	0	1590475070
26.001019	105.449516	35098	10698	933.4	504	580	0	0	66	0	1590475117
26.028799	105.518822	35098	10698	929.7	502	577.7	0	0	66	0	1590475148
26.057278	105.590073	35098	10698	924.1	499	574.2	0	0	66	0	1590475178
26.07637	105.637901	35098	10698	926	500	575.4	0	0	66	0	1590475198
26.087219	105.665176	35098	10698	933.4	504	580	0	0	66	0	1590475208
26.097139	105.690117	35098	10698	935.3	505	581.1	0	0	66	0	1590475218
26.124338	105.758438	35098	10698	927.9	501	576.5	0	0	66	0	1590475248
26.164078	105.858177	35098	10698	937.1	506	582.3	0	0	66	0	1590475288
26.190578	105.930069	35098	10698	929.7	502	577.7	0	0	71	0	1590475320
26.197908	105.956024	35098	10698	931.6	503	578.8	0	0	73	0	1590475330
26.225328	106.05294	35098	10698	927.9	501	576.5	0	0	73	0	1590475370
26.267529	106.201981	35098	10698	939	507	583.4	0	0	73	0	1590475428
26.296429	106.304817	35098	10698	927.9	501	576.5	0	0	73	0	1590475470
26.325489	106.406731	35098	10698	933.4	504	580	0	0	72	0	1590475510
26.347258	106.482559	35098	10698	937.1	506	582.3	0	0	72	0	1590475540
26.360201	106.527817	35098	10698	937.1	506	582.3	0	0	72	0	1590475559
26.41025	106.704025	35098	10698	946.4	511	588	0	0	73	0	1590475627
26.41777	106.730782	35098	10698	948.2	512	589.2	0	0	73	0	1590475638
26.440201	106.810379	35098	10698	946.4	511	588	0	0	73	0	1590475670
26.455439	106.860336	35098	10698	946.4	511	588	0	0	71	0	1590475690
26.479239	106.935371	35098	10698	940.8	508	584.6	0	0	71	0	1590475720
26.486938	106.959724	35098	10698	940.8	508	584.6	0	0	71	0	1590475730
26.540689	107.130226	35098	10698	946.4	511	588	0	0	71	0	1590475798
26.548969	107.156548	35098	10698	940.8	508	584.6	0	0	71	0	1590475811
26.565859	107.210236	35098	10698	944.5	510	586.9	0	0	71	0	1590475830
26.58124	107.258949	35098	10698	944.5	510	586.9	0	0	71	0	1590475850
26.596619	107.30761	35098	10698	931.6	503	578.8	0	0	71	0	1590475871
26.612469	107.357773	35098	10698	931.6	503	578.8	0	0	71	0	1590475892
26.656738	107.498001	35098	10698	935.3	505	581.1	0	0	71	0	1590475948
26.691328	107.608131	35098	10698	964.9	521	599.6	0	0	71	0	1590475989
26.713259	107.677925	35098	10698	950.1	513	590.3	0	0	70	0	1590476018
26.737419	107.751953	35098	10698	948.2	512	589.2	0	0	70	0	1590476048
26.74535	107.776291	35098	10698	946.4	511	588	0	0	70	0	1590476058
26.753658	107.801605	35098	10698	948.2	512	589.2	0	0	70	0	1590476068
26.761759	107.826477	35098	10698	948.2	512	589.2	0	0	70	0	1590476078
26.769909	107.851311	35098	10698	948.2	512	589.2	0	0	70	0	1590476088
26.77817	107.876671	35098	10698	948.2	512	589.2	0	0	70	0	1590476098
26.785789	107.900055	35098	10698	946.4	511	588	0	0	70	0	1590476109
26.81027	107.975586	35098	10698	942.7	509	585.7	0	0	70	0	1590476139
26.841249	108.071419	35098	10698	935.3	505	581.1	0	0	70	0	1590476180
26.875299	108.156303	35098	10698	970.4	524	603	0	0	70	0	1590476209
26.906158	108.273575	35098	10698	948.2	512	589.2	0	0	70	0	1590476260
27.969727	112.438042	35100	10698	964.9	521	599.6	-64	-0.3	94	0	1590477890
27.965881	112.49884	35100	10698	964.9	521	599.6	0	0	94	0	1590477911
27.960428	112.582237	35098	10698	955.6	516	593.8	0	0	94	0	1590477942
27.939009	112.897087	35098	10698	951.9	514	591.5	0	0	94	0	1590478060
27.965647	113.171753	35098	10698	955.6	516	593.8	0	0	80	0	1590478161
28.002777	113.416458	35100	10698	946.4	511	588	0	0	80	4213	1590478254
28.01738	113.524002	35100	10698	944.5	510	586.9	0	0	81	4213	1590478295
28.047867	113.754715	35100	10698	942.7	509	585.7	0	0	81	4213	1590478383
28.070343	113.921143	35100	10698	944.5	510	586.9	0	0	81	4213	1590478446
28.092693	114.088226	35100	10698	942.7	509	585.7	0	0	81	4213	1590478509
28.113369	114.244606	35098	10698	927.9	501	576.5	0	0	82	4213	1590478570
28.117258	114.274185	35098	10698	933.4	504	580	0	0	82	4213	1590478580
28.128389	114.358597	35098	10698	948.2	512	589.2	0	0	82	4213	1590478610
28.131588	114.382835	35098	10698	944.5	510	586.9	0	0	81	4213	1590478620
28.170713	114.66156	35100	10698	944.5	510	586.9	0	0	81	4213	1590478726
28.193527	114.827568	35100	10698	944.5	510	586.9	0	0	81	4213	1590478791
28.216873	114.998863	35100	10698	946.4	511	588	64	0.3	81	4213	1590478854
28.241335	115.166389	35100	10698	948.2	512	589.2	0	0	80	4213	1590478918
28.266193	115.332535	35100	10698	946.4	511	588	0	0	80	4213	1590478981
28.289701	115.500237	35100	10698	951.9	514	591.5	0	0	81	4213	1590479044
28.311905	115.668549	35100	10698	955.6	516	593.8	0	0	81	4213	1590479107
28.333145	115.829178	35100	10698	957.5	517	595	0	0	81	4213	1590479167
28.366188	115.995697	35100	10698	944.5	510	586.9	-64	-0.3	69	4213	1590479230
28.421259	116.148865	35100	10698	940.8	508	584.6	0	0	67	4213	1590479292
28.478146	116.306976	35100	10698	942.7	509	585.7	0	0	67	4213	1590479356
28.534567	116.46386	35100	10698	946.4	511	588	0	0	67	4213	1590479420
28.588852	116.615967	35100	10698	950.1	513	590.3	0	0	67	4213	1590479480
28.646944	116.77858	35100	10698	951.9	514	591.5	64	0.3	67	4213	1590479546
28.689011	116.895325	35100	10698	955.6	516	593.8	0	0	67	4213	1590479592
28.695509	116.913437	35098	10698	1042.7	563	647.9	0	0	68	4213	1590479600
28.77063	117.122604	35100	10698	953.8	515	592.7	0	0	67	4213	1590479683
28.849539	117.344215	35100	10698	953.8	515	592.7	0	0	68	4213	1590479771
28.908463	117.510132	35100	10698	957.5	517	595	0	0	68	4213	1590479837
28.966711	117.672188	35100	10698	957.5	517	595	0	0	67	4213	1590479901
29.023785	117.830956	35100	10698	959.3	518	596.1	0	0	67	4213	1590479964
29.083649	117.998444	35100	10698	959.3	518	596.1	0	0	67	4213	1590480030
29.110291	118.073448	35100	10698	957.5	517	595	0	0	67	4213	1590480060
29.192596	118.303528	35100	10698	959.3	518	596.1	0	0	67	4213	1590480151
29.250168	118.463097	35100	10698	959.3	518	596.1	0	0	67	4213	1590480214
29.305843	118.619545	35100	10698	961.2	519	597.3	0	0	67	4213	1590480274
29.367233	118.791786	35100	10698	959.3	518	596.1	0	0	67	4213	1590480343
29.42926	118.966354	35100	10698	955.6	516	593.8	0	0	67	4213	1590480411
29.485382	119.125656	35100	10698	955.6	516	593.8	0	0	68	4213	1590480475
29.516493	119.214638	35100	10698	957.5	517	595	-64	-0.3	68	4213	1590480509
29.549498	119.456665	35100	10698	968.6	523	601.9	0	0	93	4213	1590480599
29.544472	119.635246	35100	10698	970.4	524	603	0	0	91	4213	1590480663
29.540607	119.815979	35100	10698	968.6	523	601.9	0	0	91	4213	1590480729
29.536652	119.995316	35100	10698	970.4	524	603	0	0	91	4213	1590480793
29.5326	120.165604	35100	10698	968.6	523	601.9	0	0	91	4213	1590480854
29.532074	120.188316	35100	10698	968.6	523	601.9	0	0	91	4213	1590480864
29.530369	120.259529	35098	10698	966.7	522	600.7	0	0	92	4213	1590480888
29.528408	120.340851	35098	10698	963	520	598.4	0	0	92	4213	1590480918
29.522461	120.600677	31825	9700	951.9	514	591.5	-2496	-12.7	91	4213	1590481013
29.524778	120.69149	30650	9342	955.6	516	593.8	0	0	79	4213	1590481046
29.649027	120.837059	27725	8451	877.8	474	545.5	-2240	-11.4	28	4213	1590481126
29.76848	120.911324	25675	7826	807.5	436	501.7	-2112	-10.7	29	4213	1590481193
29.882486	120.983978	23375	7125	781.5	422	485.6	-2304	-11.7	28	4213	1590481258
29.988602	121.050758	21275	6485	759.3	410	471.8	-2112	-10.7	28	4213	1590481321
30.092377	121.116783	19250	5867	731.5	395	454.6	-2432	-12.4	29	4213	1590481384
30.18924	121.178391	17625	5372	688.9	372	428.1	-1408	-7.2	28	4213	1590481447
30.237494	121.208916	16925	5159	661.2	357	410.8	-768	-3.9	28	4213	1590481478
30.2644	121.220726	16700	5090	626	338	389	-1408	-7.2	16	4213	1590481496
30.27413	121.223251	16550	5044	618.6	334	384.4	-1600	-8.1	11	4213	1590481504
30.286282	121.225121	16375	4991	613	331	380.9	-1344	-6.8	7	4213	1590481511
30.306765	121.22776	16100	4907	601.9	325	374	-1408	-7.2	6	4213	1590481524
30.35462	121.234077	15325	4671	588.9	318	365.9	-1536	-7.8	6	4213	1590481557
30.403917	121.240669	14450	4404	576	311	357.9	-2368	-12	6	4213	1590481591
30.450989	121.24614	13225	4031	576	311	357.9	-2112	-10.7	5	4213	1590481625
30.498325	121.252861	12425	3787	544.5	294	338.3	-896	-4.6	7	4213	1590481658
30.540781	121.259071	11825	3604	509.3	275	316.5	-1216	-6.2	7	4213	1590481691
30.555166	121.261429	11575	3528	496.3	268	308.4	-1344	-6.8	8	4213	1590481702
30.570602	121.263641	11250	3429	488.9	264	303.8	-1856	-9.4	6	4213	1590481716
30.585205	121.265579	10925	3330	487.1	263	302.7	-1664	-8.5	6	4213	1590481727
30.599625	121.267578	10625	3239	483.4	261	300.4	-1536	-7.8	6	4213	1590481739
30.612946	121.269409	10325	3147	476	257	295.8	-1664	-8.5	6	4213	1590481750
30.627136	121.271294	9975	3040	474.1	256	294.6	-1792	-9.1	6	4213	1590481763
30.641785	121.273338	9600	2926	476	257	295.8	-1920	-9.8	7	4213	1590481774
30.656231	121.275551	9250	2819	476	257	295.8	-1856	-9.4	7	4213	1590481786
30.67012	121.277534	8900	2713	476	257	295.8	-1600	-8.1	7	4213	1590481799
30.684814	121.279617	8700	2652	464.9	251	288.8	-960	-4.9	6	4213	1590481812
30.698227	121.281311	8525	2598	451.9	244	280.8	-768	-3.9	6	4213	1590481824
