latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
55.538647	13.369987	0	0	0	0	0	0	0	271	0	1590468175
55.538876	13.369946	0	0	16.7	9	10.4	0	0	174	244	1590468210
55.539124	13.369911	0	0	18.5	10	11.5	0	0	171	244	1590468233
55.539333	13.369867	0	0	16.7	9	10.4	0	0	143	244	1590468252
55.539459	13.369654	0	0	3.7	2	2.3	0	0	104	244	1590468275
55.539494	13.369925	0	0	29.6	16	18.4	0	0	78	244	1590468404
55.539539	13.370257	0	0	37	20	23	0	0	81	244	1590468410
55.539566	13.370662	0	0	42.6	23	26.5	0	0	81	244	1590468416
55.539597	13.371152	0	0	50	27	31.1	0	0	84	244	1590468422
55.539635	13.372035	0	0	53.7	29	33.4	0	0	95	244	1590468431
55.539463	13.372486	0	0	50	27	31.1	0	0	135	244	1590468437
55.539001	13.372712	0	0	50	27	31.1	0	0	171	244	1590468446
55.538658	13.372775	0	0	59.3	32	36.8	0	0	174	244	1590468452
55.538227	13.372871	0	0	27.8	15	17.3	0	0	174	244	1590468459
55.537773	13.372957	0	0	31.5	17	19.6	0	0	174	244	1590468465
55.537239	13.373065	0	0	35.2	19	21.9	0	0	174	244	1590468471
55.536049	13.373316	0	0	40.7	22	25.3	0	0	174	244	1590468482
55.535328	13.373483	0	0	44.4	24	27.6	0	0	174	244	1590468490
55.53463	13.373608	0	0	44.4	24	27.6	0	0	174	244	1590468496
55.533875	13.373774	0	0	44.4	24	27.6	0	0	174	244	1590468502
55.533142	13.373919	0	0	42.6	23	26.5	0	0	174	244	1590468508
55.532455	13.374044	0	0	42.6	23	26.5	0	0	174	244	1590468514
55.531746	13.37419	0	0	42.6	23	26.5	0	0	174	244	1590468521
55.531174	13.374314	0	0	38.9	21	24.2	0	0	174	244	1590468528
55.530582	13.374438	0	0	33.3	18	20.7	0	0	174	244	1590468534
55.530083	13.374546	0	0	31.5	17	19.6	0	0	171	244	1590468540
55.529606	13.374648	0	0	31.5	17	19.6	0	0	174	244	1590468546
55.52866	13.374846	0	0	33.3	18	20.7	0	0	174	244	1590468558
55.528152	13.374939	0	0	33.3	18	20.7	0	0	174	244	1590468564
55.527042	13.375168	0	0	37	20	23	0	0	174	244	1590468575
55.526485	13.375297	0	0	35.2	19	21.9	0	0	174	244	1590468581
55.525978	13.375397	0	0	31.5	17	19.6	0	0	171	244	1590468587
55.525486	13.375501	0	0	31.5	17	19.6	0	0	174	244	1590468595
55.524578	13.375834	0	0	29.6	16	18.4	0	0	157	244	1590468605
55.524181	13.37625	0	0	31.5	17	19.6	0	0	146	244	1590468612
55.523552	13.377056	0	0	31.5	17	19.6	0	0	143	244	1590468621
55.523239	13.377528	0	0	27.8	15	17.3	0	0	132	244	1590468627
55.523163	13.378268	0	0	63	34	39.1	0	0	84	244	1590468633
55.523365	13.378752	0	0	51.9	28	32.2	0	0	39	244	1590468639
55.52367	13.378773	0	0	50	27	31.1	0	0	354	244	1590468645
55.52425	13.378663	0	0	38.9	21	24.2	0	0	354	244	1590468653
55.525394	13.378434	0	0	98.2	53	61	0	0	354	244	1590468660
55.528473	13.37781	0	0	170.4	92	105.9	0	0	354	244	1590468669
55.533234	13.376853	0	0	237.1	128	147.3	-64	-0.3	353	244	1590468679
55.540924	13.375272	0	0	281.5	152	174.9	2176	11.1	353	244	1590468690
55.54509	13.374439	25	8	283.4	153	176.1	1984	10.1	354	244	1590468696
55.549713	13.373691	225	69	296.3	160	184.1	2048	10.4	354	244	1590468702
55.554565	13.372775	475	145	296.3	160	184.1	2496	12.7	353	244	1590468708
55.559723	13.37182	800	244	294.5	159	183	2752	14	353	244	1590468716
55.567684	13.370275	1275	389	296.3	160	184.1	2688	13.7	353	244	1590468726
55.57206	13.369331	1550	472	294.5	159	183	2816	14.3	353	244	1590468732
55.576389	13.368387	1800	549	300	162	186.4	2112	10.7	352	244	1590468738
55.581326	13.367271	2000	610	313	169	194.5	1536	7.8	352	244	1590468744
55.586071	13.36607	2125	648	335.2	181	208.3	1216	6.2	350	244	1590468750
55.590309	13.364525	2225	678	351.9	190	218.6	1600	8.1	346	244	1590468756
55.595989	13.361435	2450	747	366.7	198	227.9	2368	12	341	244	1590468762
55.603855	13.356457	2825	861	377.8	204	234.8	2368	12	339	244	1590468772
55.609589	13.352467	3025	922	381.5	206	237.1	1344	6.8	338	244	1590468778
55.614933	13.348818	3125	953	385.2	208	239.4	960	4.9	338	244	1590468784
