latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
50.392937	14.94485	1225	373	0	0	0	1152	5.9	60	0	1590468239
50.357079	14.904197	1575	480	0	0	0	768	3.9	216	7000	1590468262
50.346882	14.898058	1800	549	0	0	0	1088	5.5	202	7000	1590468295
50.324574	14.892422	2424	739	0	0	0	1280	6.5	190	7000	1590468310
50.313168	14.890991	2500	762	203.7	110	126.6	0	0	178	7000	1590468327
50.304558	14.891557	2525	770	211.1	114	131.2	0	0	170	7000	1590468363
50.270634	14.889473	2525	770	244.5	132	151.9	0	0	175	7000	1590468399
50.24189	14.885422	2525	770	309.3	167	192.2	0	0	191	7000	1590468423
50.239155	14.886132	2525	770	309.3	167	192.2	0	0	191	7000	1590468430
50.230213	14.887691	2525	770	309.3	167	192.2	0	0	191	7000	1590468446
50.221611	14.887456	2525	770	309.3	167	192.2	0	0	191	7000	1590468454
50.215816	14.887774	2525	770	303.7	164	188.7	0	0	180	7000	1590468463
50.207066	14.888844	2525	770	300	162	186.4	0	0	177	7000	1590468478
50.195591	14.889665	2525	770	300	162	186.4	0	0	177	7000	1590468487
50.189999	14.893373	2524	769	290.8	157	180.7	0	0	166	7000	1590468506
50.172447	14.896173	2525	770	292.6	158	181.8	0	0	163	7000	1590468527
50.154892	14.894328	2525	770	292.6	158	181.8	0	0	178	7000	1590468550
50.146187	14.898234	2525	770	292.6	158	181.8	0	0	178	7000	1590468558
50.13987	14.89343	2525	770	307.4	166	191	0	0	199	7000	1590468598
50.104965	14.885196	2525	770	324.1	175	201.4	0	0	205	7000	1590468614
50.098312	14.881866	2525	770	320.4	173	199.1	0	0	199	7000	1590468631
50.086514	14.878366	2525	770	320.4	173	199.1	0	0	199	7000	1590468638
50.080814	14.87848	2525	770	309.3	167	192.2	0	0	184	7000	1590468650
50.068783	14.873548	2525	770	309.3	167	192.2	0	0	184	7000	1590468668
50.05645	14.844107	2525	770	309.3	167	192.2	0	0	184	7000	1590468692
50.041409	14.842287	2525	770	309.3	167	192.2	0	0	184	7000	1590468702
50.026905	14.850099	2524	769	318.5	172	197.9	0	0	159	7000	1590468723
50.019024	14.850135	2525	770	318.5	172	197.9	0	0	159	7000	1590468734
50.010754	14.850271	2525	770	318.5	172	197.9	0	0	159	7000	1590468758
49.982685	14.84972	2525	770	318.5	172	197.9	0	0	159	7000	1590468790
49.96603	14.84813	2525	770	301.9	163	187.6	0	0	177	7000	1590468842
49.923794	14.83968	2524	769	301.9	163	187.6	0	0	177	7000	1590468867
49.915791	14.836667	2525	770	290.8	157	180.7	0	0	191	7000	1590468890
49.901459	14.834197	2525	770	290.8	157	180.7	0	0	191	7000	1590468898
49.895626	14.832536	2524	769	292.6	158	181.8	0	0	191	7000	1590468907
49.886463	14.830932	2525	770	285.2	154	177.2	0	0	192	7000	1590468921
49.875584	14.827314	2525	770	281.5	152	174.9	0	0	195	7000	1590468946
49.858356	14.823877	2525	770	281.5	152	174.9	0	0	195	7000	1590468962
49.849884	14.821564	2524	769	281.5	152	174.9	0	0	195	7000	1590468975
49.841885	14.819341	2525	770	281.5	152	174.9	0	0	195	7000	1590468987
49.831207	14.814496	2525	770	281.5	152	174.9	0	0	195	7000	1590469002
49.817677	14.809523	2525	770	294.5	159	183	0	0	188	7000	1590469022
49.808983	14.807887	2625	800	294.5	159	183	448	2.3	188	7000	1590469028
49.805119	14.807869	2650	808	294.5	159	183	320	1.6	188	7000	1590469038
49.789845	14.811518	2775	846	294.5	159	183	320	1.6	188	7000	1590469056
49.781109	14.806465	2900	884	294.5	159	183	448	2.3	188	7000	1590469107
49.74736	14.797122	3025	922	294.5	159	183	128	0.7	188	7000	1590469118
49.740967	14.795062	3025	922	294.5	159	183	0	0	188	7000	1590469130
49.71294	14.813591	3024	922	294.5	159	183	0	0	188	7000	1590469154
49.703144	14.806472	3024	922	294.5	159	183	0	0	188	7000	1590469166
49.688477	14.807448	3025	922	294.5	159	183	0	0	188	7000	1590469174
49.68726	14.80558	3025	922	279.7	151	173.8	0	0	195	7000	1590469187
49.67334	14.805511	3025	922	279.7	151	173.8	0	0	195	7000	1590469196
49.6674	14.803418	3025	922	248.2	134	154.2	0	0	215	7000	1590469203
49.66156	14.802138	3025	922	303.7	164	188.7	0	0	187	7000	1590469218
49.652069	14.797602	3025	922	303.7	164	188.7	0	0	187	7000	1590469226
49.646408	14.79528	3024	922	277.8	150	172.6	0	0	200	7000	1590469234
49.642578	14.791726	3024	922	255.6	138	158.8	0	0	215	7000	1590469243
49.639847	14.790577	3025	922	285.2	154	177.2	0	0	193	7000	1590469254
49.634644	14.785403	3025	922	285.2	154	177.2	0	0	193	7000	1590469262
49.628281	14.780643	3025	922	281.5	152	174.9	0	0	192	7000	1590469279
49.618149	14.776034	3025	922	281.5	152	174.9	0	0	192	7000	1590469286
49.615116	14.775611	3025	922	287.1	155	178.4	0	0	192	7000	1590469294
49.606785	14.772816	2975	907	283.4	153	176.1	-384	-2	192	7000	1590469315
49.59383	14.76793	2875	876	283.4	153	176.1	-320	-1.6	192	7000	1590469339
49.577126	14.762222	2750	838	283.4	153	176.1	-320	-1.6	192	7000	1590469350
49.56958	14.758929	2700	823	283.4	153	176.1	-320	-1.6	192	7000	1590469359
