latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
31.300552	121.73008	5300	1615	494.5	267	307.3	2816	14.3	341	6301	1590468530
31.32449	121.729561	6050	1844	505.6	273	314.2	2304	11.7	359	6301	1590468550
31.350403	121.751617	7025	2141	527.8	285	328	2368	12	51	6301	1590468575
31.356703	121.768562	7500	2286	535.2	289	332.6	2496	12.7	73	6301	1590468586
31.358917	121.781563	7850	2393	535.2	289	332.6	2624	13.3	79	6301	1590468595
31.3689	121.841728	9400	2865	551.9	298	342.9	2496	12.7	73	6301	1590468634
31.37714	121.864418	10000	3048	557.5	301	346.4	2368	12	64	6301	1590468648
31.386932	121.883995	10375	3162	559.3	302	347.5	2304	11.7	61	6301	1590468662
31.399567	121.908875	10575	3223	611.2	330	379.8	896	4.6	59	6301	1590468678
31.409958	121.929123	10775	3284	633.4	342	393.6	1024	5.2	59	6301	1590468692
31.422527	121.953629	11025	3360	661.2	357	410.8	1152	5.9	59	6301	1590468706
31.434586	121.977219	11250	3429	687.1	371	426.9	960	4.9	59	6301	1590468720
31.449554	122.006462	11525	3513	709.3	383	440.7	1024	5.2	59	6301	1590468738
31.46624	122.040359	11850	3612	742.7	401	461.5	1408	7.2	60	6301	1590468756
31.479218	122.067101	12250	3734	761.2	411	473	2048	10.4	60	6301	1590468769
31.511024	122.133141	13500	4115	785.2	424	487.9	2624	13.3	60	6301	1590468802
31.541748	122.196701	14850	4526	798.2	431	496	2752	14	60	6301	1590468834
31.548637	122.210983	15150	4618	798.2	431	496	2752	14	60	6301	1590468841
31.622889	122.379951	17000	5182	889	480	552.4	2112	10.7	71	6301	1590468918
31.63884	122.47052	18050	5502	911.2	492	566.2	1664	8.5	81	6301	1590468953
31.967422	124.48735	24975	7612	1020.5	551	634.1	192	1	78	6301	1590469641
31.979246	124.554298	25000	7620	1014.9	548	630.6	0	0	78	6301	1590469664
32.069183	124.833031	25000	7620	1016.7	549	631.8	0	0	65	6301	1590469765
32.121883	124.967239	25000	7620	1014.9	548	630.6	0	0	65	6301	1590469814
32.213562	125.202499	24975	7612	1016.7	549	631.8	-64	-0.3	65	7053	1590469900
32.239056	125.26796	25000	7620	1016.7	549	631.8	64	0.3	65	7053	1590469924
32.337021	125.518143	24975	7612	1024.2	553	636.4	0	0	65	7053	1590470017
32.402618	125.686234	25000	7620	1033.4	558	642.1	-64	-0.3	65	7053	1590470078
32.467812	125.853996	24975	7612	1022.3	552	635.2	-64	-0.3	65	7053	1590470138
32.535141	126.025101	25000	7620	1018.6	550	632.9	-64	-0.3	65	7053	1590470200
32.595226	126.19059	24975	7612	1020.5	551	634.1	-64	-0.3	73	7053	1590470260
32.599693	126.21228	24975	7612	1022.3	552	635.2	-64	-0.3	77	7053	1590470268
32.602341	126.229233	25000	7620	1022.3	552	635.2	0	0	79	7053	1590470274
32.604351	126.246925	25000	7620	1022.3	552	635.2	-64	-0.3	82	7053	1590470280
32.605728	126.267685	24975	7612	1020.5	551	634.1	64	0.3	86	7053	1590470287
32.606277	126.28817	24975	7612	1020.5	551	634.1	-64	-0.3	88	7053	1590470294
32.606304	126.309593	24975	7612	1020.5	551	634.1	0	0	90	7053	1590470301
32.603886	126.51284	25000	7620	1018.6	550	632.9	0	0	90	7053	1590470368
32.601185	126.69355	24975	7612	1011.2	546	628.3	128	0.7	91	7053	1590470428
32.594696	126.764374	25000	7620	1005.6	543	624.9	-64	-0.3	101	7053	1590470452
32.591316	126.781387	24975	7612	1003.8	542	623.7	64	0.3	103	7053	1590470458
32.587143	126.798759	24975	7612	1000.1	540	621.4	0	0	106	7053	1590470464
32.582424	126.816528	25000	7620	1000.1	540	621.4	-64	-0.3	107	7053	1590470471
