latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
40.161499	94.806267	3599	1097	24.1	13	15	0	0	265	0	1590472730
40.16066	94.797028	4075	1242	285.2	154	177.2	0	0	265	0	1590472740
40.15992	94.787788	4449	1356	285.2	154	177.2	0	0	265	0	1590472750
40.159271	94.780106	4701	1433	287.1	155	178.4	0	0	265	0	1590472758
40.158379	94.768806	5200	1585	287.1	155	178.4	0	0	265	0	1590472770
40.157776	94.761436	5476	1669	287.1	155	178.4	0	0	265	0	1590472778
40.15712	94.753075	5725	1745	294.5	159	183	0	0	265	0	1590472786
40.178307	94.729797	6348	1935	275.9	149	171.5	0	0	12	0	1590472830
40.209358	94.744957	7175	2187	309.3	167	192.2	0	0	24	0	1590472860
40.230057	94.757019	8274	2522	335.2	181	208.3	0	0	24	0	1590472880
40.237701	94.761353	8675	2644	350	189	217.5	0	0	23	0	1590472888
40.261257	94.774055	9350	2850	374.1	202	232.5	0	0	22	0	1590472910
40.298309	94.792847	9875	3010	405.6	219	252	0	0	21	0	1590472940
40.323921	94.805641	10801	3292	427.8	231	265.8	0	0	21	0	1590472960
40.350357	94.819	11949	3642	455.6	246	283.1	0	0	21	0	1590472980
40.362579	94.825127	12451	3795	470.4	254	292.3	0	0	21	0	1590472990
40.384827	94.836426	13225	4031	481.5	260	299.2	0	0	23	0	1590473008
40.42799	94.864319	14675	4473	535.2	289	332.6	0	0	10	0	1590473040
40.439899	94.865906	15049	4587	548.2	296	340.6	0	0	4	0	1590473048
40.490807	94.868561	16601	5060	561.2	303	348.7	0	0	2	0	1590473084
40.508827	94.869446	17001	5182	559.3	302	347.5	0	0	2	0	1590473098
40.588249	94.873619	19049	5806	576	311	357.9	0	0	2	0	1590473152
40.628052	94.876427	19951	6081	596.3	322	370.6	0	0	7	0	1590473178
40.658958	94.882286	20623	6286	601.9	325	374	0	0	9	0	1590473198
40.736519	94.898338	22326	6805	607.5	328	377.5	0	0	9	0	1590473248
40.78479	94.908203	23225	7079	626	338	389	0	0	9	0	1590473278
40.833199	94.917999	24199	7376	631.5	341	392.4	0	0	9	0	1590473308
40.865646	94.924675	24751	7544	637.1	344	395.9	0	0	9	0	1590473328
40.91555	94.934792	25650	7818	644.5	348	400.5	0	0	9	0	1590473358
40.931889	94.938156	25925	7902	648.2	350	402.8	0	0	9	0	1590473369
41.020107	94.956268	27224	8298	674.1	364	418.9	0	0	9	0	1590473420
41.038239	94.961121	27451	8367	687.1	371	426.9	0	0	14	0	1590473430
41.066849	94.975555	27949	8519	687.1	371	426.9	0	0	24	0	1590473448
41.086899	94.987297	28350	8641	694.5	375	431.5	0	0	24	0	1590473460
41.102459	94.996353	28701	8748	692.6	374	430.4	0	0	24	0	1590473470
41.182388	95.042969	29875	9106	688.9	372	428.1	0	0	24	0	1590473520
41.213158	95.060951	30299	9235	685.2	370	425.8	0	0	24	0	1590473540
41.231689	95.071838	30574	9319	711.2	384	441.9	0	0	24	0	1590473550
41.243679	95.078857	30850	9403	700.1	378	435	0	0	24	0	1590473558
41.276371	95.098076	31575	9624	703.8	380	437.3	0	0	24	0	1590473578
41.35664	95.145348	32625	9944	703.8	380	437.3	0	0	24	0	1590473628
41.405327	95.17041	33074	10081	696.4	376	432.7	0	0	15	0	1590473659
41.48019	95.186317	33100	10089	709.3	383	440.7	0	0	9	0	1590473700
41.51862	95.194221	33100	10089	713	385	443.1	0	0	9	0	1590473720
41.5812	95.207397	33100	10089	738.9	399	459.2	0	0	9	0	1590473750
41.61937	95.215446	33123	10096	746.4	403	463.8	0	0	9	0	1590473768
41.721176	95.244087	33100	10089	764.9	413	475.3	0	0	23	0	1590473820
41.76796	95.287109	33100	10089	774.1	418	481	0	0	44	0	1590473848
41.792629	95.329605	33100	10089	789	426	490.2	0	0	59	0	1590473868
41.801491	95.352707	33100	10089	785.2	424	487.9	0	0	66	0	1590473878
41.813408	95.409622	33150	10104	789	426	490.2	0	0	82	0	1590473900
41.814968	95.465637	33150	10104	798.2	431	496	0	0	90	0	1590473920
41.815109	95.487846	33150	10104	803.8	434	499.4	0	0	89	0	1590473928
41.916302	95.68679	33123	10096	796.4	430	494.8	0	0	89	0	1590473968
41.817627	95.719131	33051	10074	876	473	544.3	0	0	89	0	1590474018
41.818218	95.782051	33051	10074	870.4	470	540.9	0	0	89	0	1590474040
41.818409	95.803398	33051	10074	855.6	462	531.7	0	0	89	0	1590474048
41.818901	95.861153	33051	10074	840.8	454	522.5	0	0	89	0	1590474070
41.819138	95.88842	33074	10081	844.5	456	524.8	0	0	89	0	1590474079
41.819958	96.012581	33100	10089	835.3	451	519	0	0	89	0	1590474124
41.820107	96.037247	33100	10089	829.7	448	515.5	0	0	89	0	1590474134
41.820877	96.177498	33100	10089	822.3	444	510.9	0	0	90	0	1590474186
41.821239	96.237488	33100	10089	813	439	505.2	0	0	89	0	1590474209
41.823318	96.290573	33100	10089	813	439	505.2	0	0	86	0	1590474230
41.824627	96.317375	33100	10089	811.2	438	504	0	0	86	0	1590474240
41.831951	96.48037	33100	10089	811.2	438	504	0	0	87	0	1590474300
41.83424	96.535606	33123	10096	813	439	505.2	0	0	87	0	1590474320
41.841339	96.642197	33123	10096	796.4	430	494.8	0	0	78	0	1590474360
41.871189	96.764893	33123	10096	798.2	431	496	0	0	71	0	1590474408
41.897598	96.905029	33123	10096	809.3	437	502.9	0	0	82	0	1590474458
41.90575	97.063271	33100	10089	803.8	434	499.4	0	0	87	0	1590474518
41.910789	97.194771	33100	10089	807.5	436	501.7	0	0	87	0	1590474566
41.913071	97.254837	33100	10089	807.5	436	501.7	0	0	87	0	1590474588
41.917507	97.373947	33074	10081	816.7	441	507.5	0	0	87	0	1590474630
41.920578	97.458527	33100	10089	818.6	442	508.6	0	0	87	0	1590474660
41.926201	97.62381	33100	10089	820.4	443	509.8	0	0	87	0	1590474720
41.92717	97.653526	33100	10089	822.3	444	510.9	0	0	87	0	1590474730
41.93047	97.791611	33123	10096	831.5	449	516.7	0	0	93	0	1590474780
41.92886	97.814087	33123	10096	831.5	449	516.7	0	0	97	0	1590474788
41.926018	97.837524	33123	10096	835.3	451	519	0	0	100	0	1590474796
41.89389	98.12471	33100	10089	837.1	452	520.2	0	0	93	0	1590474899
41.89431	98.208641	33100	10089	826	446	513.2	0	0	87	0	1590474930
41.895218	98.236176	33100	10089	835.3	451	519	0	0	88	0	1590474938
41.89682	98.291931	33123	10096	835.3	451	519	0	0	88	0	1590474958
41.901348	98.459587	33100	10089	835.3	451	519	0	0	88	0	1590475018
41.90279	98.517029	33100	10089	831.5	449	516.7	0	0	88	0	1590475039
41.90414	98.569962	33074	10081	827.8	447	514.4	0	0	88	0	1590475060
41.905628	98.630272	33100	10089	831.5	449	516.7	0	0	88	0	1590475080
41.90831	98.742676	33074	10081	844.5	456	524.8	0	0	88	0	1590475117
41.911678	98.882317	33123	10096	840.8	454	522.5	0	0	88	0	1590475169
41.913021	98.943306	33123	10096	842.7	455	523.6	0	0	88	0	1590475188
38.577	103.255798	29101	8870	759.3	410	471.8	0	0	140	0	1590477961
38.528179	103.307549	29101	8870	777.8	420	483.3	0	0	140	0	1590477990
38.355011	103.489922	29100	8870	842.7	455	523.6	-64	-0.3	140	0	1590478098
38.266251	103.57653	29100	8870	837.1	452	520.2	64	0.3	152	1160	1590478152
38.254208	103.583878	29100	8870	835.3	451	519	128	0.7	155	1160	1590478158
38.242012	103.590744	29125	8877	833.4	450	517.9	128	0.7	155	1160	1590478164
38.230591	103.59716	29125	8877	831.5	449	516.7	64	0.3	155	1160	1590478170
38.117798	103.662437	28275	8618	803.8	434	499.4	-1472	-7.5	155	1160	1590478231
38.003944	103.728195	26650	8123	792.7	428	492.5	-1600	-8.1	155	1160	1590478294
37.895645	103.790588	25075	7643	772.3	417	479.9	-1536	-7.8	155	1160	1590478354
37.785381	103.852745	23725	7231	761.2	411	473	-1152	-5.9	155	1160	1590478418
37.675331	103.915794	22475	6850	748.2	404	464.9	-1152	-5.9	155	1160	1590478481
37.573566	103.973297	21275	6485	726	392	451.1	-1216	-6.2	155	1160	1590478541
37.473713	104.028885	20025	6104	668.6	361	415.4	-1216	-6.2	156	1160	1590478604
37.382034	104.077637	19700	6005	648.2	350	402.8	0	0	157	1160	1590478665
37.286362	104.119064	19700	6005	640.8	346	398.2	-64	-0.3	163	1160	1590478729
37.188488	104.155525	19700	6005	633.4	342	393.6	64	0.3	163	1160	1590478792
37.095795	104.188782	19700	6005	644.5	348	400.5	64	0.3	163	1160	1590478853
37.002457	104.222618	19700	6005	579.7	313	360.2	-64	-0.3	164	1160	1590478915
36.91993	104.250816	19675	5997	548.2	296	340.6	-256	-1.3	164	1160	1590478976
36.879456	104.26329	19350	5898	542.6	293	337.2	-768	-3.9	174	1160	1590479007
36.849682	104.253006	19125	5829	518.6	280	322.2	-320	-1.6	211	1160	1590479031
36.84343	104.247894	19075	5814	516.7	279	321.1	-384	-2	213	1160	1590479038
