latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
30.846069	114.248856	3323	1013	309.3	167	192.2	0	0	24	0	1590468681
30.862228	114.253311	3625	1105	316.7	171	196.8	0	0	358	0	1590468700
30.876097	114.248138	3799	1158	326	176	202.5	0	0	334	0	1590468716
30.906727	114.217377	4751	1448	357.4	193	222.1	0	0	312	0	1590468750
30.944988	114.16256	7001	2134	420.4	227	261.2	0	0	301	0	1590468800
30.949398	114.13195	7949	2423	448.2	242	278.5	0	0	264	0	1590468820
30.915619	114.022148	10875	3315	581.5	314	361.3	1152	5.9	250	0	1590468892
30.909801	114.003204	11100	3383	600	324	372.9	1216	6.2	250	0	1590468904
30.903305	113.982292	11475	3498	618.6	334	384.4	2368	12	250	0	1590468917
30.887735	113.93251	12925	3940	618.6	334	384.4	2752	14	250	6245	1590468946
30.816193	113.704025	18550	5654	596.3	322	370.6	2624	13.3	250	6245	1590469082
30.81221	113.691475	18875	5753	596.3	322	370.6	2624	13.3	250	6245	1590469091
30.757156	113.512283	19900	6066	714.9	386	444.2	128	0.7	256	6245	1590469192
30.755341	113.487175	19975	6088	729.7	394	453.4	-64	-0.3	269	6245	1590469204
30.762268	113.43454	20200	6157	757.5	409	470.7	512	2.6	279	6245	1590469227
30.764	113.423233	20250	6172	761.2	411	473	640	3.3	279	6245	1590469233
30.776688	113.317406	21125	6439	777.8	420	483.3	1472	7.5	268	6245	1590469281
30.775639	113.304855	21225	6469	777.8	420	483.3	1600	8.1	263	6245	1590469287
30.773216	113.291122	21325	6500	777.8	420	483.3	1600	8.1	256	6245	1590469293
30.73295	113.161209	22725	6927	783.4	423	486.8	2048	10.4	249	6245	1590469354
30.722336	113.113037	23325	7109	777.8	420	483.3	2112	10.7	260	6245	1590469375
30.721161	113.101875	23550	7178	774.1	418	481	2304	11.7	263	6245	1590469381
30.720242	113.087166	23750	7239	770.4	416	478.7	2176	11.1	266	6245	1590469388
30.71933	113.066284	24025	7323	764.9	413	475.3	1728	8.8	267	6245	1590469396
30.713211	112.91935	25100	7650	768.6	415	477.6	1344	6.8	267	6245	1590469463
30.707298	112.777901	25675	7826	772.3	417	479.9	512	2.6	267	6245	1590469526
30.703062	112.677704	26725	8146	753.8	407	468.4	1536	7.8	267	6245	1590469572
30.694822	112.483849	27600	8412	770.4	416	478.7	0	0	267	6245	1590469659
30.693878	112.461761	27600	8412	777.8	420	483.3	0	0	266	6245	1590469670
30.675018	112.315605	27600	8412	776	419	482.2	0	0	250	6245	1590469737
30.304825	109.450378	30100	9174	761.2	411	473	0	0	253	0	1590471050
30.270447	109.320747	30100	9174	763	412	474.1	0	0	252	6245	1590471111
30.234741	109.187996	30125	9182	764.9	413	475.3	0	0	252	6245	1590471175
30.222319	109.128403	30100	9174	768.6	415	477.6	-64	-0.3	262	6245	1590471203
30.221479	109.11116	30100	9174	770.4	416	478.7	0	0	267	6245	1590471210
30.226273	109.064728	30125	9182	779.7	421	484.5	0	0	282	6245	1590471232
30.231489	109.045349	30125	9182	785.2	424	487.9	0	0	289	6245	1590471240
30.262028	108.914337	30125	9182	770.4	416	478.7	0	0	277	6245	1590471302
30.266968	108.777145	30075	9167	766.7	414	476.4	-64	-0.3	271	6245	1590471362
30.267845	108.64325	30075	9167	766.7	414	476.4	0	0	269	6245	1590471424
30.267197	108.502861	30100	9174	766.7	414	476.4	0	0	269	6245	1590471486
30.266556	108.358101	30100	9174	768.6	415	477.6	0	0	269	6245	1590471553
30.265705	108.217636	30100	9174	768.6	415	477.6	0	0	269	6245	1590471616
30.264771	108.076981	30100	9174	766.7	414	476.4	-64	-0.3	269	6245	1590471680
30.263672	107.937981	30100	9174	768.6	415	477.6	0	0	269	6245	1590471742
30.262527	107.80706	30125	9182	766.7	414	476.4	64	0.3	269	6245	1590471801
30.265379	107.706062	30100	9174	772.3	417	479.9	0	0	279	6245	1590471846
30.267517	107.69429	30100	9174	776	419	482.2	0	0	282	6245	1590471852
30.270592	107.680901	30100	9174	779.7	421	484.5	0	0	285	6245	1590471859
30.274969	107.665962	30100	9174	783.4	423	486.8	-64	-0.3	289	6245	1590471866
30.28093	107.649162	30100	9174	787.1	425	489.1	0	0	292	6245	1590471874
30.28537	107.637039	30100	9174	785.2	424	487.9	0	0	293	6245	1590471880
30.335632	107.500626	30125	9182	776	419	482.2	-64	-0.3	292	6245	1590471946
30.381527	107.375259	30075	9167	770.4	416	478.7	-64	-0.3	292	6245	1590472006
30.428871	107.246117	30075	9167	776	419	482.2	0	0	292	6245	1590472069
30.47699	107.114441	30100	9174	776	419	482.2	0	0	292	6245	1590472132
30.523697	106.986069	30100	9174	774.1	418	481	-64	-0.3	292	6245	1590472195
30.571243	106.854752	30075	9167	777.8	420	483.3	64	0.3	292	6245	1590472259
30.616987	106.728333	30125	9182	781.5	422	485.6	64	0.3	292	6245	1590472319
30.664627	106.596252	30125	9182	781.5	422	485.6	0	0	292	6245	1590472382
30.712002	106.464218	30100	9174	779.7	421	484.5	0	0	292	6245	1590472446
30.758743	106.333328	30100	9174	779.7	421	484.5	0	0	292	6245	1590472509
30.795097	106.203735	30100	9174	770.4	416	478.7	0	0	280	6245	1590472569
30.798752	106.170044	30100	9174	768.6	415	477.6	0	0	275	6245	1590472584
30.799751	106.151772	30100	9174	766.7	414	476.4	-64	-0.3	272	6245	1590472592
30.800079	106.137085	30100	9174	766.7	414	476.4	-64	-0.3	270	6245	1590472599
30.799892	106.121994	30100	9174	766.7	414	476.4	-64	-0.3	268	6245	1590472606
30.785786	105.985161	29625	9030	763	412	474.1	-1792	-9.1	262	6245	1590472668
30.769493	105.849258	27650	8428	748.2	404	464.9	-2304	-11.7	262	6245	1590472730
30.754457	105.725555	25525	7780	738.9	399	459.2	-2304	-11.7	261	6245	1590472789
30.737	105.583389	23100	7041	774.1	418	481	-2368	-12	261	6245	1590472854
30.726883	105.501389	21750	6629	787.1	425	489.1	-2240	-11.4	261	6245	1590472890
30.722099	105.462425	21076	6424	761.2	411	473	0	0	262	6245	1590472910
30.718779	105.435951	20676	6302	776	419	482.2	0	0	262	6245	1590472920
30.708323	105.351913	19300	5883	759.3	410	471.8	-2240	-11.4	261	6245	1590472959
30.690033	105.192749	16550	5044	737.1	398	458	-2496	-12.7	262	6245	1590473032
30.675018	105.065323	14100	4298	722.3	390	448.8	-2688	-13.7	262	6245	1590473093
30.666779	104.995369	12650	3856	718.6	388	446.5	-2496	-12.7	262	6245	1590473127
30.658001	104.921524	11825	3604	701.9	379	436.1	-448	-2.3	262	6245	1590473164
30.655113	104.893341	11625	3543	698.2	377	433.8	-896	-4.6	263	6245	1590473178
30.651949	104.861862	11400	3475	688.9	372	428.1	-960	-4.9	263	6245	1590473194
30.648972	104.832726	11200	3414	681.5	368	423.5	-832	-4.2	263	6245	1590473207
30.641052	104.793633	10875	3315	664.9	359	413.1	-1024	-5.2	248	6245	1590473229
30.633514	104.774742	10725	3269	650.1	351	403.9	-896	-4.6	244	6245	1590473239
30.620386	104.742722	10450	3185	618.6	334	384.4	-896	-4.6	245	6245	1590473259
30.610886	104.718826	10225	3117	598.2	323	371.7	-896	-4.6	245	6245	1590473274
30.602789	104.698334	10000	3048	587.1	317	364.8	-1024	-5.2	245	6245	1590473286
30.592758	104.673103	9775	2979	563	304	349.8	-896	-4.6	245	6245	1590473303
30.583923	104.650864	9550	2911	551.9	298	342.9	-896	-4.6	245	6245	1590473319
30.574905	104.627968	9300	2835	538.9	291	334.9	-896	-4.6	245	6245	1590473334
30.569878	104.615334	9175	2797	531.5	287	330.3	-960	-4.9	245	6245	1590473344
30.561905	104.59523	8975	2736	527.8	285	328	-704	-3.6	245	6245	1590473358
30.553299	104.573524	8825	2690	527.8	285	328	-320	-1.6	245	6245	1590473374
30.544601	104.551659	8825	2690	529.7	286	329.1	-64	-0.3	245	6245	1590473391
30.536362	104.53109	8800	2682	535.2	289	332.6	-64	-0.3	245	6245	1590473405
30.527298	104.508575	8825	2690	535.2	289	332.6	128	0.7	245	6245	1590473420
30.519424	104.488708	8825	2690	540.8	292	336	-64	-0.3	245	6245	1590473435
30.510223	104.465759	8825	2690	535.2	289	332.6	192	1	245	6245	1590473450
30.499008	104.437759	8825	2690	538.9	291	334.9	0	0	245	6245	1590473471
30.490738	104.417137	8825	2690	535.2	289	332.6	320	1.6	245	6245	1590473485
30.483444	104.39904	8825	2690	538.9	291	334.9	-128	-0.7	245	6245	1590473497
30.476261	104.381157	8825	2690	538.9	291	334.9	0	0	245	6245	1590473510
30.467741	104.359848	8825	2690	538.9	291	334.9	-64	-0.3	245	6245	1590473525
30.458664	104.337051	8825	2690	542.6	293	337.2	128	0.7	245	6245	1590473541
30.450577	104.316803	8825	2690	542.6	293	337.2	0	0	245	6245	1590473556
30.441467	104.294342	8775	2675	542.6	293	337.2	-320	-1.6	244	6245	1590473571
30.435202	104.278709	8625	2629	540.8	292	336	-960	-4.9	245	6245	1590473583
30.4254	104.254112	8300	2530	535.2	289	332.6	-1024	-5.2	245	6245	1590473600
30.415878	104.230042	8100	2469	533.4	288	331.4	-768	-3.9	245	6245	1590473618
30.410568	104.216797	7925	2416	535.2	289	332.6	-1344	-6.8	245	6245	1590473627
30.405579	104.204567	7850	2393	526	284	326.8	-256	-1.3	244	6245	1590473635
30.396744	104.182808	7825	2385	494.5	267	307.3	-128	-0.7	245	6245	1590473652
30.389145	104.16407	7825	2385	466.7	252	290	-128	-0.7	244	6245	1590473666
30.381866	104.14624	7825	2385	455.6	246	283.1	0	0	244	6245	1590473681
30.374451	104.128044	7825	2385	451.9	244	280.8	0	0	244	6245	1590473698
30.368212	104.112488	7825	2385	455.6	246	283.1	-192	-1	245	6245	1590473710
30.359972	104.091782	7675	2339	451.9	244	280.8	-768	-3.9	245	6245	1590473728
30.354805	104.079033	7400	2256	453.7	245	281.9	-1792	-9.1	244	6245	1590473738
30.347534	104.061584	7050	2149	459.3	248	285.4	-1536	-7.8	244	6245	1590473753
30.340439	104.043701	6850	2088	457.4	247	284.2	-448	-2.3	245	6245	1590473768
30.333298	104.025589	6725	2050	448.2	242	278.5	-512	-2.6	245	6245	1590473782
30.328354	104.013275	6625	2019	440.8	238	273.9	-448	-2.3	245	6245	1590473794
30.321213	103.994911	6425	1958	424.1	229	263.5	-704	-3.6	245	6245	1590473810
30.314575	103.978485	6325	1928	403.7	218	250.9	-384	-2	245	6245	1590473825
30.308022	103.962357	6200	1890	388.9	210	241.7	-448	-2.3	244	6245	1590473840
30.304296	103.953407	6150	1875	379.7	205	235.9	-384	-2	244	6245	1590473850
30.30048	103.940331	6175	1882	344.5	186	214	128	0.7	258	6245	1590473862
30.299873	103.933517	6050	1844	337.1	182	209.4	-960	-4.9	265	6245	1590473870
30.299377	103.923767	5950	1814	327.8	177	203.7	-512	-2.6	266	6245	1590473880
30.298874	103.905518	5700	1737	316.7	171	196.8	-768	-3.9	269	6245	1590473899
30.30629	103.889038	5425	1654	335.2	181	208.3	-384	-2	313	6245	1590473920
30.316679	103.879082	5200	1585	340.8	184	211.7	-384	-2	326	6245	1590473936
30.323914	103.876106	5075	1547	335.2	181	208.3	-512	-2.6	343	6245	1590473946
30.332336	103.873848	4950	1509	331.5	179	206	-704	-3.6	347	6245	1590473956
30.340851	103.871857	4825	1471	331.5	179	206	-704	-3.6	348	6245	1590473967
30.345774	103.870735	4750	1448	333.4	180	207.1	-832	-4.2	349	6245	1590473973
30.361954	103.867386	4475	1364	326	176	202.5	-192	-1	354	6245	1590473992
30.379303	103.872017	4250	1295	326	176	202.5	-512	-2.6	19	6245	1590474015
30.387634	103.875626	4125	1257	326	176	202.5	-576	-2.9	21	6245	1590474025
30.394821	103.878799	4050	1234	327.8	177	203.7	-640	-3.3	20	6245	1590474035
30.402941	103.882492	3925	1196	327.8	177	203.7	-704	-3.6	22	6245	1590474044
30.407501	103.884674	3850	1173	326	176	202.5	-896	-4.6	21	6245	1590474050
30.41423	103.887794	3725	1135	322.2	174	200.2	-1024	-5.2	21	6245	1590474060
30.420771	103.890839	3600	1097	309.3	167	192.2	-896	-4.6	21	6245	1590474069
30.428604	103.894417	3450	1052	292.6	158	181.8	-1024	-5.2	22	6245	1590474080
30.435745	103.897758	3300	1006	287.1	155	178.4	-1024	-5.2	21	6245	1590474091
30.442291	103.900826	3150	960	281.5	152	174.9	-896	-4.6	22	6245	1590474100
30.447351	103.903198	3050	930	275.9	149	171.5	-832	-4.2	21	6245	1590474108
30.455338	103.90686	2900	884	274.1	148	170.3	-832	-4.2	22	6245	1590474120
30.459967	103.908966	2825	861	274.1	148	170.3	-768	-3.9	21	6245	1590474127
30.467789	103.912621	2650	808	275.9	149	171.5	-768	-3.9	21	6245	1590474140
30.47525	103.916176	2500	762	277.8	150	172.6	-832	-4.2	22	6245	1590474151
30.481241	103.918907	2375	724	277.8	150	172.6	-768	-3.9	21	6245	1590474161
30.487839	103.921936	2250	686	277.8	150	172.6	-768	-3.9	21	6245	1590474171
30.492874	103.924255	2150	655	275.9	149	171.5	-832	-4.2	21	6245	1590474180
30.500235	103.927696	2025	617	275.9	149	171.5	-768	-3.9	21	6245	1590474190
30.504377	103.929573	1926	587	298.2	161	185.3	0	0	22	6245	1590474196
30.519327	103.936592	1624	495	294.5	159	183	0	0	22	6245	1590474220
30.547962	103.947624	0	0	44.4	24	27.6	0	0	8	6245	1590474388
30.548355	103.947334	0	0	42.6	23	26.5	0	0	306	6245	1590474398
30.550392	103.94574	0	0	27.8	15	17.3	0	0	337	6245	1590474445
30.551676	103.945099	0	0	35.2	19	21.9	0	0	337	6245	1590474461
30.552513	103.944687	0	0	37	20	23	0	0	337	6245	1590474471
30.553387	103.944244	0	0	38.9	21	24.2	0	0	337	6245	1590474482
30.554258	103.94381	0	0	38.9	21	24.2	0	0	337	6245	1590474491
30.555176	103.943344	0	0	40.7	22	25.3	0	0	334	6245	1590474501
30.556948	103.942459	0	0	40.7	22	25.3	0	0	337	6245	1590474518
