latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
10.812069	106.660645	0	0	0	0	0	0	0	180	0	1590468836
10.811783	106.660645	0	0	18.5	10	11.5	0	0	30	0	1590469787
10.811547	106.660576	0	0	20.4	11	12.7	0	0	73	0	1590469804
10.811886	106.66008	0	0	18.5	10	11.5	0	0	5	0	1590470077
10.8122	106.660118	0	0	22.2	12	13.8	0	0	5	0	1590470109
10.812458	106.660141	0	0	33.3	18	20.7	0	0	5	0	1590470119
10.812944	106.660187	0	0	46.3	25	28.8	0	0	5	0	1590470132
10.813271	106.66021	0	0	48.2	26	29.9	0	0	5	0	1590470139
10.813946	106.660278	0	0	59.3	32	36.8	0	0	5	0	1590470150
10.814827	106.660355	0	0	63	34	39.1	0	0	5	0	1590470164
10.815179	106.660393	0	0	29.6	16	18.4	0	0	5	0	1590470170
10.815662	106.660439	0	0	31.5	17	19.6	0	0	5	0	1590470177
10.816738	106.66053	0	0	38.9	21	24.2	0	0	5	0	1590470188
10.818368	106.660706	0	0	31.5	17	19.6	0	0	8	0	1590470206
10.818775	106.661087	0	0	31.5	17	19.6	0	0	53	0	1590470212
10.818924	106.661514	0	0	35.2	19	21.9	0	0	70	0	1590470218
10.819118	106.662048	0	0	37	20	23	0	0	70	0	1590470225
10.81945	106.66291	0	0	40.7	22	25.3	0	0	70	0	1590470233
10.819656	106.663467	0	0	44.4	24	27.6	0	0	67	0	1590470239
10.819892	106.664093	0	0	46.3	25	28.8	0	0	70	0	1590470247
10.820381	106.665382	0	0	35.2	19	21.9	0	0	70	0	1590470258
10.820515	106.665718	0	0	59.3	32	36.8	0	0	67	0	1590470264
10.820778	106.665833	0	0	48.2	26	29.9	0	0	14	0	1590470270
10.821044	106.665672	0	0	51.9	28	32.2	0	0	320	0	1590470276
10.821242	106.665161	0	0	59.3	32	36.8	0	0	286	0	1590470286
10.821327	106.66478	0	0	27.8	15	17.3	0	0	278	0	1590470292
10.82151	106.66433	0	0	48.2	26	29.9	0	0	317	0	1590470300
10.821743	106.664215	0	0	27.8	15	17.3	0	0	320	0	1590470309
10.821661	106.663971	0	0	31.5	17	19.6	0	0	255	0	1590470320
10.82151	106.663696	0	0	53.7	29	33.4	0	0	244	0	1590470343
10.821091	106.662582	0	0	85.2	46	52.9	0	0	247	0	1590470349
10.820309	106.660515	0	0	155.6	84	96.7	0	0	247	0	1590470355
10.81803	106.65448	0	0	259.3	140	161.1	0	0	247	0	1590470367
10.815738	106.648476	0	0	314.8	170	195.6	0	0	247	0	1590470376
10.812286	106.639458	825	251	309.3	167	192.2	3456	17.6	248	0	1590470388
10.81064	106.635086	1150	351	305.6	165	189.9	3520	17.9	249	0	1590470394
10.809036	106.630791	1425	434	301.9	163	187.6	3328	16.9	249	0	1590470400
10.807251	106.625816	1650	503	311.1	168	193.3	1984	10.1	249	0	1590470406
10.805603	106.621605	1800	549	322.2	174	200.2	1408	7.2	248	0	1590470412
10.803564	106.616386	1925	587	335.2	181	208.3	1152	5.9	248	0	1590470418
10.801748	106.611664	2050	625	350	189	217.5	1216	6.2	248	0	1590470424
10.799698	106.6064	2200	671	364.8	197	226.7	1664	8.5	248	0	1590470430
10.798071	106.600922	2475	754	370.4	200	230.2	2752	14	254	5743	1590470437
10.797652	106.595139	2750	838	376	203	233.6	3136	15.9	266	5743	1590470443
10.806637	106.577744	3700	1128	388.9	210	241.7	3328	16.9	317	5743	1590470463
10.812286	106.574677	4000	1219	390.8	211	242.8	3136	15.9	334	5743	1590470470
10.818274	106.573357	4225	1288	396.3	214	246.3	2560	13	349	5743	1590470476
10.837967	106.581306	5000	1524	416.7	225	258.9	2368	12	36	5743	1590470498
10.842911	106.585236	5150	1570	427.8	231	265.8	1728	8.8	38	5743	1590470504
10.85519	106.595428	5500	1676	461.1	249	286.5	1664	8.5	39	5743	1590470517
10.865021	106.603798	5775	1760	485.2	262	301.5	1664	8.5	40	5743	1590470528
10.875859	106.61306	6100	1859	511.2	276	317.6	1920	9.8	40	5743	1590470539
10.888988	106.624146	6550	1996	533.4	288	331.4	2560	13	39	5743	1590470552
10.901093	106.634201	7100	2164	540.8	292	336	2880	14.6	39	5743	1590470564
10.914551	106.645142	7725	2355	546.3	295	339.5	3456	17.6	38	5743	1590470576
10.927021	106.655319	8425	2568	544.5	294	338.3	3264	16.6	38	5743	1590470588
10.94014	106.665833	9025	2751	542.6	293	337.2	3392	17.2	38	5743	1590470601
10.952362	106.675827	9600	2926	546.3	295	339.5	2880	14.6	38	5743	1590470612
10.966507	106.687141	10100	3078	555.6	300	345.2	2560	13	38	5743	1590470624
10.978867	106.697281	10500	3200	568.6	307	353.3	1792	9.1	38	5743	1590470637
10.993497	106.709045	10775	3284	594.5	321	369.4	1280	6.5	38	5743	1590470648
11.007019	106.7202	11000	3353	618.6	334	384.4	1280	6.5	38	5743	1590470660
11.02272	106.732887	11225	3421	646.3	349	401.6	1216	6.2	38	5743	1590470672
11.037395	106.744949	11450	3490	670.4	362	416.6	1152	5.9	38	5743	1590470684
11.055458	106.759499	11675	3559	696.4	376	432.7	1088	5.5	38	5743	1590470697
11.071198	106.772522	11875	3620	716.7	387	445.4	1088	5.5	38	5743	1590470709
11.089302	106.786964	12225	3726	729.7	394	453.4	2176	11.1	38	5743	1590470721
11.131393	106.821442	13450	4100	738.9	399	459.2	2496	12.7	38	5743	1590470752
11.180099	106.861122	14925	4549	738.9	399	459.2	2752	14	38	5743	1590470784
11.227701	106.899963	16225	4945	742.7	401	461.5	2368	12	38	5743	1590470817
11.272888	106.936844	17475	5326	744.5	402	462.6	3648	18.5	38	5743	1590470848
11.320666	106.975899	19275	5875	714.9	386	444.2	2560	13	38	5743	1590470881
11.406784	107.046471	21300	6492	733.4	396	455.7	2112	10.7	38	5743	1590470944
11.498978	107.121765	22700	6919	774.1	418	481	832	4.2	38	5743	1590471005
11.594238	107.199905	23350	7117	837.1	452	520.2	768	3.9	38	5743	1590471066
11.697693	107.284485	24525	7475	861.2	465	535.1	1280	6.5	38	5743	1590471128
11.802567	107.370377	25775	7856	874.1	472	543.2	1920	9.8	38	5743	1590471189
11.904478	107.453903	26775	8161	883.4	477	548.9	960	4.9	38	5743	1590471250
11.948959	107.484314	27150	8275	894.5	483	555.8	960	4.9	27	5743	1590471274
11.96197	107.490089	27275	8313	894.5	483	555.8	1280	6.5	23	5743	1590471280
11.975982	107.495056	27450	8367	896.4	484	557	1408	7.2	18	5743	1590471286
