latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-34.793427	138.637482	150	46	133.3	72	82.9	704	3.6	30	0	1590468862
-34.791653	138.638763	250	76	137	74	85.2	960	4.9	31	0	1590468868
-34.789837	138.640198	325	99	140.8	76	87.5	832	4.2	32	0	1590468874
-34.788116	138.64151	400	122	142.6	77	88.6	832	4.2	31	0	1590468880
-34.786346	138.642822	475	145	146.3	79	90.9	768	3.9	32	0	1590468886
-34.784225	138.644547	600	183	142.6	77	88.6	1024	5.2	34	0	1590468893
-34.782303	138.645828	700	213	140.8	76	87.5	896	4.6	22	0	1590468900
-34.779694	138.646179	800	244	144.5	78	89.8	768	3.9	357	532	1590468906
-34.777359	138.645493	825	251	161.1	87	100.1	0	0	340	532	1590468913
-34.774796	138.643204	825	251	179.6	97	111.6	-256	-1.3	314	532	1590468920
-34.773125	138.639511	825	251	192.6	104	119.7	0	0	290	532	1590468928
-34.772644	138.634796	825	251	201.9	109	125.4	64	0.3	268	532	1590468936
-34.773357	138.630463	850	259	209.3	113	130	128	0.7	254	532	1590468942
-34.7742	138.627228	850	259	209.3	113	130	-128	-0.7	251	532	1590468948
-34.775406	138.623032	850	259	213	115	132.3	-64	-0.3	250	532	1590468954
-34.776615	138.619247	850	259	213	115	132.3	64	0.3	248	532	1590468960
-34.777733	138.615479	875	267	214.8	116	133.5	-192	-1	250	532	1590468967
-34.778687	138.611649	850	259	216.7	117	134.6	-192	-1	254	532	1590468973
-34.779503	138.607864	850	259	216.7	117	134.6	192	1	256	532	1590468979
-34.780247	138.603806	825	251	216.7	117	134.6	-128	-0.7	257	532	1590468985
-34.780975	138.59993	825	251	216.7	117	134.6	0	0	257	532	1590468991
-34.781662	138.595947	825	251	218.5	118	135.8	-192	-1	259	532	1590468997
-34.782486	138.587982	800	244	216.7	117	134.6	64	0.3	264	532	1590469009
-34.782806	138.584061	800	244	213	115	132.3	128	0.7	264	532	1590469016
-34.783401	138.575439	825	251	209.3	113	130	64	0.3	267	532	1590469029
-34.783272	138.57135	850	259	203.7	110	126.6	0	0	274	532	1590469035
-34.782898	138.567749	825	251	203.7	110	126.6	-64	-0.3	278	532	1590469041
-34.782166	138.564163	825	251	200	108	124.3	0	0	286	532	1590469047
-34.781067	138.560684	825	251	194.5	105	120.8	0	0	293	532	1590469053
-34.779736	138.557617	825	251	188.9	102	117.4	256	1.3	300	532	1590469059
-34.778183	138.554977	850	259	181.5	98	112.8	192	1	307	532	1590469066
-34.776432	138.552368	875	267	179.6	97	111.6	0	0	310	532	1590469072
-34.774521	138.549927	850	259	181.5	98	112.8	0	0	314	532	1590469078
-34.772518	138.547546	850	259	183.3	99	113.9	-128	-0.7	316	532	1590469084
-34.768471	138.543152	850	259	183.3	99	113.9	-128	-0.7	318	532	1590469096
-34.766327	138.540909	850	259	185.2	100	115.1	-128	-0.7	319	532	1590469102
-34.761703	138.536362	825	251	188.9	102	117.4	128	0.7	321	532	1590469115
-34.757484	138.532501	850	259	183.3	99	113.9	64	0.3	323	532	1590469126
-34.755016	138.530441	875	267	183.3	99	113.9	64	0.3	326	532	1590469132
-34.751945	138.528275	875	267	181.5	98	112.8	0	0	331	532	1590469140
-34.74971	138.526779	850	259	181.5	98	112.8	-128	-0.7	331	532	1590469146
-34.744766	138.5233	850	259	183.3	99	113.9	0	0	328	532	1590469157
-34.742355	138.521515	850	259	183.3	99	113.9	-64	-0.3	328	532	1590469164
-34.74012	138.519867	850	259	183.3	99	113.9	-64	-0.3	328	532	1590469170
-34.737793	138.518204	850	259	183.3	99	113.9	-64	-0.3	330	532	1590469176
-34.735291	138.516525	850	259	181.5	98	112.8	256	1.3	330	532	1590469182
-34.730942	138.513443	925	282	168.5	91	104.7	768	3.9	329	532	1590469194
-34.728058	138.511475	1025	312	159.3	86	99	704	3.6	331	532	1590469202
-34.725906	138.510025	1100	335	151.9	82	94.4	704	3.6	330	532	1590469208
-34.723827	138.508636	1150	351	148.2	80	92.1	640	3.3	330	532	1590469214
-34.722012	138.507324	1200	366	144.5	78	89.8	640	3.3	330	532	1590469220
-34.718288	138.504807	1325	404	140.8	76	87.5	704	3.6	330	532	1590469232
-34.714607	138.502228	1475	450	137	74	85.2	576	2.9	331	532	1590469243
-34.712723	138.501114	1525	465	137	74	85.2	448	2.3	334	532	1590469249
-34.710938	138.500046	1575	480	137	74	85.2	512	2.6	333	532	1590469255
-34.709061	138.498917	1625	495	137	74	85.2	576	2.9	333	532	1590469262
-34.705399	138.496674	1725	526	135.2	73	84	512	2.6	333	532	1590469273
-34.703568	138.49556	1800	549	135.2	73	84	512	2.6	333	532	1590469279
-34.701691	138.494431	1850	564	133.3	72	82.9	576	2.9	333	532	1590469285
-34.699852	138.493256	1900	579	133.3	72	82.9	640	3.3	332	532	1590469292
-34.698036	138.492218	1975	602	131.5	71	81.7	640	3.3	334	532	1590469298
-34.69622	138.491135	2025	617	129.6	70	80.6	512	2.6	334	532	1590469304
-34.694504	138.490173	2075	632	129.6	70	80.6	576	2.9	335	532	1590469310
-34.692673	138.489166	2125	648	125.9	68	78.3	576	2.9	334	532	1590469316
-34.690887	138.488098	2175	663	131.5	71	81.7	320	1.6	334	532	1590469322
-34.689056	138.487045	2225	678	131.5	71	81.7	448	2.3	334	532	1590469329
-34.684814	138.484787	2325	709	133.3	72	82.9	384	2	338	532	1590469343
-34.683014	138.483902	2350	716	135.2	73	84	448	2.3	338	532	1590469349
-34.678856	138.481812	2400	732	153.7	83	95.5	-128	-0.7	337	532	1590469361
-34.674362	138.479645	2400	732	166.7	90	103.6	0	0	338	532	1590469372
-34.671936	138.478455	2400	732	170.4	92	105.9	-128	-0.7	338	532	1590469378
-34.669418	138.477341	2400	732	174.1	94	108.2	128	0.7	340	532	1590469385
-34.667126	138.476425	2400	732	175.9	95	109.3	-64	-0.3	342	532	1590469391
-34.664291	138.475433	2400	732	175.9	95	109.3	64	0.3	345	532	1590469397
-34.661724	138.474716	2400	732	175.9	95	109.3	0	0	347	532	1590469404
-34.658569	138.473984	2400	732	174.1	94	108.2	64	0.3	350	532	1590469410
-34.654587	138.473145	2375	724	175.9	95	109.3	-64	-0.3	349	532	1590469420
-34.651291	138.47258	2375	724	174.1	94	108.2	-64	-0.3	352	532	1590469427
-34.648636	138.472076	2375	724	175.9	95	109.3	0	0	351	532	1590469433
-34.64621	138.47168	2375	724	170.4	92	105.9	640	3.3	353	532	1590469440
-34.641056	138.470993	2525	770	159.3	86	99	512	2.6	353	532	1590469452
-34.629684	138.472076	2775	846	146.3	79	90.9	640	3.3	12	532	1590469482
-34.627464	138.472656	2825	861	144.5	78	89.8	640	3.3	11	532	1590469488
-34.623779	138.47348	2950	899	138.9	75	86.3	640	3.3	10	532	1590469498
-34.621971	138.473907	3000	914	138.9	75	86.3	640	3.3	11	532	1590469504
-34.619644	138.474548	3075	937	138.9	75	86.3	576	2.9	12	532	1590469510
-34.617279	138.475327	3150	960	140.8	76	87.5	576	2.9	15	532	1590469518
-34.613388	138.476776	3250	991	146.3	79	90.9	576	2.9	16	532	1590469528
-34.611191	138.47757	3300	1006	148.2	80	92.1	640	3.3	15	532	1590469534
-34.608948	138.478287	3375	1029	144.5	78	89.8	640	3.3	14	532	1590469540
-34.606384	138.479141	3450	1052	148.2	80	92.1	576	2.9	15	532	1590469548
-34.604141	138.479919	3500	1067	148.2	80	92.1	640	3.3	16	532	1590469554
-34.599903	138.481415	3625	1105	148.2	80	92.1	576	2.9	16	532	1590469566
-34.597763	138.482147	3675	1120	148.2	80	92.1	576	2.9	16	532	1590469572
-34.595581	138.482895	3750	1143	148.2	80	92.1	576	2.9	15	532	1590469578
-34.59343	138.483566	3800	1158	146.3	79	90.9	704	3.6	14	532	1590469584
-34.591324	138.484299	3875	1181	144.5	78	89.8	704	3.6	17	532	1590469590
-34.589127	138.485077	3925	1196	146.3	79	90.9	512	2.6	16	532	1590469596
-34.586929	138.485809	4000	1219	146.3	79	90.9	640	3.3	14	532	1590469603
-34.582581	138.487091	4125	1257	148.2	80	92.1	512	2.6	14	532	1590469615
-34.578396	138.488617	4200	1280	151.9	82	94.4	576	2.9	18	532	1590469626
-34.576069	138.489532	4275	1303	151.9	82	94.4	512	2.6	17	532	1590469633
-34.573837	138.490341	4325	1318	153.7	83	95.5	576	2.9	16	532	1590469639
