latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
43.682838	-79.656326	0	0	0	0	0	0	0	180	0	1590468897
43.683025	-79.656563	0	0	20.4	11	12.7	0	0	5	505	1590471837
43.683167	-79.656784	0	0	20.4	11	12.7	0	0	5	505	1590471852
43.683163	-79.657265	0	0	18.5	10	11.5	0	0	5	505	1590471879
43.683048	-79.657524	0	0	16.7	9	10.4	0	0	5	505	1590471898
43.683575	-79.656723	0	0	22.2	12	13.8	0	0	5	505	1590472110
43.683712	-79.656372	0	0	24.1	13	15	0	0	5	505	1590472126
43.683632	-79.656082	0	0	27.8	15	17.3	0	0	5	505	1590472136
43.683479	-79.655846	0	0	33.3	18	20.7	0	0	5	505	1590472143
43.683304	-79.655617	0	0	38.9	21	24.2	0	0	5	505	1590472150
43.682991	-79.655159	0	0	35.2	19	21.9	0	0	5	505	1590472161
43.682945	-79.654747	0	0	40.7	22	25.3	0	0	5	505	1590472170
43.683105	-79.654358	0	0	44.4	24	27.6	0	0	5	505	1590472178
43.683517	-79.653755	0	0	51.9	28	32.2	0	0	5	505	1590472189
43.683758	-79.653419	0	0	53.7	29	33.4	0	0	5	505	1590472195
43.684422	-79.652809	0	0	51.9	28	32.2	0	0	5	505	1590472210
43.685097	-79.652618	0	0	61.1	33	38	0	0	5	505	1590472222
43.685471	-79.652527	0	0	27.8	15	17.3	0	0	5	505	1590472228
43.686123	-79.652321	0	0	55.6	30	34.5	0	0	5	505	1590472237
43.686653	-79.651642	0	0	53.7	29	33.4	0	0	5	505	1590472250
43.686901	-79.651138	0	0	50	27	31.1	0	0	5	505	1590472258
43.68689	-79.650764	0	0	50	27	31.1	0	0	5	505	1590472264
43.686619	-79.650322	0	0	59.3	32	36.8	0	0	5	505	1590472271
43.685852	-79.649323	0	0	42.6	23	26.5	0	0	5	505	1590472282
43.684574	-79.647644	0	0	42.6	23	26.5	0	0	5	505	1590472297
43.683552	-79.646309	0	0	44.4	24	27.6	0	0	5	505	1590472310
43.683105	-79.645744	0	0	44.4	24	27.6	0	0	5	505	1590472316
43.682201	-79.644554	0	0	46.3	25	28.8	0	0	5	505	1590472326
43.681511	-79.643654	0	0	48.2	26	29.9	0	0	5	505	1590472334
43.68092	-79.642868	0	0	48.2	26	29.9	0	0	5	505	1590472340
43.679386	-79.640884	0	0	46.3	25	28.8	0	0	5	505	1590472357
43.67585	-79.636269	0	0	48.2	26	29.9	0	0	5	505	1590472398
43.673737	-79.633499	0	0	48.2	26	29.9	0	0	5	505	1590472422
43.672955	-79.632469	0	0	48.2	26	29.9	0	0	5	505	1590472429
43.672318	-79.631638	0	0	48.2	26	29.9	0	0	5	505	1590472438
43.670334	-79.629051	0	0	50	27	31.1	0	0	5	505	1590472460
43.669655	-79.628174	0	0	50	27	31.1	0	0	5	505	1590472466
43.669071	-79.627403	0	0	46.3	25	28.8	0	0	5	505	1590472473
43.667198	-79.624969	0	0	46.3	25	28.8	0	0	5	505	1590472496
43.666008	-79.623413	0	0	37	20	23	0	0	5	505	1590472510
43.665279	-79.622025	0	0	46.3	25	28.8	0	0	5	505	1590472534
43.665459	-79.621689	0	0	50	27	31.1	0	0	5	505	1590472540
43.665684	-79.621384	0	0	57.4	31	35.7	0	0	5	505	1590472546
43.666271	-79.620651	0	0	33.3	18	20.7	0	0	5	505	1590472556
43.666721	-79.620079	0	0	42.6	23	26.5	0	0	5	505	1590472562
43.667221	-79.619438	0	0	44.4	24	27.6	0	0	5	505	1590472568
43.670048	-79.615891	0	0	38.9	21	24.2	0	0	5	505	1590472604
43.670643	-79.615128	0	0	33.3	18	20.7	0	0	5	505	1590472614
43.672142	-79.613037	0	0	33.3	18	20.7	0	0	5	505	1590472641
43.672508	-79.612366	0	0	40.7	22	25.3	0	0	5	505	1590472648
43.673264	-79.610954	0	0	38.9	21	24.2	0	0	5	505	1590472660
43.673973	-79.609665	0	0	38.9	21	24.2	0	0	5	505	1590472672
43.674282	-79.609093	0	0	38.9	21	24.2	0	0	5	505	1590472678
43.674706	-79.608337	0	0	37	20	23	0	0	5	505	1590472684
43.675625	-79.607002	0	0	42.6	23	26.5	0	0	5	505	1590472697
43.67609	-79.606316	0	0	40.7	22	25.3	0	0	5	505	1590472704
43.676628	-79.605545	0	0	38.9	21	24.2	0	0	5	505	1590472711
43.677197	-79.604713	0	0	42.6	23	26.5	0	0	5	505	1590472719
43.67815	-79.60334	0	0	44.4	24	27.6	0	0	5	505	1590472731
43.678684	-79.602554	0	0	44.4	24	27.6	0	0	5	505	1590472739
43.679604	-79.601212	0	0	40.7	22	25.3	0	0	5	505	1590472751
43.680023	-79.600609	0	0	38.9	21	24.2	0	0	5	505	1590472758
43.680645	-79.599701	0	0	53.7	29	33.4	0	0	5	505	1590472770
43.680748	-79.598869	0	0	53.7	29	33.4	0	0	5	505	1590472782
43.6805	-79.598511	0	0	59.3	32	36.8	0	0	5	505	1590472788
43.680187	-79.598122	0	0	63	34	39.1	0	0	5	505	1590472794
43.679672	-79.59745	0	0	48.2	26	29.9	0	0	5	505	1590472807
43.679249	-79.597099	0	0	33.3	18	20.7	0	0	5	505	1590472819
43.679043	-79.59729	0	0	31.5	17	19.6	0	0	5	505	1590472827
43.678917	-79.597496	0	0	35.2	19	21.9	0	0	5	505	1590472834
43.678673	-79.597862	0	0	27.8	15	17.3	0	0	5	505	1590472840
43.677029	-79.600212	0	0	120.4	65	74.8	0	0	5	505	1590472852
43.672749	-79.606407	450	137	218.5	118	135.8	64	0.3	226	505	1590472866
43.669071	-79.61171	425	130	281.5	152	174.9	192	1	226	505	1590472873
43.66571	-79.616577	525	160	309.3	167	192.2	2112	10.7	226	505	1590472880
43.659805	-79.624817	1000	305	305.6	165	189.9	3008	15.3	225	505	1590472890
43.656315	-79.629364	1325	404	303.7	164	188.7	3072	15.6	223	505	1590472897
43.652546	-79.63401	1650	503	300	162	186.4	2496	12.7	221	505	1590472903
43.649055	-79.638321	1825	556	300	162	186.4	1088	5.5	221	505	1590472909
43.645424	-79.642708	1950	594	314.8	170	195.6	1024	5.2	221	505	1590472916
43.641327	-79.647743	2075	632	327.8	177	203.7	1088	5.5	222	505	1590472923
43.636856	-79.653366	2200	671	344.5	186	214	960	4.9	222	505	1590472930
43.63266	-79.658669	2325	709	357.4	193	222.1	1024	5.2	222	505	1590472936
43.627361	-79.665398	2450	747	376	203	233.6	1152	5.9	222	505	1590472943
43.62291	-79.671066	2575	785	390.8	211	242.8	1280	6.5	222	505	1590472950
43.618286	-79.677002	2750	838	401.9	217	249.7	1728	8.8	223	505	1590472956
43.612885	-79.684036	2975	907	414.8	224	257.8	2112	10.7	223	505	1590472964
43.608032	-79.690414	3200	975	418.6	226	260.1	2368	12	223	505	1590472970
43.603245	-79.696724	3475	1059	424.1	229	263.5	2560	13	223	505	1590472976
43.598785	-79.702682	3700	1128	424.1	229	263.5	2432	12.4	224	505	1590472982
43.589813	-79.714752	4000	1219	444.5	240	276.2	1280	6.5	224	505	1590472994
43.584999	-79.721306	4175	1273	455.6	246	283.1	1984	10.1	224	505	1590473000
43.580158	-79.727913	4400	1341	461.1	249	286.5	2304	11.7	224	505	1590473006
43.574104	-79.736023	4675	1425	464.9	251	288.8	2496	12.7	224	505	1590473013
43.564049	-79.749756	5175	1577	470.4	254	292.3	2496	12.7	225	505	1590473024
43.557541	-79.761894	5525	1684	474.1	256	294.6	2176	11.1	236	505	1590473034
43.5546	-79.771202	5775	1760	479.7	259	298.1	2432	12.4	248	505	1590473040
43.553101	-79.780479	6000	1829	487.1	263	302.7	2560	13	259	505	1590473046
43.560562	-79.819633	7000	2134	516.7	279	321.1	2432	12.4	302	505	1590473070
43.565773	-79.828102	7250	2210	524.1	283	325.7	2688	13.7	311	505	1590473076
43.572006	-79.835793	7525	2294	527.8	285	328	2560	13	318	505	1590473082
43.578621	-79.842422	7775	2370	533.4	288	331.4	2496	12.7	324	505	1590473088
43.584625	-79.847977	8025	2446	537.1	290	333.7	2560	13	326	505	1590473094
43.592911	-79.855042	8325	2537	540.8	292	336	2368	12	328	505	1590473100
43.607807	-79.866684	8800	2682	550	297	341.8	2368	12	331	505	1590473113
43.622955	-79.877953	9300	2835	555.6	300	345.2	2432	12.4	331	505	1590473126
43.637836	-79.888786	9775	2979	561.2	303	348.7	2496	12.7	332	505	1590473138
43.653671	-79.900368	10275	3132	568.6	307	353.3	1536	7.8	332	505	1590473150
43.669418	-79.911865	10525	3208	590.8	319	367.1	1088	5.5	331	505	1590473162
43.685925	-79.924034	10750	3277	613	331	380.9	1088	5.5	331	505	1590473174
43.700592	-79.93486	10950	3338	637.1	344	395.9	1024	5.2	331	505	1590473186
43.716385	-79.946548	11125	3391	657.5	355	408.5	1024	5.2	331	505	1590473197
43.732681	-79.958626	11325	3452	677.8	366	421.2	960	4.9	331	505	1590473208
43.749344	-79.971016	11500	3505	698.2	377	433.8	1088	5.5	331	505	1590473219
43.76683	-79.984062	11750	3581	714.9	386	444.2	1792	9.1	331	505	1590473230
43.784042	-79.996887	12100	3688	720.4	389	447.7	2240	11.4	331	505	1590473241
43.833389	-80.033737	13325	4061	729.7	394	453.4	2560	13	331	505	1590473272
43.883537	-80.071236	14375	4382	744.5	402	462.6	1984	10.1	331	505	1590473302
43.927856	-80.109818	15350	4679	748.2	404	464.9	2368	12	321	505	1590473331
43.937679	-80.121849	15650	4770	744.5	402	462.6	2432	12.4	317	505	1590473337
43.946011	-80.13356	15925	4854	740.8	400	460.3	2688	13.7	314	505	1590473344
43.953506	-80.145203	16200	4938	738.9	399	459.2	2624	13.3	311	505	1590473350
43.991547	-80.212845	17450	5319	737.1	398	458	2496	12.7	306	505	1590473384
44.025475	-80.276901	18450	5624	744.5	402	462.6	1984	10.1	306	505	1590473415
44.094635	-80.406441	20175	6149	768.6	415	477.6	1536	7.8	306	505	1590473476
44.169342	-80.533745	21800	6645	787.1	425	489.1	1536	7.8	312	505	1590473536
44.253021	-80.658272	23225	7079	805.6	435	500.6	1344	6.8	313	505	1590473599
44.337662	-80.784431	24650	7513	818.6	442	508.6	1344	6.8	313	505	1590473659
44.422806	-80.912544	25900	7894	837.1	452	520.2	1152	5.9	312	505	1590473720
44.510284	-81.044701	27000	8230	850.1	459	528.2	1152	5.9	312	505	1590473781
44.598721	-81.178917	28025	8542	868.6	469	539.7	960	4.9	312	505	1590473842
44.691593	-81.320465	29475	8984	861.2	465	535.1	1472	7.5	312	505	1590473905
44.780548	-81.456757	30950	9434	850.1	459	528.2	1344	6.8	312	505	1590473966
44.865829	-81.588005	32375	9868	833.4	450	517.9	1280	6.5	312	505	1590474026
44.95079	-81.719513	33675	10264	824.1	445	512.1	1152	5.9	312	505	1590474088
45.035797	-81.851677	34750	10592	816.7	441	507.5	896	4.6	312	505	1590474150
45.120255	-81.983574	35625	10859	811.2	438	504	768	3.9	312	505	1590474211
45.203796	-82.114563	36000	10973	811.2	438	504	0	0	312	505	1590474273
45.285412	-82.243118	35975	10965	805.6	435	500.6	0	0	311	505	1590474334
45.367157	-82.372604	36000	10973	807.5	436	501.7	0	0	311	505	1590474394
45.446438	-82.50927	35975	10965	809.3	437	502.9	0	0	308	505	1590474456
45.522873	-82.648071	36000	10973	811.2	438	504	0	0	307	505	1590474517
45.600311	-82.789482	36000	10973	814.9	440	506.3	0	0	307	505	1590474580
45.676964	-82.929955	36000	10973	816.7	441	507.5	0	0	307	505	1590474641
45.753067	-83.070175	36000	10973	816.7	441	507.5	0	0	307	505	1590474702
45.830307	-83.213127	36000	10973	813	439	505.2	0	0	307	505	1590474764
45.90707	-83.356018	36000	10973	809.3	437	502.9	0	0	307	505	1590474826
45.981274	-83.494858	36000	10973	805.6	435	500.6	0	0	307	505	1590474886
46.056736	-83.636719	36000	10973	805.6	435	500.6	0	0	307	505	1590474948
46.130859	-83.776779	36000	10973	803.8	434	499.4	0	0	307	505	1590475010
46.204926	-83.917458	36000	10973	803.8	434	499.4	0	0	307	505	1590475070
46.278744	-84.058319	36000	10973	801.9	433	498.3	0	0	306	505	1590475132
46.352051	-84.198952	36000	10973	800.1	432	497.1	0	0	306	505	1590475192
46.423054	-84.343552	36000	10973	794.5	429	493.7	0	0	301	505	1590475254
46.483807	-84.496193	36000	10973	790.8	427	491.4	0	0	299	505	1590475315
46.54303	-84.648117	36000	10973	790.8	427	491.4	0	0	299	505	1590475376
46.602421	-84.800652	36000	10973	790.8	427	491.4	0	0	299	505	1590475438
46.66061	-84.95089	36000	10973	789	426	490.2	0	0	299	505	1590475498
46.719501	-85.103806	35975	10965	787.1	425	489.1	0	0	299	505	1590475559
46.779366	-85.260292	36000	10973	787.1	425	489.1	0	0	299	505	1590475621
46.837646	-85.413345	36000	10973	787.1	425	489.1	0	0	298	505	1590475683
46.895561	-85.566383	36000	10973	785.2	424	487.9	0	0	298	505	1590475744
46.954193	-85.722198	36000	10973	781.5	422	485.6	0	0	298	505	1590475807
47.010864	-85.87381	35975	10965	779.7	421	484.5	0	0	298	505	1590475867
47.067993	-86.027275	36000	10973	779.7	421	484.5	0	0	298	505	1590475929
47.124363	-86.179787	35975	10965	777.8	420	483.3	0	0	298	505	1590475989
47.182022	-86.336678	36000	10973	777.8	420	483.3	0	0	298	505	1590476052
47.237549	-86.488495	36000	10973	779.7	421	484.5	0	0	298	505	1590476112
47.293716	-86.64299	36000	10973	779.7	421	484.5	64	0.3	298	505	1590476174
47.349884	-86.798584	36700	11186	777.8	420	483.3	832	4.2	297	505	1590476236
47.405495	-86.953339	37425	11407	774.1	418	481	640	3.3	297	505	1590476296
47.460251	-87.10675	38000	11582	766.7	414	476.4	64	0.3	297	505	1590476358
47.514053	-87.258209	38000	11582	761.2	411	473	0	0	297	505	1590476419
47.568054	-87.411209	38000	11582	761.2	411	473	0	0	297	505	1590476480
47.621246	-87.562889	38000	11582	761.2	411	473	0	0	297	505	1590476541
47.675674	-87.718826	38000	11582	757.5	409	470.7	0	0	297	505	1590476604
47.728592	-87.871468	38000	11582	757.5	409	470.7	0	0	297	505	1590476664
47.78064	-88.022392	38000	11582	753.8	407	468.4	0	0	297	505	1590476726
47.833168	-88.175491	38000	11582	751.9	406	467.2	0	0	296	505	1590476787
