latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
42.67305	129.420761	11200	3414	522.3	282	324.5	3968	20.2	202	0	1590469098
42.667191	129.413269	11500	3505	513	277	318.8	2432	12.4	225	0	1590469104
42.662239	129.404449	11750	3581	516.7	279	321.1	2752	14	235	0	1590469110
42.658237	129.393967	12075	3680	518.6	280	322.2	3136	15.9	243	0	1590469118
42.654839	129.382858	12500	3810	514.9	278	319.9	4032	20.5	247	0	1590469124
42.651485	129.37175	12950	3947	509.3	275	316.5	3904	19.8	247	0	1590469130
42.64769	129.359329	13400	4084	507.4	274	315.3	3072	15.6	247	0	1590469138
42.630676	129.304611	14950	4557	527.8	285	328	2432	12.4	247	6473	1590469172
42.612488	129.245407	16475	5022	542.6	293	337.2	2496	12.7	247	6473	1590469208
42.595856	129.191483	18025	5494	544.5	294	338.3	3072	15.6	247	6473	1590469240
42.563271	129.087051	20600	6279	559.3	302	347.5	1728	8.8	246	6473	1590469302
42.52747	128.97374	21700	6614	633.4	342	393.6	0	0	246	6473	1590469364
42.487976	128.848587	23625	7201	655.6	354	407.4	2688	13.7	246	6473	1590469424
42.44902	128.724869	25925	7902	648.2	350	402.8	1728	8.8	246	6473	1590469486
42.409149	128.599091	27525	8390	661.2	357	410.8	576	2.9	246	6473	1590469548
42.357193	128.435669	27600	8412	657.5	355	408.5	0	0	246	6473	1590469628
42.317474	128.311432	28475	8679	661.2	357	410.8	2240	11.4	246	6473	1590469690
42.276123	128.183105	30075	9167	661.2	357	410.8	128	0.7	246	6473	1590469752
42.236847	128.06163	30100	9174	659.3	356	409.7	0	0	246	6473	1590469812
42.194298	127.93055	30100	9174	661.2	357	410.8	0	0	246	6473	1590469876
42.152447	127.802361	30100	9174	670.4	362	416.6	0	0	246	6473	1590469940
42.140202	127.764931	30100	9174	674.1	364	418.9	64	0.3	246	6473	1590469958
42.094707	127.603386	30098	9174	670.4	362	416.6	0	0	250	6473	1590470033
42.084709	127.4851	30098	9174	676	365	420	0	0	265	6473	1590470085
42.082859	127.41494	30098	9174	679.7	367	422.3	0	0	268	6473	1590470116
42.081268	127.356766	30098	9174	681.5	368	423.5	0	0	268	6473	1590470141
42.073208	127.079178	30098	9174	690.8	373	429.2	0	0	268	6473	1590470258
42.064651	126.803047	30098	9174	700.1	378	435	0	0	268	6473	1590470374
42.060459	126.673508	30098	9174	713	385	443.1	0	0	268	6473	1590470428
42.054749	126.50563	30098	9174	713	385	443.1	0	0	267	6473	1590470498
42.04752	126.303566	30098	9174	718.6	388	446.5	0	0	267	0	1590470581
42.04216	126.159386	30098	9174	724.1	391	450	0	0	267	0	1590470640
42.079418	126.125488	30098	9174	698.2	377	433.8	0	0	267	0	1590470670
42.034008	125.947639	30098	9174	848.2	458	527.1	0	0	267	0	1590470726
42.02124	125.636086	30098	9174	776	419	482.2	0	0	267	0	1590470850
42.018139	125.56179	30098	9174	764.9	413	475.3	0	0	267	0	1590470880
42.011627	125.412491	30125	9182	759.3	410	471.8	0	0	267	0	1590470940
42.008099	125.334274	30125	9182	757.5	409	470.7	0	0	267	0	1590470970
41.993279	124.954857	30098	9174	757.5	409	470.7	0	0	267	0	1590471120
41.988018	124.803276	30098	9174	755.6	408	469.5	0	0	267	0	1590471180
41.978439	124.675407	30098	9174	761.2	411	473	0	0	255	0	1590471229
41.964237	124.627823	30098	9174	753.8	407	468.4	0	0	243	0	1590471250
41.915871	124.551872	30125	9182	751.9	406	467.2	0	0	218	0	1590471290
41.859726	124.506592	30098	9174	761.2	411	473	0	0	210	0	1590471323
41.810379	124.468903	30098	9174	759.3	410	471.8	0	0	210	0	1590471353
41.76009	124.430649	30098	9174	763	412	474.1	0	0	210	0	1590471384
41.711079	124.393341	30098	9174	761.2	411	473	0	0	210	0	1590471413
41.662769	124.35656	30098	9174	757.5	409	470.7	0	0	210	0	1590471443
41.614349	124.319878	30098	9174	753.8	407	468.4	0	0	210	0	1590471473
41.566208	124.2836	30098	9174	750.1	405	466.1	0	0	209	0	1590471504
41.517326	124.24688	30098	9174	750.1	405	466.1	0	0	210	0	1590471533
41.468552	124.210022	30098	9174	750.1	405	466.1	0	0	210	0	1590471564
41.420128	124.173607	30075	9167	748.2	404	464.9	0	0	209	0	1590471594
41.325207	124.104309	30098	9174	735.2	397	456.9	0	0	209	0	1590471653
41.241207	124.04364	30098	9174	735.2	397	456.9	0	0	208	0	1590471706
41.036259	123.896126	30098	9174	733.4	396	455.7	0	0	208	0	1590471832
40.987789	123.861389	30098	9174	733.4	396	455.7	0	0	208	0	1590471862
40.9244	123.815979	30075	9167	731.5	395	454.6	0	0	209	0	1590471903
40.707687	123.658752	30098	9174	735.2	397	456.9	0	0	215	0	1590472036
40.458618	123.476555	30075	9167	737.1	398	458	0	0	215	0	1590472190
40.298309	123.360107	30098	9174	742.7	401	461.5	0	0	209	0	1590472288
40.244202	123.324654	30125	9182	750.1	405	466.1	0	0	200	0	1590472320
39.930107	123.317917	29951	9129	674.1	364	418.9	0	0	216	0	1590472530
39.737957	123.212738	29026	8847	664.9	359	413.1	0	0	189	0	1590472588
39.625309	123.163597	28025	8542	727.8	393	452.3	0	0	199	0	1590472648
39.53513	123.104973	27598	8412	751.9	406	467.2	0	0	207	0	1590472701
39.500179	123.080505	27598	8412	755.6	408	469.5	0	0	208	0	1590472720
39.43922	122.98764	27051	8245	746.4	403	463.8	0	0	239	0	1590472772
39.347576	122.790588	24177	7369	735.2	397	456.9	0	0	239	0	1590472868
38.969597	122.380112	23599	7193	724.1	391	450	0	0	221	0	1590473146
38.809299	122.072792	21699	6614	692.6	374	430.4	0	0	221	0	1590473320
38.700531	121.779449	19700	6005	642.6	347	399.3	-64	-0.3	244	0	1590473478
