latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
53.633347	10.003476	0	0	0	0	0	0	0	308	0	1590469182
53.633324	10.002971	0	0	20.4	11	12.7	0	0	87	1360	1590469276
53.633308	10.00266	0	0	20.4	11	12.7	0	0	87	1360	1590469288
53.6334	10.002306	0	0	3.7	2	2.3	0	0	171	1360	1590469310
53.633312	10.002769	0	0	0	0	0	0	0	359	1360	1590469328
53.633438	10.002304	0	0	0	0	0	0	0	359	1360	1590469448
53.633228	10.002345	0	0	24.1	13	15	0	0	174	1360	1590469472
53.632999	10.002365	0	0	31.5	17	19.6	0	0	177	1360	1590469481
53.632729	10.002405	0	0	38.9	21	24.2	0	0	177	1360	1590469488
53.632053	10.002486	0	0	51.9	28	32.2	0	0	177	1360	1590469502
53.630985	10.002601	0	0	44.4	24	27.6	0	0	177	1360	1590469524
53.630447	10.002365	0	0	40.7	22	25.3	0	0	210	1360	1590469536
53.629108	9.997094	0	0	46.3	25	28.8	0	0	331	1360	1590469620
53.645218	9.983179	0	0	270.4	146	168	2752	14	332	1360	1590469656
53.648754	9.980029	0	0	259.3	140	161.1	2624	13.3	331	1360	1590469662
53.652328	9.976842	200	61	268.5	145	166.9	1600	8.1	332	1360	1590469668
53.658718	9.971466	500	152	281.5	152	174.9	2048	10.4	333	1360	1590469678
53.663589	9.967346	825	251	279.7	151	173.8	2368	12	333	1360	1590469686
53.667435	9.964208	1025	312	290.8	157	180.7	1408	7.2	334	1360	1590469692
53.6716	9.960833	1150	351	311.1	168	193.3	1024	5.2	333	1360	1590469698
53.675949	9.957067	1250	381	324.1	175	201.4	1600	8.1	332	1360	1590469704
53.680573	9.952907	1450	442	333.4	180	207.1	1920	9.8	331	1360	1590469710
53.685242	9.949219	1575	480	350	189	217.5	640	3.3	336	1360	1590469716
53.690918	9.946943	1650	503	374.1	202	232.5	1536	7.8	351	1360	1590469723
53.714264	9.948042	2775	846	387.1	209	240.5	2688	13.7	2	1360	1590469748
53.739624	9.963344	4100	1250	409.3	221	254.3	2816	14.3	46	1360	1590469776
53.742836	9.97292	4375	1334	422.3	228	262.4	2560	13	66	1360	1590469782
53.744385	9.981236	4575	1394	431.5	233	268.1	2304	11.7	76	1360	1590469788
53.745071	9.9936	4850	1478	440.8	238	273.9	2688	13.7	89	1360	1590469794
53.736786	10.026317	5725	1745	461.1	249	286.5	3136	15.9	129	1360	1590469814
53.730606	10.035069	6075	1852	464.9	251	288.8	2880	14.6	143	1360	1590469820
53.724426	10.040797	6350	1935	468.6	253	291.1	2752	14	153	1360	1590469826
53.718155	10.04425	6575	2004	476	257	295.8	2112	10.7	165	1360	1590469832
53.710922	10.045977	6750	2057	488.9	264	303.8	1472	7.5	175	1360	1590469838
53.681946	10.043859	7325	2233	535.2	289	332.6	2176	11.1	180	1360	1590469860
53.664093	10.045349	7950	2423	542.6	293	337.2	2752	14	177	1360	1590469873
53.64949	10.046526	8400	2560	550	297	341.8	2688	13.7	177	1360	1590469884
53.633972	10.047704	8925	2720	555.6	300	345.2	2752	14	177	1360	1590469895
53.619846	10.048855	9400	2865	559.3	302	347.5	2752	14	177	1360	1590469906
53.60202	10.050293	9950	3033	566.7	306	352.1	2624	13.3	177	1360	1590469918
53.585083	10.051627	10400	3170	576	311	357.9	1600	8.1	177	1360	1590469930
53.566822	10.053137	10550	3216	607.5	328	377.5	576	2.9	177	1360	1590469942
53.548248	10.05459	10775	3284	627.8	339	390.1	1664	8.5	177	1360	1590469954
53.530426	10.056022	11175	3406	635.2	343	394.7	2496	12.7	177	1360	1590469966
53.509563	10.05766	11700	3566	642.6	347	399.3	2496	12.7	177	1360	1590469978
53.489594	10.059196	12250	3734	646.3	349	401.6	2496	12.7	177	1360	1590469990
53.439468	10.063085	13400	4084	663	358	412	2304	11.7	177	1360	1590470022
53.388016	10.067086	14600	4450	672.3	363	417.7	2432	12.4	177	1360	1590470052
53.335876	10.07107	15750	4801	683.4	369	424.6	2176	11.1	177	1360	1590470084
53.281456	10.075352	16850	5136	696.4	376	432.7	2112	10.7	177	1360	1590470116
53.224197	10.079714	17800	5425	716.7	387	445.4	1728	8.8	177	1360	1590470148
53.166458	10.084193	18725	5707	737.1	398	458	1664	8.5	177	1360	1590470179
53.053303	10.085763	20475	6241	768.6	415	477.6	1920	9.8	184	1360	1590470239
52.931805	10.060573	22300	6797	792.7	428	492.5	1664	8.5	187	1360	1590470302
52.809464	10.035383	23925	7292	813	439	505.2	1472	7.5	187	1360	1590470364
52.68177	10.00933	25375	7734	837.1	452	520.2	1344	6.8	187	1360	1590470426
52.554428	9.983521	26675	8131	857.5	463	532.8	1152	5.9	187	1360	1590470486
52.419914	9.95636	27900	8504	872.3	471	542	1280	6.5	187	1360	1590470550
52.287277	9.929733	28975	8832	890.8	481	553.5	832	4.2	187	1360	1590470610
52.150238	9.902449	29750	9068	903.8	488	561.6	768	3.9	187	1360	1590470672
52.011612	9.875031	30000	9144	909.3	491	565	0	0	186	1360	1590470734
51.870026	9.847165	30000	9144	911.2	492	566.2	0	0	186	1360	1590470796
51.730774	9.819921	30000	9144	911.2	492	566.2	0	0	186	1360	1590470858
51.591518	9.792862	28975	8832	901.9	487	560.4	-1536	-7.8	186	1360	1590470920
51.457581	9.766994	27450	8367	876	473	544.3	-1472	-7.5	186	1360	1590470981
51.325653	9.741681	25925	7902	851.9	460	529.4	-1536	-7.8	186	1360	1590471043
51.197021	9.717111	24650	7513	835.3	451	519	-832	-4.2	186	1360	1590471104
51.073608	9.657502	23800	7254	809.3	437	502.9	-832	-4.2	203	1360	1590471166
51.008636	9.607162	23300	7102	787.1	425	489.1	-832	-4.2	213	1360	1590471203
50.997604	9.594803	23225	7079	783.4	423	486.8	-832	-4.2	216	1360	1590471210
50.988831	9.583715	23125	7049	776	419	482.2	-832	-4.2	219	1360	1590471216
50.97982	9.570999	23050	7026	772.3	417	479.9	-832	-4.2	222	1360	1590471222
50.971676	9.558182	22975	7003	766.7	414	476.4	-832	-4.2	225	1360	1590471228
50.89151	9.415665	22100	6736	759.3	410	471.8	-832	-4.2	228	1360	1590471292
50.814331	9.279216	21275	6485	753.8	407	468.4	-832	-4.2	228	1360	1590471353
50.736771	9.142914	20450	6233	735.2	397	456.9	-832	-4.2	228	1360	1590471415
50.662354	9.01262	19625	5982	722.3	390	448.8	-832	-4.2	227	1360	1590471477
50.587921	8.883097	18800	5730	716.7	387	445.4	-832	-4.2	228	1360	1590471539
50.51532	8.757404	18000	5486	703.8	380	437.3	-832	-4.2	227	1360	1590471599
50.444565	8.635328	17200	5243	694.5	375	431.5	-832	-4.2	227	1360	1590471660
50.407562	8.571794	16775	5113	690.8	373	429.2	-832	-4.2	227	1360	1590471692
50.371307	8.509634	16350	4983	687.1	371	426.9	-832	-4.2	227	1360	1590471723
50.335491	8.448412	15950	4862	685.2	370	425.8	-832	-4.2	227	1360	1590471754
50.299088	8.386502	15525	4732	676	365	420	-832	-4.2	227	1360	1590471786
