latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
39.170731	117.318604	2375	724	326	176	202.5	2624	13.3	334	0	1590469356
39.179626	117.313148	2850	869	324.1	175	201.4	2560	13	334	0	1590469367
39.183838	117.310463	3075	937	320.4	173	199.1	2368	12	333	0	1590469374
39.192608	117.30481	3500	1067	324.1	175	201.4	2048	10.4	332	0	1590469386
39.19693	117.301979	3600	1097	340.8	184	211.7	1024	5.2	333	0	1590469392
39.201454	117.299194	3700	1128	350	189	217.5	960	4.9	333	0	1590469398
39.207138	117.296547	3775	1151	372.3	201	231.3	704	3.6	340	5617	1590469404
39.213867	117.29541	3900	1189	383.4	207	238.2	640	3.3	347	5617	1590469410
39.233902	117.303589	4300	1311	438.9	237	272.7	1472	7.5	31	5617	1590469431
39.240509	117.311462	4675	1425	448.2	242	278.5	2688	13.7	47	5617	1590469439
39.244904	117.319717	5050	1539	450	243	279.6	3136	15.9	58	5617	1590469446
39.248703	117.332253	5575	1699	455.6	246	283.1	3072	15.6	72	5617	1590469455
39.249729	117.340576	5875	1791	461.1	249	286.5	3008	15.3	82	5617	1590469461
39.241489	117.375	6950	2118	490.8	265	305	2560	13	121	5617	1590469484
39.236088	117.38324	7100	2164	514.9	278	319.9	1024	5.2	132	5617	1590469491
39.227802	117.392273	7275	2217	535.2	289	332.6	1856	9.4	143	5617	1590469499
39.219864	117.398529	7550	2301	542.6	293	337.2	2496	12.7	149	5617	1590469506
39.211578	117.404739	7900	2408	544.5	294	338.3	2880	14.6	149	5617	1590469513
39.202244	117.411926	8325	2537	550	297	341.8	3136	15.9	148	5617	1590469521
39.184231	117.426025	9075	2766	557.5	301	346.4	2816	14.3	148	5617	1590469536
39.170975	117.436562	9625	2934	563	304	349.8	2944	15	148	5617	1590469547
39.155548	117.448921	10275	3132	568.6	307	353.3	3072	15.6	148	5617	1590469560
39.140808	117.460747	10650	3246	588.9	318	365.9	1088	5.5	148	5617	1590469572
39.125702	117.472809	11000	3353	607.5	328	377.5	1984	10.1	148	5617	1590469584
39.110687	117.484688	11400	3475	624.1	337	387.8	2048	10.4	148	5617	1590469596
39.093498	117.497437	11850	3612	638.9	345	397	2112	10.7	151	5617	1590469608
39.076366	117.508301	12275	3741	651.9	352	405.1	2176	11.1	154	5617	1590469620
39.065872	117.512932	12500	3810	657.5	355	408.5	2240	11.4	162	5617	1590469627
39.051682	117.515556	12800	3901	653.8	353	406.2	2176	11.1	173	5617	1590469635
39.014687	117.504211	13575	4138	631.5	341	392.4	2176	11.1	206	5617	1590469659
39.00618	117.497231	13775	4199	631.5	341	392.4	2240	11.4	214	5617	1590469665
38.999325	117.489746	13975	4260	633.4	342	393.6	2368	12	221	5617	1590469671
38.992538	117.480034	14200	4328	633.4	342	393.6	2304	11.7	229	5617	1590469677
38.987545	117.470703	14375	4382	629.7	340	391.3	2240	11.4	236	5617	1590469684
38.983017	117.459846	14575	4442	626	338	389	2048	10.4	242	5617	1590469690
38.978622	117.448326	14725	4488	627.8	339	390.1	1280	6.5	243	5617	1590469696
38.974045	117.436447	14775	4503	629.7	340	391.3	448	2.3	243	5617	1590469702
38.970016	117.426056	14800	4511	627.8	339	390.1	64	0.3	243	5617	1590469709
38.945206	117.361626	14800	4511	629.7	340	391.3	0	0	243	5617	1590469744
38.923306	117.301392	14800	4511	627.8	339	390.1	0	0	245	5617	1590469777
38.903473	117.244507	14800	4511	627.8	339	390.1	0	0	245	5617	1590469808
38.879311	117.18634	14775	4503	629.7	340	391.3	0	0	239	5617	1590469840
38.854965	117.132751	14775	4503	627.8	339	390.1	0	0	239	5617	1590469872
38.829639	117.077454	14800	4511	624.1	337	387.8	0	0	239	5617	1590469904
38.803528	117.020515	14775	4503	622.3	336	386.7	0	0	239	5617	1590469936
38.777573	116.963974	14800	4511	620.4	335	385.5	0	0	239	5617	1590469969
38.751385	116.907043	14800	4511	620.4	335	385.5	0	0	239	5617	1590470002
38.726807	116.853455	14775	4503	620.4	335	385.5	0	0	239	5617	1590470034
38.700027	116.795357	14800	4511	683.4	369	424.6	0	0	240	5617	1590470068
38.678158	116.748047	14800	4511	655.6	354	407.4	0	0	239	5617	1590470096
38.643814	116.661308	14800	4511	613	331	380.9	128	0.7	254	5617	1590470145
38.641983	116.648712	14800	4511	611.2	330	379.8	128	0.7	258	5617	1590470152
38.641338	116.608459	14800	4511	603.8	326	375.2	0	0	271	5617	1590470172
38.641804	116.592712	14800	4511	601.9	325	374	0	0	271	5617	1590470180
38.643677	116.522728	14800	4511	601.9	325	374	0	0	271	5617	1590470217
38.645508	116.459137	14800	4511	601.9	325	374	0	0	272	5617	1590470250
38.646458	116.424377	14775	4503	601.9	325	374	0	0	271	5617	1590470269
38.647427	116.388237	14800	4511	620.4	335	385.5	0	0	273	5617	1590470286
38.650509	116.269714	14800	4511	659.3	356	409.7	0	0	271	5617	1590470344
38.652321	116.199455	14800	4511	642.6	347	399.3	0	0	273	5617	1590470378
38.638451	116.103394	14800	4511	679.7	367	422.3	-256	-1.3	247	5617	1590470424
38.38715	115.963089	16375	4991	679.7	367	422.3	0	0	202	5617	1590470580
38.279572	115.915344	18975	5784	746.4	403	463.8	2560	13	195	5617	1590470640
38.240845	115.906525	19750	6020	761.2	411	473	2048	10.4	187	5617	1590470661
38.194809	115.899254	20525	6256	772.3	417	479.9	2176	11.1	187	5617	1590470685
38.117661	115.887123	21850	6660	785.2	424	487.9	1920	9.8	187	5617	1590470726
38.071259	115.879906	22799	6949	757.5	409	470.7	0	0	188	5617	1590470748
38.026058	115.872986	23924	7292	757.5	409	470.7	0	0	188	5617	1590470772
37.97229	115.864693	25098	7650	761.2	411	473	0	0	188	5617	1590470800
37.833004	115.842468	25600	7803	800.1	432	497.1	0	0	187	5617	1590470872
37.83223	115.892479	25574	7795	655.6	354	407.4	0	0	187	5617	1590470904
37.65646	115.801682	25574	7795	650.1	351	403.9	0	0	204	5617	1590470964
37.635178	115.787949	25574	7795	659.3	356	409.7	0	0	208	5617	1590470976
37.608387	115.769737	25600	7803	661.2	357	410.8	0	0	209	5617	1590470992
37.456558	115.675339	27575	8405	774.1	418	481	0	0	205	5617	1590471080
37.343307	115.607841	27600	8412	776	419	482.2	0	0	205	5617	1590471144
37.232208	115.541344	27575	8405	774.1	418	481	0	0	205	5617	1590471208
