latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
49.49448	11.069059	0	0	0	0	0	0	0	101	0	1590469392
49.495136	11.069448	0	0	44.4	24	27.6	0	0	16	0	1590469415
49.495136	11.070605	0	0	61.1	33	38	0	0	95	0	1590469432
49.495045	11.071635	0	0	53.7	29	33.4	0	0	92	0	1590469442
49.495228	11.071942	0	0	44.4	24	27.6	0	0	8	1375	1590469449
49.496342	11.072326	0	0	46.3	25	28.8	0	0	47	1375	1590469470
49.496353	11.072734	0	0	53.7	29	33.4	0	0	95	1375	1590469477
49.496235	11.073885	0	0	33.3	18	20.7	0	0	95	1375	1590469486
49.496002	11.076261	0	0	35.2	19	21.9	0	0	95	1375	1590469504
49.495819	11.07819	0	0	33.3	18	20.7	0	0	95	1375	1590469518
49.495735	11.078914	0	0	33.3	18	20.7	0	0	95	1375	1590469524
49.495609	11.080287	0	0	38.9	21	24.2	0	0	95	1375	1590469533
49.495338	11.082941	0	0	31.5	17	19.6	0	0	95	1375	1590469552
49.495491	11.083434	0	0	51.9	28	32.2	0	0	30	1375	1590469558
49.495823	11.083543	0	0	61.1	33	38	0	0	5	1375	1590469564
49.496189	11.083922	0	0	63	34	39.1	0	0	47	1375	1590469570
49.496422	11.084426	0	0	29.6	16	18.4	0	0	50	1375	1590469576
49.496712	11.085019	0	0	29.6	16	18.4	0	0	50	1375	1590469582
49.496922	11.085409	0	0	37	20	23	0	0	39	1375	1590469588
49.497238	11.08565	0	0	51.9	28	32.2	0	0	8	4150	1590469772
49.498856	11.076315	475	145	166.7	90	103.6	448	2.3	279	4150	1590469805
49.499451	11.07046	625	191	177.8	96	110.5	1088	5.5	278	4150	1590469814
49.499863	11.066124	750	229	177.8	96	110.5	1216	6.2	277	4150	1590469820
49.500137	11.062004	850	259	179.6	97	111.6	1152	5.9	275	4150	1590469826
49.500412	11.058028	975	297	188.9	102	117.4	832	4.2	276	4150	1590469832
49.500732	11.05333	1025	312	201.9	109	125.4	768	3.9	275	4150	1590469839
49.501461	11.043635	1225	373	213	115	132.3	960	4.9	278	4150	1590469851
49.502518	11.034032	1425	434	218.5	118	135.8	1024	5.2	280	4150	1590469862
49.503185	11.028714	1550	472	222.2	120	138.1	1088	5.5	281	4150	1590469868
49.503883	11.023519	1650	503	222.2	120	138.1	1088	5.5	281	4150	1590469874
49.504578	11.018637	1775	541	222.2	120	138.1	1024	5.2	282	4150	1590469880
49.50528	11.013645	1875	572	222.2	120	138.1	1024	5.2	281	4150	1590469886
49.505932	11.008375	2000	610	222.2	120	138.1	960	4.9	280	4150	1590469892
49.506443	11.003253	2100	640	222.2	120	138.1	1024	5.2	279	4150	1590469898
49.506908	10.99828	2200	671	222.2	120	138.1	1088	5.5	277	4150	1590469905
49.507782	10.988063	2425	739	224.1	121	139.2	1024	5.2	277	4150	1590469916
49.50824	10.983004	2525	770	224.1	121	139.2	1024	5.2	278	4150	1590469922
49.508678	10.97794	2625	800	225.9	122	140.4	960	4.9	278	4150	1590469928
49.509201	10.972306	2725	831	227.8	123	141.5	960	4.9	277	4150	1590469934
49.509655	10.967399	2825	861	227.8	123	141.5	960	4.9	277	4150	1590469941
49.510586	10.957006	3025	922	229.6	124	142.7	1024	5.2	277	4150	1590469952
49.511097	10.951291	3150	960	231.5	125	143.8	1088	5.5	278	4150	1590469959
49.51226	10.940676	3350	1021	231.5	125	143.8	896	4.6	285	4150	1590469970
49.513641	10.935805	3450	1052	229.6	124	142.7	1152	5.9	299	4150	1590469976
49.51561	10.931903	3550	1082	227.8	123	141.5	1024	5.2	314	4150	1590469982
49.518406	10.92865	3650	1113	225.9	122	140.4	1088	5.5	328	4150	1590469988
49.521526	10.926572	3750	1143	225.9	122	140.4	1088	5.5	341	4150	1590469996
49.525406	10.925325	3900	1189	222.2	120	138.1	1152	5.9	352	4150	1590470002
49.52861	10.924964	4000	1219	224.1	121	139.2	1088	5.5	357	4150	1590470008
49.531952	10.924819	4100	1250	224.1	121	139.2	1088	5.5	355	4150	1590470014
49.543259	10.925542	4500	1372	218.5	118	135.8	1216	6.2	2	4150	1590470034
49.546646	10.925758	4625	1410	218.5	118	135.8	1152	5.9	2	4150	1590470040
49.549831	10.925978	4725	1440	216.7	117	134.6	1216	6.2	2	4150	1590470046
49.553192	10.92612	4850	1478	216.7	117	134.6	1088	5.5	1	4150	1590470052
49.556259	10.926265	4950	1509	216.7	117	134.6	1152	5.9	2	4150	1590470058
49.559559	10.926274	5075	1547	214.8	116	133.5	1152	5.9	2	4150	1590470064
49.566124	10.9262	5300	1615	211.1	114	131.2	1216	6.2	358	4150	1590470076
49.572235	10.926048	5525	1684	207.4	112	128.9	1088	5.5	359	4150	1590470088
49.578506	10.925976	5750	1753	207.4	112	128.9	960	4.9	358	4150	1590470100
49.58968	10.9262	6075	1852	214.8	116	133.5	896	4.6	358	4150	1590470122
49.601597	10.926497	6475	1974	211.1	114	131.2	960	4.9	1	4150	1590470144
49.607182	10.926645	6675	2035	205.6	111	127.7	1216	6.2	2	4150	1590470154
49.613388	10.926843	6925	2111	200	108	124.3	1152	5.9	1	4150	1590470166
49.623917	10.92706	7275	2217	201.9	109	125.4	960	4.9	1	4150	1590470188
49.629852	10.927239	7475	2278	203.7	110	126.6	896	4.6	1	4150	1590470200
49.63623	10.927349	7650	2332	209.3	113	130	960	4.9	1	4150	1590470212
49.64241	10.927566	7850	2393	209.3	113	130	960	4.9	1	4150	1590470224
49.648708	10.927536	8000	2438	218.5	118	135.8	384	2	356	4150	1590470236
49.65271	10.925903	8025	2446	235.2	127	146.1	64	0.3	338	4150	1590470242
49.655548	10.923751	8025	2446	248.2	134	154.2	-64	-0.3	332	4150	1590470249
49.65889	10.920988	8000	2438	259.3	140	161.1	-64	-0.3	332	4150	1590470255
49.663193	10.917519	8000	2438	268.5	145	166.9	-64	-0.3	333	4150	1590470262
49.670631	10.911799	8000	2438	279.7	151	173.8	-64	-0.3	333	4150	1590470274
49.678299	10.905882	8000	2438	283.4	153	176.1	0	0	333	4150	1590470285
49.687042	10.899233	8000	2438	281.5	152	174.9	0	0	333	4150	1590470299
49.693497	10.894245	8000	2438	281.5	152	174.9	0	0	333	4150	1590470310
49.701187	10.888247	8000	2438	281.5	152	174.9	0	0	333	4150	1590470321
49.708603	10.882536	8000	2438	281.5	152	174.9	0	0	333	4150	1590470333
49.716347	10.876539	8000	2438	281.5	152	174.9	0	0	333	4150	1590470346
