latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-26.663027	120.209129	6675	2035	227.8	123	141.5	1856	9.4	194	0	1590469498
-26.670336	120.207016	7025	2141	235.2	127	146.1	1344	6.8	195	0	1590469510
-26.677734	120.204887	7325	2233	244.5	132	151.9	1344	6.8	194	0	1590469524
-26.685883	120.202507	7600	2316	251.9	136	156.5	1280	6.5	194	0	1590469536
-26.693472	120.20031	7875	2400	257.4	139	160	1280	6.5	194	0	1590469550
-26.701805	120.197876	8225	2507	257.4	139	160	1728	8.8	194	0	1590469562
-26.710007	120.195511	8600	2621	251.9	136	156.5	1664	8.5	194	4374	1590469576
-26.718052	120.193176	8950	2728	248.2	134	154.2	1664	8.5	194	4374	1590469588
-26.725733	120.190956	9300	2835	246.3	133	153.1	1408	7.2	194	4374	1590469602
-26.733582	120.188721	9600	2926	248.2	134	154.2	1344	6.8	194	4374	1590469614
-26.741375	120.18647	9875	3010	253.7	137	157.7	1344	6.8	194	4374	1590469628
-26.749521	120.18409	10175	3101	255.6	138	158.8	1408	7.2	194	4374	1590469640
-26.757389	120.181824	10450	3185	257.4	139	160	1216	6.2	194	4374	1590469652
-26.765255	120.17955	10700	3261	261.1	141	162.3	1216	6.2	194	4374	1590469666
-26.773819	120.177063	11000	3353	261.1	141	162.3	1344	6.8	194	4374	1590469678
-26.782293	120.174637	11300	3444	261.1	141	162.3	1344	6.8	194	4374	1590469692
-26.790756	120.172241	11575	3528	263	142	163.4	1152	5.9	194	4374	1590469706
-26.799088	120.169853	11825	3604	264.8	143	164.6	1152	5.9	194	4374	1590469718
-26.807739	120.167366	12125	3696	263	142	163.4	1344	6.8	194	4374	1590469732
-26.828384	120.161461	12825	3909	259.3	140	161.1	1152	5.9	194	4374	1590469764
-26.849283	120.155357	13475	4107	263	142	163.4	1280	6.5	194	4374	1590469798
-26.871347	120.148964	14100	4298	274.1	148	170.3	896	4.6	194	4374	1590469832
-26.892948	120.142632	14675	4473	283.4	153	176.1	1152	5.9	194	4374	1590469862
-26.915314	120.136169	15325	4671	285.2	154	177.2	1152	5.9	194	4374	1590469896
-26.938248	120.129593	15925	4854	287.1	155	178.4	1152	5.9	194	4374	1590469928
-26.961685	120.122856	16550	5044	288.9	156	179.5	1024	5.2	194	4374	1590469962
-26.984665	120.116219	17150	5227	290.8	157	180.7	1152	5.9	194	4374	1590469994
-27.007839	120.109459	17750	5410	288.9	156	179.5	960	4.9	194	4374	1590470028
-27.031721	120.102432	18000	5486	324.1	175	201.4	-64	-0.3	194	4374	1590470060
-27.088188	120.08606	18000	5486	400	216	248.6	0	0	194	4374	1590470122
