latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
31.206207	121.770035	2675	815	361.1	195	224.4	2368	12	340	0	1590469643
31.218349	121.765152	3225	983	353.7	191	219.8	1792	9.1	341	0	1590469657
31.225159	121.762337	3425	1044	359.3	194	223.3	1152	5.9	340	0	1590469666
31.291996	121.733788	4625	1410	474.1	256	294.6	1920	9.8	339	5000	1590469731
31.317879	121.725662	5050	1539	513	277	318.8	704	3.6	355	5000	1590469753
31.345762	121.739395	5675	1730	540.8	292	336	2432	12.4	37	5000	1590469777
31.358688	121.762177	6125	1867	568.6	307	353.3	2048	10.4	67	5000	1590469792
31.361311	121.771088	6350	1935	568.6	307	353.3	2304	11.7	69	5000	1590469798
31.363129	121.779083	6575	2004	570.4	308	354.4	2880	14.6	75	5000	1590469804
31.364731	121.78878	6850	2088	570.4	308	354.4	2816	14.3	78	5000	1590469810
31.365829	121.798042	7075	2156	570.4	308	354.4	2176	11.1	81	5000	1590469816
31.369217	121.833099	7800	2377	583.4	315	362.5	2496	12.7	81	5000	1590469836
31.377325	121.861618	8375	2553	592.6	320	368.2	1920	9.8	67	5000	1590469854
31.382679	121.873428	8650	2637	594.5	321	369.4	2048	10.4	62	5000	1590469861
31.388672	121.885612	8925	2720	596.3	322	370.6	2048	10.4	60	5000	1590469869
31.394644	121.897873	9200	2804	600	324	372.9	2048	10.4	60	5000	1590469878
31.407957	121.924622	9825	2995	607.5	328	377.5	2048	10.4	59	5000	1590469894
31.420029	121.948616	10325	3147	611.2	330	379.8	1920	9.8	59	5000	1590469910
31.427742	121.963623	10450	3185	624.1	337	387.8	704	3.6	59	5000	1590469920
31.440357	121.988235	10650	3246	646.3	349	401.6	768	3.9	59	5000	1590469935
31.462191	122.031296	11050	3368	700.1	378	435	1280	6.5	60	5000	1590469960
31.536488	122.186317	13850	4221	753.8	407	468.4	2112	10.7	60	5000	1590470042
31.579239	122.274872	15475	4717	768.6	415	477.6	1728	8.8	60	5000	1590470088
31.594259	122.306015	15975	4869	776	419	482.2	1920	9.8	60	5000	1590470104
31.650681	122.561226	18700	5700	859.3	464	534	512	2.6	81	5000	1590470215
31.66674	122.686028	18700	5700	870.4	470	540.9	0	0	81	5000	1590470265
31.693451	122.859947	18900	5761	866.7	468	538.6	1280	6.5	75	5000	1590470334
31.903179	124.465515	25000	7620	979.7	529	608.8	0	0	82	0	1590470920
31.907835	124.508339	25000	7620	981.6	530	609.9	0	0	82	0	1590470936
31.977385	124.894936	25000	7620	990.8	535	615.7	0	0	58	5000	1590471074
32.062134	125.04512	25000	7620	990.8	535	615.7	0	0	56	5000	1590471135
32.141479	125.202438	25000	7620	992.7	536	616.8	0	0	66	3131	1590471198
32.146229	125.217964	25000	7620	996.4	538	619.1	0	0	70	3131	1590471204
32.187698	125.418549	25000	7620	994.5	537	618	0	0	81	3131	1590471274
32.215942	125.597572	25000	7620	1013	547	629.5	0	0	75	3131	1590471336
32.255627	125.776642	25000	7620	1024.2	553	636.4	0	0	75	3131	1590471398
32.298615	125.956329	25000	7620	1031.6	557	641	0	0	73	3131	1590471459
32.340164	126.131737	25000	7620	994.5	537	618	0	0	79	3131	1590471521
32.362419	126.307968	25000	7620	992.7	536	616.8	0	0	81	3131	1590471582
32.365116	126.436943	25000	7620	977.9	528	607.6	0	0	94	3131	1590471626
32.369678	126.612778	25000	7620	985.3	532	612.2	-64	-0.3	83	3131	1590471687
32.394974	126.796562	25000	7620	990.8	535	615.7	0	0	80	3131	1590471750
32.420513	126.980934	26075	7948	1011.2	546	628.3	1024	5.2	80	3131	1590471814
32.446655	127.167793	27150	8275	1031.6	557	641	1088	5.5	80	3131	1590471876
32.472328	127.351669	28450	8672	1039	561	645.6	1792	9.1	80	3131	1590471937
32.498581	127.541458	29550	9007	1050.1	567	652.5	960	4.9	80	3131	1590471999
32.524746	127.731987	30425	9274	1070.5	578	665.2	384	2	80	3131	1590472062
32.551437	127.928978	31025	9456	1087.1	587	675.5	-128	-0.7	81	3131	1590472124
32.57814	128.129166	31000	9449	1090.8	589	677.8	0	0	81	3131	1590472187
32.603836	128.323898	31000	9449	1087.1	587	675.5	0	0	81	3131	1590472248
32.629395	128.520309	31000	9449	1079.7	583	670.9	0	0	81	3131	1590472310
32.654438	128.715652	31000	9449	1081.6	584	672.1	0	0	81	3131	1590472372
32.670456	128.796738	31000	9449	1085.3	586	674.4	0	0	71	3131	1590472399
32.67981	128.824844	31000	9449	1085.3	586	674.4	-64	-0.3	67	3131	1590472408
32.687119	128.843063	31000	9449	1083.4	585	673.2	-64	-0.3	64	3131	1590472414
32.695034	128.860489	31000	9449	1083.4	585	673.2	0	0	60	3131	1590472420
32.703049	128.87616	31000	9449	1079.7	583	670.9	0	0	58	3131	1590472426
32.712982	128.893585	31000	9449	1077.9	582	669.8	0	0	55	3131	1590472432
32.722961	128.909348	31000	9449	1074.2	580	667.5	0	0	52	3131	1590472439
32.733124	128.924896	31000	9449	1074.2	580	667.5	0	0	52	3131	1590472445
32.84074	129.089859	31000	9449	1068.6	577	664	0	0	52	3131	1590472510
32.943527	129.239853	31000	9449	1064.9	575	661.7	0	0	49	3131	1590472572
33.049164	129.387146	31000	9449	1066.8	576	662.8	0	0	49	3131	1590472633
33.153534	129.534851	31000	9449	1070.5	578	665.2	0	0	50	3131	1590472693
33.258591	129.685257	31000	9449	1076	581	668.6	0	0	50	3131	1590472754
33.36264	129.834717	31000	9449	1077.9	582	669.8	0	0	50	3131	1590472815
33.467285	129.985565	31000	9449	1077.9	582	669.8	0	0	50	3131	1590472877
33.572342	130.137436	31000	9449	1079.7	583	670.9	0	0	50	3131	1590472937
33.677937	130.290863	31000	9449	1083.4	585	673.2	0	0	50	3131	1590472999
33.782959	130.443878	31000	9449	1083.4	585	673.2	0	0	50	3131	1590473059
33.890354	130.601013	31000	9449	1085.3	586	674.4	0	0	50	3131	1590473122
33.994587	130.754242	31000	9449	1087.1	587	675.5	-64	-0.3	50	3131	1590473182
34.099411	130.908997	31000	9449	1090.8	589	677.8	0	0	50	3131	1590473244
34.203552	131.06337	31000	9449	1092.7	590	679	0	0	50	3131	1590473304
34.31184	131.224762	31000	9449	1098.2	593	682.4	0	0	51	3131	1590473367
34.416813	131.381668	31000	9449	1100.1	594	683.6	0	0	51	3131	1590473428
34.524582	131.543793	31000	9449	1094.5	591	680.1	64	0.3	51	3131	1590473490
34.632538	131.706909	31000	9449	1077.9	582	669.8	64	0.3	51	3131	1590473554
34.735001	131.862427	31000	9449	1077.9	582	669.8	0	0	51	3131	1590473615
34.839661	132.021759	31000	9449	1081.6	584	672.1	64	0.3	51	3131	1590473678
34.941376	132.177292	31000	9449	1083.4	585	673.2	0	0	51	3131	1590473738
35.044525	132.335938	31000	9449	1085.3	586	674.4	64	0.3	51	3131	1590473799
35.149128	132.497574	31000	9449	1087.1	587	675.5	0	0	51	3131	1590473862
35.249313	132.663239	31000	9449	1100.1	594	683.6	0	0	59	3131	1590473923
35.332729	132.841888	31000	9449	1101.9	595	684.7	64	0.3	60	3131	1590473984
35.417732	133.019424	31000	9449	1100.1	594	683.6	-64	-0.3	59	3131	1590474045
35.503876	133.197906	31000	9449	1101.9	595	684.7	0	0	60	3131	1590474107
35.586227	133.38118	31000	9449	1105.6	597	687	0	0	61	3131	1590474169
35.667847	133.56308	30975	9441	1105.6	597	687	-128	-0.7	61	3131	1590474230
35.75061	133.747391	31000	9449	1096.4	592	681.3	0	0	61	3131	1590474292
35.83136	133.928436	30975	9441	1094.5	591	680.1	64	0.3	61	3131	1590474354
35.910965	134.108109	31925	9731	1103.8	596	685.9	640	3.3	61	3131	1590474415
35.991398	134.290512	32750	9982	1116.8	603	693.9	448	2.3	61	3131	1590474476
36.073837	134.479126	33000	10058	1122.3	606	697.4	0	0	61	3131	1590474537
36.15554	134.666794	33000	10058	1124.2	607	698.5	64	0.3	61	3131	1590474598
36.236679	134.85437	33000	10058	1113.1	601	691.6	0	0	61	3131	1590474660
36.316772	135.040405	33000	10058	1109.3	599	689.3	64	0.3	62	3131	1590474722
36.394318	135.221558	32975	10051	1105.6	597	687	-64	-0.3	62	3131	1590474782
36.47419	135.409119	33000	10058	1103.8	596	685.9	64	0.3	62	3131	1590474845
36.552155	135.593842	33000	10058	1113.1	601	691.6	0	0	62	3131	1590474905
36.634285	135.789093	33000	10058	1114.9	602	692.8	-64	-0.3	62	3131	1590474968
36.71608	135.984528	33000	10058	1116.8	603	693.9	0	0	62	3131	1590475033
36.793625	136.171249	33000	10058	1120.5	605	696.2	0	0	62	3131	1590475092
36.87442	136.366806	33000	10058	1113.1	601	691.6	0	0	62	3131	1590475156
36.94986	136.55014	33000	10058	1107.5	598	688.2	0	0	62	3131	1590475216
37.030426	136.747589	33000	10058	1107.5	598	688.2	0	0	62	3131	1590475279
37.10614	136.934464	33000	10058	1101.9	595	684.7	0	0	63	3131	1590475340
37.184647	137.129242	33000	10058	1096.4	592	681.3	-64	-0.3	63	3131	1590475404
