latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
37.463299	126.461594	0	0	25.9	14	16.1	0	0	143	0	1590469819
37.462933	126.461929	0	0	29.6	16	18.4	0	0	143	0	1590469838
37.462681	126.462143	0	0	25.9	14	16.1	0	0	151	0	1590469850
37.463089	126.4618	0	0	20.4	11	12.7	0	0	194	0	1590469862
37.461559	126.460831	0	0	46.3	25	28.8	0	0	236	4113	1590469985
37.461239	126.460266	0	0	38.9	21	24.2	0	0	236	4113	1590470000
37.460941	126.45974	0	0	46.3	25	28.8	0	0	233	4113	1590470011
37.460152	126.458832	0	0	35.2	19	21.9	0	0	174	4113	1590470037
37.459293	126.459427	0	0	40.7	22	25.3	0	0	146	4113	1590470066
37.459019	126.459663	0	0	44.4	24	27.6	0	0	143	4113	1590470074
37.457371	126.458046	0	0	122.2	66	76	0	0	323	4113	1590470256
37.477253	126.440453	300	91	316.7	171	196.8	256	1.3	324	4113	1590470293
37.48201	126.436508	600	183	316.7	171	196.8	256	1.3	324	4113	1590470300
37.487366	126.432182	800	244	333.4	180	207.1	1792	9.1	327	4113	1590470308
37.491714	126.428734	975	297	335.2	181	208.3	1792	9.1	327	4113	1590470314
37.496246	126.425293	1150	351	346.3	187	215.2	1984	10.1	328	4113	1590470320
37.501225	126.421288	1375	419	350	189	217.5	1920	9.8	327	4113	1590470328
37.509842	126.413948	1775	541	351.9	190	218.6	2112	10.7	326	4113	1590470339
37.51873	126.406784	2100	640	351.9	190	218.6	1344	6.8	327	4113	1590470350
37.523209	126.403023	2250	686	353.7	191	219.8	1408	7.2	326	4113	1590470357
37.532043	126.395721	2500	762	355.6	192	220.9	1216	6.2	326	4113	1590470368
37.536606	126.391914	2625	800	357.4	193	222.1	1344	6.8	326	4113	1590470374
37.541245	126.388008	2775	846	359.3	194	223.3	1408	7.2	326	4113	1590470381
37.545776	126.384262	2900	884	361.1	195	224.4	1280	6.5	326	4113	1590470388
37.554668	126.377106	3175	968	363	196	225.6	1344	6.8	327	4113	1590470399
37.559883	126.373642	3300	1006	363	196	225.6	1280	6.5	332	4113	1590470406
37.56752	126.370003	3425	1044	374.1	202	232.5	704	3.6	340	4113	1590470413
37.573425	126.367905	3525	1074	383.4	207	238.2	896	4.6	344	4113	1590470421
37.578964	126.365974	3575	1090	394.5	213	245.1	384	2	344	4113	1590470427
37.587765	126.362953	3650	1113	411.1	222	255.5	832	4.2	344	4113	1590470435
37.594284	126.360687	3750	1143	424.1	229	263.5	832	4.2	344	4113	1590470441
37.600616	126.358536	3825	1166	433.4	234	269.3	576	2.9	344	4113	1590470448
37.612858	126.354538	4000	1219	446.3	241	277.3	1344	6.8	346	4113	1590470459
37.620209	126.353294	4125	1257	451.9	244	280.8	1088	5.5	355	4113	1590470465
37.64328	126.364334	4600	1402	485.2	262	301.5	1408	7.2	38	4113	1590470486
37.648178	126.370941	4750	1448	490.8	265	305	1472	7.5	49	4113	1590470492
37.652023	126.37854	4900	1494	494.5	267	307.3	1536	7.8	59	4113	1590470499
