latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-28.792706	114.700829	0	0	0	0	0	0	0	0	0	1590470052
-28.792465	114.700874	0	0	24.1	13	15	0	0	354	2000	1590470540
-28.79211	114.700844	0	0	31.5	17	19.6	0	0	16	2000	1590470550
-28.791872	114.700996	0	0	33.3	18	20.7	0	0	33	4363	1590470560
-28.791571	114.701187	0	0	42.6	23	26.5	0	0	30	4363	1590470570
-28.791332	114.70137	0	0	42.6	23	26.5	0	0	59	4363	1590470576
-28.791372	114.701653	0	0	46.3	25	28.8	0	0	120	4363	1590470582
-28.791527	114.701965	0	0	57.4	31	35.7	0	0	123	4363	1590470588
-28.791756	114.702354	0	0	63	34	39.1	0	0	132	4363	1590470594
-28.79207	114.702721	0	0	27.8	15	17.3	0	0	143	4363	1590470600
-28.792349	114.702972	0	0	63	34	39.1	0	0	146	4363	1590470606
-28.792746	114.7033	0	0	61.1	33	38	0	0	146	4363	1590470614
-28.793257	114.703728	0	0	27.8	15	17.3	0	0	146	4363	1590470622
-28.793571	114.703995	0	0	27.8	15	17.3	0	0	146	4363	1590470628
-28.793932	114.704308	0	0	29.6	16	18.4	0	0	146	4363	1590470634
-28.79434	114.704659	0	0	27.8	15	17.3	0	0	146	4363	1590470640
-28.794863	114.705063	0	0	61.1	33	38	0	0	163	4363	1590470650
-28.795387	114.705101	0	0	57.4	31	35.7	0	0	194	4363	1590470658
-28.795921	114.704979	0	0	40.7	22	25.3	0	0	157	4363	1590470668
-28.796104	114.705399	0	0	46.3	25	28.8	0	0	112	4363	1590470678
-28.796202	114.70575	0	0	55.6	30	34.5	0	0	109	4363	1590470684
-28.796003	114.706528	0	0	57.4	31	35.7	0	0	30	4363	1590470697
-28.795458	114.706787	0	0	31.5	17	19.6	0	0	22	4363	1590470704
-28.794945	114.70697	0	0	37	20	23	0	0	22	4363	1590470710
-28.794258	114.70723	0	0	40.7	22	25.3	0	0	22	4363	1590470718
