latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
28.558889	77.080391	0	0	0	0	0	0	0	180	0	1590470543
28.559076	77.080696	0	0	18.5	10	11.5	0	0	55	0	1590472282
28.559143	77.08091	0	0	18.5	10	11.5	0	0	64	0	1590472298
28.559368	77.081116	0	0	18.5	10	11.5	0	0	20	3735	1590472321
28.559042	77.081329	0	0	20.4	11	12.7	0	0	148	3735	1590472370
28.5588	77.08149	0	0	20.4	11	12.7	0	0	148	3735	1590472391
28.558537	77.081665	0	0	20.4	11	12.7	0	0	138	3735	1590472416
28.558296	77.081779	0	0	20.4	11	12.7	0	0	157	3735	1590472434
28.558086	77.081787	0	0	18.5	10	11.5	0	0	180	3735	1590472450
28.557701	77.081673	0	0	18.5	10	11.5	0	0	196	3735	1590472480
28.557495	77.081612	0	0	3.7	2	2.3	0	0	194	3735	1590472499
28.557295	77.081505	0	0	27.8	15	17.3	0	0	220	3735	1590472685
28.557117	77.081284	0	0	33.3	18	20.7	0	0	234	3735	1590472694
28.557014	77.08107	0	0	40.7	22	25.3	0	0	241	3735	1590472700
28.556818	77.080696	0	0	40.7	22	25.3	0	0	239	3735	1590472711
28.55666	77.080383	0	0	37	20	23	0	0	239	3735	1590472719
28.556492	77.080048	0	0	37	20	23	0	0	239	3735	1590472728
28.556284	77.079659	0	0	37	20	23	0	0	241	3735	1590472740
28.556213	77.079407	0	0	40.7	22	25.3	0	0	264	3735	1590472746
28.556236	77.079124	0	0	44.4	24	27.6	0	0	270	3735	1590472752
28.556122	77.078773	0	0	37	20	23	0	0	225	3735	1590472761
28.555836	77.078583	0	0	42.6	23	26.5	0	0	196	3735	1590472770
28.555527	77.078491	0	0	50	27	31.1	0	0	196	3735	1590472777
28.555069	77.078362	0	0	48.2	26	29.9	0	0	194	3735	1590472786
28.554794	77.078285	0	0	42.6	23	26.5	0	0	194	3735	1590472792
28.55444	77.078178	0	0	38.9	21	24.2	0	0	196	3735	1590472800
28.554222	77.07811	0	0	40.7	22	25.3	0	0	194	3735	1590472806
28.553955	77.078033	0	0	48.2	26	29.9	0	0	194	3735	1590472813
28.553328	77.077843	0	0	53.7	29	33.4	0	0	194	3735	1590472824
28.553009	77.077751	0	0	50	27	31.1	0	0	194	3735	1590472831
28.552397	77.077576	0	0	51.9	28	32.2	0	0	194	3735	1590472843
28.552105	77.077492	0	0	46.3	25	28.8	0	0	194	3735	1590472849
28.551512	77.077454	0	0	55.6	30	34.5	0	0	151	3735	1590472861
