latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
29.880289	121.310562	7051	2149	463	250	287.7	0	0	238	0	1590470686
29.859827	121.274696	8399	2560	470.4	254	292.3	0	0	238	0	1590470716
29.83754	121.235077	9150	2789	481.5	260	299.2	0	0	237	7020	1590470746
29.803858	121.175476	10699	3261	498.2	269	309.6	0	0	237	7020	1590470794
29.746124	121.073296	13025	3970	620.4	335	385.5	1600	8.1	236	7020	1590470866
29.71907	121.025658	13725	4183	659.3	356	409.7	1088	5.5	236	7020	1590470898
29.685837	120.967293	13800	4206	687.1	371	426.9	0	0	236	7020	1590470933
29.655396	120.913788	13800	4206	688.9	372	428.1	0	0	236	7020	1590470966
29.625565	120.861351	13800	4206	685.2	370	425.8	0	0	236	7020	1590470996
29.610535	120.833496	13800	4206	683.4	369	424.6	-192	-1	241	7020	1590471013
29.608704	120.753265	13800	4206	692.6	374	430.4	192	1	284	7020	1590471055
29.612902	120.744164	13800	4206	701.9	379	436.1	256	1.3	298	7020	1590471061
29.619606	120.731667	13800	4206	700.1	378	435	64	0.3	301	7020	1590471068
29.628159	120.71608	13800	4206	700.1	378	435	0	0	302	7020	1590471077
29.635529	120.702614	13800	4206	700.1	378	435	-64	-0.3	302	7020	1590471085
29.664576	120.648949	13800	4206	696.4	376	432.7	0	0	301	7020	1590471116
29.688969	120.583893	13800	4206	690.8	373	429.2	-128	-0.7	278	7020	1590471152
29.689573	120.572906	13800	4206	690.8	373	429.2	128	0.7	273	7020	1590471158
29.691669	120.495895	14425	4397	700.1	378	435	2176	11.1	271	7020	1590471196
29.693344	120.430229	15675	4778	709.3	383	440.7	2368	12	271	7020	1590471229
29.694763	120.367851	17300	5273	692.6	374	430.4	3776	19.2	271	7020	1590471260
29.696365	120.301987	18650	5685	685.2	370	425.8	1792	9.1	271	7020	1590471293
29.699303	120.173683	19700	6005	727.8	393	452.3	128	0.7	271	7020	1590471356
29.702545	120.041061	19700	6005	733.4	396	455.7	0	0	271	7020	1590471419
29.705109	119.911758	20600	6279	729.7	394	453.4	2112	10.7	271	7020	1590471480
29.692135	119.7799	22750	6934	716.7	387	445.4	2240	11.4	263	7020	1590471544
