latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
23.300047	113.308563	3175	968	377.8	204	234.8	2368	12	178	0	1590470737
23.294678	113.308647	3400	1036	377.8	204	234.8	2432	12.4	178	0	1590470743
23.288727	113.308792	3600	1097	383.4	207	238.2	1856	9.4	178	0	1590470750
23.282867	113.308945	3725	1135	394.5	213	245.1	1024	5.2	178	0	1590470756
23.270187	113.309341	3850	1173	427.8	231	265.8	832	4.2	178	0	1590470768
23.242136	113.305	4525	1379	453.7	245	281.9	1664	8.5	196	3105	1590470793
23.234161	113.301254	4775	1455	463	250	287.7	2176	11.1	205	3105	1590470800
23.226013	113.296455	5025	1532	477.8	258	296.9	1856	9.4	208	3105	1590470808
23.211731	113.28862	5550	1692	494.5	267	307.3	3072	15.6	205	3105	1590470821
23.199509	113.282379	6000	1829	501.9	271	311.9	2368	12	205	3105	1590470832
23.187624	113.276367	6375	1943	509.3	275	316.5	2368	12	205	3105	1590470843
23.17392	113.269394	6750	2057	518.6	280	322.2	1792	9.1	205	3105	1590470854
23.16069	113.26265	6975	2126	518.6	280	322.2	960	4.9	205	3105	1590470866
23.146225	113.255257	7075	2156	522.3	282	324.5	320	1.6	205	3105	1590470877
23.131947	113.24778	7250	2210	524.1	283	325.7	1472	7.5	205	3105	1590470890
23.117702	113.24041	7725	2355	524.1	283	325.7	3072	15.6	205	3105	1590470901
23.103317	113.232826	8250	2515	522.3	282	324.5	2432	12.4	206	3105	1590470913
23.089584	113.225609	8675	2644	524.1	283	325.7	2048	10.4	206	3105	1590470925
23.075455	113.218155	8950	2728	526	284	326.8	1152	5.9	206	3105	1590470938
23.061094	113.210602	9075	2766	524.1	283	325.7	320	1.6	205	3105	1590470949
23.046799	113.203224	9075	2766	518.6	280	322.2	-64	-0.3	205	3105	1590470961
23.034233	113.197784	9075	2766	531.5	287	330.3	-128	-0.7	196	3105	1590470972
23.026598	113.195953	9050	2758	537.1	290	333.7	-64	-0.3	190	3105	1590470978
23.01535	113.195183	9050	2758	544.5	294	338.3	0	0	179	3105	1590470985
23.007385	113.19593	9050	2758	550	297	341.8	0	0	173	3105	1590470991
22.999086	113.197838	9050	2758	557.5	301	346.4	-64	-0.3	164	3105	1590470997
22.991079	113.20063	9050	2758	559.3	302	347.5	64	0.3	161	3105	1590471003
22.982746	113.203583	9075	2766	561.2	303	348.7	320	1.6	161	3105	1590471009
22.974693	113.206329	9150	2789	563	304	349.8	1024	5.2	162	3105	1590471015
22.966593	113.209129	9300	2835	563	304	349.8	2048	10.4	162	3105	1590471022
22.957581	113.212265	9575	2918	520.4	281	323.4	0	0	205	3105	1590471028
22.942841	113.217354	10150	3094	561.2	303	348.7	3328	16.9	162	3105	1590471040
22.92627	113.222702	10575	3223	570.4	308	354.4	1664	8.5	165	3105	1590471052
22.913406	113.224648	10800	3292	579.7	313	360.2	1472	7.5	176	3105	1590471060
22.904297	113.2248	10925	3330	588.9	318	365.9	1344	6.8	180	3105	1590471066
22.89592	113.224396	11050	3368	598.2	323	371.7	1344	6.8	183	3105	1590471073
22.882187	113.223396	11250	3429	614.9	332	382.1	1344	6.8	184	3105	1590471081
22.872744	113.222557	11375	3467	626	338	389	1408	7.2	184	3105	1590471087
22.85376	113.220757	11625	3543	646.3	349	401.6	1344	6.8	184	3105	1590471100
22.833298	113.218857	11900	3627	668.6	361	415.4	1408	7.2	184	3105	1590471112
22.812971	113.216911	12175	3711	692.6	374	430.4	1472	7.5	185	3105	1590471123
22.753326	113.211113	13400	4084	727.8	393	452.3	3008	15.3	185	3105	1590471157
22.697893	113.206383	15525	4732	701.9	379	436.1	4288	21.8	183	3105	1590471188
22.641953	113.202774	17150	5227	698.2	377	433.8	2304	11.7	183	3105	1590471219
22.58938	113.199257	17775	5418	694.5	375	431.5	1024	5.2	183	3105	1590471250
22.53479	113.195038	18750	5715	701.9	379	436.1	2304	11.7	184	3105	1590471281
22.422026	113.188934	20800	6340	751.9	406	467.2	1984	10.1	176	3105	1590471344
22.405033	113.19117	21025	6408	764.9	413	475.3	1984	10.1	170	3105	1590471353
