latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
21.217598	105.797707	0	0	3.7	2	2.3	0	0	196	0	1590471038
21.21785	105.797775	0	0	20.4	11	12.7	0	0	196	0	1590471062
21.218067	105.797844	0	0	20.4	11	12.7	0	0	199	0	1590471080
21.218285	105.797905	0	0	20.4	11	12.7	0	0	205	0	1590471099
21.218487	105.797935	0	0	18.5	10	11.5	0	0	239	0	1590471121
21.218628	105.798141	0	0	20.4	11	12.7	0	0	281	0	1590471144
21.218708	105.79792	0	0	33.3	18	20.7	0	0	286	0	1590471274
21.218801	105.797592	0	0	42.6	23	26.5	0	0	286	0	1590471283
21.218882	105.797333	0	0	48.2	26	29.9	0	0	286	0	1590471290
21.219091	105.7966	0	0	59.3	32	36.8	0	0	286	0	1590471302
21.219337	105.795731	0	0	31.5	17	19.6	0	0	286	0	1590471314
21.219488	105.795227	0	0	35.2	19	21.9	0	0	286	0	1590471320
21.219635	105.794716	0	0	35.2	19	21.9	0	0	286	0	1590471326
21.219801	105.794144	0	0	38.9	21	24.2	0	0	286	0	1590471332
21.219988	105.793495	0	0	38.9	21	24.2	0	0	286	0	1590471338
21.220152	105.792946	0	0	29.6	16	18.4	0	0	286	0	1590471345
21.220322	105.792351	0	0	38.9	21	24.2	0	0	286	0	1590471358
21.220396	105.792084	0	0	18.5	10	11.5	0	0	286	0	1590471370
21.220465	105.79187	0	0	27.8	15	17.3	0	0	286	0	1590471388
21.220592	105.791451	0	0	42.6	23	26.5	0	0	289	0	1590471400
21.22094	105.791252	0	0	48.2	26	29.9	0	0	357	0	1590471409
21.221249	105.791321	0	0	50	27	31.1	0	0	8	0	1590471416
21.221523	105.791222	0	0	55.6	30	34.5	0	0	329	0	1590471422
21.221764	105.790627	0	0	63	34	39.1	0	0	284	0	1590471430
21.221878	105.790215	0	0	29.6	16	18.4	0	0	286	0	1590471436
21.222025	105.789703	0	0	31.5	17	19.6	0	0	286	0	1590471442
21.222164	105.7892	0	0	35.2	19	21.9	0	0	286	0	1590471448
21.222416	105.78833	0	0	38.9	21	24.2	0	0	286	0	1590471457
21.22261	105.787666	0	0	40.7	22	25.3	0	0	286	0	1590471464
21.22278	105.787064	0	0	35.2	19	21.9	0	0	286	0	1590471470
21.22291	105.786629	0	0	29.6	16	18.4	0	0	286	0	1590471477
21.223038	105.786232	0	0	51.9	28	32.2	0	0	292	0	1590471483
21.223217	105.786018	0	0	42.6	23	26.5	0	0	323	0	1590471489
21.223492	105.786041	0	0	46.3	25	28.8	0	0	16	0	1590471496
21.223721	105.786133	0	0	50	27	31.1	0	0	19	0	1590471502
21.224258	105.786331	0	0	57.4	31	35.7	0	0	19	0	1590471510
21.224533	105.786446	0	0	38.9	21	24.2	0	0	22	0	1590471516
21.224701	105.786667	0	0	22.2	12	13.8	0	0	59	0	1590471534
21.22455	105.786911	0	0	20.4	11	12.7	0	0	106	0	1590471637
21.22448	105.787148	0	0	48.2	26	29.9	0	0	106	0	1590471646
21.224258	105.787956	0	0	75.9	41	47.2	0	0	106	0	1590471652
21.223677	105.78997	0	0	140.8	76	87.5	0	0	106	0	1590471658
21.222397	105.794411	0	0	222.2	120	138.1	0	0	106	0	1590471667
