latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
44.328541	-93.310417	0	0	3.7	2	2.3	0	0	219	0	1590471170
44.328159	-93.31057	1100	335	33.3	18	20.7	256	1.3	173	0	1590471186
44.327507	-93.310234	1100	335	66.7	36	41.4	576	2.9	148	0	1590471192
44.326721	-93.309242	1100	335	94.5	51	58.7	704	3.6	134	0	1590471198
44.323792	-93.304337	1400	427	125.9	68	78.3	1344	6.8	126	0	1590471212
44.323036	-93.302399	1500	457	129.6	70	80.6	1216	6.2	110	311	1590471218
44.322803	-93.299713	1600	488	142.6	77	88.6	960	4.9	90	311	1590471224
44.324615	-93.294655	1800	549	181.5	98	112.8	576	2.9	43	311	1590471234
44.326859	-93.292625	1800	549	194.5	105	120.8	832	4.2	24	311	1590471240
44.331894	-93.291977	1900	579	214.8	116	133.5	576	2.9	351	311	1590471248
44.335098	-93.293411	2000	610	229.6	124	142.7	448	2.3	335	311	1590471254
44.337296	-93.295242	2000	610	237.1	128	147.3	512	2.6	324	311	1590471260
44.340633	-93.299316	2100	640	240.8	130	149.6	704	3.6	314	311	1590471266
44.344543	-93.308022	2200	671	251.9	136	156.5	-128	-0.7	295	311	1590471278
44.345993	-93.313622	2200	671	261.1	141	162.3	-192	-1	285	311	1590471285
44.346592	-93.319214	2200	671	263	142	163.4	-192	-1	272	311	1590471292
44.345337	-93.326981	2200	671	257.4	139	160	128	0.7	248	311	1590471300
44.34338	-93.332809	2200	671	257.4	139	160	64	0.3	244	311	1590471306
44.341873	-93.337624	2200	671	261.1	141	162.3	64	0.3	247	311	1590471313
44.339096	-93.348755	2200	671	274.1	148	170.3	-128	-0.7	252	311	1590471326
44.337936	-93.354103	2200	671	277.8	150	172.6	-64	-0.3	253	311	1590471332
44.336563	-93.360115	2200	671	281.5	152	174.9	0	0	252	311	1590471338
44.335281	-93.365501	2200	671	281.5	152	174.9	64	0.3	250	311	1590471344
44.333744	-93.37146	2200	671	283.4	153	176.1	0	0	250	311	1590471351
44.332123	-93.377579	2200	671	283.4	153	176.1	0	0	250	311	1590471357
44.329285	-93.388237	2200	671	281.5	152	174.9	128	0.7	250	311	1590471368
44.327637	-93.394516	2200	671	281.5	152	174.9	0	0	250	311	1590471376
44.32608	-93.400467	2200	671	283.4	153	176.1	0	0	250	311	1590471382
44.324707	-93.405632	2200	671	283.4	153	176.1	0	0	249	311	1590471388
44.323013	-93.411972	2200	671	285.2	154	177.2	-64	-0.3	249	311	1590471394
44.321365	-93.417923	2200	671	285.2	154	177.2	64	0.3	249	311	1590471400
44.319405	-93.425125	2200	671	285.2	154	177.2	0	0	249	311	1590471409
44.316242	-93.436714	2200	671	287.1	155	178.4	64	0.3	248	311	1590471420
44.31461	-93.442741	2200	671	288.9	156	179.5	0	0	249	311	1590471426
44.312981	-93.448769	2200	671	288.9	156	179.5	0	0	249	311	1590471433
44.311386	-93.454613	2200	671	288.9	156	179.5	0	0	249	311	1590471439
44.309921	-93.459908	2200	671	288.9	156	179.5	0	0	249	311	1590471445
44.308182	-93.466316	2200	671	288.9	156	179.5	0	0	249	311	1590471452
44.306839	-93.471413	2200	671	288.9	156	179.5	64	0.3	250	311	1590471458
44.305302	-93.477509	2200	671	288.9	156	179.5	0	0	250	311	1590471464
44.303951	-93.482803	2200	671	288.9	156	179.5	0	0	249	311	1590471470
44.300739	-93.494926	2200	671	288.9	156	179.5	0	0	249	311	1590471483
44.299202	-93.500618	2200	671	288.9	156	179.5	0	0	249	311	1590471489
44.297108	-93.508125	2200	671	288.9	156	179.5	0	0	249	311	1590471496
44.295364	-93.51432	2200	671	288.9	156	179.5	0	0	248	311	1590471502
44.293617	-93.520515	2200	671	288.9	156	179.5	64	0.3	249	311	1590471509
44.291931	-93.526741	2200	671	290.8	157	180.7	-64	-0.3	249	311	1590471516
44.290649	-93.531715	2200	671	290.8	157	180.7	0	0	249	311	1590471522
44.288864	-93.538643	2200	671	292.6	158	181.8	-64	-0.3	250	311	1590471528
44.287331	-93.544632	2200	671	292.6	158	181.8	64	0.3	250	311	1590471535
44.284214	-93.556084	2200	671	292.6	158	181.8	-64	-0.3	248	311	1590471546
44.28249	-93.56218	2200	671	292.6	158	181.8	0	0	248	311	1590471552
44.280582	-93.569016	2200	671	290.8	157	180.7	64	0.3	247	311	1590471560
44.278858	-93.575043	2200	671	290.8	157	180.7	64	0.3	249	311	1590471567
44.276642	-93.582848	2200	671	294.5	159	183	-64	-0.3	247	311	1590471574
44.274902	-93.588997	2200	671	294.5	159	183	-64	-0.3	247	311	1590471581
44.273178	-93.594872	2200	671	292.6	158	181.8	-64	-0.3	247	311	1590471587
44.271549	-93.600571	2200	671	290.8	157	180.7	128	0.7	247	311	1590471593
44.269966	-93.606262	2200	671	292.6	158	181.8	64	0.3	248	311	1590471599
