latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
19.827808	105.505058	7975	2431	551.9	298	342.9	2560	13	168	0	1590471218
19.808071	105.5093	8525	2598	555.6	300	345.2	2240	11.4	168	0	1590471232
19.789822	105.513191	9050	2758	559.3	302	347.5	2304	11.7	168	0	1590471246
19.781815	105.514946	9250	2819	561.2	303	348.7	2240	11.4	168	4654	1590471252
19.528896	105.563484	13000	3962	737.1	398	458	1920	9.8	172	4654	1590471410
19.463699	105.572189	14125	4305	748.2	404	464.9	2112	10.7	172	4654	1590471444
19.397049	105.581017	14900	4542	772.3	417	479.9	1664	8.5	172	4654	1590471479
19.329208	105.589989	16250	4953	766.7	414	476.4	1472	7.5	172	4654	1590471514
19.263428	105.598724	17075	5204	779.7	421	484.5	1536	7.8	172	4654	1590471549
19.195633	105.607651	17850	5441	792.7	428	492.5	1536	7.8	172	4654	1590471583
19.159332	105.612457	18275	5570	798.2	431	496	1280	6.5	172	4654	1590471601
19.092865	105.621284	19000	5791	809.3	437	502.9	1408	7.2	172	4654	1590471634
18.937317	105.710205	20925	6378	839	453	521.3	1728	8.8	143	4654	1590471722
18.91855	105.724678	21225	6469	837.1	452	520.2	1728	8.8	143	4654	1590471732
18.845324	105.781212	22050	6721	851.9	460	529.4	1280	6.5	143	4654	1590471776
18.777008	105.833748	22800	6949	861.2	465	535.1	1280	6.5	143	4654	1590471816
18.614182	105.959114	24375	7430	881.6	476	547.8	1024	5.2	143	4654	1590471908
18.508518	106.040237	25400	7742	887.1	479	551.2	640	3.3	143	4654	1590471968
18.390381	106.13092	26300	8016	900.1	486	559.3	1280	6.5	143	4654	1590472032
18.279854	106.215721	27575	8405	890.8	481	553.5	960	4.9	143	4654	1590472093
18.191544	106.283234	28450	8672	894.5	483	555.8	1344	6.8	143	4654	1590472142
18.030624	106.406151	30375	9258	883.4	477	548.9	1280	6.5	143	4654	1590472232
17.922501	106.488647	31650	9647	879.7	475	546.6	1280	6.5	143	4654	1590472292
17.812654	106.572289	32000	9754	889	480	552.4	0	0	143	4654	1590472354
17.774809	106.601074	32000	9754	885.3	478	550.1	64	0.3	143	4654	1590472374
17.614105	106.723022	32000	9754	885.3	478	550.1	0	0	143	4654	1590472464
17.504242	106.806381	32000	9754	887.1	479	551.2	0	0	144	4654	1590472525
17.396431	106.887901	32000	9754	890.8	481	553.5	0	0	144	4654	1590472584
17.319855	106.945885	32000	9754	894.5	483	555.8	0	0	143	4654	1590472627
16.942337	107.236923	31975	9746	885.3	478	550.1	-64	-0.3	140	4654	1590472837
16.833069	107.331177	31975	9746	885.3	478	550.1	0	0	140	4654	1590472902
16.729244	107.42054	31975	9746	890.8	481	553.5	64	0.3	140	4654	1590472961
16.618286	107.51577	32025	9761	894.5	483	555.8	64	0.3	140	4654	1590473026
16.514732	107.604858	32025	9761	896.4	484	557	0	0	140	4654	1590473087
16.410734	107.700203	32000	9754	896.4	484	557	64	0.3	134	4654	1590473148
16.349844	107.762878	32025	9761	896.4	484	557	64	0.3	142	4654	1590473186
16.340149	107.769806	32025	9761	894.5	483	555.8	64	0.3	145	4654	1590473192
16.326508	107.778236	32025	9761	892.7	482	554.7	0	0	149	4654	1590473199
