latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
36.505821	103.619293	0	0	50	27	31.1	0	0	177	0	1590471293
36.505508	103.619316	0	0	53.7	29	33.4	0	0	177	0	1590471299
36.504765	103.619354	0	0	61.1	33	38	0	0	177	0	1590471310
36.504318	103.619385	0	0	27.8	15	17.3	0	0	177	0	1590471317
36.503872	103.619415	0	0	29.6	16	18.4	0	0	177	0	1590471323
36.503391	103.619446	0	0	31.5	17	19.6	0	0	177	0	1590471330
36.502338	103.619514	0	0	35.2	19	21.9	0	0	177	0	1590471341
36.501213	103.619583	0	0	37	20	23	0	0	177	0	1590471353
36.50061	103.619614	0	0	38.9	21	24.2	0	0	177	0	1590471359
36.499504	103.61969	0	0	42.6	23	26.5	0	0	177	0	1590471369
36.498653	103.619743	0	0	44.4	24	27.6	0	0	177	0	1590471377
36.497944	103.619789	0	0	46.3	25	28.8	0	0	177	0	1590471383
36.497303	103.619812	0	0	44.4	24	27.6	0	0	177	0	1590471389
36.496628	103.619865	0	0	38.9	21	24.2	0	0	177	0	1590471395
36.496124	103.619904	0	0	33.3	18	20.7	0	0	177	0	1590471401
36.495747	103.619926	0	0	51.9	28	32.2	0	0	174	0	1590471407
36.495544	103.620186	0	0	50	27	31.1	0	0	123	0	1590471414
36.495495	103.620544	0	0	50	27	31.1	0	0	95	0	1590471420
36.495522	103.620956	0	0	55.6	30	34.5	0	0	87	0	1590471426
36.49556	103.621613	0	0	51.9	28	32.2	0	0	84	0	1590471434
36.49564	103.621895	0	0	37	20	23	0	0	59	0	1590471441
36.495895	103.621971	0	0	29.6	16	18.4	0	0	5	0	1590471450
36.496101	103.621964	0	0	20.4	11	12.7	0	0	5	0	1590471462
36.496384	103.621933	0	0	42.6	23	26.5	0	0	357	0	1590471470
36.497047	103.621895	0	0	57.4	31	35.7	0	0	357	0	1590471476
36.499077	103.621788	0	0	127.8	69	79.4	0	0	357	0	1590471482
36.501526	103.621613	0	0	174.1	94	108.2	0	0	357	0	1590471489
36.504776	103.621422	0	0	213	115	132.3	0	0	357	0	1590471495
36.51297	103.620911	0	0	296.3	160	184.1	0	0	357	0	1590471506
36.523361	103.620361	6200	1890	351.9	190	218.6	2240	11.4	357	0	1590471519
36.533936	103.619781	6750	2057	353.7	191	219.8	3008	15.3	357	0	1590471531
36.544205	103.618958	7400	2256	342.6	185	212.9	3584	18.2	355	0	1590471542
36.554447	103.618141	7975	2431	340.8	184	211.7	2688	13.7	356	0	1590471555
36.564594	103.617203	8525	2598	337.1	182	209.4	2944	15	356	7060	1590471566
36.575024	103.616386	9075	2766	335.2	181	208.3	2688	13.7	356	7060	1590471579
36.58493	103.615494	9575	2918	335.2	181	208.3	2496	12.7	356	7060	1590471591
36.595413	103.614632	9975	3040	350	189	217.5	2048	10.4	356	7060	1590471603
36.606026	103.613815	10425	3178	357.4	193	222.1	2048	10.4	356	7060	1590471615
36.617664	103.612823	10725	3269	381.5	206	237.1	1728	8.8	356	7060	1590471627
36.629627	103.612473	11050	3368	405.6	219	252	1792	9.1	359	7060	1590471640
36.642014	103.612175	11375	3467	427.8	231	265.8	1600	8.1	358	7060	1590471651
36.655746	103.611946	11700	3566	448.2	242	278.5	1792	9.1	359	7060	1590471664
36.682976	103.618896	12650	3856	470.4	254	292.3	3520	17.9	27	7060	1590471689
36.694847	103.630058	13175	4016	483.4	261	300.4	3008	15.3	40	7060	1590471700
36.699829	103.636078	13325	4061	498.2	269	309.6	1920	9.8	44	7060	1590471707
36.707657	103.647652	13450	4100	526	284	326.8	1408	7.2	53	7060	1590471715
