latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-43.490101	172.539108	0	0	0	0	0	0	0	0	0	1590471396
-43.490421	172.539047	0	0	27.8	15	17.3	0	0	185	0	1590471464
-43.49065	172.538849	0	0	33.3	18	20.7	0	0	218	0	1590471474
-43.490871	172.538483	0	0	38.9	21	24.2	0	0	264	0	1590471486
-43.490753	172.538177	0	0	40.7	22	25.3	0	0	309	0	1590471492
-43.490475	172.53772	0	0	44.4	24	27.6	0	0	312	0	1590471502
-43.490322	172.537476	0	0	48.2	26	29.9	0	0	312	0	1590471508
-43.489975	172.536896	0	0	51.9	28	32.2	0	0	309	0	1590471518
-43.489613	172.536316	0	0	50	27	31.1	0	0	309	0	1590471528
-43.489288	172.535782	0	0	42.6	23	26.5	0	0	309	0	1590471538
-43.488888	172.535614	0	0	46.3	25	28.8	0	0	16	0	1590471548
-43.488659	172.535797	0	0	50	27	31.1	0	0	36	0	1590471554
-43.488148	172.536377	0	0	61.1	33	38	0	0	39	0	1590471564
-43.486382	172.538437	0	0	59.3	32	36.8	0	0	39	0	1590471598
-43.485855	172.539032	0	0	57.4	31	35.7	0	0	39	0	1590471608
-43.485458	172.539505	0	0	59.3	32	36.8	0	0	39	0	1590471616
-43.484924	172.53772	0	0	57.4	31	35.7	0	0	250	0	1590471662
-43.485424	172.536209	0	0	51.9	28	32.2	0	0	219	0	1590471682
-43.48568	172.535934	0	0	51.9	28	32.2	0	0	219	0	1590471689
-43.489574	172.531433	0	0	194.5	105	120.8	0	0	219	0	1590471708
-43.492218	172.528336	0	0	229.6	124	142.7	256	1.3	220	0	1590471714
-43.494686	172.525497	25	8	235.2	127	146.1	1792	9.1	220	0	1590471720
-43.497528	172.522202	225	69	240.8	130	149.6	1984	10.1	219	0	1590471726
-43.5	172.519394	400	122	246.3	133	153.1	1920	9.8	220	0	1590471732
-43.502972	172.514969	625	191	255.6	138	158.8	2048	10.4	233	0	1590471738
-43.505219	172.510391	850	259	257.4	139	160	2048	10.4	237	0	1590471744
-43.507416	172.505478	1000	305	266.7	144	165.7	1408	7.2	238	0	1590471751
-43.50943	172.500931	1125	343	275.9	149	171.5	1280	6.5	238	0	1590471757
-43.512177	172.494675	1400	427	275.9	149	171.5	2112	10.7	238	5705	1590471764
-43.514236	172.490204	1600	488	274.1	148	170.3	2240	11.4	237	5705	1590471770
-43.516613	172.485291	1850	564	272.2	147	169.2	2240	11.4	236	5705	1590471776
