latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-38.099213	147.15036	0	0	192.6	104	119.7	640	3.3	53	0	1590471420
-38.097519	147.153336	0	0	196.3	106	122	1280	6.5	53	0	1590471426
-38.095791	147.15625	100	30	196.3	106	122	1216	6.2	53	0	1590471432
-38.093884	147.15947	200	61	200	108	124.3	1024	5.2	53	0	1590471438
-38.092068	147.162766	300	91	200	108	124.3	960	4.9	55	0	1590471445
-38.09053	147.168015	500	152	200	108	124.3	960	4.9	87	0	1590471453
-38.096008	147.177063	700	213	225.9	122	140.4	576	2.9	158	4213	1590471473
-38.112083	147.173157	1100	335	248.2	134	154.2	960	4.9	200	4213	1590471499
-38.115646	147.171448	1200	366	246.3	133	153.1	768	3.9	201	4213	1590471505
-38.118973	147.169861	1200	366	250	135	155.4	704	3.6	201	4213	1590471511
-38.122604	147.168076	1300	396	250	135	155.4	896	4.6	201	4213	1590471517
-38.126144	147.166336	1400	427	248.2	134	154.2	640	3.3	200	4213	1590471523
-38.129776	147.164734	1400	427	250	135	155.4	640	3.3	199	4213	1590471529
-38.133221	147.163239	1500	457	251.9	136	156.5	768	3.9	198	4213	1590471536
-38.14032	147.160294	1700	518	250	135	155.4	832	4.2	197	4213	1590471547
-38.144028	147.158768	1800	549	248.2	134	154.2	832	4.2	198	4213	1590471554
-38.147873	147.157135	1800	549	255.6	138	158.8	-320	-1.6	198	4213	1590471560
-38.151653	147.155655	1800	549	274.1	148	170.3	-128	-0.7	197	4213	1590471566
-38.155655	147.154037	1700	518	290.8	157	180.7	-384	-2	197	4213	1590471572
-38.160187	147.152222	1700	518	300	162	186.4	256	1.3	197	4213	1590471578
-38.164673	147.150406	1800	549	301.9	163	187.6	64	0.3	197	4213	1590471584
-38.168972	147.148605	1800	549	305.6	165	189.9	-192	-1	198	4213	1590471590
-38.173416	147.146729	1800	549	307.4	166	191	64	0.3	198	4213	1590471596
-38.177811	147.144913	1800	549	307.4	166	191	0	0	197	4213	1590471602
-38.182007	147.143234	1800	549	307.4	166	191	64	0.3	197	4213	1590471608
-38.186707	147.141449	1800	549	305.6	165	189.9	64	0.3	196	4213	1590471615
