latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
22.640774	113.812027	0	0	51.9	28	32.2	0	0	331	0	1590471662
22.641277	113.811752	0	0	55.6	30	34.5	0	0	331	0	1590471672
22.642982	113.810822	0	0	27.8	15	17.3	0	0	331	0	1590471702
22.645149	113.809624	0	0	33.3	18	20.7	0	0	331	0	1590471732
22.645901	113.809212	0	0	35.2	19	21.9	0	0	331	0	1590471740
22.64661	113.80883	0	0	61.1	33	38	0	0	331	0	1590471750
22.64728	113.808456	0	0	27.8	15	17.3	0	0	331	0	1590471762
22.647949	113.808098	0	0	29.6	16	18.4	0	0	331	0	1590471771
22.648746	113.807655	0	0	31.5	17	19.6	0	0	331	0	1590471782
22.649197	113.807411	0	0	33.3	18	20.7	0	0	331	0	1590471788
22.65041	113.806747	0	0	46.3	25	28.8	0	0	331	0	1590471807
22.650925	113.806465	0	0	50	27	31.1	0	0	331	0	1590471820
22.651749	113.806	0	0	57.4	31	35.7	0	0	331	0	1590471836
22.652424	113.805641	0	0	61.1	33	38	0	0	331	0	1590471846
22.653408	113.804314	0	0	20.4	11	12.7	0	0	250	0	1590471917
22.649712	113.807121	0	0	0	0	0	0	0	242	0	1590471943
22.653261	113.803993	0	0	29.6	16	18.4	0	0	244	0	1590472090
22.652983	113.803406	0	0	38.9	21	24.2	0	0	241	0	1590472106
22.651588	113.803917	0	0	61.1	33	38	0	0	151	0	1590472166
22.634995	113.813019	250	76	322.2	174	200.2	128	0.7	153	0	1590472201
22.627441	113.817207	400	122	344.5	186	214	2944	15	152	0	1590472212
22.621124	113.820808	850	259	333.4	180	207.1	2624	13.3	151	0	1590472221
22.611679	113.82589	1325	404	340.8	184	211.7	1920	9.8	154	0	1590472232
22.606567	113.828499	1500	457	350	189	217.5	1664	8.5	154	3135	1590472239
22.585703	113.839417	2300	701	368.5	199	229	1408	7.2	153	3135	1590472264
22.579193	113.84288	2475	754	372.3	201	231.3	1344	6.8	153	3135	1590472272
22.574203	113.845627	2600	792	376	203	233.6	1344	6.8	153	3135	1590472278
22.568893	113.848473	2750	838	381.5	206	237.1	1472	7.5	153	3135	1590472284
22.563637	113.851318	2900	884	385.2	208	239.4	1472	7.5	153	3135	1590472291
22.553146	113.857109	3250	991	388.9	210	241.7	1792	9.1	152	3135	1590472302
22.542782	113.862762	3550	1082	398.2	215	247.4	960	4.9	153	3135	1590472314
22.537262	113.865799	3625	1105	407.4	220	253.2	832	4.2	152	3135	1590472320
22.531376	113.868965	3725	1135	420.4	227	261.2	768	3.9	153	3135	1590472327
22.519598	113.875526	3850	1173	448.2	242	278.5	448	2.3	152	3135	1590472339
22.511545	113.881836	3900	1189	468.6	253	291.1	448	2.3	142	3135	1590472348
22.506088	113.890121	4000	1219	488.9	264	303.8	1216	6.2	117	3135	1590472355
22.503677	113.897652	4125	1257	494.5	267	307.3	1216	6.2	104	3135	1590472361
22.502886	113.905891	4250	1295	501.9	271	311.9	960	4.9	91	3135	1590472368
22.504166	113.915489	4350	1326	509.3	275	316.5	832	4.2	76	3135	1590472374
22.50705	113.923477	4450	1356	514.9	278	319.9	1088	5.5	66	3135	1590472381
22.510666	113.931267	4575	1394	524.1	283	325.7	1344	6.8	62	3135	1590472387
22.51442	113.938812	4725	1440	529.7	286	329.1	1792	9.1	61	3135	1590472393
22.519365	113.94857	4975	1516	535.2	289	332.6	2240	11.4	61	3135	1590472400
22.523026	113.955986	5200	1585	535.2	289	332.6	2368	12	61	3135	1590472406
22.530762	113.971321	5675	1730	538.9	291	334.9	2240	11.4	61	3135	1590472419
22.538498	113.986603	6100	1859	544.5	294	338.3	2112	10.7	61	3135	1590472430
22.547745	114.001831	6500	1981	544.5	294	338.3	1728	8.8	51	3135	1590472442
22.553375	114.007774	6675	2035	540.8	292	336	1792	9.1	41	3135	1590472448
22.560146	114.01281	6875	2096	537.1	290	333.7	1920	9.8	31	3135	1590472454
22.567408	114.016518	7075	2156	533.4	288	331.4	2048	10.4	23	3135	1590472460
22.574112	114.018806	7250	2210	527.8	285	328	2048	10.4	14	3135	1590472466
22.581253	114.020012	7425	2263	524.1	283	325.7	1920	9.8	5	3135	1590472472
22.590731	114.019623	7675	2339	518.6	280	322.2	1984	10.1	354	3135	1590472479
22.600525	114.017609	7950	2423	513	277	318.8	2176	11.1	346	3135	1590472487
22.60936	114.014618	8200	2499	511.2	276	317.6	2112	10.7	339	3135	1590472494
22.618286	114.01017	8450	2576	509.3	275	316.5	1920	9.8	331	3135	1590472502
22.625107	114.005325	8675	2644	505.6	273	314.2	1984	10.1	323	3135	1590472508
22.630625	114.000549	8850	2697	507.4	274	315.3	1920	9.8	320	3135	1590472514
22.636826	113.994987	9050	2758	509.3	275	316.5	1856	9.4	320	3135	1590472520
22.642916	113.989662	9250	2819	511.2	276	317.6	1856	9.4	321	3135	1590472526
22.657858	113.976494	9725	2964	514.9	278	319.9	1856	9.4	320	3135	1590472540
22.669464	113.966072	10025	3056	524.1	283	325.7	1408	7.2	320	3135	1590472552
22.681961	113.954788	10250	3124	538.9	291	334.9	384	2	320	3135	1590472565
22.694029	113.943886	10350	3155	559.3	302	347.5	576	2.9	320	3135	1590472576
22.707529	113.931831	10475	3193	579.7	313	360.2	768	3.9	320	3135	1590472588
22.721821	113.919121	10625	3239	598.2	323	371.7	704	3.6	320	3135	1590472600
22.736206	113.906349	10750	3277	616.7	333	383.2	768	3.9	320	3135	1590472613
22.7509	113.893265	10900	3322	633.4	342	393.6	832	4.2	320	3135	1590472625
22.764771	113.881081	11050	3368	648.2	350	402.8	832	4.2	320	3135	1590472636
22.781342	113.866402	11225	3421	663	358	412	832	4.2	320	3135	1590472649
22.79837	113.851265	11450	3490	677.8	366	421.2	1216	6.2	320	3135	1590472662
22.812645	113.8386	11700	3566	685.2	370	425.8	1472	7.5	320	3135	1590472672
22.829269	113.823853	12025	3665	687.1	371	426.9	1600	8.1	320	3135	1590472685
22.869997	113.787743	12875	3924	694.5	375	431.5	1536	7.8	320	3135	1590472716
22.913086	113.747993	13700	4176	701.9	379	436.1	1536	7.8	316	3135	1590472748
22.951584	113.699654	14550	4435	705.6	381	438.4	1472	7.5	307	3135	1590472781
22.986517	113.65036	15375	4686	709.3	383	440.7	1728	8.8	307	3135	1590472814
23.022766	113.598984	16250	4953	713	385	443.1	1344	6.8	307	3103	1590472847
23.055834	113.557434	16800	5121	726	392	451.1	1024	5.2	317	3103	1590472876
23.064468	113.549744	16925	5159	731.5	395	454.6	1152	5.9	321	3103	1590472882
23.073338	113.542992	17025	5189	735.2	397	456.9	1280	6.5	325	3103	1590472888
23.081863	113.537407	17150	5227	737.1	398	458	1344	6.8	329	3103	1590472894
23.096008	113.52977	17350	5288	744.5	402	462.6	1216	6.2	335	3103	1590472902
23.107182	113.525085	17475	5326	748.2	404	464.9	1088	5.5	340	3103	1590472908
23.11702	113.521675	17575	5357	753.8	407	468.4	1024	5.2	342	3103	1590472914
23.188555	113.498177	18275	5570	766.7	414	476.4	704	3.6	343	3103	1590472952
23.305866	113.460236	19475	5936	779.7	421	484.5	1280	6.5	343	3103	1590473015
23.419601	113.422905	20475	6241	794.5	429	493.7	896	4.6	343	3103	1590473076
23.54184	113.388466	21500	6553	813	439	505.2	1024	5.2	353	3103	1590473139
