latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
25.188484	102.970757	9125	2781	492.6	266	306.1	1024	5.2	23	0	1590471656
25.200623	102.97699	9450	2880	516.7	279	321.1	2496	12.7	23	0	1590471666
25.225912	102.986153	10050	3063	553.7	299	344.1	1664	8.5	7	0	1590471687
25.2423	102.985268	10525	3208	553.7	299	344.1	3392	17.2	349	2223	1590471697
25.250307	102.983353	10875	3315	551.9	298	342.9	3776	19.2	347	2223	1590471704
25.259079	102.980553	11250	3429	550	297	341.8	3584	18.2	344	2223	1590471710
25.270742	102.975945	11800	3597	546.3	295	339.5	3712	18.9	339	2223	1590471720
25.27903	102.972733	12150	3703	548.2	296	340.6	3584	18.2	339	2223	1590471726
25.326466	102.954643	14175	4321	570.4	308	354.4	3200	16.3	344	2223	1590471761
25.374321	102.94091	15950	4862	592.6	320	368.2	3392	17.2	346	2223	1590471795
25.390915	102.935127	16575	5052	587.1	317	364.8	3328	16.9	334	2223	1590471806
25.398623	102.929459	16900	5151	581.5	314	361.3	3584	18.2	327	2223	1590471813
25.405418	102.923546	17225	5250	576	311	357.9	3200	16.3	320	2223	1590471819
25.41147	102.916763	17525	5342	572.3	309	355.6	3456	17.6	312	2223	1590471825
25.416683	102.909302	17850	5441	566.7	306	352.1	3456	17.6	305	2223	1590471832
25.424011	102.897644	18325	5585	568.6	307	353.3	3072	15.6	304	2223	1590471840
25.428818	102.889862	18600	5669	572.3	309	355.6	3136	15.9	304	2223	1590471846
25.434174	102.882027	18925	5768	576	311	357.9	3200	16.3	305	2223	1590471853
25.463745	102.833862	20650	6294	581.5	314	361.3	3072	15.6	294	2223	1590471889
25.467682	102.818855	21100	6431	574.1	310	356.7	2944	15	283	2223	1590471899
25.468916	102.804619	21525	6561	568.6	307	353.3	3136	15.9	272	2223	1590471908
25.467611	102.792076	21875	6668	568.6	307	353.3	2816	14.3	259	2223	1590471915
25.465378	102.782959	22175	6759	568.6	307	353.3	3072	15.6	254	2223	1590471922
25.463333	102.772217	22425	6835	572.3	309	355.6	2560	13	258	2223	1590471928
25.46035	102.7388	23250	7087	581.5	314	361.3	2624	13.3	265	2223	1590471949
25.460037	102.730713	23450	7148	588.9	318	365.9	1792	9.1	268	2223	1590471955
25.461002	102.628677	25575	7795	622.3	336	386.7	1088	5.5	268	2223	1590472015
25.458344	102.60244	25650	7818	651.9	352	405.1	0	0	260	2223	1590472032
25.45495	102.586288	25625	7811	668.6	361	415.4	-64	-0.3	254	2223	1590472039
25.451784	102.575562	25625	7811	679.7	367	422.3	-64	-0.3	251	2223	1590472046
25.448013	102.564941	25625	7811	690.8	373	429.2	-128	-0.7	248	2223	1590472052
25.442505	102.548828	25625	7811	703.8	380	437.3	0	0	248	2223	1590472062
25.400204	102.428177	25600	7803	763	412	474.1	0	0	248	2223	1590472124
25.357889	102.306244	25600	7803	764.9	413	475.3	64	0.3	248	2223	1590472185
