latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
48.754856	2.11588	150	46	131.5	71	81.7	640	3.3	74	0	1590471732
48.75565	2.120506	325	99	118.5	64	73.6	960	4.9	75	0	1590471742
48.756115	2.122891	400	122	113	61	70.2	768	3.9	71	0	1590471749
48.756638	2.125502	475	145	109.3	59	67.9	640	3.3	74	0	1590471755
48.757046	2.127661	525	160	114.8	62	71.3	448	2.3	74	0	1590471761
48.757599	2.130573	575	175	118.5	64	73.6	448	2.3	72	0	1590471767
48.758114	2.133082	600	183	120.4	65	74.8	448	2.3	73	4276	1590471773
48.759064	2.13832	725	221	125.9	68	78.3	576	2.9	75	4276	1590471784
48.759605	2.141539	775	236	129.6	70	80.6	512	2.6	75	4276	1590471791
48.760117	2.14443	825	251	133.3	72	82.9	448	2.3	75	4276	1590471797
48.760574	2.147475	875	267	135.2	73	84	512	2.6	77	4276	1590471803
48.761032	2.150503	925	282	135.2	73	84	512	2.6	77	4276	1590471810
48.761932	2.15679	1075	328	133.3	72	82.9	640	3.3	77	4276	1590471821
48.762405	2.159518	1125	343	135.2	73	84	640	3.3	76	4276	1590471827
48.762909	2.162828	1175	358	137	74	85.2	448	2.3	75	4276	1590471834
48.763424	2.165608	1225	373	138.9	75	86.3	576	2.9	75	4276	1590471840
48.763962	2.168743	1300	396	140.8	76	87.5	512	2.6	75	4276	1590471846
48.764492	2.171968	1350	411	138.9	75	86.3	704	3.6	76	4276	1590471852
48.764969	2.175082	1425	434	137	74	85.2	640	3.3	76	4276	1590471858
48.765423	2.178256	1500	457	138.9	75	86.3	576	2.9	78	4276	1590471864
48.766342	2.184448	1625	495	138.9	75	86.3	512	2.6	77	4276	1590471876
48.766773	2.187508	1675	511	138.9	75	86.3	512	2.6	77	4276	1590471882
48.767193	2.190616	1725	526	140.8	76	87.5	448	2.3	77	4276	1590471888
48.767624	2.193815	1775	541	138.9	75	86.3	640	3.3	77	4276	1590471894
48.768078	2.196832	1825	556	137	74	85.2	576	2.9	77	4276	1590471900
48.768497	2.199868	1900	579	137	74	85.2	512	2.6	78	4276	1590471906
48.768963	2.202976	1950	594	138.9	75	86.3	512	2.6	77	4276	1590471912
48.769318	2.205717	2000	610	138.9	75	86.3	576	2.9	78	4276	1590471918
48.77005	2.212477	2100	640	138.9	75	86.3	512	2.6	80	4276	1590471930
48.770405	2.215624	2175	663	138.9	75	86.3	576	2.9	79	4276	1590471936
48.771244	2.221407	2300	701	135.2	73	84	576	2.9	78	4276	1590471947
48.771709	2.22437	2350	716	133.3	72	82.9	640	3.3	76	4276	1590471953
48.772221	2.227406	2425	739	133.3	72	82.9	512	2.6	76	4276	1590471959
48.77264	2.230369	2475	754	133.3	72	82.9	512	2.6	76	4276	1590471966
48.773117	2.233182	2525	770	133.3	72	82.9	512	2.6	76	4276	1590471972
48.773621	2.236633	2575	785	131.5	71	81.7	512	2.6	77	4276	1590471978
48.77417	2.239943	2650	808	129.6	70	80.6	640	3.3	74	4276	1590471986
48.774826	2.242656	2700	823	129.6	70	80.6	512	2.6	67	4276	1590471992
48.775806	2.245909	2750	838	129.6	70	80.6	512	2.6	65	4276	1590471998
48.776459	2.248183	2800	853	129.6	70	80.6	576	2.9	65	4276	1590472004
48.777969	2.253395	2925	892	129.6	70	80.6	512	2.6	67	4276	1590472015
48.778702	2.256212	2975	907	129.6	70	80.6	512	2.6	69	4276	1590472021
48.779526	2.259803	3050	930	127.8	69	79.4	512	2.6	71	4276	1590472028
48.780212	2.262972	3100	945	125.9	68	78.3	576	2.9	73	4276	1590472036
48.780788	2.26593	3175	968	125.9	68	78.3	512	2.6	73	4276	1590472042
48.781254	2.26846	3225	983	125.9	68	78.3	576	2.9	74	4276	1590472048
48.781765	2.271423	3275	998	125.9	68	78.3	576	2.9	74	4276	1590472055
48.78273	2.276987	3375	1029	127.8	69	79.4	448	2.3	75	4276	1590472066
48.783394	2.280747	3450	1052	131.5	71	81.7	320	1.6	75	4276	1590472074
48.78392	2.283959	3450	1052	140.8	76	87.5	64	0.3	75	4276	1590472080
48.784466	2.287325	3450	1052	151.9	82	94.4	0	0	76	4276	1590472086
48.784977	2.290577	3450	1052	161.1	87	100.1	0	0	76	4276	1590472092
48.78558	2.29448	3425	1044	168.5	91	104.7	-128	-0.7	77	4276	1590472099
48.786652	2.301925	3450	1052	166.7	90	103.6	0	0	77	4276	1590472110
48.787163	2.305466	3425	1044	164.8	89	102.4	-64	-0.3	76	4276	1590472116
48.787766	2.309171	3450	1052	166.7	90	103.6	128	0.7	77	4276	1590472122
48.787956	2.3132	3425	1044	172.2	93	107	-64	-0.3	92	4276	1590472128
48.78735	2.317103	3425	1044	177.8	96	110.5	0	0	109	4276	1590472135
48.785843	2.320862	3425	1044	188.9	102	117.4	-64	-0.3	127	4276	1590472142
48.783783	2.324454	3450	1052	188.9	102	117.4	64	0.3	132	4276	1590472148
48.781811	2.327728	3450	1052	190.8	103	118.5	0	0	131	4276	1590472154
48.779297	2.33213	3425	1044	190.8	103	118.5	0	0	131	4276	1590472162
48.777248	2.335679	3450	1052	190.8	103	118.5	0	0	131	4276	1590472168
48.775406	2.338961	3450	1052	192.6	104	119.7	0	0	130	4276	1590472174
48.773106	2.342979	3450	1052	192.6	104	119.7	0	0	130	4276	1590472181
48.771149	2.346426	3450	1052	192.6	104	119.7	0	0	130	4276	1590472188
48.769272	2.349807	3450	1052	192.6	104	119.7	0	0	130	4276	1590472194
48.76561	2.356134	3450	1052	192.6	104	119.7	0	0	131	4276	1590472205
48.763687	2.359525	3450	1052	192.6	104	119.7	0	0	131	4276	1590472211
48.761608	2.363072	3450	1052	192.6	104	119.7	0	0	131	4276	1590472218
48.757931	2.369505	3450	1052	192.6	104	119.7	0	0	131	4276	1590472229
48.756042	2.372765	3450	1052	192.6	104	119.7	0	0	131	4276	1590472235
48.753788	2.376299	3425	1044	198.2	107	123.1	-128	-0.7	138	4276	1590472242
48.751328	2.378681	3425	1044	207.4	112	128.9	64	0.3	152	4276	1590472248
48.748478	2.380203	3425	1044	209.3	113	130	64	0.3	163	4276	1590472254
48.745422	2.381568	3450	1052	209.3	113	130	0	0	163	4276	1590472260
48.739307	2.384611	3450	1052	213	115	132.3	0	0	161	4276	1590472272
48.736095	2.386346	3425	1044	211.1	114	131.2	0	0	160	4276	1590472279
48.730091	2.389526	3450	1052	213	115	132.3	64	0.3	161	4276	1590472291
48.726181	2.390683	3425	1044	220.4	119	136.9	-64	-0.3	175	4276	1590472297
48.722763	2.390231	3425	1044	227.8	123	141.5	0	0	191	4276	1590472303
48.720081	2.388948	3425	1044	229.6	124	142.7	-64	-0.3	201	4276	1590472309
48.716721	2.386991	3450	1052	225.9	122	140.4	64	0.3	198	4276	1590472315
48.712006	2.385442	3425	1044	224.1	121	139.2	-192	-1	189	4276	1590472323
